ÈÕÆÚ,002029.SZ,002154.SZ,002269.SZ,002291.SZ,002293.SZ,002327.SZ,002397.SZ,002485.SZ,002486.SZ,002494.SZ,002503.SZ,002563.SZ,002569.SZ,002612.SZ,002634.SZ,002656.SZ,002687.SZ,002761.SZ,002762.SZ,002763.SZ,002776.SZ,002780.SZ,002832.SZ,002875.SZ,300005.SZ,300526.SZ,300591.SZ,600107.SH,600137.SH,600146.SH,600398.SH,600400.SH,600630.SH,600824.SH,601566.SH,601718.SH,603001.SH,603116.SH,603157.SH,603196.SH,603365.SH,603518.SH,603555.SH,603557.SH,603558.SH,603587.SH,603608.SH,603665.SH,603808.SH,603839.SH,603877.SH,603908.SH,603958.SH,002029.SZ,002154.SZ,002269.SZ,002291.SZ,002293.SZ,002327.SZ,002397.SZ,002485.SZ,002486.SZ,002494.SZ,002503.SZ,002563.SZ,002569.SZ,002612.SZ,002634.SZ,002656.SZ,002687.SZ,002761.SZ,002762.SZ,002763.SZ,002776.SZ,002780.SZ,002832.SZ,002875.SZ,300005.SZ,300526.SZ,300591.SZ,600107.SH,600137.SH,600146.SH,600398.SH,600400.SH,600630.SH,600824.SH,601566.SH,601718.SH,603001.SH,603116.SH,603157.SH,603196.SH,603365.SH,603518.SH,603555.SH,603557.SH,603558.SH,603587.SH,603608.SH,603665.SH,603808.SH,603839.SH,603877.SH,603908.SH,603958.SH,002029.SZ,002154.SZ,002269.SZ,002291.SZ,002293.SZ,002327.SZ,002397.SZ,002485.SZ,002486.SZ,002494.SZ,002503.SZ,002563.SZ,002569.SZ,002612.SZ,002634.SZ,002656.SZ,002687.SZ,002761.SZ,002762.SZ,002763.SZ,002776.SZ,002780.SZ,002832.SZ,002875.SZ,300005.SZ,300526.SZ,300591.SZ,600107.SH,600137.SH,600146.SH,600398.SH,600400.SH,600630.SH,600824.SH,601566.SH,601718.SH,603001.SH,603116.SH,603157.SH,603196.SH,603365.SH,603518.SH,603555.SH,603557.SH,603558.SH,603587.SH,603608.SH,603665.SH,603808.SH,603839.SH,603877.SH,603908.SH,603958.SH,002029.SZ,002154.SZ,002269.SZ,002291.SZ,002293.SZ,002327.SZ,002397.SZ,002485.SZ,002486.SZ,002494.SZ,002503.SZ,002563.SZ,002569.SZ,002612.SZ,002634.SZ,002656.SZ,002687.SZ,002761.SZ,002762.SZ,002763.SZ,002776.SZ,002780.SZ,002832.SZ,002875.SZ,300005.SZ,300526.SZ,300591.SZ,600107.SH,600137.SH,600146.SH,600398.SH,600400.SH,600630.SH,600824.SH,601566.SH,601718.SH,603001.SH,603116.SH,603157.SH,603196.SH,603365.SH,603518.SH,603555.SH,603557.SH,603558.SH,603587.SH,603608.SH,603665.SH,603808.SH,603839.SH,603877.SH,603908.SH,603958.SH,002029.SZ,002154.SZ,002269.SZ,002291.SZ,002293.SZ,002327.SZ,002397.SZ,002485.SZ,002486.SZ,002494.SZ,002503.SZ,002563.SZ,002569.SZ,002612.SZ,002634.SZ,002656.SZ,002687.SZ,002761.SZ,002762.SZ,002763.SZ,002776.SZ,002780.SZ,002832.SZ,002875.SZ,300005.SZ,300526.SZ,300591.SZ,600107.SH,600137.SH,600146.SH,600398.SH,600400.SH,600630.SH,600824.SH,601566.SH,601718.SH,603001.SH,603116.SH,603157.SH,603196.SH,603365.SH,603518.SH,603555.SH,603557.SH,603558.SH,603587.SH,603608.SH,603665.SH,603808.SH,603839.SH,603877.SH,603908.SH,603958.SH,002029.SZ,002154.SZ,002269.SZ,002291.SZ,002293.SZ,002327.SZ,002397.SZ,002485.SZ,002486.SZ,002494.SZ,002503.SZ,002563.SZ,002569.SZ,002612.SZ,002634.SZ,002656.SZ,002687.SZ,002761.SZ,002762.SZ,002763.SZ,002776.SZ,002780.SZ,002832.SZ,002875.SZ,300005.SZ,300526.SZ,300591.SZ,600107.SH,600137.SH,600146.SH,600398.SH,600400.SH,600630.SH,600824.SH,601566.SH,601718.SH,603001.SH,603116.SH,603157.SH,603196.SH,603365.SH,603518.SH,603555.SH,603557.SH,603558.SH,603587.SH,603608.SH,603665.SH,603808.SH,603839.SH,603877.SH,603908.SH,603958.SH
2014/1/2,0.7732,0.6723,-1.8654,-0.1742,5.7959,2.8094,1.1549,-0.1517,-1.9405,2.447,0.1001,-0.3719,2.3454,0.7863,2.7465,0.4129,3.6916,,,,,,,,0.3145,,,-0.3145,1.4634,0,-0.9887,-0.2096,0.8529,0.9009,-0.1571,-0.722,0.4711,,,,,,,,,,,,,,,,,0.6783,0.5482,0.1751,0.7441,1.4908,1.6355,1.3276,0.5016,14.108,3.9161,1.3101,1.1421,6.7753,3.2748,4.9561,1.8333,5.8049,,,,,,,,1.3547,,,1.1035,0.8525,,1.0771,0.5547,8.452,0.8341,1.6522,0.1629,0.8728,,,,,,,,,,,,,,,,,5907127646,3178928467,12160500000,2081995500,7071492978,2597326655,1076129857,2105600000,3033895000,1399972441,2623932160,1875300000,422532000,1637768580,550626600,838925000,549865125,,,,,,,,4131401219,,,2282400000,1011062915,1890000000,4532694587,2667502286,4019190708,4918793006,1584138177,10606750000,1746048570,,,,,,,,,,,,,,,,,15.5891,21.838,29.9907,61.1964,21.2898,15.7288,22.8138,29.4939,31.9746,25.3861,15.7553,19.8994,221.5686,24.1297,50.315,19.5416,28.7567,,,,,,,,27.2476,,,195.5576,123.7097,-20.5422,31.9801,55.6526,76.9417,29.8043,13.6837,11.1917,21.8303,,,,,,,,,,,,,,,,,1.2898,1.3389,3.2222,1.285,3.3271,2.7492,1.9209,1.05,3.0453,2.0845,2.0498,2.2213,2.2044,2.4158,2.9564,2.3484,1.9503,,,,,,,,6.5573,,,4.2947,2.2025,13.3891,2.0998,1.9098,2.5629,2.9519,1.6268,0.975,1.6094,,,,,,,,,,,,,,,,,2.1307,1.7395,1.5413,1.1288,2.8015,2.6577,1.5825,1.6722,3.5177,3.3479,2.486,2.4609,2.0641,4.0904,3.8997,3.6516,3.234,,,,,,,,4.6904,,,3.4653,2.3093,46.0993,3.3196,1.1141,0.9594,1.6507,2.9391,0.397,2.141,,,,,,,,,,,,,,,,
2014/1/3,-1.5345,-2.6711,-1.5702,-0.8726,-1.1513,-0.3253,-2.6864,1.2158,-5.0132,-5.7325,-1.6,-2.3143,-1.0417,-3.3688,1.4393,-2.1247,-1.8848,,,,,,,,-0.1254,,,-2.0505,-1.4423,0,-1.1412,-2.1008,-2.2199,-5.7143,-1.967,-1.4545,-1.4735,,,,,,,,,,,,,,,,,0.6594,1.1013,0.1607,0.6621,0.7828,1.4247,1.6694,0.8761,9.3184,6.7493,1.1439,2.1452,4.8254,4.3404,4.3079,2.6513,4.4872,,,,,,,,1.7947,,,1.3632,0.4432,,1.0395,0.5102,5.2666,1.3692,2.6109,0.1674,1.1711,,,,,,,,,,,,,,,,,5816481186,3094015519,11969550000,2063828000,6990082380,2588877316,1047221063,2131200000,2881800000,1319719244,2581949245,1831900000,418130625,1582595525,558552000,821100000,539501175,,,,,,,,4126220779,,,2235600000,996480277,1890000000,4480966261,2611462322,3929969772,4637719120,1552978889,10452470000,1720319790,,,,,,,,,,,,,,,,,15.3499,21.2547,29.5197,60.6624,21.0447,15.6776,22.201,29.8525,30.3716,23.9308,15.5032,19.4388,219.2606,23.3168,51.0392,19.1264,28.2147,,,,,,,,27.2135,,,191.5477,121.9254,-20.5422,31.6151,54.4834,75.2337,28.1012,13.4145,11.0289,21.5086,,,,,,,,,,,,,,,,,1.27,1.3031,3.1716,1.2738,3.2888,2.7403,1.8693,1.0627,2.8926,1.965,2.017,2.1699,2.1815,2.3344,2.9989,2.2985,1.9135,,,,,,,,6.5491,,,4.2067,2.1707,13.3891,2.0758,1.8696,2.506,2.7832,1.5948,0.9609,1.5857,,,,,,,,,,,,,,,,,2.098,1.6931,1.5171,1.119,2.7692,2.6491,1.54,1.6925,3.3413,3.156,2.4462,2.404,2.0426,3.9526,3.9558,3.5741,3.173,,,,,,,,4.6846,,,3.3943,2.276,46.0993,3.2817,1.0907,0.9381,1.5564,2.8813,0.3912,2.1094,,,,,,,,,,,,,,,,
2014/1/6,-4.2857,-3.0875,-4.2821,-4.2254,-5.2209,-1.436,-4.7619,-3.003,-6.1111,-5.9685,-4.1667,2.6748,-3.4737,-4.1101,-5.8108,-1.8207,-4.0555,,,,,,,,-1.5066,,,-3.5427,-3.6098,0,-2.0202,-3.6481,-6.3784,-2.2727,-3.6116,-2.952,-2.2434,,,,,,,,,,,,,,,,,0.969,1.005,0.3358,0.8036,1.2811,1.2677,1.5826,0.6124,5.552,5.6906,1.1868,1.211,2.9525,4.786,4.7631,3.4543,4.2204,,,,,,,,1.8351,,,1.1279,0.908,,1.1633,0.5273,4.6975,0.7002,1.7284,0.4063,1.0317,,,,,,,,,,,,,,,,,5567203421,2998488454,11457000000,1976624000,6625138320,2551700227,997353393,2067200000,2705690000,1240952217,2474368027,1880900000,403606087.5,1517549397,526095600,806150000,517621725,,,,,,,,4064055494,,,2156400000,960509769.4,1890000000,4390441690,2516194384,3679301430,4532316413,1496892172,10143910000,1681726620,,,,,,,,,,,,,,,,,14.692,20.5984,28.2557,58.0992,19.9459,15.4525,21.1438,28.956,28.5156,22.5025,14.8572,19.9588,211.6442,22.3584,48.0734,18.7782,27.0705,,,,,,,,26.8035,,,184.7618,117.5242,-20.5422,30.9764,52.4958,70.435,27.4625,12.93,10.7033,21.0261,,,,,,,,,,,,,,,,,1.2155,1.2629,3.0358,1.22,3.1171,2.7009,1.7803,1.0308,2.7158,1.8477,1.933,2.2279,2.1057,2.2384,2.8247,2.2567,1.8359,,,,,,,,6.4504,,,4.0576,2.0924,13.3891,2.0339,1.8014,2.3462,2.72,1.5372,0.9325,1.5501,,,,,,,,,,,,,,,,,2.008,1.6408,1.4522,1.0717,2.6246,2.611,1.4666,1.6417,3.1371,2.9676,2.3443,2.4683,1.9716,3.7902,3.726,3.509,3.0444,,,,,,,,4.614,,,3.274,2.1938,46.0993,3.2154,1.0509,0.8783,1.521,2.7772,0.3797,2.0621,,,,,,,,,,,,,,,,
2014/1/7,0.5427,0.177,-6.9298,1.8382,0.8475,-1.5894,5.2899,2.6316,0.7396,-0.4192,0.6363,-0.1861,2.181,0.4592,9.9713,0.428,-0.3337,,,,,,,,0.7011,,,1.1686,1.2146,0,2.3564,3.118,-1.0393,0,0.9992,0.3802,0.6259,,,,,,,,,,,,,,,,,0.629,0.5424,0.6189,0.613,0.6743,0.8881,1.66,0.6977,3.9412,2.7456,0.6653,1.1899,2.1051,2.7062,26.6732,2.1153,2.0741,,,,,,,,1.2605,,,1.234,0.3859,,0.9639,0.8077,3.6875,0.4793,1.4153,0.115,0.6615,,,,,,,,,,,,,,,,,5597418907,3003795513,10663050000,2012959000,6681283560,2516623859,1050111942,2121600000,2725702500,1235750621,2490111620,1877400000,412408837.5,1524518625,578554200,809600000,515894400,,,,,,,,4092547916,,,2181600000,972175880,1890000000,4493898342,2594650333,3641063886,4532316413,1511848630,10182480000,1692252030,,,,,,,,,,,,,,,,,14.7717,20.6349,26.2976,59.1672,20.115,15.2075,22.2623,29.718,28.7265,22.4082,14.9518,19.9216,216.2602,22.4611,52.867,18.8585,26.9801,,,,,,,,26.9914,,,186.921,118.9516,-20.5422,31.7064,54.1326,69.703,27.4625,13.0592,10.744,21.1577,,,,,,,,,,,,,,,,,1.2221,1.2651,2.8254,1.2424,3.1435,2.6581,1.8745,1.058,2.7359,1.84,1.9453,2.2238,2.1516,2.2487,3.1063,2.2663,1.8298,,,,,,,,6.4956,,,4.1051,2.1178,13.3891,2.0818,1.8576,2.3218,2.72,1.5526,0.936,1.5598,,,,,,,,,,,,,,,,,2.0189,1.6437,1.3515,1.0914,2.6469,2.5696,1.5442,1.6849,3.1603,2.9552,2.3592,2.4637,2.0146,3.8076,4.0975,3.524,3.0342,,,,,,,,4.6463,,,3.3123,2.2205,46.0993,3.2912,1.0836,0.8692,1.521,2.805,0.3811,2.075,,,,,,,,,,,,,,,,
2014/1/8,-3.2389,0.53,-0.754,-0.361,0.4622,1.4132,-0.5506,0.4525,-2.3495,-0.902,-1.2645,-0.522,2.0277,-1.0286,-2.544,0.2131,0.7812,,,,,,,,-2.0253,,,-1.1551,-1,0,0,-1.0799,-4.084,-0.969,0.8244,-1.5152,0.5529,,,,,,,,,,,,,,,,,1.4148,0.5255,0.4507,0.442,0.5125,1.3589,0.8456,0.9093,4.2827,3.0117,0.892,0.5936,4.4808,4.7312,24.569,3.3119,2.1733,,,,,,,,1.1612,,,0.8501,0.5752,,0.6607,0.5639,3.2635,0.5904,1.1815,0.2446,0.9587,,,,,,,,,,,,,,,,,5416125987,3019716690,10582650000,2005692000,6712163442,2552188530,1044330183,2131200000,2661662500,1224604344,2458624434,1867600000,420771450,1508837862,563835600,811325000,519924825,,,,,,,,4009660870,,,2156400000,962454121.2,1890000000,4493898342,2566630351,3492362327,4488398618,1524312345,10028200000,1701607950,,,,,,,,,,,,,,,,,14.2933,20.7442,26.0993,58.9536,20.2079,15.4224,22.1397,29.8525,28.0516,22.2061,14.7627,19.8177,220.6454,22.2301,51.522,18.8987,27.1909,,,,,,,,26.4447,,,184.7618,117.7621,-20.5422,31.7064,53.548,66.8564,27.1964,13.1669,10.5812,21.2747,,,,,,,,,,,,,,,,,1.1826,1.2718,2.8041,1.2379,3.158,2.6957,1.8642,1.0627,2.6717,1.8234,1.9207,2.2122,2.1952,2.2256,3.0273,2.2711,1.8441,,,,,,,,6.3641,,,4.0576,2.0966,13.3891,2.0818,1.8376,2.227,2.6936,1.5654,0.9219,1.5685,,,,,,,,,,,,,,,,,1.9536,1.6524,1.3413,1.0875,2.6591,2.6059,1.5357,1.6925,3.0861,2.9285,2.3294,2.4508,2.0555,3.7684,3.9932,3.5315,3.0579,,,,,,,,4.5522,,,3.274,2.1983,46.0993,3.2912,1.0719,0.8337,1.5062,2.8281,0.3753,2.0865,,,,,,,,,,,,,,,,
2014/1/9,-3.0683,-1.9332,-0.5698,-2.7174,-2.9695,-5.5076,-3.1142,-2.7027,-2.5564,-3.2767,-2.1345,-0.5622,-2.7197,-1.8476,-5.0201,0.1417,-2.1041,,,,,,,,-2.8424,,,-0.6678,0.5051,0,1.7266,-1.5284,-1.0949,-0.7828,-2.453,-1.1538,-0.8247,,,,,,,,,,,,,,,,,1.3661,0.5683,0.2186,0.5826,0.4884,1.8965,0.6451,0.7259,3.124,3.5215,0.7253,0.504,3.574,3.3614,12.1516,2.4185,2.2481,,,,,,,,1.3985,,,0.8981,0.7803,,1.8099,0.4192,2.3751,0.5137,1.5497,0.1403,1.1167,,,,,,,,,,,,,,,,,5249940811,2961339039,10522350000,1951189500,6512847840,2411623402,1011807790,2073600000,2593620000,1184477745,2406145791,1857100000,409327875,1480960950,535530600,812475000,508985100,,,,,,,,3895691181,,,2142000000,967315000.6,1890000000,4571490831,2527402376,3454124784,4453264383,1486921200,9912490000,1687574070,,,,,,,,,,,,,,,,,13.8547,20.3432,25.9506,57.3516,19.6079,14.573,21.4502,29.0457,27.3345,21.4785,14.4476,19.7062,214.6446,21.8194,48.9356,18.9255,26.6188,,,,,,,,25.6931,,,183.528,118.3568,-20.5422,32.2538,52.7296,66.1243,26.9835,12.8439,10.4591,21.0992,,,,,,,,,,,,,,,,,1.1463,1.2472,2.7881,1.2043,3.0643,2.5472,1.8061,1.034,2.6034,1.7636,1.8797,2.1998,2.1355,2.1845,2.8753,2.2744,1.8053,,,,,,,,6.1832,,,4.0305,2.1072,13.3891,2.1177,1.8095,2.2026,2.6725,1.527,0.9112,1.5555,,,,,,,,,,,,,,,,,1.8936,1.6205,1.3337,1.0579,2.5802,2.4624,1.4879,1.6468,3.0072,2.8325,2.2796,2.437,1.9996,3.6988,3.7928,3.5365,2.9936,,,,,,,,4.4228,,,3.2521,2.2094,46.0993,3.348,1.0556,0.8245,1.4945,2.7587,0.371,2.0693,,,,,,,,,,,,,,,,
2014/1/10,-2.1583,-2.8674,0.0955,-2.6071,-2.1552,-3.441,-2.7143,-3.858,-0.1543,-1.6311,-3.7077,-0.49,-2.043,-3.9608,-6.0606,-1.0616,-4.638,,,,,,,,-3.9894,,,-1.8487,-0.1005,0,-2.6874,-2.2173,7.0111,-2.1696,-2.9338,-1.5564,-4.7817,,,,,,,,,,,,,,,,,1.0791,0.9065,0.4147,0.7463,0.505,1.438,0.8937,0.7976,2.1794,2.5494,0.9902,0.5471,1.9168,3.8085,9.3257,2.2482,2.7797,,,,,,,,1.0523,,,0.9049,0.707,,1.08,0.4923,4.3594,0.691,1.7544,0.1457,1.7303,,,,,,,,,,,,,,,,,5136632736,2876426092,10532400000,1900320500,6372484740,2328639170,984344435.7,1993600000,2589617500,1165157531,2316932097,1848000000,400965262.5,1422303281,503074200,803850000,485378325,,,,,,,,3740277969,,,2102400000,966342824.7,1890000000,4448636057,2471362412,3696295894,4356645234,1443298197,9758210000,1606879260,,,,,,,,,,,,,,,,,13.5557,19.7599,25.9754,55.8564,19.1853,14.0715,20.868,27.9251,27.2923,21.1281,13.9119,19.6097,210.2594,20.9552,45.9698,18.7246,25.3842,,,,,,,,24.6681,,,180.135,118.2379,-20.5422,31.387,51.5605,70.7604,26.3981,12.4671,10.2963,20.0903,,,,,,,,,,,,,,,,,1.1215,1.2114,2.7908,1.1729,2.9982,2.4595,1.7571,0.9941,2.5993,1.7349,1.81,2.189,2.0919,2.0979,2.7011,2.2502,1.7215,,,,,,,,5.9365,,,3.956,2.1051,13.3891,2.0608,1.7693,2.357,2.6145,1.4822,0.897,1.4811,,,,,,,,,,,,,,,,,1.8527,1.574,1.335,1.0303,2.5245,2.3777,1.4475,1.5832,3.0026,2.7863,2.1951,2.4251,1.9587,3.5523,3.5629,3.499,2.8547,,,,,,,,4.2464,,,3.192,2.2072,46.0993,3.258,1.0322,0.8824,1.462,2.6778,0.3652,1.9703,,,,,,,,,,,,,,,,
2014/1/13,-1.1765,-0.369,-3.8168,-0.3824,0.3965,-2.5455,1.0279,0.4815,-1.5456,1.0204,-1.812,-1.8939,-1.2075,-0.7758,0.15,0.4292,1.3049,,,,,,,,8.518,,,0.1712,0.4024,0,-0.5814,0,-0.6897,-1.6129,-0.0864,0,-1.4556,,,,,,,,,,,,,,,,,1.4856,0.5295,0.4202,0.4488,0.3382,1.357,0.667,0.3465,2.1607,1.9396,0.6767,0.3724,1.5097,2.3906,4.2478,1.1699,1.4657,,,,,,,,5.2309,,,0.4678,0.8006,,0.5473,0.3556,2.5918,0.409,0.8832,0.1605,1.9413,,,,,,,,,,,,,,,,,5076201762,2865811973,10130400000,1893053500,6397750098,2269364718,994462513.6,2003200000,2549592500,1177046893,2274949183,1813000000,396123750,1411268670,503829000,807300000,491711850,,,,,,,,4058875053,,,2106000000,970231528.2,1890000000,4422771894,2471362412,3670804198,4286376763,1442051826,9758210000,1583489460,,,,,,,,,,,,,,,,,13.3962,19.687,24.9839,55.6428,19.2614,13.7133,21.0825,28.0595,26.8705,21.3437,13.6598,19.2383,207.7206,20.7926,46.0387,18.805,25.7154,,,,,,,,26.7693,,,180.4435,118.7137,-20.5422,31.2045,51.5605,70.2724,25.9723,12.4563,10.2963,19.7979,,,,,,,,,,,,,,,,,1.1083,1.207,2.6843,1.1684,3.0101,2.3969,1.7751,0.9989,2.5592,1.7526,1.7772,2.1475,2.0666,2.0817,2.7051,2.2599,1.744,,,,,,,,6.4422,,,3.9628,2.1135,13.3891,2.0488,1.7693,2.3407,2.5724,1.4809,0.897,1.4596,,,,,,,,,,,,,,,,,1.8309,1.5682,1.284,1.0264,2.5346,2.3172,1.4624,1.5909,2.9561,2.8148,2.1553,2.3792,1.9351,3.5247,3.5683,3.514,2.892,,,,,,,,4.6081,,,3.1975,2.216,46.0993,3.2391,1.0322,0.8763,1.4384,2.6755,0.3652,1.9417,,,,,,,,,,,,,,,,
2014/1/14,0.744,1.6667,0.7937,2.1113,1.6674,0.7463,1.5988,1.278,1.0989,2.8409,2.4221,0.3861,3.3333,2.3457,2.397,0.9972,3.3958,,,,,,,,9.6362,,,1.1966,2.4048,0,2.0468,2.2676,1.7361,1.4344,2.3336,1.581,0.7386,,,,,,,,,,,,,,,,,1.2617,0.6241,0.2548,0.3366,0.5177,1.4127,0.4297,0.2984,2.1319,2.6359,0.5592,0.6624,1.3872,3.3309,4.1135,1.3219,1.7388,,,,,,,,4.7926,,,0.515,1.2716,,0.7368,0.4359,1.7873,0.3874,1.2212,0.1233,0.8248,,,,,,,,,,,,,,,,,5113971121,2913575506,10210800000,1933022000,6504426054,2286300276,1010362350,2028800000,2577610000,1210485726,2330051758,1820000000,409327875,1444372503,515905800,815350000,508409325,,,,,,,,4449998304,,,2131200000,993563749.4,1890000000,4513296464,2527402376,3734533438,4347861675,1475703856,9912490000,1595184360,,,,,,,,,,,,,,,,,13.4959,20.0151,25.1822,56.8176,19.5825,13.8157,21.4196,28.4181,27.1658,21.9501,13.9907,19.3126,214.6446,21.2803,47.1423,18.9925,26.5887,,,,,,,,29.3489,,,182.6026,121.5685,-20.5422,31.8432,52.7296,71.4924,26.3448,12.747,10.4591,19.9441,,,,,,,,,,,,,,,,,1.1166,1.2271,2.7056,1.1931,3.0603,2.4148,1.8035,1.0117,2.5873,1.8023,1.8202,2.1558,2.1355,2.1305,2.7699,2.2824,1.8032,,,,,,,,7.063,,,4.0102,2.1644,13.3891,2.0908,1.8095,2.3814,2.6093,1.5155,0.9112,1.4704,,,,,,,,,,,,,,,,,1.8446,1.5943,1.2942,1.0481,2.5768,2.3345,1.4858,1.6112,2.9886,2.8947,2.2076,2.3884,1.9996,3.6074,3.6538,3.549,2.9902,,,,,,,,5.0521,,,3.2357,2.2693,46.0993,3.3054,1.0556,0.8915,1.4591,2.7379,0.371,1.956,,,,,,,,,,,,,,,,
2014/1/15,1.4771,0.3643,1.2795,0.188,-2.2874,0.8889,0,-0.1577,-0.6211,0.0614,1.0135,0.9615,2.5806,0.9248,1.3168,2.0451,1.5855,,,,,,,,2.4447,,,0.1689,2.2505,0,-1.2894,0.4435,2.6166,-0.6061,0.6757,-0.3891,-0.5132,,,,,,,,,,,,,,,,,1.3607,0.3892,0.2742,0.2403,0.7042,1.0028,0.4587,0.3091,1.7615,2.0355,0.4939,0.5793,1.8964,3.1858,4.1865,4.2302,1.9842,,,,,,,,5.6163,,,0.7384,1.6661,,0.7267,0.3568,2.3108,0.3519,1.0876,0.0866,1.0082,,,,,,,,,,,,,,,,,5189509837,2924189625,10341450000,1936655500,6355641168,2306622945,1010362350,2025600000,2561600000,1211228811,2353667148,1837500000,419891175,1457730190,522699000,832025000,516470175,,,,,,,,4558787552,,,2134800000,1015923795,1890000000,4455102097,2538610369,3832251605,4321510998,1485674828,9873920000,1586997930,,,,,,,,,,,,,,,,,13.6953,20.088,25.5044,56.9244,19.1346,13.9385,21.4196,28.3733,26.997,21.9635,14.1325,19.4983,220.1838,21.4771,47.763,19.3809,27.0103,,,,,,,,30.0664,,,182.9111,124.3044,-20.5422,31.4326,52.9635,73.3631,26.1852,12.8331,10.4184,19.8418,,,,,,,,,,,,,,,,,1.1331,1.2316,2.7402,1.1953,2.9903,2.4363,1.8035,1.0101,2.5712,1.8034,1.8387,2.1765,2.1906,2.1502,2.8064,2.3291,1.8318,,,,,,,,7.2356,,,4.017,2.2131,13.3891,2.0638,1.8175,2.4437,2.5935,1.5257,0.9077,1.4628,,,,,,,,,,,,,,,,,1.8718,1.6001,1.3108,1.05,2.5179,2.3552,1.4858,1.6086,2.9701,2.8965,2.2299,2.4113,2.0512,3.6408,3.7019,3.6216,3.0376,,,,,,,,5.1757,,,3.2412,2.3204,46.0993,3.2627,1.0602,0.9148,1.4502,2.7564,0.3696,1.946,,,,,,,,,,,,,,,,
