ÈÕÆÚ,000611.SZ,000726.SZ,000850.SZ,000955.SZ,000982.SZ,002003.SZ,002042.SZ,002083.SZ,002087.SZ,002098.SZ,002144.SZ,002193.SZ,002394.SZ,002404.SZ,002674.SZ,200726.SZ,300577.SZ,300658.SZ,600156.SH,600220.SH,600232.SH,600370.SH,600448.SH,600493.SH,600689.SH,600987.SH,601339.SH,603055.SH,603238.SH,603477.SH,603889.SH,900922.SH,000611.SZ,000726.SZ,000850.SZ,000955.SZ,000982.SZ,002003.SZ,002042.SZ,002083.SZ,002087.SZ,002098.SZ,002144.SZ,002193.SZ,002394.SZ,002404.SZ,002674.SZ,200726.SZ,300577.SZ,300658.SZ,600156.SH,600220.SH,600232.SH,600370.SH,600448.SH,600493.SH,600689.SH,600987.SH,601339.SH,603055.SH,603238.SH,603477.SH,603889.SH,900922.SH,000611.SZ,000726.SZ,000850.SZ,000955.SZ,000982.SZ,002003.SZ,002042.SZ,002083.SZ,002087.SZ,002098.SZ,002144.SZ,002193.SZ,002394.SZ,002404.SZ,002674.SZ,200726.SZ,300577.SZ,300658.SZ,600156.SH,600220.SH,600232.SH,600370.SH,600448.SH,600493.SH,600689.SH,600987.SH,601339.SH,603055.SH,603238.SH,603477.SH,603889.SH,900922.SH,000611.SZ,000726.SZ,000850.SZ,000955.SZ,000982.SZ,002003.SZ,002042.SZ,002083.SZ,002087.SZ,002098.SZ,002144.SZ,002193.SZ,002394.SZ,002404.SZ,002674.SZ,200726.SZ,300577.SZ,300658.SZ,600156.SH,600220.SH,600232.SH,600370.SH,600448.SH,600493.SH,600689.SH,600987.SH,601339.SH,603055.SH,603238.SH,603477.SH,603889.SH,900922.SH,000611.SZ,000726.SZ,000850.SZ,000955.SZ,000982.SZ,002003.SZ,002042.SZ,002083.SZ,002087.SZ,002098.SZ,002144.SZ,002193.SZ,002394.SZ,002404.SZ,002674.SZ,200726.SZ,300577.SZ,300658.SZ,600156.SH,600220.SH,600232.SH,600370.SH,600448.SH,600493.SH,600689.SH,600987.SH,601339.SH,603055.SH,603238.SH,603477.SH,603889.SH,900922.SH,000611.SZ,000726.SZ,000850.SZ,000955.SZ,000982.SZ,002003.SZ,002042.SZ,002083.SZ,002087.SZ,002098.SZ,002144.SZ,002193.SZ,002394.SZ,002404.SZ,002674.SZ,200726.SZ,300577.SZ,300658.SZ,600156.SH,600220.SH,600232.SH,600370.SH,600448.SH,600493.SH,600689.SH,600987.SH,601339.SH,603055.SH,603238.SH,603477.SH,603889.SH,900922.SH
2014/1/2,0.4619,-1.4245,0.4219,1.2232,1.0477,2.8238,1.1086,2.1077,2.8646,1.7486,-0.9538,0,1.2797,0.9589,1.059,-1.2927,,,-1.8018,0,5.4622,0,0,0,-0.453,0.177,-1.2833,,,,,-0.1168,0.6108,1.5173,0.3072,0.46,0.5617,1.6384,0.6418,1.6446,2.8502,1.4932,1.6334,,1.6995,1.1469,2.6663,0.1285,,,1.9594,0.1916,3.0084,,2.573,1.9719,4.1597,0.2914,1.869,,,,,0.3335,1387929779,5781480395,4489410055,1652997450,6239628459,2358907119,3782139860,3576835340,2052481644,1443050000,1915317727,1223392567,3586596000,1287925409,1653861120,5781480395,,,1753202661,4315683589,1830887091,1447795522,1311180000,1400800000,1337874417,3595854600,1870000000,,,,,1337874417,122.8145,9.9286,23.6863,-33.3423,22.1931,13.0689,18.9667,43.8979,25.6238,23.8086,42.9497,511.1585,12.7874,23.958,18.285,8.0429,,,22.1368,40.369,158.7355,58.2754,77.1142,100.0252,-37.4441,8.7468,14.7743,,,,,-22.2136,2.3504,1.6568,1.5103,2.6493,3.1749,1.5785,1.1717,1.421,1.0977,2.2513,1.8765,1.8188,1.4681,1.5548,2.0913,1.3422,,,2.4567,2.6506,1.5526,1.2175,3.1156,2.2314,5.5485,1.7106,1.2066,,,,,3.2916,1.2134,1.5315,2.1823,7.8804,2.0059,1.5433,0.6087,0.8911,0.6298,1.434,5.9527,2.0824,1.119,1.058,1.8227,1.2406,,,1.7852,1.8427,1.45,1.0927,0.5901,1.5917,1.0661,1.2269,1.7551,,,,,0.6324
2014/1/3,-0.9195,-1.3487,-2.3109,-2.4169,-1.8433,-1.1364,-0.6579,-3.8991,-1.519,-0.8593,-0.6589,0,-4.8736,-0.9498,2.4701,-3.8354,,,3.8991,-0.8264,-2.7888,0,-0.4878,0.1942,-4.0956,-1.5901,-2.7,,,,,-1.7544,0.5627,1.6516,0.3938,0.7685,0.4647,1.4253,0.6752,2.0192,1.6339,1.7167,1.3024,,2.757,0.8531,5.4869,0.3634,,,3.5096,0.1441,2.1112,,2.7746,1.0345,2.5725,0.3057,2.7828,,,,,0.157,1375167206,5703502817,4385663184,1613045850,6124612267,2332101357,3757257361,3437371577,2021304707,1430650000,1902697793,1223392567,3411798000,1275692739,1694712480,5703502817,,,1821561480,4280016782,1779826495,1447795522,1304784000,1403520000,1283080925,3538676700,1819510000,,,,,1283080925,121.6852,9.7947,23.1389,-32.5365,21.784,12.9204,18.8419,42.1863,25.2346,23.604,42.6667,511.1585,12.1642,23.7305,18.7366,7.7405,,,22.9999,40.0354,154.3086,58.2754,76.7381,100.2195,-35.9106,8.6077,14.3754,,,,,-21.8415,2.3288,1.6345,1.4754,2.5853,3.1164,1.5605,1.164,1.3656,1.081,2.2319,1.8642,1.8188,1.3966,1.54,2.1429,1.2917,,,2.5525,2.6287,1.5093,1.2175,3.1004,2.2357,5.3212,1.6834,1.174,,,,,3.2365,1.2023,1.5108,2.1319,7.6899,1.9689,1.5258,0.6047,0.8563,0.6202,1.4217,5.9135,2.0824,1.0645,1.0479,1.8677,1.194,,,1.8548,1.8275,1.4095,1.0927,0.5873,1.5948,1.0224,1.2074,1.7077,,,,,0.6219
2014/1/6,-1.8561,-0.6836,-1.5054,-2.7864,1.1737,-4.8851,-0.6623,-3.1026,-1.2853,-4.5504,-1.6837,0,-5.4396,-3.4247,-4.6749,-1.5564,,,-1.766,-1.6667,-3.6885,-9.0308,-0.4902,-3.2946,-4.6263,-3.2316,-4.0082,,,,,-1.4286,0.9295,1.1361,0.3199,0.6459,0.6356,1.9445,2.2123,1.576,1.5727,1.4648,0.9927,,1.9919,1.0381,3.326,0.2013,,,2.8158,0.3221,1.0571,1.8088,2.2439,1.3902,1.4048,0.4112,2.2635,,,,,0.1408,1349642061,5664514028,4319642448,1568100300,6196497387,2218176865,3732374862,3330722817,1995323927,1365550000,1870662575,1223392567,3226210000,1232004632,1615485600,5664514028,,,1789392624,4208683169,1714177157,1317047468,1298388000,1357280000,1223721310,3424320900,1746580000,,,,,1223721310,119.4265,9.7277,22.7906,-31.6299,22.0397,12.2892,18.7171,40.8774,24.9102,22.53,41.9483,511.1585,11.5025,22.9178,17.8607,7.6221,,,22.5937,39.3681,148.6169,53.0126,76.3619,96.9177,-34.2492,8.3295,13.7992,,,,,-21.5365,2.2856,1.6233,1.4532,2.5133,3.153,1.4843,1.1563,1.3233,1.0671,2.1304,1.8328,1.8188,1.3206,1.4872,2.0427,1.2719,,,2.5074,2.5849,1.4536,1.1075,3.0852,2.1621,5.075,1.629,1.1269,,,,,3.1913,1.18,1.5005,2.0998,7.4756,1.992,1.4513,0.6007,0.8298,0.6122,1.357,5.8139,2.0824,1.0066,1.0121,1.7804,1.1757,,,1.822,1.797,1.3575,0.994,0.5844,1.5422,0.9751,1.1684,1.6392,,,,,0.6132
2014/1/7,-1.4184,-1.9666,0.2183,0.9554,0.348,0,0.2222,0.7389,0,0.9081,-0.467,0,1.1371,0.5674,-0.0766,0.5929,,,-1.1236,1.2712,4.0426,0,4.9261,-1.4028,1.8657,0.9276,0,,,,,0.3623,0.6256,2.5885,0.2138,0.2453,0.7,0.9567,1.9201,0.8327,0.926,0.9812,0.9825,,1.1635,0.5381,2.6629,0.2443,,,1.6042,0.1973,1.5136,0.8537,4.3658,1.1156,0.9934,0.336,1.3631,,,,,0.0865,1330498202,5553117489,4329073982,1583082150,6218062923,2218176865,3740669028,3355334069,1995323927,1377950000,1861925697,1223392567,3262896000,1238994729,1614247680,5553117489,,,1769287089,4262183379,1783473680,1317047468,1362348000,1338240000,1246551931,3456086400,1746580000,,,,,1246551931,117.7325,9.5364,22.8403,-31.9321,22.1164,12.2892,18.7587,41.1795,24.9102,22.7345,41.7524,511.1585,11.6333,23.0478,17.847,7.6649,,,22.3398,39.8685,154.6248,53.0126,80.1236,95.5581,-34.8882,8.4068,13.7992,,,,,-21.6085,2.2531,1.5914,1.4564,2.5373,3.1639,1.4843,1.1588,1.333,1.0671,2.1497,1.8242,1.8188,1.3356,1.4957,2.0412,1.2791,,,2.4793,2.6178,1.5124,1.1075,3.2372,2.1318,5.1697,1.6441,1.1269,,,,,3.2019,1.1632,1.471,2.1044,7.5471,1.999,1.4513,0.602,0.8359,0.6122,1.3694,5.7868,2.0824,1.018,1.0178,1.7791,1.1823,,,1.8016,1.8199,1.4124,0.994,0.6132,1.5206,0.9933,1.1792,1.6392,,,,,0.6152
2014/1/8,-2.8777,0.3009,-1.7429,-0.9464,-0.578,0.4028,0.2217,-1.956,-2.0833,1.6873,1.147,0,0.3968,0.7052,2.8374,1.7682,,,3.4091,-0.4184,2.6585,-0.2421,-0.939,1.0163,-1.0989,-1.4706,-0.5353,,,,,-0.361,1.3276,0.8583,0.2678,0.2403,0.3877,1.0235,2.1193,1.1199,1.1658,1.7016,1.4018,,1.2101,0.7935,3.4077,0.1349,,,3.4088,0.1742,2.4579,0.5386,2.5539,0.7768,1.0489,0.3481,1.4923,,,,,0.0851,1292210484,5569826970,4253621712,1568100300,6182120363,2227112119,3748963195,3289704063,1953754679,1401200000,1883282509,1223392567,3275844000,1247732350,1660050720,5569826970,,,1829603694,4244349976,1830887091,1313858491,1349556000,1351840000,1232853558,3405261600,1737230000,,,,,1232853558,114.3445,9.5651,22.4423,-31.6299,21.9886,12.3387,18.8003,40.374,24.3912,23.1181,42.2313,511.1585,11.6795,23.2103,18.3534,7.8056,,,23.1014,39.7017,158.7355,52.8843,79.3712,96.5292,-34.5048,8.2832,13.7253,,,,,-21.5435,2.1883,1.5962,1.431,2.5133,3.1456,1.4903,1.1614,1.307,1.0449,2.186,1.8451,1.8188,1.3409,1.5062,2.0991,1.3026,,,2.5638,2.6068,1.5526,1.1048,3.2068,2.1534,5.1129,1.6199,1.1209,,,,,3.1923,1.1297,1.4754,2.0677,7.4756,1.9874,1.4571,0.6034,0.8196,0.5995,1.3925,5.8531,2.0824,1.0221,1.025,1.8295,1.204,,,1.863,1.8123,1.45,0.9916,0.6074,1.536,0.9824,1.1619,1.6304,,,,,0.6134
2014/1/9,-1.2346,-0.5,-1.9956,-1.9108,-2.7907,-0.4012,-1.3274,-0.2494,-1.0638,-0.4425,-7.732,0,-4.1502,-2.2409,-2.9828,-1.0618,,,-0.6593,-1.6807,-2.1912,-2.9126,2.6066,-0.6036,0,-0.5597,0.2153,,,,,1.087,1.3407,0.6519,0.3475,0.4289,0.6039,1.0848,0.9039,0.7905,0.8765,2.4119,4.0314,,1.4668,0.9669,3.3345,0.0817,,,1.7865,0.2261,1.6222,0.651,4.7218,0.8906,1.179,0.2885,1.9214,,,,,0.0974,1276257268,5541977835,4168737909,1538136600,6009596074,2218176865,3699198197,3281500312,1932970054,1395000000,1737667882,1223392567,3139890000,1219771961,1610533920,5541977835,,,1817540373,4173016363,1790768051,1275590768,1384734000,1343680000,1232853558,3386202300,1740970000,,,,,1232853558,112.9329,9.5173,21.9944,-31.0255,21.375,12.2892,18.5508,40.2733,24.1318,23.0159,38.966,511.1585,11.1948,22.6902,17.8059,7.7263,,,22.9491,39.0345,155.2572,51.3439,81.4401,95.9465,-34.5048,8.2368,13.7549,,,,,-21.7884,2.1613,1.5882,1.4025,2.4652,3.0579,1.4843,1.146,1.3037,1.0338,2.1763,1.7025,1.8188,1.2853,1.4725,2.0365,1.2893,,,2.5469,2.563,1.5185,1.0727,3.2904,2.1404,5.1129,1.6108,1.1233,,,,,3.2286,1.1158,1.468,2.0264,7.3328,1.9319,1.4513,0.5954,0.8175,0.5931,1.3863,5.4006,2.0824,0.9796,1.002,1.775,1.1918,,,1.8507,1.7818,1.4182,0.9627,0.6232,1.5268,0.9824,1.1554,1.634,,,,,0.6203
2014/1/10,-1.25,-3.6181,-2.0362,-0.6494,0.2392,1.5106,-1.1211,1.25,-2.957,-5.3333,-2.514,0,-2.4742,-4.5845,-7.7633,-0.9756,,,-0.4425,-0.4274,0,-3,-2.7714,-4.6559,-4.6914,-1.6886,-0.1074,,,,,-1.1947,0.8159,0.8609,0.3647,0.5261,0.3463,1.5234,0.6305,1.0154,1.1651,1.6631,2.5435,,1.4883,1.1184,4.3847,0.1305,,,2.3261,0.2224,1.2534,0.5386,2.9465,0.9272,1.4594,0.2822,1.0046,,,,,0.1056,1260304052,5341464064,4083854105,1528148700,6023973098,2251684068,3657727365,3322519066,1875812338,1320600000,1693983494,1223392567,3062202000,1163851184,1485504000,5341464064,,,1809498159,4155182960,1790768051,1237323045,1346358000,1281120000,1175015984,3329024400,1739100000,,,,,1175015984,111.5212,9.1729,21.5466,-30.824,21.4261,12.4749,18.3428,40.7767,23.4182,21.7883,37.9864,511.1585,10.9178,21.65,16.4236,7.6383,,,22.8476,38.8677,155.2572,49.8036,79.1831,91.4794,-32.8861,8.0977,13.7401,,,,,-21.4925,2.1343,1.5307,1.3739,2.4492,3.0652,1.5067,1.1331,1.32,1.0032,2.0602,1.6597,1.8188,1.2535,1.405,1.8784,1.2746,,,2.5356,2.552,1.5185,1.0405,3.1992,2.0408,4.8731,1.5836,1.1221,,,,,3.1848,1.1019,1.4149,1.9852,7.2852,1.9366,1.4732,0.5887,0.8277,0.5756,1.3124,5.2648,2.0824,0.9554,0.9561,1.6372,1.1782,,,1.8425,1.7742,1.4182,0.9338,0.606,1.4557,0.9363,1.1359,1.6322,,,,,0.6119
2014/1/13,1.7722,-3.7539,-0.4619,0.3268,-0.9547,0.1984,0.6803,-1.4815,0.831,-1.4085,0.2865,0,0.1409,0.3003,-1.25,-1.4778,,,-0.8889,1.7167,-2.0367,0.2577,-1.4252,0.4246,-2.0725,3.0534,-2.7957,,,,,-0.6046,0.8662,0.8915,0.3018,0.3371,0.302,1.4208,1.7716,0.5583,0.5433,1.2961,1.4493,,0.9193,0.5856,1.657,0.2194,,,1.5018,0.1822,0.935,0.2563,1.6571,0.5802,1.0076,0.6176,1.3356,,,,,0.0584,1282638554,5140950293,4064991038,1533142650,5966465002,2256151696,3682609864,3273296561,1891400806,1302000000,1698837315,1223392567,3066518000,1167346232,1466935200,5140950293,,,1793413731,4226516573,1754296197,1240512022,1327170000,1286560000,1150663321,3430674000,1690480000,,,,,1150663321,113.4975,8.8286,21.447,-30.9248,21.2215,12.4996,18.4676,40.1726,23.6128,21.4815,38.0953,511.1585,10.9332,21.715,16.2183,7.5183,,,22.6445,39.5349,152.0951,49.932,78.0546,91.8678,-32.2045,8.345,13.356,,,,,-21.3423,2.1721,1.4733,1.3676,2.4572,3.0359,1.5097,1.1409,1.3004,1.0115,2.0312,1.6644,1.8188,1.2553,1.4092,1.8549,1.2546,,,2.5131,2.5958,1.4876,1.0432,3.1536,2.0494,4.7721,1.632,1.0907,,,,,3.1625,1.1214,1.3618,1.976,7.309,1.9181,1.4761,0.5927,0.8155,0.5803,1.2939,5.2799,2.0824,0.9567,0.9589,1.6167,1.1597,,,1.8261,1.8047,1.3893,0.9363,0.5973,1.4619,0.9169,1.1706,1.5866,,,,,0.6076
2014/1/14,3.2338,2.9252,1.6241,1.3029,0,3.3663,2.2523,2.005,1.3736,2.5,1.8286,0,3.026,1.6467,3.038,1.8,,,0.8969,1.6878,0.6237,1.2853,4.0964,1.6913,1.455,1.2963,2.9867,,,,,0.365,1.4034,0.9344,0.2494,0.2968,0.3054,2.064,2.0432,0.7112,0.451,1.0616,0.9312,,1.2427,0.447,2.0636,0.1106,,,1.7121,0.2576,1.2828,0.3551,3.6193,0.6526,1.0253,0.2837,1.4039,,,,,0.0416,1324116916,5291335622,4131011774,1553118450,5966465002,2332101357,3765551527,3338926567,1917381586,1334550000,1729901769,1223392567,3159312000,1186569000,1511500320,5291335622,,,1809498159,4297850186,1765237753,1256456906,1381536000,1308320000,1167405777,3475145700,1740970000,,,,,1167405777,117.1679,9.0869,21.7954,-31.3277,21.2215,12.9204,18.8835,40.9781,23.9372,22.0185,38.7919,511.1585,11.264,22.0726,16.711,7.6511,,,22.8476,40.2022,153.0438,50.5738,81.2521,93.4216,-32.6731,8.4531,13.7549,,,,,-21.4131,2.2423,1.5164,1.3898,2.4893,3.0359,1.5605,1.1665,1.3265,1.0254,2.082,1.6949,1.8188,1.2932,1.4324,1.9112,1.2768,,,2.5356,2.6397,1.4969,1.0566,3.2828,2.0841,4.8415,1.6531,1.1233,,,,,3.173,1.1576,1.4016,2.0081,7.4042,1.9181,1.5258,0.606,0.8318,0.5883,1.3262,5.3764,2.0824,0.9857,0.9747,1.6658,1.1802,,,1.8425,1.8351,1.398,0.9483,0.6218,1.4866,0.9302,1.1857,1.634,,,,,0.6097
2014/1/15,2.6506,-2.1053,-1.1416,-0.3215,-1.2048,0.1916,0.8811,0.4914,1.084,0.1161,2.3008,0,1.0929,1.0309,0.4095,0.7859,,,2.2222,0,-1.2397,0.7614,1.6204,-1.0395,1.9557,-0.5484,-0.6445,,,,,1.0909,1.8259,1.7778,0.1904,0.2961,0.5609,1.809,1.9378,0.8702,0.6011,0.8346,1.1838,,1.1204,0.4316,1.762,0.1263,,,5.3478,0.1307,1.0228,0.5011,3.0425,0.5092,1.3514,0.2198,0.9051,,,,,0.0588,1359213990,5179939082,4083854105,1548124500,5894579881,2336568984,3798728193,3355334069,1938166210,1336100000,1769703100,1223392567,3193840000,1198801670,1517689920,5179939082,,,1849709229,4297850186,1743354640,1266023837,1403922000,1294720000,1190236398,3456086400,1729750000,,,,,1190236398,120.2735,8.8956,21.5466,-31.2269,20.9659,12.9452,19.0499,41.1795,24.1966,22.0441,39.6844,511.1585,11.3871,22.3001,16.7795,7.7208,,,23.3553,40.2022,151.1465,50.9589,82.5686,92.4505,-33.3121,8.4068,13.6662,,,,,-21.6734,2.3018,1.4844,1.3739,2.4813,2.9993,1.5635,1.1768,1.333,1.0365,2.0844,1.7339,1.8188,1.3074,1.4472,1.9191,1.2884,,,2.592,2.6397,1.4783,1.0646,3.336,2.0624,4.9362,1.6441,1.1161,,,,,3.2116,1.1883,1.3721,1.9852,7.3804,1.895,1.5287,0.6114,0.8359,0.5947,1.3278,5.5001,2.0824,0.9965,0.9848,1.6726,1.1909,,,1.8834,1.8351,1.3806,0.9555,0.6319,1.4711,0.9484,1.1792,1.6234,,,,,0.6171
