ÈÕÆÚ,000009.SZ,000409.SZ,000632.SZ,000638.SZ,000652.SZ,000839.SZ,300012.SZ,300688.SZ,600051.SH,600070.SH,600083.SH,600128.SH,600139.SH,600149.SH,600175.SH,600212.SH,600234.SH,600281.SH,600382.SH,600556.SH,600603.SH,600620.SH,600624.SH,600730.SH,600747.SH,600770.SH,600784.SH,600805.SH,600811.SH,600817.SH,600818.SH,603060.SH,603183.SH,900915.SH,000009.SZ,000409.SZ,000632.SZ,000638.SZ,000652.SZ,000839.SZ,300012.SZ,300688.SZ,600051.SH,600070.SH,600083.SH,600128.SH,600139.SH,600149.SH,600175.SH,600212.SH,600234.SH,600281.SH,600382.SH,600556.SH,600603.SH,600620.SH,600624.SH,600730.SH,600747.SH,600770.SH,600784.SH,600805.SH,600811.SH,600817.SH,600818.SH,603060.SH,603183.SH,900915.SH,000009.SZ,000409.SZ,000632.SZ,000638.SZ,000652.SZ,000839.SZ,300012.SZ,300688.SZ,600051.SH,600070.SH,600083.SH,600128.SH,600139.SH,600149.SH,600175.SH,600212.SH,600234.SH,600281.SH,600382.SH,600556.SH,600603.SH,600620.SH,600624.SH,600730.SH,600747.SH,600770.SH,600784.SH,600805.SH,600811.SH,600817.SH,600818.SH,603060.SH,603183.SH,900915.SH,000009.SZ,000409.SZ,000632.SZ,000638.SZ,000652.SZ,000839.SZ,300012.SZ,300688.SZ,600051.SH,600070.SH,600083.SH,600128.SH,600139.SH,600149.SH,600175.SH,600212.SH,600234.SH,600281.SH,600382.SH,600556.SH,600603.SH,600620.SH,600624.SH,600730.SH,600747.SH,600770.SH,600784.SH,600805.SH,600811.SH,600817.SH,600818.SH,603060.SH,603183.SH,900915.SH,000009.SZ,000409.SZ,000632.SZ,000638.SZ,000652.SZ,000839.SZ,300012.SZ,300688.SZ,600051.SH,600070.SH,600083.SH,600128.SH,600139.SH,600149.SH,600175.SH,600212.SH,600234.SH,600281.SH,600382.SH,600556.SH,600603.SH,600620.SH,600624.SH,600730.SH,600747.SH,600770.SH,600784.SH,600805.SH,600811.SH,600817.SH,600818.SH,603060.SH,603183.SH,900915.SH,000009.SZ,000409.SZ,000632.SZ,000638.SZ,000652.SZ,000839.SZ,300012.SZ,300688.SZ,600051.SH,600070.SH,600083.SH,600128.SH,600139.SH,600149.SH,600175.SH,600212.SH,600234.SH,600281.SH,600382.SH,600556.SH,600603.SH,600620.SH,600624.SH,600730.SH,600747.SH,600770.SH,600784.SH,600805.SH,600811.SH,600817.SH,600818.SH,603060.SH,603183.SH,900915.SH
2014/1/2,-0.5291,-0.5431,-0.2227,0.939,0.4348,-0.16,0,,0,0.2491,1.567,-0.2384,0.542,1.0695,4.8421,2.2508,0,-0.2336,0.2766,1.3966,0,-1,-0.5388,3.372,0,0.1189,-1.0969,-0.8204,-0.6359,5,0.9569,,,0.2445,0.9996,0.4348,0.2792,1.0609,1.0973,0.2789,,,,0.6803,0.4905,0.7003,0.9392,3.0634,1.4312,1.5545,,0.1715,3.3748,1.156,,1.9251,1.4069,1.3717,0.5199,0.9439,0.8084,1.2134,0.641,3.4102,0.4154,,,0.0842,11669074319,2167332329,2083464728,1330420000,6763200065,9781841977,2843277753,,2029104000,1472171828,1611243289,2065443975,4672483950,1871723700,6828970685,1627197137,1168112728,2196496647,2477662850,941755250,1023816499,4078862051,3185780973,2877547690,4033804632,9111282000,2686680366,9239319392,10417533588,888304558.5,3012547141,,,3012547141,40.3249,47.8023,148.3036,-110.5834,58.6097,74.972,39.865,,33.8029,12.0207,219.0914,30.0318,-87.1256,-42.5746,48.4004,76.4168,34.8028,-7.764,12.3042,43.8998,8.3162,34.4541,94.4994,29.9181,91.6922,-13.6912,28.137,7.1639,10.0066,504.7283,413.2027,,,163.2307,3.6827,5.6985,1.677,6.1334,3.2196,1.691,6.1371,,1.1411,1.7035,51.8556,1.4576,3.8141,8.0804,3.1747,1.5861,26.5096,3.2417,1.4911,1042.1096,119.0875,4.9179,5.3591,2.3664,5.385,3.918,2.7247,1.7733,1.2369,10.4119,10.7486,,,4.2461,2.8378,14.8157,0.3989,13.3698,0.672,4.5932,7.6785,,0.7187,1.3728,19.9892,0.5492,11.6092,41.749,1.3474,2.3896,111.8402,0.6929,45.4299,33.6882,21.9897,112.4803,3.3476,3.6331,9.5643,25.0352,0.4613,4.387,1.2667,24.2655,6.1645,,,2.4352
2014/1/3,-2.6596,0.156,-2.0089,-0.2326,-2.8139,0.4808,0,,0,-1.4907,-1.683,-2.8674,0.8086,-3.1746,-1.6064,-1.5723,0,-0.9368,-1.5172,1.3774,0,-2.5814,-2.0585,-2.2426,0.7916,-1.6627,-2.7726,-3.4007,-3.36,0.3861,-0.158,,,-1.7073,1.0972,0.6302,0.3611,0.835,1.3131,0.5179,,,,0.56,0.4125,1.0506,0.7439,4.0133,0.9954,1.0168,,0.3039,2.1701,1.3974,,1.3846,1.5629,0.8934,0.6146,1.0385,1.2611,2.279,1.6619,2.6216,0.4905,,,0.7297,11358726598,2170713503,2041609409,1327326000,6572893570,9828870064,2843277753,,2029104000,1450226410,1584125590,2006219775,4710266839,1812303900,6719268345,1601612277,1168112728,2175920566,2440070724,954727085.4,1023816499,3973571561,3120201516,2813015530,4065734484,8959788000,2612188304,8925114597,10067504459,891734305.8,3007787982,,,3007787982,39.2525,47.8769,145.3243,-110.3262,56.9605,75.3325,39.865,,33.8029,11.8415,215.404,29.1706,-87.8301,-41.223,47.6229,75.2153,34.8028,-7.6912,12.1175,44.5045,8.3162,33.5647,92.5541,29.2472,92.418,-13.4635,27.3568,6.9203,9.6704,506.6771,412.5499,,,160.5728,3.5848,5.7073,1.6433,6.1191,3.129,1.6992,6.1371,,1.1411,1.6781,50.9829,1.4158,3.845,7.8239,3.1237,1.5612,26.5096,3.2114,1.4685,1056.4637,119.0875,4.791,5.2488,2.3133,5.4277,3.8529,2.6491,1.713,1.1953,10.4521,10.7316,,,4.177,2.7623,14.8388,0.3909,13.3387,0.6531,4.6153,7.6785,,0.7187,1.3524,19.6528,0.5335,11.7031,40.4236,1.3258,2.352,111.8402,0.6864,44.7406,34.1522,21.9897,109.5768,3.2787,3.5517,9.64,24.619,0.4485,4.2378,1.2241,24.3592,6.1548,,,2.3956
2014/1/6,-0.8743,-3.972,-6.8337,-3.2634,-4.2316,-1.9139,0,,0,-4.6658,-3.8516,-3.813,-0.9358,-6.7395,-2.2449,-3.5144,0,-2.3641,-0.7003,-2.7174,0,-4.4931,-1.1062,-5.7351,-0.5236,0.1208,-4.5627,-3.5205,-2.8146,-2.9487,-3.8766,,,-2.4814,0.8792,0.6317,1.0025,0.7787,0.9412,0.4579,,,,1.2295,0.5748,0.9769,0.7128,4.4235,0.695,1.0977,,0.3205,2.0051,0.7518,,1.14,1.8458,1.347,0.7763,1.2733,1.3044,2.3273,0.7723,2.1979,0.4952,,,0.2198,11259415327,2084493574,1902091682,1284010000,6294753307,9640757718,2843277753,,2029104000,1382561369,1523110767,1929721850,4666186801,1690163200,6568427627,1545325583,1168112728,2124480363,2422983394,928783414.6,1023816499,3795035511,3085686013,2651685129,4044447916,8970609000,2493001005,8610909801,9784147545,865439576.3,2891188607,,,2891188607,38.9093,45.9752,135.3932,-106.7258,54.5502,73.8907,39.865,,33.8029,11.289,207.1074,28.0584,-87.0082,-38.4448,46.5538,72.572,34.8028,-7.5094,12.0326,43.2951,8.3162,32.0566,91.5303,27.5698,91.9342,-13.4798,26.1086,6.6767,9.3982,491.7366,396.5571,,,156.6396,3.5534,5.4807,1.531,5.9195,2.9966,1.6666,6.1371,,1.1411,1.5998,49.0192,1.3619,3.809,7.2966,3.0535,1.5063,26.5096,3.1355,1.4582,1027.7555,119.0875,4.5757,5.1908,2.1806,5.3992,3.8575,2.5282,1.6527,1.1617,10.1439,10.3156,,,4.0747,2.7381,14.2494,0.3642,12.9034,0.6255,4.5269,7.6785,,0.7187,1.2893,18.8959,0.5131,11.5935,37.6993,1.296,2.2694,111.8402,0.6702,44.4273,33.2242,21.9897,104.6534,3.2424,3.348,9.5896,24.6487,0.4281,4.0886,1.1896,23.6409,5.9162,,,2.3369
2014/1/7,-0.2205,-0.811,1.467,3.8554,-0.4651,0.3252,0,,0,0.5291,-0.7418,0.1279,-0.2699,3.5156,0,0.6623,0,1.2107,1.1283,-1.1173,0,1.6888,2.7964,-0.5531,-1.0526,4.9457,-0.5976,0.1972,0.6814,2.3778,-0.0823,,,-0.3817,0.4718,0.5947,0.3398,1.0987,0.6562,0.2454,,,,0.5575,0.3709,0.5921,0.532,4.1649,0.3809,0.919,,0.2704,1.1365,0.6344,,0.9194,2.5488,0.645,0.6339,2.4131,0.7125,0.8644,0.5507,2.2108,0.2516,,,0.2876,11234587509,2067587705,1929995228,1333514000,6265475385,9672109776,2843277753,,2029104000,1389876509,1511811726,1932189525,4653592505,1749583000,6568427627,1555559528,1168112728,2150200465,2450323122,918405946.3,1023816499,3859125375,3171974772,2637018729,4001874780,9414270000,2478102593,8627893844,9850819760,886018060.3,2888809027,,,2888809027,38.8235,45.6024,137.3795,-110.8405,54.2964,74.131,39.865,,33.8029,11.3487,205.571,28.0942,-86.7733,-39.7964,46.5538,73.0526,34.8028,-7.6003,12.1684,42.8114,8.3162,32.598,94.0899,27.4173,90.9664,-14.1465,25.9526,6.6898,9.4623,503.4292,396.2307,,,155.9983,3.5456,5.4362,1.5535,6.1477,2.9827,1.6721,6.1371,,1.1411,1.6083,48.6556,1.3636,3.7987,7.5531,3.0535,1.5163,26.5096,3.1734,1.4746,1016.2722,119.0875,4.653,5.3359,2.1686,5.3424,4.0483,2.5131,1.656,1.1696,10.3851,10.3071,,,4.058,2.7321,14.1338,0.3696,13.4009,0.6226,4.5417,7.6785,,0.7187,1.2961,18.7557,0.5138,11.5622,39.0246,1.296,2.2844,111.8402,0.6783,44.9286,32.853,21.9897,106.4208,3.3331,3.3294,9.4886,25.8677,0.4255,4.0967,1.1978,24.2031,5.9113,,,2.3273
2014/1/8,-1.768,-0.9812,0.241,-3.0162,-0.4673,-1.4587,0,,0,-1.3158,-2.8401,0.2554,2.1651,-2.4528,0.6263,-1.6447,0,3.3493,-0.2789,-2.8249,0,-0.3559,2.3939,-2.4472,0.5319,3.3333,0.2004,-1.1811,1.3536,-2.0645,-0.4119,,,0.3831,0.9042,0.4511,0.4454,1.0852,0.5642,0.255,,,,0.776,0.7758,0.4563,0.7072,2.785,0.4152,0.8804,,0.5595,1.5302,1.2784,,0.6724,4.1671,0.9708,0.516,2.767,0.6908,1.4595,0.6304,1.2895,0.3256,,,0.1147,11035964968,2047300663,1934645819,1293292000,6236197463,9531025516,2843277753,,2029104000,1371588660,1468875369,1937124875,4754346876,1706668700,6609566004,1529974667,1168112728,2222216748,2443488190,892462275.5,1023816499,3845391833,3247908879,2572486569,4023161348,9728079000,2483068730,8525989586,9984164190,867726074.5,2876911132,,,2876911132,38.1371,45.1549,137.7105,-107.4973,54.0427,73.0497,39.865,,33.8029,11.1994,199.7327,28.166,-88.6521,-38.8202,46.8454,71.8511,34.8028,-7.8549,12.1344,41.602,8.3162,32.482,96.3423,26.7464,91.4503,-14.618,26.0046,6.6108,9.5904,493.0358,394.5988,,,156.6909,3.4829,5.3829,1.5573,5.9622,2.9688,1.6477,6.1371,,1.1411,1.5871,47.2737,1.3671,3.8809,7.3679,3.0727,1.4914,26.5096,3.2797,1.4705,987.5639,119.0875,4.6364,5.4637,2.1155,5.3708,4.1833,2.5182,1.6364,1.1854,10.1707,10.2647,,,4.076,2.6838,13.9951,0.3704,12.9967,0.6197,4.4754,7.6785,,0.7187,1.279,18.223,0.5151,11.8126,38.0674,1.3041,2.2468,111.8402,0.701,44.8033,31.9249,21.9897,106.0421,3.4129,3.248,9.5391,26.73,0.4264,4.0483,1.214,23.7034,5.887,,,2.3377
2014/1/9,-2.2497,-3.3856,-2.1635,-2.1531,-0.4695,-0.8224,0,,0,-1.4667,-1.3846,-2.5478,2.7815,-5.029,3.112,-2.0067,0,-1.8519,0.4196,-0.5814,0,0.119,-4.0383,-0.2281,0.7937,-4.6719,-0.6,-1.3944,-2.3372,-2.7668,-0.8271,,,0,0.8208,0.6383,0.5514,0.6028,0.5658,0.3945,,,,0.5191,0.3913,0.5684,1.3475,4.3239,1.1811,0.8509,,0.2304,1.857,0.981,,1.0215,3.4864,0.6927,0.8713,2.8346,0.7411,1.406,0.5586,1.2982,0.2934,,,0.0864,10787686791,1977986603,1892790500,1265446000,6206919540,9452645372,2843277753,,2029104000,1351472026,1448537095,1887771375,4886586988,1620840100,6815257892,1499272834,1168112728,2181064586,2453740588,887273541.4,1023816499,3849969680,3116749966,2566620009,4055091200,9273597000,2468170318,8407101285,9750811438,843717843.2,2853115341,,,2853115341,37.2791,43.6261,134.7312,-105.1828,53.789,72.4489,39.865,,33.8029,11.0351,196.9672,27.4484,-91.1179,-36.868,48.3032,70.4092,34.8028,-7.7094,12.1854,41.3602,8.3162,32.5207,92.4518,26.6854,92.1761,-13.9351,25.8486,6.5186,9.3662,479.3945,391.3349,,,156.7679,3.4045,5.2006,1.5236,5.8339,2.9548,1.6341,6.1371,,1.1411,1.5638,46.6192,1.3322,3.9889,6.9973,3.1683,1.4614,26.5096,3.219,1.4767,981.8223,119.0875,4.642,5.243,2.1107,5.4134,3.9878,2.5031,1.6136,1.1577,9.8893,10.1798,,,4.078,2.6234,13.5213,0.3624,12.7168,0.6168,4.4386,7.6785,,0.7187,1.2603,17.9707,0.502,12.1411,36.153,1.3447,2.2018,111.8402,0.6881,44.9913,31.7393,21.9897,106.1683,3.2751,3.2406,9.6148,25.4812,0.4238,3.9918,1.1856,23.0476,5.8383,,,2.3388
2014/1/10,0.2301,-2.735,-2.457,-0.2445,-2.3585,-4.1459,0,,0,0,0.936,-2.7451,0.6443,-4.6843,-1.2072,-2.3891,0,-2.5943,-2.9248,-4.6784,0,0.3567,-4.9834,-0.9143,-0.7874,2.5671,-3.0181,-1.9192,1.7094,5.0136,0.834,,,0,0.8327,0.3937,0.6868,0.7577,0.5105,0.4713,,,,0.5354,0.5828,0.5425,0.8838,4.6073,0.8121,0.9196,,0.2075,1.3974,1.9966,,1.0117,1.9068,0.3964,0.5216,2.3727,0.7142,1.2757,0.7603,2.6938,0.6353,,,0.1289,10812514608,1923887824,1846284591,1262352000,6060529929,9060744652,2843277753,,2029104000,1351472026,1462095944,1835950200,4918072729,1544914800,6732981137,1463454029,1168112728,2124480363,2381973802,845763668.1,1023816499,3863703222,2961430200,2543153769,4023161348,9511659000,2393678256,8245752877,9917491975,886018060.3,2876911132,,,2876911132,37.3649,42.4329,131.4208,-104.9256,52.5204,69.4452,39.865,,33.8029,11.0351,198.8108,26.6949,-91.705,-35.141,47.7201,68.7271,34.8028,-7.5094,11.829,39.4252,8.3162,32.6367,87.8445,26.4414,91.4503,-14.2928,25.0684,6.3935,9.5263,503.4292,394.5988,,,156.5088,3.4124,5.0584,1.4861,5.8196,2.8851,1.5664,6.1371,,1.1411,1.5638,47.0555,1.2957,4.0146,6.6695,3.13,1.4265,26.5096,3.1355,1.4335,935.8891,119.0875,4.6585,4.9817,2.0914,5.3708,4.0902,2.4275,1.5826,1.1775,10.3851,10.2647,,,4.0713,2.6295,13.1515,0.3535,12.6857,0.6022,4.2546,7.6785,,0.7187,1.2603,18.1389,0.4882,12.2194,34.4595,1.3285,2.1492,111.8402,0.6702,43.6754,30.2544,21.9897,106.547,3.1119,3.2109,9.5391,26.1353,0.411,3.9152,1.2059,24.2031,5.887,,,2.3349
2014/1/13,0.5741,0.5272,2.267,0,-0.4831,-0.173,0,,0,-0.2706,1.7002,0.672,4.3534,0.8547,1.0183,-1.049,0,-0.7264,-1.2912,-0.3067,0,0.8294,1.5152,0.346,-0.5291,-5.6883,-0.2075,1.1329,-2.8571,-0.2581,0.4963,,,-0.6361,0.7036,0.3048,0.9048,0.385,0.4411,0.2526,,,,0.3332,0.5043,0.4319,1.8846,2.4481,0.8232,0.6909,,0.2438,0.8498,0.8904,,1.0291,1.8243,0.3766,0.4308,2.4923,0.5593,0.9036,0.8622,1.8873,0.5384,,,0.0987,10874584153,1934031345,1888139909,1262352000,6031252006,9045068623,2843277753,,2029104000,1347814457,1486953835,1848288575,5132175767,1558119200,6801545100,1448103113,1168112728,2109048303,2351216608,843169301,1023816499,3895748154,3006300355,2551953609,4001874780,8970609000,2388712118,8339165113,9634135062,883731562,2891188607,,,2891188607,37.5794,42.6567,134.4001,-104.9256,52.2667,69.3251,39.865,,33.8029,11.0053,202.1909,26.8743,-95.6973,-35.4413,48.2061,68.0062,34.8028,-7.4549,11.6762,39.3043,8.3162,32.9074,89.1755,26.5329,90.9664,-13.4798,25.0164,6.466,9.2541,502.13,396.5571,,,155.3654,3.432,5.085,1.5198,5.8196,2.8712,1.5637,6.1371,,1.1411,1.5596,47.8556,1.3044,4.1894,6.7266,3.1619,1.4116,26.5096,3.1127,1.415,933.0182,119.0875,4.6972,5.0572,2.0986,5.3424,3.8575,2.4225,1.6006,1.1439,10.3583,10.3156,,,4.0415,2.6446,13.2208,0.3615,12.6857,0.5993,4.2472,7.6785,,0.7187,1.2569,18.4473,0.4915,12.7513,34.754,1.342,2.1266,111.8402,0.6653,43.1114,30.1616,21.9897,107.4307,3.159,3.222,9.4886,24.6487,0.4102,3.9596,1.1714,24.1406,5.9162,,,2.3179
2014/1/14,0.1142,1.7483,2.2167,1.4706,2.4272,1.7331,0,,0,1.3569,4.5593,2.0027,0,2.1186,0.8065,3.1802,0,1.4634,2.0349,1.8462,0,4.8179,0.4592,1.4943,-0.5319,2.0507,2.2869,2.3422,1.0381,5.0453,0.4115,,,0.8963,0.649,0.5262,0.565,0.6408,0.3677,0.2478,,,,0.4973,1.341,0.4576,,2.7621,0.6066,0.6328,,0.1396,0.7895,0.5835,,2.1021,1.1304,0.4129,0.5509,1.2337,0.6888,1.1357,0.5313,2.1151,0.2866,,,0.0764,10886998061,1967843082,1929995228,1280916000,6177641618,9201828911,2843277753,,2029104000,1366102305,1554748083,1885303700,5132175767,1591130200,6856396270,1494155862,1168112728,2139912424,2399061132,858735503.5,1023816499,4083439899,3020106556,2590086249,3980588212,9154566000,2443339630,8534481608,9734143384,928318277.3,2903086502,,,2903086502,37.6223,43.4024,137.3795,-106.4686,53.5353,70.5266,39.865,,33.8029,11.1546,211.4094,27.4125,-95.6973,-36.1922,48.5948,70.1689,34.8028,-7.564,11.9138,40.0299,8.3162,34.4928,89.585,26.9293,90.4826,-13.7562,25.5885,6.6174,9.3502,527.4639,398.189,,,156.7064,3.4359,5.1739,1.5535,5.9052,2.9409,1.5908,6.1371,,1.1411,1.5807,50.0374,1.3305,4.1894,6.8691,3.1874,1.4565,26.5096,3.1582,1.4438,950.2432,119.0875,4.9235,5.0804,2.13,5.314,3.9366,2.4779,1.6381,1.1558,10.8809,10.3581,,,4.0764,2.6476,13.452,0.3696,12.8723,0.6139,4.3208,7.6785,,0.7187,1.2739,19.2884,0.5013,12.7513,35.4903,1.3528,2.1942,111.8402,0.6751,43.9887,30.7185,21.9897,112.6066,3.1735,3.2702,9.4382,25.1542,0.4195,4.0523,1.1836,25.3586,5.9406,,,2.3379
2014/1/15,2.1665,1.2887,-1.4458,-0.2415,-0.7109,0.5111,0,,0,0,-1.4535,0,0,-0.8299,4,-0.6849,0,-0.4808,2.7066,-0.6042,0,0.7848,-1.0286,0,-1.3369,2.4823,-0.6098,-0.796,0.1712,0.6158,-1.8852,,,-0.3807,0.8553,0.5441,0.4507,0.418,0.2937,0.186,,,,0.2804,0.5744,0.4843,,1.9706,1.731,0.7232,,0.0991,0.9991,0.6433,,2.0617,1.1625,0.3424,0.4793,1.2803,0.4614,0.9901,0.5658,2.1224,0.434,,,0.0877,11122862330,1993201884,1902091682,1277822000,6133724734,9248856998,2843277753,,2029104000,1366102305,1532150000,1885303700,5132175767,1577925800,7130652121,1483921918,1168112728,2129624384,2463992986,853546769.3,1023816499,4115484831,2989042603,2590086249,3927371792,9381807000,2428441218,8466545436,9750811438,934034522.9,2848356183,,,2848356183,38.4374,43.9617,135.3932,-106.2115,53.1547,70.887,39.865,,33.8029,11.1546,208.3366,27.4125,-95.6973,-35.8918,50.5386,69.6883,34.8028,-7.5276,12.2363,39.788,8.3162,34.7635,88.6636,26.9293,89.2729,-14.0977,25.4325,6.5647,9.3662,530.7118,390.6822,,,156.302,3.5103,5.2406,1.531,5.8909,2.92,1.5989,6.1371,,1.1411,1.5807,49.3101,1.3305,4.1894,6.8121,3.3149,1.4465,26.5096,3.143,1.4829,944.5015,119.0875,4.9621,5.0282,2.13,5.2429,4.0344,2.4628,1.625,1.1577,10.9479,10.1628,,,4.0659,2.7049,13.6253,0.3642,12.8412,0.6095,4.3429,7.6785,,0.7187,1.2739,19.008,0.5013,12.7513,35.1958,1.407,2.1792,111.8402,0.6718,45.1792,30.5329,21.9897,113.4902,3.1409,3.2702,9.312,25.7785,0.417,4.0201,1.1856,25.5147,5.8286,,,2.3319
