ÈÕÆÚ,000066.SZ,000977.SZ,000997.SZ,002152.SZ,002177.SZ,002180.SZ,002197.SZ,002268.SZ,002296.SZ,002308.SZ,002376.SZ,002383.SZ,002512.SZ,002528.SZ,002577.SZ,002835.SZ,002912.SZ,300042.SZ,300045.SZ,300130.SZ,300155.SZ,300177.SZ,300202.SZ,300270.SZ,300302.SZ,300333.SZ,300368.SZ,300386.SZ,300449.SZ,300455.SZ,300462.SZ,300479.SZ,300546.SZ,300771.SZ,300789.SZ,600100.SH,600800.SH,600855.SH,603019.SH,603106.SH,603496.SH,603516.SH,603660.SH,000066.SZ,000977.SZ,000997.SZ,002152.SZ,002177.SZ,002180.SZ,002197.SZ,002268.SZ,002296.SZ,002308.SZ,002376.SZ,002383.SZ,002512.SZ,002528.SZ,002577.SZ,002835.SZ,002912.SZ,300042.SZ,300045.SZ,300130.SZ,300155.SZ,300177.SZ,300202.SZ,300270.SZ,300302.SZ,300333.SZ,300368.SZ,300386.SZ,300449.SZ,300455.SZ,300462.SZ,300479.SZ,300546.SZ,300771.SZ,300789.SZ,600100.SH,600800.SH,600855.SH,603019.SH,603106.SH,603496.SH,603516.SH,603660.SH,000066.SZ,000977.SZ,000997.SZ,002152.SZ,002177.SZ,002180.SZ,002197.SZ,002268.SZ,002296.SZ,002308.SZ,002376.SZ,002383.SZ,002512.SZ,002528.SZ,002577.SZ,002835.SZ,002912.SZ,300042.SZ,300045.SZ,300130.SZ,300155.SZ,300177.SZ,300202.SZ,300270.SZ,300302.SZ,300333.SZ,300368.SZ,300386.SZ,300449.SZ,300455.SZ,300462.SZ,300479.SZ,300546.SZ,300771.SZ,300789.SZ,600100.SH,600800.SH,600855.SH,603019.SH,603106.SH,603496.SH,603516.SH,603660.SH,000066.SZ,000977.SZ,000997.SZ,002152.SZ,002177.SZ,002180.SZ,002197.SZ,002268.SZ,002296.SZ,002308.SZ,002376.SZ,002383.SZ,002512.SZ,002528.SZ,002577.SZ,002835.SZ,002912.SZ,300042.SZ,300045.SZ,300130.SZ,300155.SZ,300177.SZ,300202.SZ,300270.SZ,300302.SZ,300333.SZ,300368.SZ,300386.SZ,300449.SZ,300455.SZ,300462.SZ,300479.SZ,300546.SZ,300771.SZ,300789.SZ,600100.SH,600800.SH,600855.SH,603019.SH,603106.SH,603496.SH,603516.SH,603660.SH,000066.SZ,000977.SZ,000997.SZ,002152.SZ,002177.SZ,002180.SZ,002197.SZ,002268.SZ,002296.SZ,002308.SZ,002376.SZ,002383.SZ,002512.SZ,002528.SZ,002577.SZ,002835.SZ,002912.SZ,300042.SZ,300045.SZ,300130.SZ,300155.SZ,300177.SZ,300202.SZ,300270.SZ,300302.SZ,300333.SZ,300368.SZ,300386.SZ,300449.SZ,300455.SZ,300462.SZ,300479.SZ,300546.SZ,300771.SZ,300789.SZ,600100.SH,600800.SH,600855.SH,603019.SH,603106.SH,603496.SH,603516.SH,603660.SH,000066.SZ,000977.SZ,000997.SZ,002152.SZ,002177.SZ,002180.SZ,002197.SZ,002268.SZ,002296.SZ,002308.SZ,002376.SZ,002383.SZ,002512.SZ,002528.SZ,002577.SZ,002835.SZ,002912.SZ,300042.SZ,300045.SZ,300130.SZ,300155.SZ,300177.SZ,300202.SZ,300270.SZ,300302.SZ,300333.SZ,300368.SZ,300386.SZ,300449.SZ,300455.SZ,300462.SZ,300479.SZ,300546.SZ,300771.SZ,300789.SZ,600100.SH,600800.SH,600855.SH,603019.SH,603106.SH,603496.SH,603516.SH,603660.SH
2014/1/2,2.9024,0.3095,5.6535,6.9828,0.7353,0,1.7153,-0.7447,-0.8185,0.5051,0.5455,1.7897,1.8581,2.7692,1.6817,,,5.9365,1.2048,0,4.9321,2.1308,1.3444,2.7759,1.0638,5.4861,,,,,,,,,,0.1967,0.5484,3.1032,,,,,,1.0055,0.5937,4.1284,1.0429,1.1713,,2.4755,1.5018,1.9222,0.4835,0.9466,1.9868,3.0433,3.5544,17.4821,,,4.299,0.9036,,5.7321,3.1005,1.311,3.5146,3.5942,6.5685,,,,,,,,,,1.443,1.5037,8.0441,,,,,,5161923491,9754540926,8829908566,14753089784,2821270367,796883231.7,1739970448,4670779217,1607109185,6650630626,5124789261,1867793018,1969805628,4337658000,1197289600,,,1042172738,3648141000,974466900,1204217813,2460436249,4064256000,693528071.8,606416392.8,1470372716,,,,,,,,,,20254674291,3342211384,3796528560,,,,,,175.0647,67.4502,40.2512,21.7576,33.5363,300.1788,56.2087,124.3961,64.8329,22.038,29.2279,347.6105,48.7121,95.2923,143.686,,,285.4836,470.7243,31.8725,37.5909,51.1884,43.9985,122.1742,101.6729,42.7636,,,,,,,,,,33.0842,-117.4469,171.6112,,,,,,1.9248,9.1572,5.4534,4.4014,2.7785,3.1246,2.8616,8.6153,3.1684,3.1088,4.2074,2.4317,3.0327,2.7047,3.4221,,,2.085,8.9005,1.6951,3.4612,5.8969,11.4511,3.9215,4.1374,2.7204,,,,,,,,,,2.0917,44.6938,6.725,,,,,,0.0663,2.3095,4.7684,6.0975,4.9151,8.4947,3.9191,10.5663,11.7769,6.5501,7.7536,5.4974,7.6846,6.1495,12.0953,,,7.3163,22.2377,3.5079,7.3062,10.2498,13.8457,15.644,9.0211,11.441,,,,,,,,,,0.9888,18.5115,5.503,,,,,
2014/1/3,0.5128,2.4245,1.0932,-3.0687,10.0365,0,0.9275,-1.3934,-0.0971,-0.5025,2.8029,3.1319,3.2338,0.5988,-0.9451,,,-1.5785,-0.7937,0,5.5156,-0.9883,-0.8418,3.4727,1.8045,-1.4418,,,,,,,,,,-1.2758,-1.6364,-0.3686,,,,,,1.0908,0.988,3.5944,0.9204,10.4909,,2.6112,1.152,1.7573,0.589,1.4894,3.4598,5.9635,4.1751,21.3522,,,4.258,1.4562,,13.3149,3.9507,0.2408,6.393,4.8213,6.1346,,,,,,,,,,1.7712,1.0391,7.3607,,,,,,5188394894,9991040706,8926438061,14300364671,3104427065,796883231.7,1756108454,4605698692,1605548885,6617210371,5268431636,1926289832,2033505810,4363632000,1185974400,,,1025721708,3619187500,974466900,1270637500,2436120079,4030041600,717612004.8,617359245,1449172697,,,,,,,,,,19996273146,3287520652,3782536440,,,,,,175.9624,69.0855,40.6913,21.0899,36.9022,300.1788,56.73,122.6628,64.77,21.9273,30.0472,358.4972,50.2874,95.8629,142.3281,,,280.9772,466.9884,31.8725,39.6642,50.6825,43.6281,126.4169,103.5076,42.147,,,,,,,,,,32.6622,-115.525,170.9787,,,,,,1.9347,9.3792,5.513,4.2664,3.0574,3.1246,2.8881,8.4952,3.1654,3.0932,4.3253,2.5079,3.1308,2.7209,3.3897,,,2.0521,8.8299,1.6951,3.6521,5.8387,11.3547,4.0576,4.212,2.6812,,,,,,,,,,2.0651,43.9625,6.7002,,,,,,0.0666,2.3654,4.8206,5.9104,5.4084,8.4947,3.9554,10.419,11.7655,6.5172,7.9709,5.6696,7.9331,6.1864,11.9809,,,7.2008,22.0612,3.5079,7.7092,10.1485,13.7291,16.1873,9.1839,11.276,,,,,,,,,,0.9762,18.2086,5.4827,,,,,
2014/1/6,-2.0408,-1.2051,-5.6915,-1.608,6.136,0,-5.0125,-3.3333,5.4422,-3.6616,-2.1988,-0.8524,0,-5.9524,5.1878,,,-5.2927,-1.4,0,-3.5,-7.024,-0.6946,-5.5935,-3.1019,-4.7544,,,,,,,,,,-5.169,-3.1423,-2.0345,,,,,,0.9588,0.7904,3.2478,0.9009,21.4683,,1.8415,1.2719,9.8828,0.5383,0.8112,1.942,6.3695,2.8398,25.8742,,,3.1555,1.5769,,9.7279,3.9452,0.4834,5.1692,4.8631,4.9726,,,,,,,,,,2.0682,0.8747,6.0716,,,,,,5082509284,9870640818,8418388086,14070409058,3294914298,796883231.7,1668082967,4452175402,1692925695,6374913527,5152591011,1909869674,2033505810,4103892000,1247500800,,,971433309.7,3568518875,974466900,1226165188,2265006284,4002048000,677472116.4,598209253.6,1380272637,,,,,,,,,,18962668570,3184215936,3705579780,,,,,,172.3714,68.253,38.3753,20.7508,39.1665,300.1788,53.8864,118.574,68.2949,21.1244,29.3865,355.4413,50.2874,90.1568,149.7118,,,266.1059,460.4505,31.8725,38.276,47.1225,43.3251,119.3457,100.2969,40.1431,,,,,,,,,,30.9739,-111.8949,167.5001,,,,,,1.8952,9.2662,5.1992,4.1978,3.245,3.1246,2.7433,8.212,3.3376,2.9799,4.2302,2.4865,3.1308,2.5589,3.5656,,,1.9435,8.7062,1.6951,3.5243,5.4285,11.2758,3.8307,4.0814,2.5537,,,,,,,,,,1.9583,42.581,6.5639,,,,,,0.0653,2.3369,4.5462,5.8154,5.7403,8.4947,3.7572,10.0717,12.4058,6.2786,7.7957,5.6212,7.9331,5.8181,12.6025,,,6.8197,21.7524,3.5079,7.4393,9.4357,13.6338,15.2818,8.899,10.7399,,,,,,,,,,0.9257,17.6364,5.3712,,,,,
2014/1/7,2.8646,0,0.6639,0.6129,2.5,0,2.1108,4.1979,2.212,-2.097,4.3165,0.4836,0.8835,0.443,9.9773,,,2.9636,0.4057,0,-1.2247,1.7097,0.0518,3.95,-0.3049,3.5656,,,,,,,,,,0.8386,0.3817,0.1259,,,,,,0.7344,0.5706,2.1195,0.8667,14.4522,,1.2703,1.3659,6.6682,0.8451,1.6809,1.4949,5.8868,1.3814,25.4372,,,2.4479,1.3389,,4.4535,2.2523,0.3752,3.7016,3.3638,4.8364,,,,,,,,,,1.2882,0.5275,5.414,,,,,,5228101998,9870640818,8474273583,14156642413,3377287155,796883231.7,1703293162,4639073320,1730372900,6241232509,5375005012,1919106013,2051472528,4122073800,1371968000,,,1000222612,3582995625,974466900,1846801688,2303732037,4004121600,704232042,596385444.9,1429486966,,,,,,,,,,19121684659,3196369432,3710243820,,,,,,177.3091,68.253,38.6301,20.878,40.1457,300.1788,55.0238,123.5516,69.8056,20.6814,30.655,357.1602,50.7317,90.5562,164.6491,,,273.9922,462.3185,31.8725,37.8072,47.9282,43.3475,124.0599,99.9911,41.5745,,,,,,,,,,31.2336,-112.3219,167.7109,,,,,,1.9495,9.2662,5.2337,4.2235,3.3261,3.1246,2.8012,8.5568,3.4115,2.9174,4.4128,2.4985,3.1585,2.5702,3.9213,,,2.0011,8.7416,1.6951,3.4812,5.5214,11.2817,3.982,4.0689,2.6448,,,,,,,,,,1.9747,42.7435,6.5721,,,,,,0.0671,2.3369,4.5764,5.851,5.8838,8.4947,3.8365,10.4945,12.6802,6.1469,8.1322,5.6484,8.0032,5.8439,13.8599,,,7.0218,21.8406,3.5079,7.3482,9.597,13.6408,15.8855,8.8719,11.1229,,,,,,,,,,0.9335,17.7037,5.3779,,,,,
2014/1/8,0,5.2058,2.3981,1.0152,1.2195,0,5.0818,7.9137,-3.0207,2.4096,3.1034,1.0695,4.9363,6.6793,2.0619,,,2.3026,3.8788,0,7.2485,3.5966,2.2527,1.5833,5.474,2.8602,,,,,,,,,,1.3514,-1.1407,5.2797,,,,,,0.6152,1.5083,2.4892,0.9075,12.8238,,5.7649,5.0289,7.1733,0.7216,2.0614,2.701,11.0384,5.0331,27.0053,,,5.5439,3.9742,,5.8173,3.9255,0.812,8.3289,11.0265,7.8604,,,,,,,,,,1.3711,0.7058,9.3812,,,,,,5228101998,10384490340,8677493573,14300364671,3418473584,796883231.7,1789851557,5006194230,1678102844,6391623654,5541815512,1939631211,2152739484,4397398200,1400256000,,,1023254054,3721972425,974466900,1980666188,2386587138,4094323200,715382011,629031620.6,1470372716,,,,,,,,,,19380085803,3159908944,3906133500,,,,,,177.3091,71.8061,39.5565,21.0899,40.6352,300.1788,57.8201,133.3291,67.6969,21.1798,31.6063,360.9801,53.236,96.6047,168.0439,,,280.3012,480.2508,31.8725,40.5477,49.652,44.324,126.0241,105.4646,42.7636,,,,,,,,,,31.6557,-111.0407,176.5655,,,,,,1.9495,9.7486,5.3592,4.2664,3.3667,3.1246,2.9436,9.2339,3.3084,2.9877,4.5497,2.5252,3.3144,2.7419,4.0022,,,2.0472,9.0806,1.6951,3.7335,5.7199,11.5358,4.045,4.2917,2.7204,,,,,,,,,,2.0014,42.256,6.9191,,,,,,0.0671,2.4586,4.6861,5.9104,5.9556,8.4947,4.0314,11.325,12.2972,6.295,8.3845,5.7088,8.3982,6.2342,14.1457,,,7.1835,22.6878,3.5079,7.8809,9.9421,13.9481,16.137,9.3575,11.441,,,,,,,,,,0.9461,17.5018,5.6619,,,,,
2014/1/9,0,-2.4845,-5.7963,-5.1256,-3.7651,0,-2.459,-2.6333,-0.0465,-1.4379,-4.097,-1.8519,1.6692,-4.1347,-8.0303,,,-2.5723,-5.0953,0,-4.402,-4.5283,-3.7731,-6.7955,-4.3201,-4.8919,,,,,,,,,,-1.5385,0.5769,-6.2687,,,,,,0.8678,2.0199,3.1958,0.7556,10.0864,,3.6952,3.3601,5.2168,0.6106,1.4158,2.0733,7.5751,3.7278,20.843,,,3.6362,2.1118,,4.229,4.0715,0.7042,7.4545,7.7043,6.5226,,,,,,,,,,1.8375,1.2724,9.9089,,,,,,5228101998,10126490580,8174524098,13567381155,3289765994,796883231.7,1745838814,4874364449,1677322694,6299717954,5314767886,1903712115,2188672920,4215580200,1287811200,,,996932405.9,3532327000,974466900,1893478125,2278515268,3939840000,666768146.2,601856871,1398444081,,,,,,,,,,19081930637,3178139188,3661271400,,,,,,177.3091,70.0221,37.2637,20.009,39.1053,300.1788,56.3983,129.8181,67.6655,20.8752,30.3114,354.2953,54.1246,92.6104,154.5495,,,273.0909,455.7806,31.8725,38.7628,47.4036,42.6516,117.4601,100.9084,40.6716,,,,,,,,,,31.1687,-111.6813,165.4972,,,,,,1.9495,9.5064,5.0486,4.0477,3.2399,3.1246,2.8712,8.9908,3.3069,2.9447,4.3633,2.4785,3.3697,2.6285,3.6808,,,1.9945,8.6179,1.6951,3.5691,5.4609,11.1006,3.7701,4.1063,2.5874,,,,,,,,,,1.9706,42.4998,6.4854,,,,,,0.0671,2.3975,4.4145,5.6075,5.7313,8.4947,3.9323,11.0268,12.2914,6.2045,8.041,5.6031,8.5384,5.9765,13.0097,,,6.9987,21.5318,3.5079,7.534,9.4919,13.4218,15.0404,8.9533,10.8813,,,,,,,,,,0.9315,17.6028,5.307,,,,,
2014/1/10,-2.5316,-3.0149,-3.6669,-0.1059,-3.4429,0,0.7563,-3.5262,-5.1628,-2.9178,-2.6155,-2.0485,-5.0746,-0.2465,3.844,,,-3.7954,-4.1393,0,6.5116,-1.7391,0.3158,0.2007,0.6061,3.4109,,,,,,,,,,2.6042,-4.5889,-0.5096,,,,,,0.7258,0.9642,2.6848,0.6564,9.0017,,2.8152,1.9117,5.4005,0.4695,0.6372,2.252,6.2079,2.0439,20.6833,,,2.7793,2.1508,,8.6391,2.7372,1.2114,3.1287,4.0082,8.1694,,,,,,,,,,1.9876,1.4459,5.7552,,,,,,5095744985,9821190864,7874774613,13553008929,3176503315,796883231.7,1759042637,4702485113,1590726034,6115906555,5175759136,1864714238,2077605936,4205190600,1337315200,,,959095037.3,3386111825,974466900,2016774375,2238888915,3952281600,668106142.5,605504488.4,1446144123,,,,,,,,,,19578855914,3032297237,3642615240,,,,,,172.8202,67.911,35.8972,19.9878,37.7589,300.1788,56.8248,125.2405,64.172,20.2661,29.5186,347.0375,51.378,92.3822,160.4904,,,262.7261,436.9143,31.8725,41.2869,46.5792,42.7863,117.6958,101.52,42.0589,,,,,,,,,,31.9804,-106.5564,164.6539,,,,,,1.9002,9.2198,4.8635,4.0434,3.1284,3.1246,2.8929,8.6737,3.1361,2.8588,4.2492,2.4277,3.1987,2.6221,3.8223,,,1.9188,8.2612,1.6951,3.8015,5.3659,11.1356,3.7777,4.1312,2.6756,,,,,,,,,,2.0219,40.5495,6.4523,,,,,,0.0654,2.3252,4.2526,5.6015,5.534,8.4947,3.9621,10.638,11.6569,6.0235,7.8307,5.4883,8.1051,5.9617,13.5098,,,6.7331,20.6405,3.5079,8.0245,9.3269,13.4642,15.0706,9.0075,11.2525,,,,,,,,,,0.9558,16.795,5.2799,,,,,
2014/1/13,-3.1169,-0.7005,-0.6452,-3.7116,-0.4862,0,2.1685,-2.8034,0.2943,-0.2732,-2.7753,1.8162,-3.4591,3.5825,9.9947,,,0.4288,-1.9667,0,0.8297,1.4079,-1.8888,2.47,-1.988,4.5026,,,,,,,,,,-1.0152,-1.4028,-2.0487,,,,,,0.6237,0.6426,1.729,0.8892,5.5045,,3.5315,1.6299,3.8416,0.3452,1.4017,1.8821,4.3802,3.1666,24.418,,,1.6381,1.5603,,5.6144,1.7526,0.4001,2.8256,3.794,10.6669,,,,,,,,,,1.4199,1.0639,4.2178,,,,,,4936916570,9752390928,7823969615,13049981026,3161058404,796883231.7,1797187014,4570655332,1595406934,6099196428,5032116761,1898580815,2005739064,4355839800,1470976000,,,963207794.8,3319518775,974466900,2033507438,2270409877,3877632000,684608096.6,593467351,1511258466,,,,,,,,,,19380085803,2989760001,3567990600,,,,,,167.4336,67.4353,35.6657,19.2459,37.5754,300.1788,58.057,121.7295,64.3609,20.2108,28.6994,353.3403,49.6007,95.6917,176.531,,,263.8527,428.3217,31.8725,41.6294,47.2349,41.9782,120.6028,99.5018,43.9527,,,,,,,,,,31.6557,-105.0616,161.2808,,,,,,1.8409,9.1552,4.8321,3.8933,3.1131,3.1246,2.9557,8.4306,3.1454,2.851,4.1313,2.4718,3.088,2.716,4.2043,,,1.9271,8.0988,1.6951,3.8331,5.4415,10.9253,3.871,4.049,2.7961,,,,,,,,,,2.0014,39.9806,6.3201,,,,,,0.0634,2.3089,4.2252,5.3936,5.5071,8.4947,4.048,10.3398,11.6912,6.007,7.6134,5.588,7.8248,6.1753,14.8601,,,6.762,20.2346,3.5079,8.0911,9.4582,13.2099,15.4428,8.8285,11.7591,,,,,,,,,,0.9461,16.5594,5.1717,,,,,
2014/1/14,1.6086,3.1526,5.2597,4.2401,4.3974,0,2.5306,3.87,2.6895,3.2877,2.6703,1.2432,5.9446,5.3071,10,,,3.9283,2.7475,0,10.0043,4.284,0.8021,4.43,4.1487,1.7034,,,,,,,,,,-0.7179,1.0163,1.5686,,,,,,0.5441,0.456,2.078,0.7039,11.5938,,5.1152,1.157,2.2769,0.4823,0.884,1.9673,5.4252,5.991,26.6208,,,2.5449,1.7431,,8.3633,2.6449,1.0145,4.7594,4.0528,8.1904,,,,,,,,,,1.9997,0.738,5.0375,,,,,,5016330778,10059840642,8235490095,13603311720,3300062601,796883231.7,1842666849,4747540861,1638315189,6299717954,5166491886,1922184793,2124972738,4587008400,1618073600,,,1001045163,3410722300,974466900,2236946250,2367674561,3908736000,714936012.3,618088768.4,1537001346,,,,,,,,,,19240946725,3020143741,3623959080,,,,,,170.1269,69.5612,37.5416,20.0619,39.2277,300.1788,59.5262,126.4404,66.0918,20.8752,29.4658,357.7332,52.5493,100.7702,194.184,,,274.2175,440.0898,31.8725,45.7942,49.2585,42.3149,125.9455,103.6299,44.7014,,,,,,,,,,31.4284,-106.1293,163.8106,,,,,,1.8706,9.4438,5.0862,4.0584,3.25,3.1246,3.0305,8.7568,3.23,2.9447,4.2416,2.5025,3.2716,2.8601,4.6247,,,2.0028,8.3213,1.6951,4.2166,5.6746,11.0129,4.0425,4.217,2.8437,,,,,,,,,,1.987,40.387,6.4193,,,,,,0.0644,2.3817,4.4474,5.6223,5.7493,8.4947,4.1504,10.7399,12.0056,6.2045,7.8167,5.6575,8.2899,6.5031,16.3461,,,7.0276,20.7905,3.5079,8.9006,9.8634,13.3159,16.1269,9.1947,11.9594,,,,,,,,,,0.9393,16.7277,5.2529,,,,,
2014/1/15,0.2639,1.3037,-0.7403,3.5394,-1.5601,0,-0.3185,-0.246,0.2381,0.5305,0.8072,1.228,2.6902,0.3398,7.8671,,,0.7395,1.2733,0,4.252,1.6736,-1.061,-0.3119,2.095,-0.3448,,,,,,,,,,5.9917,0.4024,1.4801,,,,,,0.4715,0.5918,2.0391,0.9413,7.5631,,4.2435,1.5488,1.7659,0.5414,1.0786,1.8651,9.5418,4.1167,31.3687,,,3.4275,1.6406,,13.656,4.6554,0.6171,3.0903,4.9929,7.1501,,,,,,,,,,3.8178,0.7155,5.8617,,,,,,5029566479,10190990520,8174524098,14084781284,3248579565,796883231.7,1836798483,4735859742,1642215939,6333138209,5208194511,1945788770,2182139568,4602592800,1745369600,,,1008448127,3454152550,974466900,2332060500,2407300913,3867264000,712706018.5,631037810.2,1531701341,,,,,,,,,,20393813368,3032297237,3677595540,,,,,,170.5758,70.4681,37.2637,20.772,38.6157,300.1788,59.3367,126.1293,66.2492,20.986,29.7036,362.1261,53.963,101.1126,209.4608,,,276.2454,445.6937,31.8725,47.7413,50.0829,41.8659,125.5527,105.801,44.5472,,,,,,,,,,33.3115,-106.5564,166.2351,,,,,,1.8755,9.5669,5.0486,4.202,3.1993,3.1246,3.0208,8.7353,3.2377,2.9604,4.2758,2.5333,3.3596,2.8699,4.9886,,,2.0176,8.4272,1.6951,4.3959,5.7696,10.8961,4.0299,4.3054,2.8339,,,,,,,,,,2.1061,40.5495,6.5143,,,,,,0.0646,2.4128,4.4145,5.8213,5.6596,8.4947,4.1372,10.7135,12.0342,6.2374,7.8798,5.727,8.5129,6.5252,17.6321,,,7.0796,21.0552,3.5079,9.279,10.0284,13.1746,16.0766,9.3874,11.9182,,,,,,,,,,0.9956,16.795,5.3306,,,,,
