ÈÕÆÚ,000659.SZ,000695.SZ,000812.SZ,002014.SZ,002117.SZ,002191.SZ,002228.SZ,002229.SZ,002243.SZ,002303.SZ,002522.SZ,002565.SZ,002585.SZ,002599.SZ,002701.SZ,002735.SZ,002752.SZ,002787.SZ,002799.SZ,002803.SZ,002831.SZ,002836.SZ,002846.SZ,002951.SZ,300057.SZ,300501.SZ,600076.SH,600210.SH,600836.SH,601515.SH,601968.SH,603022.SH,603058.SH,603429.SH,603499.SH,603607.SH,603687.SH,000659.SZ,000695.SZ,000812.SZ,002014.SZ,002117.SZ,002191.SZ,002228.SZ,002229.SZ,002243.SZ,002303.SZ,002522.SZ,002565.SZ,002585.SZ,002599.SZ,002701.SZ,002735.SZ,002752.SZ,002787.SZ,002799.SZ,002803.SZ,002831.SZ,002836.SZ,002846.SZ,002951.SZ,300057.SZ,300501.SZ,600076.SH,600210.SH,600836.SH,601515.SH,601968.SH,603022.SH,603058.SH,603429.SH,603499.SH,603607.SH,603687.SH,000659.SZ,000695.SZ,000812.SZ,002014.SZ,002117.SZ,002191.SZ,002228.SZ,002229.SZ,002243.SZ,002303.SZ,002522.SZ,002565.SZ,002585.SZ,002599.SZ,002701.SZ,002735.SZ,002752.SZ,002787.SZ,002799.SZ,002803.SZ,002831.SZ,002836.SZ,002846.SZ,002951.SZ,300057.SZ,300501.SZ,600076.SH,600210.SH,600836.SH,601515.SH,601968.SH,603022.SH,603058.SH,603429.SH,603499.SH,603607.SH,603687.SH,000659.SZ,000695.SZ,000812.SZ,002014.SZ,002117.SZ,002191.SZ,002228.SZ,002229.SZ,002243.SZ,002303.SZ,002522.SZ,002565.SZ,002585.SZ,002599.SZ,002701.SZ,002735.SZ,002752.SZ,002787.SZ,002799.SZ,002803.SZ,002831.SZ,002836.SZ,002846.SZ,002951.SZ,300057.SZ,300501.SZ,600076.SH,600210.SH,600836.SH,601515.SH,601968.SH,603022.SH,603058.SH,603429.SH,603499.SH,603607.SH,603687.SH,000659.SZ,000695.SZ,000812.SZ,002014.SZ,002117.SZ,002191.SZ,002228.SZ,002229.SZ,002243.SZ,002303.SZ,002522.SZ,002565.SZ,002585.SZ,002599.SZ,002701.SZ,002735.SZ,002752.SZ,002787.SZ,002799.SZ,002803.SZ,002831.SZ,002836.SZ,002846.SZ,002951.SZ,300057.SZ,300501.SZ,600076.SH,600210.SH,600836.SH,601515.SH,601968.SH,603022.SH,603058.SH,603429.SH,603499.SH,603607.SH,603687.SH,000659.SZ,000695.SZ,000812.SZ,002014.SZ,002117.SZ,002191.SZ,002228.SZ,002229.SZ,002243.SZ,002303.SZ,002522.SZ,002565.SZ,002585.SZ,002599.SZ,002701.SZ,002735.SZ,002752.SZ,002787.SZ,002799.SZ,002803.SZ,002831.SZ,002836.SZ,002846.SZ,002951.SZ,300057.SZ,300501.SZ,600076.SH,600210.SH,600836.SH,601515.SH,601968.SH,603022.SH,603058.SH,603429.SH,603499.SH,603607.SH,603687.SH
2014/1/2,-0.7194,-1.6064,1.699,2.0761,1.6205,2.2431,-0.6107,2.6567,1.4041,-0.6783,2.439,0.6979,0.1741,-0.2564,1.8291,,,,,,,,,,3.8095,,-1.7241,-1.2308,-0.2326,1.5885,,,,,,,,0.7989,0.7085,0.906,2.4789,2.1288,1.7509,0.3957,8.5593,0.8186,0.426,1.6526,2.869,2.6069,1.8807,2.7198,,,,,,,,,,1.5096,,1.8963,0.3804,0.877,2.8147,,,,,,,,3548538955,1629651842,1869787982,2853436390,4523909781,9071460000,2262251040,2703692756,1635328214,3163903518,1274784000,3697408000,1197040000,490140000,5811206400,,,,,,,,,,2904244022,,1666844160,4611923067,2690373758,2219523000,,,,,,,,-3.1955,501.1504,25.8634,16.3554,35.1012,19.0271,23.9002,91.54,38.8426,36.0948,34.2571,30.6935,53.1795,80.6266,19.4792,,,,,,,,,,35.051,,31.999,20.2347,252.7124,20.7485,,,,,,,,3.2913,5.1789,2.2945,1.9444,3.8351,3.0948,2.3622,5.3202,1.5965,3.1995,2.3617,3.7817,1.306,2.6431,3.6418,,,,,,,,,,3.1819,,12.0695,1.2613,6.2612,6.1173,,,,,,,,1.2693,2.241,2.9418,1.7813,4.9257,4.2459,0.9264,6.3198,2.0889,4.8122,4.9549,3.7794,1.9506,2.8883,2.6168,,,,,,,,,,2.4875,,121.9566,0.5346,1.4032,8.0922,,,,,,,
2014/1/3,-2.1739,-2.3129,1.6706,-0.904,0.9967,-1.3447,-0.1536,-1.7916,-1.2308,0.2846,-0.1361,-0.0495,2.0851,-0.7712,0.6415,,,,,,,,,,1.6681,,1.9737,-2.8037,-2.5641,-1.1442,,,,,,,,0.7482,0.708,1.7958,1.3661,2.802,1.0656,0.4548,9.9717,0.4666,0.6114,1.6104,2.5867,4.7901,1.4648,3.0979,,,,,,,,,,1.9451,,2.2876,0.4338,1.1365,3.2833,,,,,,,,3471396804,1591959214,1901025490,2827642615,4568998582,8949480000,2258776000,2655252342,1615201098,3172907228,1273049600,3695577600,1222000000,486360000,5848486400,,,,,,,,,,2952688460,,1699742400,4482616813,2621389815,2194128000,,,,,,,,-3.126,489.5592,26.2955,16.2076,35.451,18.7713,23.8635,89.8999,38.3645,36.1975,34.2104,30.6783,54.2884,80.0048,19.6041,,,,,,,,,,35.6357,,32.6305,19.6674,246.2326,20.5111,,,,,,,,3.2197,5.0591,2.3328,1.9268,3.8734,3.0532,2.3585,5.2248,1.5769,3.2086,2.3584,3.7799,1.3332,2.6227,3.6652,,,,,,,,,,3.235,,12.3077,1.226,6.1007,6.0473,,,,,,,,1.2417,2.1892,2.991,1.7652,4.9748,4.1888,0.9249,6.2065,2.0632,4.8259,4.9481,3.7775,1.9913,2.866,2.6336,,,,,,,,,,2.529,,124.3636,0.5197,1.3672,7.9996,,,,,,,
2014/1/6,-1.8519,-5.0139,-2.5822,-2.6226,-2.6316,-0.6456,-2.3077,2.9054,-2.4922,3.5755,-1.0218,-1.6345,-5.1064,-3.2815,0.0255,,,,,,,,,,-2.5431,,-5.1613,-2.8846,-2.9904,-1.1188,,,,,,,,0.5921,1.0955,0.9162,1.1624,2.0071,1.5207,0.3167,9.2954,0.5306,1.7197,0.8965,1.4939,4.559,1.934,4.904,,,,,,,,,,1.68,,1.6032,0.5018,0.8892,1.5464,,,,,,,,3407111678,1512139532,1851937977,2753485511,4448761778,8891700000,2206650400,2732398187,1574946865,3286353968,1260041600,3635174400,1159600000,470400000,5849977600,,,,,,,,,,2877599582,,1612013760,4353310559,2542998971,2169579500,,,,,,,,-3.0681,465.0131,25.6165,15.7825,34.5181,18.6501,23.3128,92.5119,37.4084,37.4917,33.8609,30.1769,51.5162,77.3794,19.6091,,,,,,,,,,34.7295,,30.9464,19.1001,238.8692,20.2816,,,,,,,,3.1601,4.8055,2.2726,1.8763,3.7714,3.0334,2.3041,5.3767,1.5376,3.3233,2.3343,3.7181,1.2652,2.5366,3.6661,,,,,,,,,,3.1527,,11.6725,1.1906,5.9182,5.9796,,,,,,,,1.2187,2.0794,2.9137,1.7189,4.8439,4.1618,0.9036,6.3869,2.0118,4.9985,4.8975,3.7158,1.8896,2.7719,2.6342,,,,,,,,,,2.4647,,117.9448,0.5047,1.3263,7.9101,,,,,,,
2014/1/7,0.3774,0.4399,-0.7229,2.8103,6.0135,3.0325,-0.315,-3.1517,0.3195,0.6575,-0.5506,5.136,0.8072,0.8929,-0.0255,,,,,,,,,,-0.9259,,-2.4943,0.6601,0.8631,4.1748,,,,,,,,0.3733,0.6818,0.584,1.0928,2.9682,1.2279,0.2007,7.4083,0.4112,1.4933,2.439,2.4448,2.5614,0.9013,2.1466,,,,,,,,,,1.1059,,1.0521,0.297,0.6324,2.7836,,,,,,,,3419968703,1518791172,1838550474,2830866837,4716288668,9161340000,2199700320,2646281895,1579978644,3307962870,1253104000,3821875200,1168960000,474600000,5848486400,,,,,,,,,,2850955141,,1571804800,4382045282,2564948408,2260155000,,,,,,,,-3.0797,467.0586,25.4314,16.2261,36.5938,19.2156,23.2394,89.5962,37.5279,37.7383,33.6744,31.7268,51.932,78.0703,19.6041,,,,,,,,,,34.4079,,30.1745,19.2261,240.9309,21.1283,,,,,,,,3.172,4.8266,2.2562,1.929,3.9982,3.1254,2.2969,5.2072,1.5425,3.3452,2.3215,3.9091,1.2754,2.5593,3.6652,,,,,,,,,,3.1235,,11.3814,1.1985,5.9693,6.2293,,,,,,,,1.2233,2.0886,2.8927,1.7672,5.1351,4.288,0.9007,6.1856,2.0182,5.0313,4.8706,3.9066,1.9049,2.7967,2.6336,,,,,,,,,,2.4419,,115.0029,0.508,1.3378,8.2403,,,,,,,
2014/1/8,0,-0.8759,0.2427,-0.2278,2.5494,-0.9811,0,2.9153,4.7771,-2.123,1.7301,2.2031,-0.5338,1.7699,3.5186,,,,,,,,,,7.3917,,1.6279,-0.6557,-1.467,0.2622,,,,,,,,0.6052,0.7103,0.5021,1.0198,2.5395,1.3473,0.247,10.7938,1.6982,1.1343,1.8081,2.8344,2.1139,1.4883,4.3593,,,,,,,,,,3.8266,,0.7509,0.3869,0.7054,2.7428,,,,,,,,3419968703,1505487892,1843012975,2824418393,4836525473,9071460000,2199700320,2723427740,1655455330,3237733936,1274784000,3906073600,1162720000,483000000,6054272000,,,,,,,,,,3061688444,,1597392320,4353310559,2527320803,2266080500,,,,,,,,-3.0797,462.9675,25.4931,16.1891,37.5268,19.0271,23.2394,92.2081,39.3207,36.9371,34.2571,32.4257,51.6548,79.4521,20.2939,,,,,,,,,,36.9512,,30.6657,19.1001,237.3965,21.1837,,,,,,,,3.172,4.7843,2.2616,1.9246,4.1002,3.0948,2.2969,5.359,1.6162,3.2742,2.3617,3.9952,1.2686,2.6046,3.7941,,,,,,,,,,3.3544,,11.5666,1.1906,5.8818,6.2456,,,,,,,,1.2233,2.0703,2.8997,1.7632,5.2661,4.2459,0.9007,6.3659,2.1146,4.9245,4.9549,3.9927,1.8947,2.8462,2.7262,,,,,,,,,,2.6224,,116.8751,0.5047,1.3181,8.2619,,,,,,,
2014/1/9,0,2.5037,0.2421,-2.0548,-2.9211,0.92,-1.4218,-2.2398,-2.5836,3.4483,1.9728,-1.359,-5.0984,0.8696,-2.9557,,,,,,,,,,-3.2437,,0.9153,-1.3201,-0.2481,-3.2126,,,,,,,,0.9167,1.2858,1.1783,0.8488,1.9448,1.5177,0.2589,11.3498,0.8283,1.7401,2.2499,1.4107,2.8867,5.8039,2.7074,,,,,,,,,,2.2969,,0.9043,0.3721,0.7732,1.394,,,,,,,,3419968703,1543180519,1847475476,2766382399,4695247227,9154920000,2168424960,2662428699,1612685208,3349379934,1299932800,3852992000,1103440000,487200000,5875328000,,,,,,,,,,2962377347,,1612013760,4295841112,2521049535,2193281500,,,,,,,,-3.0797,474.5588,25.5548,15.8565,36.4306,19.2022,22.9089,90.1429,38.3048,38.2108,34.9329,31.9851,49.0213,80.1429,19.6941,,,,,,,,,,35.7526,,30.9464,18.8479,236.8074,20.5032,,,,,,,,3.172,4.9041,2.2671,1.8851,3.9804,3.1232,2.2642,5.239,1.5744,3.3871,2.4082,3.9409,1.2039,2.6272,3.682,,,,,,,,,,3.2456,,11.6725,1.1749,5.8672,6.045,,,,,,,,1.2233,2.1221,2.9067,1.727,5.1122,4.285,0.8879,6.2233,2.06,5.0943,5.0526,3.9384,1.7981,2.8709,2.6457,,,,,,,,,,2.5373,,117.9448,0.498,1.3149,7.9965,,,,,,,
2014/1/10,-0.3759,0.2874,-2.4155,-0.2331,0.7042,-4.6283,-2.5641,-6.3342,1.092,1.7204,0,-2.5653,-1.131,-1.2931,1.0914,,,,,,,,,,-4.5789,,-3.4014,-1.3378,1.3682,-0.5789,,,,,,,,0.5468,0.7249,0.884,0.7269,1.4672,1.5305,0.3014,8.3794,0.8151,1.4678,,1.4168,2.2229,3.4304,3.21,,,,,,,,,,2.0411,,0.5903,0.3697,1.0308,0.8372,,,,,,,,3407111678,1547614946,1802850465,2759933955,4728312349,8731200000,2112824320,2493784294,1630296435,3407003675,1299932800,3754150400,1090960000,480900000,5939449600,,,,,,,,,,2826732922,,1557183360,4238371666,2555541506,2180584000,,,,,,,,-3.0681,475.9224,24.9375,15.8195,36.6871,18.3134,22.3215,84.433,38.7231,38.8681,34.9329,31.1645,48.4668,79.1066,19.909,,,,,,,,,,34.1156,,29.8938,18.5958,240.0473,20.3845,,,,,,,,3.1601,4.9182,2.2124,1.8807,4.0084,2.9787,2.2061,4.9071,1.5916,3.4454,2.4082,3.8398,1.1903,2.5933,3.7222,,,,,,,,,,3.097,,11.2755,1.1592,5.9474,6.01,,,,,,,,1.2187,2.1282,2.8365,1.7229,5.1482,4.0867,0.8652,5.8291,2.0825,5.182,5.0526,3.8374,1.7778,2.8338,2.6745,,,,,,,,,,2.4212,,113.9331,0.4913,1.3329,7.9502,,,,,,,
2014/1/13,-4.5283,3.2951,-1.9802,-1.7523,4.5772,-1.6176,0.8224,-4.8921,2.1605,-3.9641,0,1.4139,1.3346,-0.786,4.5945,,,,,,,,,,0.9426,,-1.8779,-0.678,-0.9816,1.7081,,,,,,,,0.7098,1.7756,1.0577,0.8469,2.297,1.0689,0.4113,7.8785,1.1536,1.2022,,1.2288,1.2547,2.3019,4.2218,,,,,,,,,,1.099,,0.4798,0.2607,0.6425,1.3778,,,,,,,,3252827376,1598610854,1767150455,2711570626,4944738597,8589960000,2130199520,2371786213,1665518889,3271948032,1299932800,3807232000,1105520000,477120000,6212339200,,,,,,,,,,2853377363,,1527940480,4209636943,2530456436,2217830000,,,,,,,,-2.9292,491.6047,24.4437,15.5423,38.3664,18.0172,22.5051,80.3025,39.5597,37.3274,34.9329,31.6052,49.1137,78.4848,20.8238,,,,,,,,,,34.4371,,29.3324,18.4697,237.691,20.7327,,,,,,,,3.017,5.0803,2.1685,1.8477,4.1919,2.9305,2.2243,4.6671,1.626,3.3088,2.4082,3.8941,1.2062,2.5729,3.8932,,,,,,,,,,3.1262,,11.0637,1.1513,5.8891,6.1126,,,,,,,,1.1635,2.1984,2.7803,1.6927,5.3839,4.0206,0.8723,5.5439,2.1275,4.9766,5.0526,3.8917,1.8015,2.8115,2.7974,,,,,,,,,,2.444,,111.7935,0.488,1.3198,8.086,,,,,,,
2014/1/14,2.3715,0.8322,2.0202,1.9025,10.0304,2.7653,0.9788,4.3873,0.1511,-0.9356,0,2.9327,2.1637,0.5282,0.9121,,,,,,,,,,4.0747,,3.11,1.7065,2.1066,0.8015,,,,,,,,0.7482,1.3559,0.4905,0.8269,3.4496,1.2728,0.3168,7.8004,0.9475,1.2605,,1.1669,1.5698,2.7485,3.2884,,,,,,,,,,1.2444,,0.8022,0.3047,0.5852,1.1545,,,,,,,,3329969527,1611914135,1802850465,2763158177,5440240292,8827500000,2151049760,2475843400,1668034778,3241335420,1299932800,3918886400,1129440000,479640000,6269004800,,,,,,,,,,2969644013,,1575460160,4281473751,2583762210,2235606500,,,,,,,,-2.9987,495.6957,24.9375,15.838,42.2147,18.5154,22.7254,83.8256,39.6195,36.9782,34.9329,32.5321,50.1763,78.8993,21.0137,,,,,,,,,,35.8403,,30.2447,18.7849,242.6981,20.8988,,,,,,,,3.0885,5.1225,2.2124,1.8829,4.6124,3.0115,2.2461,4.8718,1.6284,3.2778,2.4082,4.0083,1.2323,2.5865,3.9287,,,,,,,,,,3.2536,,11.4078,1.171,6.0131,6.1616,,,,,,,,1.1911,2.2167,2.8365,1.7249,5.9239,4.1317,0.8808,5.7872,2.1307,4.93,5.0526,4.0058,1.8405,2.8264,2.8229,,,,,,,,,,2.5436,,115.2704,0.4963,1.3476,8.1508,,,,,,,
2014/1/15,-1.1583,0.4127,1.2376,2.217,1.326,0,0.1616,10,-0.905,7.7778,0,-3.1294,-1.2891,3.2399,-0.9753,,,,,,,,,,1.1419,,1.1601,-0.3356,-0.6068,0.1136,,,,,,,,0.3958,0.8515,0.6428,1.1204,2.7908,0.8643,0.2301,13.4105,0.686,2.3612,,1.6382,2.0874,8.355,2.3574,,,,,,,,,,1.7221,,0.721,0.253,0.5861,0.7195,,,,,,,,3291398451,1618565775,1825162970,2824418393,5512376075,8827500000,2154524800,2723427740,1652939441,3493439286,1299932800,3796249600,1114880000,495180000,6207865600,,,,,,,,,,3003555119,,1593736960,4267106389,2568084041,2238146000,,,,,,,,-2.9639,497.7412,25.2462,16.1891,42.7719,18.5154,22.7621,92.2081,39.2609,39.8542,34.9329,31.514,49.5295,81.4556,20.8088,,,,,,,,,,36.2496,,30.5955,18.7219,241.2254,20.9226,,,,,,,,3.0528,5.1437,2.2397,1.9246,4.6732,3.0115,2.2497,5.359,1.6137,3.5328,2.4082,3.8828,1.2164,2.6703,3.8904,,,,,,,,,,3.2907,,11.5402,1.167,5.9766,6.1686,,,,,,,,1.1773,2.2258,2.8716,1.7632,6.0021,4.1317,0.8822,6.3659,2.1114,5.3135,5.0526,3.8804,1.8167,2.918,2.7954,,,,,,,,,,2.5726,,116.6076,0.4947,1.3394,8.1601,,,,,,,
