ÈÕÆÚ,000488.SZ,000815.SZ,002012.SZ,002067.SZ,002078.SZ,002235.SZ,002511.SZ,002521.SZ,200488.SZ,200986.SZ,600069.SH,600103.SH,600235.SH,600308.SH,600356.SH,600433.SH,600567.SH,600793.SH,600963.SH,600966.SH,603165.SH,603733.SH,603863.SH,000488.SZ,000815.SZ,002012.SZ,002067.SZ,002078.SZ,002235.SZ,002511.SZ,002521.SZ,200488.SZ,200986.SZ,600069.SH,600103.SH,600235.SH,600308.SH,600356.SH,600433.SH,600567.SH,600793.SH,600963.SH,600966.SH,603165.SH,603733.SH,603863.SH,000488.SZ,000815.SZ,002012.SZ,002067.SZ,002078.SZ,002235.SZ,002511.SZ,002521.SZ,200488.SZ,200986.SZ,600069.SH,600103.SH,600235.SH,600308.SH,600356.SH,600433.SH,600567.SH,600793.SH,600963.SH,600966.SH,603165.SH,603733.SH,603863.SH,000488.SZ,000815.SZ,002012.SZ,002067.SZ,002078.SZ,002235.SZ,002511.SZ,002521.SZ,200488.SZ,200986.SZ,600069.SH,600103.SH,600235.SH,600308.SH,600356.SH,600433.SH,600567.SH,600793.SH,600963.SH,600966.SH,603165.SH,603733.SH,603863.SH,000488.SZ,000815.SZ,002012.SZ,002067.SZ,002078.SZ,002235.SZ,002511.SZ,002521.SZ,200488.SZ,200986.SZ,600069.SH,600103.SH,600235.SH,600308.SH,600356.SH,600433.SH,600567.SH,600793.SH,600963.SH,600966.SH,603165.SH,603733.SH,603863.SH,000488.SZ,000815.SZ,002012.SZ,002067.SZ,002078.SZ,002235.SZ,002511.SZ,002521.SZ,200488.SZ,200986.SZ,600069.SH,600103.SH,600235.SH,600308.SH,600356.SH,600433.SH,600567.SH,600793.SH,600963.SH,600966.SH,603165.SH,603733.SH,603863.SH
2014/1/2,-0.6383,-4.6185,2.0913,-0.4608,2.349,4.524,1.0248,2.6616,0,0,0.7335,0.4329,0.1634,0,-0.1773,-0.188,0,-0.3984,0.3096,-2.2449,,,,0.1451,4.8982,1.6133,0.4524,0.3629,5.3291,0.5695,1.5533,0.2056,0.13,0.276,0.319,0.3651,0.1997,0.396,1.1522,0.4399,0.2195,0.4365,0.7349,,,,5160874147,1499004630,2511148774,2074736160,6129314123,1169682240,3681124775,2442903624,5160874147,,3400541473,2463472512,1614642000,3304198816,1420607805,11748693600,3161871142,1053000000,2731835640,2417127506,,,,12.9816,-6.3453,172.5243,182.9135,24.6465,225.2399,31.8364,18.0328,8.3963,21.2705,-12.2037,142.88,124.9154,55.5637,19.2751,82.174,38.2363,145.1755,174.4825,-13.2313,,,,0.6571,3.3745,2.2425,0.8197,1.3778,4.8589,1.6172,1.4943,0.425,0.9721,2.1575,1.8321,1.534,0.5277,0.9269,7.5493,1.3496,32.0689,0.6295,0.835,,,,0.4525,2.7202,2.5628,0.782,0.6439,3.9007,1.4754,1.6157,0.2927,0.4198,0.9674,1.3616,1.7143,0.3391,0.936,13.3661,1.2083,99.8751,0.5114,0.4229,,,
2014/1/3,-1.9272,-5.0526,-0.1862,0.463,0.1639,-0.6312,-0.5917,0.3704,-0.5208,-1.182,-0.9709,-0.8621,-0.6525,-1.4134,-0.7105,-3.2957,-1.4218,-0.8,-1.2346,0,,,,0.2807,2.2595,2.8344,0.6852,0.2911,4.7264,0.5286,1.3016,0.2072,0.1495,0.1832,0.2256,0.2802,0.3343,0.4528,1.592,0.552,0.1712,0.5374,0.3075,,,,5061414045,1423265448,2506472519,2084341420,6139362179,1162299214,3659342971,2451951415,5061414045,,3367526508,2442235680,1604106000,3257496359,1410514677,11361495600,3116915628,1044576000,2698109274,2417127506,,,,12.7314,-6.0247,172.203,183.7604,24.6869,223.8181,31.648,18.0995,8.3591,21.0357,-12.0852,141.6482,124.1003,54.7783,19.1382,79.4658,37.6927,144.0141,172.3284,-13.2313,,,,0.6444,3.204,2.2383,0.8235,1.3801,4.8282,1.6076,1.4998,0.4231,0.9614,2.1366,1.8163,1.524,0.5202,0.9203,7.3005,1.3304,31.8123,0.6217,0.835,,,,0.4438,2.5828,2.5581,0.7857,0.6449,3.876,1.4666,1.6217,0.2914,0.4151,0.9581,1.3499,1.7031,0.3343,0.9293,12.9256,1.1911,99.0761,0.505,0.4229,,,
2014/1/6,-2.6201,-1.1086,0.3731,-2.3041,1.1457,2.3593,-4.5918,-2.46,-1.5707,-3.8278,-3.9216,-2.6087,-3.7767,-3.2258,-2.1467,-3.1159,-2.4038,-2.1169,-5.9375,-4.1754,,,,0.3229,1.4374,3.6249,0.8808,0.6717,6.0523,0.6491,0.9481,0.2017,0.4029,0.4218,0.3335,1.0243,0.412,0.3567,1.1664,0.7241,0.164,1.2028,0.6897,,,,4928800577,1407486452,2515825029,2036315120,6209698571,1189721881,3491311916,2391632807,4928800577,,3235466644,2378525184,1543524000,3152415831,1380235292,11007486000,3041989772,1022463000,2537909035,2316203601,,,,12.3979,-5.9579,172.8455,179.5262,24.9697,229.0988,30.1948,17.6543,8.2301,20.2361,-11.6113,137.9531,119.4135,53.0113,18.7273,76.9898,36.7866,140.9654,162.0964,-12.6788,,,,0.6275,3.1685,2.2467,0.8045,1.3959,4.9421,1.5338,1.4629,0.4166,0.9248,2.0528,1.7689,1.4664,0.5035,0.9005,7.073,1.2984,31.1389,0.5848,0.8002,,,,0.4321,2.5542,2.5676,0.7676,0.6523,3.9675,1.3993,1.5818,0.2869,0.3994,0.9205,1.3147,1.6388,0.3236,0.9094,12.5228,1.1625,96.9787,0.4751,0.4053,,,
2014/1/7,0,-1.7937,-0.5576,0,-0.8091,-0.7092,0.2674,0.3783,-0.266,0.995,0,0,2.3891,0.3704,-0.5484,2.2111,-0.4926,0.5149,0.3322,-0.2179,,,,0.1592,1.0938,2.8272,0.6814,0.2511,6.979,0.3597,0.7407,0.09,0.1459,0.1731,0.1974,0.6131,0.2199,0.4573,1.0252,0.5048,0.0979,0.4702,0.6637,,,,4928800577,1382240058,2501796265,2036315120,6159458291,1181284138,3500646975,2400680598,4928800577,,3235466644,2378525184,1580400000,3164091445,1372665446,11250867600,3027004601,1027728000,2546340627,2311157406,,,,12.3979,-5.8511,171.8817,179.5262,24.7677,227.474,30.2755,17.7211,8.2056,20.431,-11.6113,137.9531,122.2663,53.2076,18.6246,78.6921,36.6054,141.6913,162.635,-12.6512,,,,0.6275,3.1117,2.2342,0.8045,1.3846,4.907,1.5379,1.4685,0.4153,0.9337,2.0528,1.7689,1.5015,0.5053,0.8956,7.2294,1.292,31.2992,0.5868,0.7984,,,,0.4321,2.5084,2.5533,0.7676,0.647,3.9393,1.403,1.5877,0.286,0.4032,0.9205,1.3147,1.6779,0.3248,0.9044,12.7997,1.1568,97.4781,0.4766,0.4044,,,
2014/1/8,-2.0179,-2.7397,0.1869,-0.9434,-0.4894,1.1607,-1.1556,2.7638,0,0.4926,-0.7653,0,1.6667,0,-0.5515,10.0295,-0.9901,-0.9221,1.3245,-1.31,,,,0.4886,1.2525,4.052,0.6438,0.373,4.9339,0.5013,1.7908,0.1189,0.13,0.3171,0.2247,0.8246,0.2035,0.2217,4.805,0.7933,0.1669,0.8079,0.5633,,,,4829340476,1344370468,2506472519,2017104600,6129314123,1194995471,3460195054,2467031067,4829340476,,3210705420,2378525184,1606740000,3164091445,1365095600,12379273200,2997034258,1018251000,2580066993,2280880235,,,,12.1477,-5.6908,172.203,177.8326,24.6465,230.1143,29.9257,18.2109,8.211,20.5452,-11.5225,137.9531,124.3041,53.2076,18.5219,86.5845,36.243,140.3847,164.7891,-12.4855,,,,0.6149,3.0264,2.2383,0.7969,1.3778,4.964,1.5201,1.5091,0.4156,0.9389,2.0371,1.7689,1.5265,0.5053,0.8907,7.9544,1.2793,31.0106,0.5945,0.788,,,,0.4234,2.4396,2.5581,0.7603,0.6439,3.9851,1.3868,1.6316,0.2862,0.4055,0.9134,1.3147,1.7059,0.3248,0.8994,14.0835,1.1453,96.5792,0.4829,0.3991,,,
2014/1/9,-2.0595,-3.2864,-1.6791,-2.8571,-3.7705,-2.7361,-0.2698,-2.934,0.2667,0.2451,-1.5424,-2.2321,0.1639,-1.476,0.1848,-2.5916,-1.5,-1.9648,-1.9608,-2.6549,,,,0.2768,1.282,2.6579,0.876,0.512,5.1922,0.3566,1.2327,0.1008,0.0984,0.4499,0.3039,0.6704,0.1936,0.471,3.3709,0.6149,0.1043,0.6483,0.991,,,,4729880374,1300189279,2464386227,1959473040,5898208837,1162299214,3450859996,2394648738,4729880374,,3161182972,2325433104,1609374000,3117388989,1367618882,12058452000,2952078744,998244000,2529477444,2220325892,,,,11.8975,-5.5037,169.3115,172.7517,23.7172,223.8181,29.8449,17.6766,8.2368,20.6052,-11.3447,134.8738,124.5079,52.4223,18.5562,84.3406,35.6993,137.6264,161.5579,-12.154,,,,0.6022,2.9269,2.2007,0.7741,1.3259,4.8282,1.516,1.4648,0.4169,0.9417,2.0057,1.7294,1.529,0.4979,0.8923,7.7483,1.2601,30.4013,0.5829,0.767,,,,0.4147,2.3595,2.5151,0.7386,0.6196,3.876,1.3831,1.5838,0.2871,0.4066,0.8994,1.2853,1.7087,0.32,0.9011,13.7185,1.1281,94.6816,0.4735,0.3885,,,
2014/1/10,-1.1682,-0.9709,-2.6565,-1.9608,-3.5775,-6.0799,-4.5086,-2.6448,-2.1277,-0.489,-2.8721,-1.3699,1.473,-1.1236,-1.2915,1.6514,-1.5228,-2.4262,-0.3333,0.6818,,,,0.2419,0.9705,1.421,0.8727,0.4152,4.5572,0.8948,1.0191,0.1978,0.0957,0.4767,0.3827,1.3167,0.2718,0.3158,2.7452,0.7711,0.2561,0.5489,0.2949,,,,4674624763,1287566082,2398918661,1921052000,5687199662,1091633109,3295275686,2331314199,4674624763,,3070391816,2293577856,1633080000,3082362146,1349955907,12257582400,2907123230,974025000,2521045853,2235464478,,,,11.7585,-5.4503,164.8137,169.3644,22.8687,210.2103,28.4994,17.209,8.0483,20.4707,-11.0189,133.0262,126.3419,51.8333,18.3165,85.7333,35.1557,134.2873,161.0194,-12.2369,,,,0.5952,2.8985,2.1423,0.759,1.2784,4.5346,1.4477,1.426,0.4074,0.9355,1.9481,1.7057,1.5515,0.4923,0.8808,7.8762,1.2409,29.6637,0.5809,0.7723,,,,0.4098,2.3365,2.4483,0.7241,0.5974,3.6404,1.3207,1.5419,0.2805,0.404,0.8735,1.2677,1.7339,0.3164,0.8894,13.945,1.1109,92.3845,0.4719,0.3911,,,
2014/1/13,-0.9456,-1.2255,1.5595,0.5,10.0707,-2.4155,-0.0944,0.1294,0,-0.9828,-0.2688,0.463,0.6452,0.7576,-0.7477,-2.3466,-1.0309,-2.0541,0,-0.6772,,,,0.2869,0.9847,3.1597,0.6533,0.6369,3.28,0.4752,0.6775,0.177,0.0911,0.1937,0.2286,1.065,0.2268,0.1555,1.8936,0.5887,0.1873,0.4776,0.2269,,,,4630420273,1271787086,2436328699,1930657260,6259938851,1065265160,3292164000,2334330130,4630420273,,3062138074,2304196272,1643616000,3105713375,1339862779,11969949600,2877152888,954018000,2521045853,2220325892,,,,11.6473,-5.3835,167.3839,170.2112,25.1718,205.1328,28.4725,17.2313,8.0406,20.2502,-10.9893,133.642,127.157,52.2259,18.1796,83.7215,34.7933,131.529,161.0194,-12.154,,,,0.5896,2.863,2.1757,0.7628,1.4072,4.4251,1.4463,1.4279,0.407,0.9255,1.9428,1.7136,1.5615,0.496,0.8742,7.6914,1.2281,29.0544,0.5809,0.767,,,,0.406,2.3079,2.4865,0.7277,0.6576,3.5524,1.3195,1.5439,0.2803,0.3996,0.8712,1.2736,1.745,0.3188,0.8828,13.6178,1.0995,90.4869,0.4719,0.3885,,,
2014/1/14,1.1933,3.7221,1.7274,1.4925,6.5811,6.9307,1.6068,2.4548,1.087,0.9926,1.3477,2.3041,1.9231,1.1278,0.7533,1.2939,2.0833,1.8764,2.6756,1.1364,,,,0.4406,1.0669,3.1669,0.5979,1.4959,4.497,0.7215,0.5661,0.2157,0.102,0.1912,0.3714,0.9007,0.2776,0.2077,1.8537,0.8028,0.2598,0.7217,0.2547,,,,4685675885,1319124074,2478414991,1959473040,6671909144,1139095418,3345062665,2391632807,4685675885,,3103406781,2357288352,1675224000,3140740217,1349955907,12124828800,2937093573,971919000,2588498584,2245556868,,,,11.7863,-5.5839,170.2754,172.7517,26.8283,219.3499,28.9299,17.6543,8.1253,20.4444,-11.1374,136.7213,129.6023,52.815,18.3165,84.8048,35.5181,133.997,165.3276,-12.2921,,,,0.5966,2.9696,2.2133,0.7741,1.4998,4.7318,1.4696,1.4629,0.4113,0.9343,1.969,1.7531,1.5915,0.5016,0.8808,7.7909,1.2537,29.5996,0.5965,0.7757,,,,0.4108,2.3938,2.5294,0.7386,0.7009,3.7987,1.3407,1.5818,0.2832,0.4035,0.8829,1.3029,1.7786,0.3224,0.8894,13.794,1.1224,92.1847,0.4845,0.3929,,,
2014/1/15,-1.1792,-1.6746,0.3774,-0.4902,-1.6566,3.7037,0.2791,1.261,0.2688,-0.2457,-0.7979,0.4505,0.4717,0,0,-1.0036,-0.5102,-0.1083,1.3029,-0.2247,,,,0.4993,0.6215,3.5392,0.5012,0.6525,10.0068,0.5373,0.8267,0.0909,0.1432,0.2138,0.2807,2.0887,0.2689,0.1373,1.4799,0.4132,0.0806,1.2152,0.1451,,,,4630420273,1297033479,2487767500,1949867780,6561380529,1181284138,3354397724,2421792111,4630420273,,3078645557,2367906768,1683126000,3140740217,1349955907,12003138000,2922108402,970866000,2622224950,2240510673,,,,11.6473,-5.4904,170.9179,171.9049,26.3839,227.474,29.0107,17.8769,8.1573,20.4196,-11.0485,137.3372,130.2137,52.815,18.3165,83.9537,35.3369,133.8518,167.4817,-12.2645,,,,0.5896,2.9198,2.2216,0.7703,1.475,4.907,1.4737,1.4814,0.4129,0.9332,1.9533,1.761,1.599,0.5016,0.8808,7.7128,1.2473,29.5675,0.6043,0.774,,,,0.406,2.3537,2.539,0.735,0.6893,3.9393,1.3444,1.6017,0.2843,0.403,0.8759,1.3088,1.787,0.3224,0.8894,13.6556,1.1167,92.0849,0.4908,0.392,,,
