ÈÕÆÚ,000889.SZ,002467.SZ,300578.SZ,600050.SH,000889.SZ,002467.SZ,300578.SZ,600050.SH,000889.SZ,002467.SZ,300578.SZ,600050.SH,000889.SZ,002467.SZ,300578.SZ,600050.SH,000889.SZ,002467.SZ,300578.SZ,600050.SH,000889.SZ,002467.SZ,300578.SZ,600050.SH
2014/1/2,-0.9653,1.2513,,0.6231,0.5919,1.2989,,0.244,1736643064,3843209524,,68465006356,24.601,35.2359,,19.8861,1.9648,3.6635,,0.9146,1.0851,6.264,,0.2254
2014/1/3,-1.3645,1.6807,,-1.8576,0.4222,3.1119,,0.3001,1712946180,3907801280,,67193210572,24.2653,35.8281,,19.5167,1.9379,3.725,,0.8976,1.0703,6.3693,,0.2212
2014/1/6,-3.3597,-2.528,,-2.8391,0.4502,1.7242,,0.3385,1655396605,3809013888,,65285516897,23.4501,34.9224,,18.9626,1.8728,3.6309,,0.8721,1.0343,6.2083,,0.2149
2014/1/7,0.409,0.0499,,0.3247,0.2293,1.2803,,0.1794,1662167143,3810913645,,65497482861,23.546,34.9398,,19.0242,1.8805,3.6327,,0.8749,1.0385,6.2114,,0.2156
2014/1/8,-0.8147,3.3898,,-1.2945,0.2635,2.9765,,0.333,1648626066,3940097159,,64649619005,23.3542,36.1242,,18.7779,1.8652,3.7558,,0.8636,1.0301,6.422,,0.2129
2014/1/9,-1.848,-2.459,,-0.9836,0.2472,3.147,,0.2011,1618158644,3843209524,,64013721113,22.9226,35.2359,,18.5932,1.8307,3.6635,,0.8551,1.011,6.264,,0.2108
2014/1/10,-0.8368,-5.042,,-0.6623,0.2926,2.0765,,0.3008,1604617568,3649434254,,63589789185,22.7308,33.4593,,18.4701,1.8154,3.4788,,0.8495,1.0026,5.9482,,0.2094
2014/1/13,-0.211,0.3644,,0.3333,0.2742,1.1183,,0.1764,1601232298,3662732556,,63801755149,22.6828,33.5813,,18.5316,1.8116,3.4914,,0.8523,1.0005,5.9699,,0.2101
2014/1/14,1.6913,3.1639,,0.9967,0.3588,1.4258,,0.1929,1628314452,3778617767,,64437653041,23.0664,34.6437,,18.7163,1.8422,3.6019,,0.8608,1.0174,6.1588,,0.2122
2014/1/15,-0.2079,2.7149,,-0.3289,0.2965,2.2426,,0.2059,1624929182,3881204675,,64225687077,23.0185,35.5843,,18.6548,1.8384,3.6997,,0.858,1.0153,6.326,,0.2115
2014/1/16,0,-0.979,,-0.6601,0.4088,1.7858,,0.2463,1624929182,3843209524,,63801755149,23.0185,35.2359,,18.5316,1.8384,3.6635,,0.8523,1.0153,6.264,,0.2101
2014/1/17,-2.7083,0.692,,-0.6645,0.2918,1.461,,0.1803,1580920684,3869806129,,63377823221,22.3951,35.4798,,18.4085,1.7886,3.6888,,0.8466,0.9878,6.3074,,0.2087
2014/1/20,-0.8565,0.6382,,-0.3344,0.2478,1.9307,,0.2036,1567379607,3894502978,,63165857257,22.2032,35.7062,,18.3469,1.7733,3.7124,,0.8438,0.9793,6.3476,,0.208
2014/1/21,0.8639,4.2439,,1.0067,0.2926,4.6296,,0.1863,1580920684,4059781884,,63801755149,22.3951,37.2216,,18.5316,1.7886,3.8699,,0.8523,0.9878,6.617,,0.2101
2014/1/22,3.212,2.3865,,1.3289,0.6632,5.3269,,0.35,1631699721,4156669519,,64649619005,23.1144,38.1099,,18.7779,1.846,3.9623,,0.8636,1.0195,6.7749,,0.2129
2014/1/23,0,1.7367,,-0.9836,0.461,4.9144,,0.2646,1631699721,4228860306,,64013721113,23.1144,38.7717,,18.5932,1.846,4.0311,,0.8551,1.0195,6.8926,,0.2108
2014/1/24,0.4149,1.2579,,0.3311,0.4774,4.7354,,0.3644,1638470259,4282053518,,64225687077,23.2103,39.2594,,18.6548,1.8537,4.0818,,0.858,1.0237,6.9793,,0.2115
