ÈÕÆÚ,000629.SZ,000655.SZ,000762.SZ,000833.SZ,000923.SZ,600295.SH,600532.SH,601969.SH,603505.SH,900936.SH,000629.SZ,000655.SZ,000762.SZ,000833.SZ,000923.SZ,600295.SH,600532.SH,601969.SH,603505.SH,900936.SH,000629.SZ,000655.SZ,000762.SZ,000833.SZ,000923.SZ,600295.SH,600532.SH,601969.SH,603505.SH,900936.SH,000629.SZ,000655.SZ,000762.SZ,000833.SZ,000923.SZ,600295.SH,600532.SH,601969.SH,603505.SH,900936.SH,000629.SZ,000655.SZ,000762.SZ,000833.SZ,000923.SZ,600295.SH,600532.SH,601969.SH,603505.SH,900936.SH,000629.SZ,000655.SZ,000762.SZ,000833.SZ,000923.SZ,600295.SH,600532.SH,601969.SH,603505.SH,900936.SH
2014/1/2,0.9346,-0.6623,1.0417,-1.214,0.3521,0.4494,1.0596,,,-0.1033,0.8857,0.3461,0.7577,0.5648,0.7254,4.2637,0.4835,,,0.1157,10297351048,3111052485,4959767406,1927386080,1128594870,5471280000,1259732037,,,5471280000,33.7918,17.0636,252.2886,-18.1615,275.2209,12.5197,18.4672,,,8.2593,1.255,1.4823,2.9416,2.3489,2.1599,1.3898,2.8519,,,0.9169,1.1892,2.7272,7.0653,1.7399,3.0285,0.6633,4.4008,,,0.4376
2014/1/3,-1.3889,-1.3333,-2.1556,-2.3041,-0.1754,-2.1253,0.1311,,,-2.0683,0.6886,0.5498,0.7179,0.7075,0.518,3.0923,0.7483,,,0.1855,10154332284,3069571785,4852855831,1882976262,1126614879,5355000000,1261383062,,,5355000000,33.3225,16.8361,246.8503,-17.743,274.7381,12.2536,18.4914,,,8.0949,1.2375,1.4625,2.8782,2.2947,2.1561,1.3603,2.8556,,,0.8986,1.1727,2.6908,6.913,1.6998,3.0231,0.6492,4.4066,,,0.4288
2014/1/6,-3.2864,-1.8919,-3.1609,-4.8742,-2.2847,0.1143,-4.1885,,,-0.6336,0.8909,0.4878,0.7503,0.8593,0.5042,2.6879,0.6992,,,0.0878,9820621833,3011498805,4699460963,1791195973,1100874996,5361120000,1208550263,,,5361120000,32.2274,16.5175,239.0475,-16.8782,268.4611,12.2676,17.7169,,,8.0463,1.1969,1.4348,2.7872,2.1829,2.1068,1.3618,2.736,,,0.8932,1.1342,2.6399,6.6945,1.617,2.9541,0.6499,4.222,,,0.4263
2014/1/7,-0.4854,0.551,-0.0989,0,0,-0.1142,-0.6831,,,0.2125,0.603,0.2849,0.4,0.3967,0.3798,2.2645,0.3999,,,0.0829,9772948912,3028091085,4694812633,1791195973,1100874996,5355000000,1200295139,,,5355000000,32.071,16.6085,238.8111,-16.8782,268.4611,12.2536,17.5959,,,8.0612,1.1911,1.4428,2.7844,2.1829,2.1068,1.3603,2.7173,,,0.8949,1.1286,2.6545,6.6879,1.617,2.9541,0.6492,4.1932,,,0.4271
2014/1/8,0,-0.5479,-0.7921,0,-0.7194,2.0571,-0.9629,,,1.6967,0.6724,0.2871,0.4992,0.9563,0.7479,3.2719,0.4523,,,0.0956,9772948912,3011498805,4657625999,1791195973,1092955032,5465160000,1188737964,,,5465160000,32.071,16.5175,236.9195,-16.8782,266.5297,12.5057,17.4265,,,8.2029,1.1911,1.4348,2.7624,2.1829,2.0917,1.3883,2.6912,,,0.9106,1.1286,2.6399,6.6349,1.617,2.9328,0.6625,4.1528,,,0.4346
2014/1/9,-2.439,-0.551,-2.0958,-1.4876,-1.6304,6.6069,-2.0833,,,1.4599,0.8811,0.3253,0.7843,0.418,0.4526,5.3589,0.7883,,,0.3437,9534584304,2994906526,4560011083,1764550082,1075135113,5826240000,1163972590,,,5826240000,31.2887,16.4265,231.9542,-16.6271,262.1841,13.3319,17.0634,,,8.3267,1.162,1.4269,2.7045,2.1504,2.0576,1.48,2.6351,,,0.9244,1.1011,2.6254,6.4958,1.5929,2.885,0.7063,4.0663,,,0.4411
2014/1/10,-2,-5.1247,-2.0387,-3.5235,-4.2357,-3.8866,-3.4043,,,-3.6999,0.9327,0.5008,0.6414,0.6976,0.713,5.2066,0.7742,,,0.2903,9343892618,4078080576,4467044496,1702376338,1029595320,5599800000,1124347991,,,5599800000,30.663,15.5847,227.2252,-16.0412,251.0787,12.8138,16.4826,,,8.0054,1.1388,1.3538,2.6493,2.0746,1.9704,1.4225,2.5454,,,0.8887,1.0791,2.4908,6.3634,1.5368,2.7628,0.6788,3.9279,,,0.4241
2014/1/13,0.5102,-0.7299,1.9771,-0.1739,-0.3846,-5.6831,1.0279,,,-2.2412,0.6696,0.2901,0.8038,0.1915,0.3234,3.4629,0.5808,,,0.2037,9391565539,4048313564,4555362753,1699415683,1025635338,5281560000,1135905166,,,5281560000,30.8194,15.471,231.7177,-16.0133,250.113,12.0856,16.652,,,7.8185,1.1446,1.3439,2.7017,2.071,1.9628,1.3416,2.5716,,,0.8679,1.0846,2.4727,6.4892,1.5341,2.7522,0.6403,3.9683,,,0.4142
2014/1/14,0.5076,0.2941,0.7143,1.7422,2.1236,1.6222,1.5988,,,1.4192,0.692,0.2787,0.6067,0.2846,0.2735,3.1685,0.4005,,,0.0792,9439238461,4060220369,4587901059,1729022228,1047415239,5367240000,1154066440,,,5367240000,30.9758,15.5165,233.3728,-16.2923,255.4243,12.2816,16.9182,,,7.9269,1.1504,1.3479,2.721,2.1071,2.0045,1.3634,2.6127,,,0.88,1.0901,2.4799,6.5356,1.5609,2.8106,0.6506,4.0317,,,0.4199
2014/1/15,-1.5152,-0.5865,0.7092,0.6849,-0.189,-0.2281,-0.2861,,,1.507,0.5118,0.2215,0.6415,0.3194,0.2976,3.6363,0.4482,,,0.1655,9296219696,4036406759,4620439364,1740864846,1045435248,5355000000,1150764390,,,5355000000,30.5065,15.4255,235.028,-16.4039,254.9415,12.2536,16.8698,,,8.0563,1.133,1.34,2.7403,2.1215,2.0007,1.3603,2.6052,,,0.8943,1.0736,2.4654,6.5819,1.5715,2.8053,0.6492,4.0202,,,0.4268
