ÈÕÆÚ,000552.SZ,000571.SZ,000723.SZ,000780.SZ,000937.SZ,000968.SZ,000983.SZ,002128.SZ,600121.SH,600123.SH,600157.SH,600188.SH,600348.SH,600395.SH,600397.SH,600403.SH,600408.SH,600508.SH,600546.SH,600725.SH,600740.SH,600758.SH,600792.SH,600971.SH,600985.SH,600989.SH,600997.SH,601001.SH,601011.SH,601015.SH,601088.SH,601101.SH,601225.SH,601666.SH,601699.SH,601898.SH,601918.SH,603113.SH,900948.SH,000552.SZ,000571.SZ,000723.SZ,000780.SZ,000937.SZ,000968.SZ,000983.SZ,002128.SZ,600121.SH,600123.SH,600157.SH,600188.SH,600348.SH,600395.SH,600397.SH,600403.SH,600408.SH,600508.SH,600546.SH,600725.SH,600740.SH,600758.SH,600792.SH,600971.SH,600985.SH,600989.SH,600997.SH,601001.SH,601011.SH,601015.SH,601088.SH,601101.SH,601225.SH,601666.SH,601699.SH,601898.SH,601918.SH,603113.SH,900948.SH,000552.SZ,000571.SZ,000723.SZ,000780.SZ,000937.SZ,000968.SZ,000983.SZ,002128.SZ,600121.SH,600123.SH,600157.SH,600188.SH,600348.SH,600395.SH,600397.SH,600403.SH,600408.SH,600508.SH,600546.SH,600725.SH,600740.SH,600758.SH,600792.SH,600971.SH,600985.SH,600989.SH,600997.SH,601001.SH,601011.SH,601015.SH,601088.SH,601101.SH,601225.SH,601666.SH,601699.SH,601898.SH,601918.SH,603113.SH,900948.SH,000552.SZ,000571.SZ,000723.SZ,000780.SZ,000937.SZ,000968.SZ,000983.SZ,002128.SZ,600121.SH,600123.SH,600157.SH,600188.SH,600348.SH,600395.SH,600397.SH,600403.SH,600408.SH,600508.SH,600546.SH,600725.SH,600740.SH,600758.SH,600792.SH,600971.SH,600985.SH,600989.SH,600997.SH,601001.SH,601011.SH,601015.SH,601088.SH,601101.SH,601225.SH,601666.SH,601699.SH,601898.SH,601918.SH,603113.SH,900948.SH,000552.SZ,000571.SZ,000723.SZ,000780.SZ,000937.SZ,000968.SZ,000983.SZ,002128.SZ,600121.SH,600123.SH,600157.SH,600188.SH,600348.SH,600395.SH,600397.SH,600403.SH,600408.SH,600508.SH,600546.SH,600725.SH,600740.SH,600758.SH,600792.SH,600971.SH,600985.SH,600989.SH,600997.SH,601001.SH,601011.SH,601015.SH,601088.SH,601101.SH,601225.SH,601666.SH,601699.SH,601898.SH,601918.SH,603113.SH,900948.SH,000552.SZ,000571.SZ,000723.SZ,000780.SZ,000937.SZ,000968.SZ,000983.SZ,002128.SZ,600121.SH,600123.SH,600157.SH,600188.SH,600348.SH,600395.SH,600397.SH,600403.SH,600408.SH,600508.SH,600546.SH,600725.SH,600740.SH,600758.SH,600792.SH,600971.SH,600985.SH,600989.SH,600997.SH,601001.SH,601011.SH,601015.SH,601088.SH,601101.SH,601225.SH,601666.SH,601699.SH,601898.SH,601918.SH,603113.SH,900948.SH
2014/1/2,-1.2974,-0.2611,-0.9288,-1.3158,-1.752,-1.224,-2.1127,-2.2444,-0.1984,-1.2184,-1.6698,-2.5901,-2.2663,-1.9284,-0.7059,-2.5281,-0.3704,-3.6327,-0.6061,0.5333,-1.1667,0.8902,-0.4582,-3.3661,2.498,,-2.693,-3.4602,1.7964,,-1.201,-1.8031,,-3.0418,-2.5305,-1.0482,-2.0101,,-0.4522,1.0241,0.656,1.3783,0.4255,0.4098,0.771,0.3309,0.5013,0.2539,0.8373,1.0034,0.1727,0.626,0.3726,0.7978,0.7295,0.2166,0.8447,0.676,0.2391,0.4982,1.27,0.9069,0.5992,1.472,,0.6074,0.4823,0.9909,,0.0515,0.5526,,0.4131,0.5772,0.119,0.4899,,0.047,3502297298,2809330498,1247130253,4564378458,15992639360,4145938290,21900637470,10401213661,3164574200,12040896000,7599921994,25603827000,16594500000,11783969250,2723305294,6790418543,2708292000,6901956900,9753684209,2323205950,2709018255,782341768,1096895250,6890028042,1701648000,,6691748800,9339246000,1270988126,,2.57755E+11,8495987766,,12041941408,23931273600,42512932261,10103113020,,,16.5946,26.8778,48.4672,123.2155,14.2406,91.1553,20.7362,11.385,118.0102,12.0251,19.6607,33.4674,17.7453,24.5607,16.8264,13.9007,-11.1457,45.2157,39.9728,60.2405,261.7227,80.4329,79.835,22.2757,27.8727,,26.5786,-6.668,338.4621,,6.8058,16.1418,,18.0603,15.653,17.5022,677.4087,,10.146,2.8187,1.5263,3.9426,0.9822,1.0909,1.5008,1.367,1.6556,1.3386,1.2406,0.9529,1.0914,1.2916,1.6328,1.0736,1.5983,1.243,0.8675,1.223,1.6786,1.6183,4.2296,1.3546,0.989,2.3622,,0.9585,1.2754,1.401,,1.1414,1.2541,,1.0517,1.4026,0.7158,1.1639,,1.6525,1.909,2.7296,1.4144,1.5225,0.6527,1.9878,0.7424,1.6719,0.2485,1.8306,0.9517,0.7244,0.6341,2.0374,0.2396,1.486,0.604,0.8157,0.1199,0.2742,0.7729,5.3251,0.6645,0.8464,2.4479,,0.3896,0.8613,2.0864,,1.0954,1.168,,0.6288,1.2464,0.7602,1.2933,,1.3944
2014/1/3,-1.5167,-1.8325,-2.5,-2.4444,-1.9204,-1.9827,-1.8705,-1.9133,-1.5905,-2.1822,0.566,0.4624,-1.5942,-2.5281,-2.1327,-2.0173,0,-1.9895,-1.626,-2.9178,-0.6745,0.7353,-2.6467,-1.3062,-1.904,,-2.214,-0.3584,0.5882,,-1.6635,-1.1299,,-1.3725,-1.9231,-1.0593,-2.5641,,-3.0664,1.005,0.4904,1.6826,0.6097,0.3351,0.9049,0.2919,0.2223,0.2508,0.6761,0.9197,0.1491,0.4787,0.3895,0.6828,0.5875,0.2323,0.3697,0.4659,0.3445,0.5527,1.1422,0.7245,0.279,1.3236,,0.456,0.1582,1.2876,,0.0733,0.4,,0.2362,0.4559,0.094,0.5016,,0.1459,3449178532,2757850620,1215951996,4452804762,15685510484,4063738770,21490985258,10202210849,3114243000,11778144000,7642940420,25722226200,16329950000,11486059915,2665225323,6653436037,2708292000,6764640480,9595087718,2255420100,2690744945,788094281,1067863500,6800027676,1669248000,,6543592000,9305772000,1278464527,,2.53467E+11,8399987904,,11876659859,23471056800,42062583403,9844058840,,,16.3429,26.3852,47.2555,120.2036,13.9671,89.348,20.3484,11.1672,116.1333,11.7627,19.772,33.6222,17.4624,23.9398,16.4676,13.6203,-11.1457,44.3161,39.3228,58.4828,259.9573,81.0243,77.722,21.9847,27.342,,25.9902,-6.6441,340.4531,,6.6926,15.9594,,17.8124,15.352,17.3168,660.0392,,9.8428,2.7759,1.4983,3.8441,0.9582,1.07,1.471,1.3415,1.6239,1.3174,1.2135,0.9583,1.0965,1.2711,1.5915,1.0507,1.566,1.243,0.8503,1.2031,1.6296,1.6074,4.2607,1.3188,0.976,2.3173,,0.9373,1.2708,1.4092,,1.1224,1.2399,,1.0372,1.3757,0.7082,1.1341,,1.6031,1.8801,2.6796,1.379,1.4853,0.6401,1.9484,0.7285,1.64,0.2446,1.7907,0.9571,0.7278,0.624,1.9859,0.2345,1.456,0.604,0.7995,0.118,0.2662,0.7677,5.3643,0.6469,0.8354,2.4013,,0.381,0.8582,2.0987,,1.0772,1.1548,,0.6201,1.2225,0.7522,1.2601,,1.3527
2014/1/6,-3.6961,-2.4,-5.2885,-4.5558,-4.6154,-4.804,-4.2522,-5.2016,-4.0404,-4.8497,-3.0019,-3.9125,-5.0074,-6.6282,-3.3898,-1.0294,-2.974,-3.8462,-5.7851,-4.3716,-0.5093,-2.3358,-3.6643,-4.2647,-5.1242,,-3.5849,-3.9568,-4.4834,,-3.4483,-5.4286,,-2.9821,-6.0784,-3.4261,-5.7895,,-3.9836,1.1979,0.4038,2.1603,0.8344,0.5225,1.3181,0.3493,0.3753,0.3757,1.0644,1.1346,0.1386,0.7946,0.5925,0.7603,0.5769,0.3729,0.3926,0.7934,0.3004,0.6548,1.0581,0.3839,0.3903,1.3668,,0.3461,0.1933,1.4063,,0.0855,0.6534,,0.2704,0.6348,0.0999,0.5005,,0.1457,3321693494,2691662205,1151646843,4249943498,14961563846,3868514910,20577145709,9671536683,2988415000,11206944000,7413508813,24715833000,15512250000,10724736059,2574878702,6584944783,2627748000,6504462000,9039999998,2156822500,2677039962,769686239.4,1028733750,6510026496,1583712000,,6309010400,8937558000,1221145454,,2.44727E+11,7943988561,,11522485112,22044384720,40621467055,9274139644,,,15.7389,25.752,44.7564,114.7273,13.3225,85.0557,19.4831,10.5863,111.4411,11.1923,19.1785,32.3067,16.588,22.353,15.9094,13.48,-10.8142,42.6116,37.048,55.9262,258.6332,79.1318,74.874,21.0471,25.941,,25.0584,-6.3812,325.1891,,6.4618,15.0931,,17.2812,14.4188,16.7235,621.8264,,9.4538,2.6733,1.4624,3.6408,0.9146,1.0206,1.4003,1.2844,1.5395,1.2641,1.1546,0.9295,1.0536,1.2074,1.486,1.0151,1.5499,1.206,0.8175,1.1335,1.5584,1.5992,4.1612,1.2705,0.9344,2.1985,,0.9037,1.2205,1.3461,,1.0837,1.1726,,1.0063,1.292,0.684,1.0684,,1.5397,1.8106,2.6152,1.3061,1.4177,0.6106,1.8548,0.6975,1.5547,0.2347,1.7038,0.9284,0.6993,0.5928,1.8543,0.2265,1.441,0.5861,0.7688,0.1112,0.2545,0.7638,5.239,0.6232,0.7997,2.2783,,0.3673,0.8242,2.0046,,1.04,1.0921,,0.6016,1.1481,0.7264,1.1871,,1.2993
2014/1/7,0,0.5464,-0.3384,-0.9547,-0.8798,0.2656,-0.9188,-1.2346,1.2632,-0.4077,-1.5474,-3.2335,0.3101,-0.1543,0.5013,-1.0401,-0.3831,0.2222,0,0.2857,-0.6826,1.9432,0.2454,0.1536,-1.0638,,-0.9785,-1.8727,-7.2449,,-0.1348,-1.2085,,-0.4098,0.1044,0,0.2793,,-0.3051,0.6397,0.2536,1.1523,0.6306,0.3062,0.6619,0.2481,0.2157,0.2258,0.5581,0.7557,0.148,0.4201,0.289,0.4998,0.3633,0.2296,0.2006,0.4461,0.2418,0.3265,0.7754,0.2761,0.2301,0.9792,,0.276,0.1808,1.3885,,0.0441,0.4475,,0.1418,0.3307,0.0648,0.2822,,0.0933,3321693494,2706370742,1147749561,4209371245,14829937184,3878789850,20388075458,9552134995,3026163400,11161248000,7298793009,23916638400,15560350000,10708185541,2587785362,6516453530,2617680000,6518916360,9039999998,2162984850,2658766652,784642773.2,1031258250,6520026536,1566864000,,6247278400,8770188000,1132674712,,2.44397E+11,7847988699,,11475261813,22067395560,40621467055,9300045062,,,15.7389,25.8927,44.605,113.6321,13.2053,85.2816,19.3041,10.4556,112.8488,11.1466,18.8817,31.2621,16.6394,22.3185,15.9891,13.3398,-10.7728,42.7063,37.048,56.086,256.8678,80.6694,75.0578,21.0795,25.665,,24.8132,-6.2617,301.6295,,6.4531,14.9107,,17.2104,14.4339,16.7235,623.5634,,9.4223,2.6733,1.4703,3.6284,0.9058,1.0116,1.4041,1.2726,1.5205,1.2801,1.1499,0.9151,1.0195,1.2112,1.4837,1.0202,1.5338,1.2014,0.8194,1.1335,1.5628,1.5883,4.242,1.2736,0.9358,2.1751,,0.8949,1.1977,1.2485,,1.0823,1.1584,,1.0022,1.2934,0.684,1.0714,,1.5346,1.8106,2.6295,1.3017,1.4041,0.6052,1.8597,0.6911,1.5355,0.2377,1.6969,0.914,0.6767,0.5946,1.8514,0.2277,1.426,0.5838,0.7705,0.1112,0.2552,0.7586,5.3408,0.6247,0.801,2.254,,0.3637,0.8088,1.8593,,1.0386,1.0789,,0.5992,1.1493,0.7264,1.1905,,1.295
2014/1/8,-0.9595,-0.2717,0,-1.9277,-1.1834,-0.9272,-1.5456,-1.25,-1.0395,-2.3541,-1.1788,-1.6089,-2.1638,-2.0093,-0.7481,-3.1532,-0.3846,-1.5521,-3.0702,-1.4245,-1.0309,-0.1466,-0.3672,-2.3006,-0.4136,,-1.3834,-1.9084,0.5501,,-1.7544,-1.5291,,-2.0576,-1.2513,-0.8869,-2.2284,,0.1836,0.8114,0.3425,0.9994,0.4713,0.2893,0.6932,0.2567,0.208,0.2467,1.014,0.8679,0.1322,0.6597,0.3396,0.6258,0.5494,0.2732,0.2577,0.8193,0.2604,0.6152,0.6446,0.487,0.3314,1.0052,,0.2992,0.1834,1.0745,,0.0794,0.4464,,0.33,0.3218,0.0579,0.397,,0.0781,3289822235,2699016473,1147749561,4128226739,14654434969,3842827560,20072958372,9432733308,2994706400,10898496000,7212756156,23531841000,15223650000,10493028799,2568425372,6310979770,2607612000,6417735840,8762456139,2132173100,2631356686,783492270.6,1027471500,6370025926,1560384000,,6160853600,8602818000,1138905046,,2.4011E+11,7727988872,,11239145314,21791265480,40261187968,9092801718,,,15.5879,25.8223,44.605,111.4416,13.049,84.4909,19.0057,10.3249,111.6757,10.8842,18.6592,30.7591,16.2794,21.8701,15.8695,12.9192,-10.7313,42.0435,35.9105,55.287,254.2197,80.5512,74.7822,20.5945,25.5589,,24.47,-6.1422,303.2886,,6.3399,14.6827,,16.8563,14.2533,16.5752,609.6678,,9.4453,2.6477,1.4663,3.6284,0.8884,0.9997,1.391,1.2529,1.5015,1.2668,1.1229,0.9043,1.0031,1.1849,1.4539,1.0126,1.4854,1.1968,0.8066,1.0987,1.5406,1.5719,4.2358,1.2689,0.9143,2.1661,,0.8825,1.1748,1.2554,,1.0633,1.1407,,0.9815,1.2772,0.6779,1.0475,,1.5383,1.7932,2.6224,1.3017,1.3771,0.5981,1.8425,0.6804,1.5163,0.2352,1.6569,0.9032,0.6658,0.5817,1.8142,0.226,1.3811,0.5816,0.7585,0.1077,0.2516,0.7508,5.3329,0.6224,0.7825,2.2447,,0.3587,0.7934,1.8696,,1.0204,1.0624,,0.5868,1.135,0.72,1.1639,,1.2981
2014/1/9,0.7535,-2.1798,0.6791,-0.4914,0.2994,0.1337,-1.5699,-0.9845,0.2101,0.1048,-0.994,-3.1447,-0.158,1.5773,-0.5025,0.4651,-0.3861,-1.9144,-0.4525,-2.3121,5.7292,-0.4405,1.1057,0.157,-3.5714,,-2.004,-1.751,-1.5317,,-0.8242,-0.7764,,-2.3109,-0.1056,-0.8949,-1.7094,,0.0611,1.0801,0.5058,1.9139,0.7274,0.359,0.7999,0.3323,0.1828,0.2314,1.015,0.9935,0.1878,0.6261,0.529,0.7095,0.4477,0.4031,0.2366,0.6623,0.2708,4.8302,0.9858,0.8467,0.267,1.7426,,0.4097,0.1901,0.8234,,0.0512,0.4165,,0.4676,0.3704,0.0891,0.4649,,0.0614,3314610992,2640182327,1155544125,4107940612,14698310523,3847965030,19757841286,9339865329,3000997800,10909920000,7141058779,22791846000,15199600000,10658533985,2555518712,6340333164,2597544000,6294873780,8722807016,2082874300,2782111496,780040762.8,1038831750,6380025967,1504656000,,6037389600,8452185000,1121460111,,2.38131E+11,7667988958,,10979417166,21768254640,39900908881,8937369210,,,15.7053,25.2595,44.9079,110.894,13.0881,84.6039,18.7074,10.2233,111.9103,10.8956,18.4737,29.7918,16.2536,22.2151,15.7897,12.9793,-10.6899,41.2386,35.748,54.0087,268.7843,80.1963,75.609,20.6268,24.646,,23.9796,-6.0347,298.643,,6.2876,14.5687,,16.4667,14.2382,16.4269,599.2462,,9.4557,2.6676,1.4344,3.6531,0.884,1.0026,1.3929,1.2333,1.4867,1.2695,1.124,0.8953,0.9716,1.1831,1.4768,1.0075,1.4923,1.1922,0.7912,1.0938,1.5049,1.662,4.2171,1.2829,0.9157,2.0888,,0.8648,1.1543,1.2362,,1.0545,1.1319,,0.9589,1.2759,0.6718,1.0296,,1.54,1.8067,2.5652,1.3105,1.3703,0.5998,1.845,0.6698,1.5013,0.2357,1.6587,0.8943,0.6449,0.5808,1.8429,0.2248,1.3875,0.5793,0.744,0.1073,0.2458,0.7938,5.3094,0.6293,0.7838,2.1645,,0.3515,0.7795,1.8409,,1.012,1.0541,,0.5733,1.1338,0.7135,1.144,,1.2996
2014/1/10,0,-2.507,-3.5413,0,-0.8955,3.8718,-0.4785,-1.1364,1.2579,-1.1518,-1.2048,0.5195,0.6329,0.6211,-2.0202,2.9321,-2.7132,-2.0666,1.1364,1.1834,-0.821,-2.0649,-0.9721,-1.5674,-3.0146,,-0.818,-0.9901,-4.4444,,0.3463,0.4695,,-2.1505,0.5285,0.4515,-1.1594,,-1.7705,0.9379,0.4725,1.441,0.4009,0.3284,1.8328,0.3663,0.2125,0.3242,0.8373,1.1038,0.1412,0.7897,0.3217,0.8153,0.7169,0.3998,0.3281,0.7953,0.2751,4.1086,0.6549,0.3033,0.2928,0.8515,,0.2972,0.2168,0.9117,,0.0636,0.4313,,0.5638,0.3558,0.084,0.4433,,0.0894,3314610992,2573993912,1114622663,4107940612,14566683862,3996951660,19663306160,9233730495,3038746200,10784256000,7055021926,22910245200,15295800000,10724736059,2503892071,6526237995,2527068000,6164784540,8821929823,2107523700,2759269858,763933726.4,1028733750,6280025560,1459296000,,5988004000,8368500000,1071617439,,2.38955E+11,7703988906,,10743300668,21883308840,40081048424,8833747538,,,15.7053,24.6262,43.3176,110.894,12.9709,87.8796,18.6179,10.1071,113.318,10.7701,18.2511,29.9466,16.3565,22.353,15.4708,13.3599,-10.3999,40.3864,36.1543,54.6479,266.5776,78.5403,74.874,20.3035,23.903,,23.7834,-5.9749,285.37,,6.3094,14.6371,,16.1126,14.3135,16.501,592.2984,,9.273,2.6676,1.3984,3.5237,0.884,0.9937,1.4468,1.2274,1.4698,1.2854,1.1111,0.8845,0.9766,1.1906,1.486,0.9871,1.5361,1.1598,0.7749,1.1062,1.5227,1.6483,4.1301,1.2705,0.9014,2.0258,,0.8577,1.1428,1.1812,,1.0582,1.1372,,0.9382,1.2826,0.6749,1.0177,,1.5103,1.8067,2.5009,1.2641,1.3703,0.5945,1.9164,0.6666,1.4843,0.2386,1.6396,0.8835,0.6482,0.5845,1.8543,0.2203,1.4282,0.5636,0.7286,0.1085,0.2487,0.7873,5.1998,0.6232,0.7715,2.0993,,0.3486,0.7717,1.7591,,1.0155,1.0591,,0.561,1.1398,0.7168,1.1308,,1.2744
2014/1/13,2.6709,0,-0.3497,0.9877,1.0542,-1.2853,0.1603,0.5747,1.4493,0.6356,-0.2033,0.646,0.7862,-2.1605,0.2577,-0.5997,0,0.3517,-0.2247,-1.462,-1.8212,-3.7651,0.3681,-0.1592,0.7993,,0.2062,0.4,1.1628,,0.4831,0.4673,,-0.2198,0.7361,0.6742,0.5865,,0.0622,1.1968,0.2925,1.3446,0.3314,0.2568,0.8425,0.1922,0.1525,0.4692,0.4672,0.6845,0.0795,0.548,0.3938,0.4502,0.3813,0.2907,0.2089,0.5103,0.1985,3.167,1.0242,0.2628,0.2454,0.6688,,0.2001,0.1058,0.4892,,0.0381,0.35,,0.3107,0.2947,0.0495,0.3643,,0.0597,3403142269,2573993912,1110725381,4148512865,14720248300,3945576960,19694817869,9286797912,3082786000,10852800000,7040682451,23058244200,15416050000,10493028799,2510345401,6487100136,2527068000,6186466080,8802105262,2076711950,2709018255,735171161.4,1032520500,6270025519,1470960000,,6000350400,8401974000,1084078107,,2.4011E+11,7739988854,,10719689018,22044384720,40351257740,8885558374,,,16.1248,24.6262,43.1661,111.9892,13.1076,86.75,18.6477,10.1652,114.9603,10.8386,18.214,30.14,16.4851,21.8701,15.5106,13.2797,-10.3999,40.5284,36.073,53.8489,261.7227,75.5832,75.1496,20.2712,24.0941,,23.8325,-5.9988,288.6883,,6.3399,14.7055,,16.0772,14.4188,16.6123,595.7723,,9.2699,2.7389,1.3984,3.5114,0.8927,1.0041,1.4282,1.2293,1.4782,1.3041,1.1181,0.8827,0.9829,1.1999,1.4539,0.9897,1.5269,1.1598,0.7776,1.1037,1.5005,1.6183,3.9746,1.2751,0.9,2.042,,0.8595,1.1474,1.195,,1.0633,1.1425,,0.9362,1.292,0.6794,1.0236,,1.5098,1.855,2.5009,1.2597,1.3838,0.6007,1.8918,0.6676,1.4928,0.2421,1.65,0.8817,0.6524,0.5891,1.8142,0.2209,1.4196,0.5636,0.7312,0.1082,0.2451,0.7729,5.004,0.6255,0.7702,2.1161,,0.3493,0.7748,1.7796,,1.0204,1.064,,0.5597,1.1481,0.7216,1.1374,,1.274
2014/1/14,-0.2081,1.1429,1.5789,0.489,0.2981,2.474,0.16,0,0,1.0526,-0.611,-0.3851,0.156,0.9464,1.0283,0.6033,0.7968,0.5841,0.6757,1.4837,0.3373,1.0955,0.7335,1.2759,1.0573,,0.4115,0.3984,-6.4368,,0.4808,0.9302,,0,0.4175,0.4464,1.7493,,1.4286,0.9073,0.2592,1.1519,0.4663,0.2137,1.0207,0.2466,0.2376,0.2841,0.5693,1.1995,0.0858,0.4972,0.1888,0.5314,0.2754,0.2312,0.2266,0.5406,0.2001,1.0446,0.4961,0.318,0.2536,0.7886,,0.2175,0.1826,3.9847,,0.0375,0.2917,,0.4923,0.2577,0.0512,0.4933,,0.0389,3396059767,2603410985,1128263151,4168798992,14764123854,4043188890,19726329577,9286797912,3082786000,10967040000,6997664024,22969444800,15440100000,10592331910,2536158721,6526237995,2547204000,6222601980,8861578946,2107523700,2718154910,743224679.6,1040094000,6350025845,1486512000,,6025043200,8435448000,1014298367,,2.41264E+11,7811988751,,10719689018,22136428080,40531397283,9040990882,,,16.0912,24.9077,43.8477,112.5368,13.1467,88.8962,18.6775,10.1652,114.9603,10.9527,18.1027,30.024,16.5108,22.0771,15.6701,13.3599,-10.4827,40.7651,36.3167,54.6479,262.6054,76.4112,75.7009,20.5299,24.3488,,23.9306,-6.0227,270.106,,6.3704,14.8423,,16.0772,14.479,16.6864,606.1939,,9.3993,2.7332,1.4144,3.5668,0.8971,1.0071,1.4636,1.2313,1.4782,1.3041,1.1299,0.8774,0.9791,1.2018,1.4677,0.9998,1.5361,1.1691,0.7821,1.1112,1.5227,1.6238,4.0181,1.2845,0.9114,2.0636,,0.863,1.152,1.1181,,1.0684,1.1531,,0.9362,1.2974,0.6824,1.0415,,1.5308,1.8511,2.5295,1.2796,1.3906,0.6025,1.9386,0.6687,1.4928,0.2421,1.6674,0.8763,0.6499,0.59,1.8314,0.2231,1.4282,0.5681,0.7354,0.109,0.2487,0.7755,5.0588,0.6301,0.7801,2.1384,,0.3508,0.7779,1.665,,1.0253,1.0739,,0.5597,1.1529,0.7248,1.1573,,1.2918
2014/1/15,-0.3128,1.1299,2.0725,-1.2165,-0.8915,-1.906,-2.0767,-0.8571,-2.449,-1.4583,-1.4344,-2.1907,-2.1807,-0.7813,-1.2723,-0.7496,0,0.1161,-1.566,1.462,-0.6723,-0.1548,-1.2136,-1.1024,2.1796,,-0.8197,-1.5873,-0.9828,,-0.6835,-1.5361,,-1.3216,-1.2474,-0.6667,-1.4327,,0.4287,0.7892,0.4995,1.4963,0.2933,0.2484,0.8636,0.2814,0.1884,0.3343,0.5501,0.9321,0.1153,0.5079,0.1651,0.5202,0.4374,0.182,0.1838,0.4347,0.1983,0.6087,0.5177,0.2443,0.2178,0.9124,,0.1889,0.1618,2.7781,,0.0331,0.2855,,0.2137,0.2764,0.0415,0.2523,,0.0468,3385436013,2632828059,1151646843,4118083675,14632497192,3966126840,19316677366,9207196787,3007289200,10807104000,6897287696,22466248200,15103400000,10509579317,2503892071,6477315671,2547204000,6229829160,8722807016,2138335450,2699881600,742074177,1027471500,6280025560,1518912000,,5975657600,8301552000,1004329833,,2.39615E+11,7691988924,,10578019119,21860298000,40261187968,8911463792,,,16.0409,25.1891,44.7564,111.1678,13.0295,87.2018,18.2897,10.0781,112.1449,10.793,17.8431,29.3662,16.1508,21.9046,15.4708,13.2597,-10.4827,40.8125,35.748,55.4468,260.84,76.293,74.7822,20.3035,24.8795,,23.7344,-5.9271,267.4514,,6.3268,14.6143,,15.8647,14.2984,16.5752,597.5092,,9.4512,2.7246,1.4304,3.6408,0.8862,0.9982,1.4357,1.2057,1.4656,1.2721,1.1134,0.8648,0.9577,1.1756,1.4562,0.9871,1.5246,1.1691,0.783,1.0938,1.545,1.6128,4.0119,1.2689,0.9014,2.1086,,0.856,1.1337,1.1071,,1.0611,1.1354,,0.9238,1.2813,0.6779,1.0266,,1.5393,1.8453,2.5581,1.3061,1.3737,0.5972,1.9016,0.6548,1.48,0.2362,1.643,0.8637,0.6357,0.5771,1.8171,0.2203,1.4175,0.5681,0.7363,0.1073,0.2523,0.7703,5.051,0.6224,0.7715,2.185,,0.3479,0.7656,1.6487,,1.0183,1.0574,,0.5523,1.1386,0.72,1.1407,,1.2989
