ÈÕÆÚ,600759.SH,600777.SH,601857.SH,600759.SH,600777.SH,601857.SH,600759.SH,600777.SH,601857.SH,600759.SH,600777.SH,601857.SH,600759.SH,600777.SH,601857.SH,600759.SH,600777.SH,601857.SH
2014/1/2,-0.2509,0.4545,-0.5188,2.84,3.053,0.0088,9667379233,4145770552,1.24194E+12,213.3803,120.1184,10.8335,4.2807,3.4085,1.2391,5.9025,2.084,0.6217
2014/1/3,2.3899,0.3017,-0.3911,2.4846,1.1468,0.0077,9898423516,4158276647,1.23708E+12,218.4799,120.4808,10.7911,4.383,3.4188,1.2343,6.0436,2.0902,0.6192
2014/1/6,-2.7027,0.6015,1.7016,1.8989,2.6152,0.0223,9630898556,4183288838,1.25813E+12,212.5751,121.2055,10.9747,4.2645,3.4394,1.2553,5.8802,2.1028,0.6298
2014/1/7,6.3131,2.9895,-0.3861,3.9655,1.879,0.0073,10238909829,4308349790,1.25328E+12,225.9952,124.829,10.9324,4.5338,3.5422,1.2505,6.2515,2.1657,0.6273
2014/1/8,0.2375,-0.7257,-1.292,3.3081,1.2203,0.0085,10263230280,4277084552,1.23708E+12,226.532,123.9231,10.7911,4.5445,3.5165,1.2343,6.2663,2.15,0.6192
2014/1/9,0.3555,-2.0468,-0.6545,3.2121,1.1656,0.0058,10299710956,4189541885,1.22899E+12,227.3372,121.3867,10.7205,4.5607,3.4445,1.2262,6.2886,2.106,0.6152
2014/1/10,-1.771,-1.6418,-0.7905,2.6623,0.993,0.0095,10117307574,4120758362,1.21927E+12,223.3112,119.3937,10.6357,4.4799,3.388,1.2165,6.1772,2.0714,0.6103
2014/1/13,3.4856,1.214,0.2656,2.6247,0.6354,0.0076,10469954112,4170782743,1.22251E+12,231.0949,120.8431,10.664,4.6361,3.4291,1.2198,6.3925,2.0965,0.6119
2014/1/14,9.9884,0.7496,0.9272,6.1718,0.8126,0.0133,11515733501,4202047980,1.23385E+12,254.1775,121.749,10.7629,5.0991,3.4548,1.2311,7.031,2.1122,0.6176
2014/1/15,0.9504,-0.8929,-0.5249,6.1679,0.7446,0.004,11625175530,4164529695,1.22737E+12,256.5931,120.662,10.7064,5.1476,3.4239,1.2246,7.0979,2.0934,0.6144
2014/1/16,0.2092,0.3003,-0.5277,4.4662,0.7906,0.0061,11649495981,4177035790,1.22089E+12,257.1299,121.0243,10.6499,5.1584,3.4342,1.2181,7.1127,2.0997,0.6111
2014/1/17,0.4175,2.2455,2.7851,2.3803,1.8489,0.0279,11698136883,4270831504,1.2549E+12,258.2035,123.7419,10.9465,5.1799,3.5113,1.2521,7.1424,2.1468,0.6281
2014/1/20,-1.9751,-0.4392,-1.5484,2.0942,1.0546,0.006,11467092599,4252072361,1.23547E+12,253.1039,123.1984,10.777,5.0776,3.4959,1.2327,7.0013,2.1374,0.6184
2014/1/21,5.4083,0.4412,0,3.0463,1.341,0.0042,12087264097,4270831504,1.23547E+12,266.7924,123.7419,10.777,5.3522,3.5113,1.2327,7.38,2.1468,0.6184
2014/1/22,-0.6036,6.1493,0.7864,2.757,4.1135,0.0091,12014302745,4533459503,1.24518E+12,265.182,131.3512,10.8617,5.3199,3.7273,1.2424,7.3354,2.2788,0.6233
2014/1/23,0.9109,-0.9655,-0.9103,2.4764,2.7927,0.0058,12123744774,4489688170,1.23385E+12,267.5976,130.083,10.7629,5.3684,3.6913,1.2311,7.4023,2.2568,0.6176
2014/1/24,0.3009,-0.1393,0,2.5622,1.3926,0.0049,12160225450,4483435122,1.23385E+12,268.4029,129.9018,10.7629,5.3845,3.6861,1.2311,7.4245,2.2537,0.6176
2014/1/27,8.9,0.2789,-1.3123,3.5159,1.8195,0.0074,13242485515,4495941217,1.21765E+12,292.2907,130.2642,10.6216,5.8637,3.6964,1.2149,8.0853,2.26,0.6095
2014/1/28,-3.1221,-0.1391,0.5319,2.4272,0.8596,0.0048,12829037850,4489688170,1.22413E+12,283.165,130.083,10.6781,5.6807,3.6913,1.2214,7.8329,2.2568,0.6127
2014/1/29,0.0948,-1.6713,-0.1323,1.2617,1.0111,0.0053,12841198075,4414651599,1.22251E+12,283.4334,127.9089,10.664,5.6861,3.6296,1.2198,7.8403,2.2191,0.6119
2014/1/30,1.3258,1.4164,-0.1325,1.3268,0.5286,0.004,13011441232,4477182074,1.22089E+12,287.1911,129.7207,10.6499,5.7614,3.681,1.2181,7.9443,2.2505,0.6111
