ÈÕÆÚ,002207.SZ,002554.SZ,002629.SZ,002738.SZ,002828.SZ,300157.SZ,300164.SZ,300191.SZ,600339.SH,600583.SH,600871.SH,600968.SH,601808.SH,603619.SH,603727.SH,603979.SH,002207.SZ,002554.SZ,002629.SZ,002738.SZ,002828.SZ,300157.SZ,300164.SZ,300191.SZ,600339.SH,600583.SH,600871.SH,600968.SH,601808.SH,603619.SH,603727.SH,603979.SH,002207.SZ,002554.SZ,002629.SZ,002738.SZ,002828.SZ,300157.SZ,300164.SZ,300191.SZ,600339.SH,600583.SH,600871.SH,600968.SH,601808.SH,603619.SH,603727.SH,603979.SH,002207.SZ,002554.SZ,002629.SZ,002738.SZ,002828.SZ,300157.SZ,300164.SZ,300191.SZ,600339.SH,600583.SH,600871.SH,600968.SH,601808.SH,603619.SH,603727.SH,603979.SH,002207.SZ,002554.SZ,002629.SZ,002738.SZ,002828.SZ,300157.SZ,300164.SZ,300191.SZ,600339.SH,600583.SH,600871.SH,600968.SH,601808.SH,603619.SH,603727.SH,603979.SH,002207.SZ,002554.SZ,002629.SZ,002738.SZ,002828.SZ,300157.SZ,300164.SZ,300191.SZ,600339.SH,600583.SH,600871.SH,600968.SH,601808.SH,603619.SH,603727.SH,603979.SH
2014/1/2,1.1998,1.4263,1.1373,,,2.3454,-1.8171,-0.5769,0.2304,-2.0619,1.0601,,-5.914,,,,1.4534,3.0525,2.8009,,,1.2098,2.9726,9.1766,0.7642,0.7199,1.3965,,0.5434,,,,1447924804,2258582438,1497777019,,,5564355984,2324829982,2688568000,2514972893,29559744000,1287000000,,61119828000,,,,199.721,56.6348,64.4493,,,72.8058,118.3589,101.6827,465.5437,12.2447,-11.8002,,14.0563,,,,3.4397,4.4543,2.8254,,,4.4165,3.2762,7.8039,2.1427,2.0263,2.4181,,2.535,,,,5.0786,6.13,3.5272,,,16.3952,10.5005,55.6522,0.8226,1.6521,0.9707,,3.3766,,,
2014/1/3,2.786,3.9062,0.1606,,,-0.375,4.8735,1.4334,-0.6897,-2.2368,-1.049,,-2.0952,,,,3.7001,11.2394,3.3106,,,1.3813,4.2754,10.6567,1.0453,0.6074,1.8661,,0.5558,,,,1488264144,2346808315,1500183086,,,5543489649,2438131381,2727107200,2497628252,28898539200,1273500000,,59839222080,,,,205.2853,58.8471,64.5529,,,72.5328,124.1271,103.1403,462.3331,11.9708,-11.6764,,13.7618,,,,3.5355,4.6283,2.8299,,,4.4,3.4359,7.9158,2.1279,1.981,2.3927,,2.4819,,,,5.2201,6.3695,3.5329,,,16.3337,11.0122,56.4499,0.8169,1.6151,0.9606,,3.3058,,,
2014/1/6,1.2687,-2.9323,-4.17,,,-3.1368,2.0588,-8.8156,-5.3241,-3.2301,-5.3004,,-0.8755,,,,4.8001,6.2266,2.9612,,,0.9116,4.5357,15.1048,1.091,0.7058,2.2171,,0.2763,,,,1507146388,2277992131,1437625331,,,5369603525,2488328204,2486696000,2364652674,27965073600,1206000000,,59315337840,,,,207.8898,57.1215,61.861,,,70.2576,126.6827,94.0478,437.7181,11.5841,-11.0575,,13.6413,,,,3.5804,4.4926,2.7119,,,4.262,3.5066,7.2179,2.0146,1.917,2.2659,,2.4602,,,,5.2863,6.1827,3.3855,,,15.8214,11.2389,51.4735,0.7735,1.563,0.9096,,3.2769,,,
2014/1/7,-0.7973,3.7955,2.2594,,,5.9154,3.6888,0.5535,0.978,-0.1391,-1.1194,,4.6614,,,,2.1479,7.6229,2.1962,,,1.9684,2.7378,9.1904,0.7479,0.8268,1.3813,,0.3993,,,,1495130414,2364453490,1470107243,,,5687235512,2580116679,2500460000,2387778861,27926179200,1192500000,,62080282440,,,,206.2324,59.2895,63.2587,,,74.4136,131.3557,94.5684,441.999,11.568,-10.9337,,14.2772,,,,3.5519,4.6631,2.7732,,,4.5141,3.636,7.2579,2.0343,1.9144,2.2405,,2.5749,,,,5.2442,6.4174,3.462,,,16.7573,11.6535,51.7584,0.781,1.5608,0.8995,,3.4296,,,
2014/1/8,1.6073,-0.5224,0,,,4.1582,3.8355,5.6514,0.4843,0.8357,0.7547,,-1.4534,,,,4.6847,5.7405,,,,3.9296,3.6577,14.1088,0.9042,0.6006,1.5943,,0.2282,,,,1519162361,2352101867,1470107243,,,5923720641,2679076129,2641770400,2399341955,28159545600,1201500000,,61178037360,,,,209.5472,58.9798,63.2587,,,77.5078,136.3938,99.9128,444.1394,11.6647,-11.0162,,14.0697,,,,3.609,4.6388,2.7732,,,4.7018,3.7754,7.6681,2.0442,1.9303,2.2575,,2.5375,,,,5.3285,6.3839,3.462,,,17.4541,12.1005,54.6835,0.7848,1.5738,0.9063,,3.3798,,,
2014/1/9,4.5763,-3.3758,0,,,0.5479,-1.7666,-2.4314,-1.4458,9.9448,8.6142,,5.0904,,,,8.5681,6.1454,,,,2.6943,3.2257,13.2603,0.8096,0.6353,5.2444,,0.7163,,,,1588683351,2272698579,1470107243,,,6552846076,2631747697,2577538400,2364652674,30959942400,1305000000,,64292238120,,,,219.1367,56.9887,63.2587,,,77.9325,133.9843,97.4835,437.7181,12.8247,-11.9652,,14.7859,,,,3.7741,4.4822,2.7732,,,4.7275,3.7087,7.4816,2.0146,2.1223,2.4519,,2.6666,,,,5.5723,6.1684,3.462,,,17.5497,11.8867,53.3539,0.7735,1.7304,0.9843,,3.5518,,,
2014/1/10,-3.6737,-2.4845,0,,,-4.0483,-2.3433,-3.7736,3.423,2.2613,-5.8621,,-0.7243,,,,4.1734,3.6109,,,,1.0358,2.1444,9.3063,2.0049,4.2828,3.7649,,0.3384,,,,1530320051,2216234018,1470107243,,,6287569318,2570077315,2480272800,2445594330,31660041600,1228500000,,63826563240,,,,211.0863,55.5729,63.2587,,,74.7776,130.8446,93.8049,452.7011,13.1147,-11.2638,,14.6788,,,,3.6355,4.3708,2.7732,,,4.5362,3.6218,7.1993,2.0836,2.1703,2.3082,,2.6473,,,,5.3676,6.0151,3.462,,,16.8393,11.6082,51.3406,0.7999,1.7695,0.9266,,3.5261,,,
2014/1/13,-0.8974,-3.2643,0,,,-0.6085,-2.3996,-5.3644,-2.1277,-1.5971,-1.8315,,-6.0192,,,,2.0956,3.9509,,,,0.7611,1.2882,12.9711,1.187,1.4896,1.7023,,0.2402,,,,1516587510,2143888799,1470107243,,,6249308247,2508406933,2347220800,2393560408,31154414400,1206000000,,59984745480,,,,209.1921,53.7588,63.2587,,,74.3226,127.7049,88.7728,443.0692,12.9052,-11.0575,,13.7953,,,,3.6028,4.2282,2.7732,,,4.5086,3.5349,6.8131,2.0392,2.1356,2.2659,,2.488,,,,5.3194,5.8187,3.462,,,16.7368,11.3296,48.5864,0.7829,1.7412,0.9096,,3.3139,,,
2014/1/14,4.5274,2.3868,0,,,10,6.3465,5.0821,3.1401,4.2447,3.3582,,2.6201,,,,2.1703,2.4671,,,,2.1038,2.1269,11.5925,1.2001,1.4167,2.4954,,0.2918,,,,1585250216,2195059807,1470107243,,,6874239072,2667602570,2466508800,2468720518,32476824000,1246500000,,61556398200,,,,218.6631,55.0419,63.2587,,,81.7548,135.8097,93.2844,456.982,13.453,-11.4288,,14.1567,,,,3.766,4.3291,2.7732,,,4.9594,3.7593,7.1594,2.1033,2.2263,2.342,,2.5532,,,,5.5603,5.9576,3.462,,,18.4105,12.0487,51.0557,0.8075,1.8151,0.9402,,3.4007,,,
2014/1/15,1.0828,-1.2862,0,,,2.5974,-0.2688,-2.0461,0.2342,-0.1198,1.444,,4.2553,,,,2.8106,3.7249,,,,2.5411,1.8511,8.423,1.034,0.8433,1.6268,,0.2412,,,,1602415892,2166827527,1470107243,,,7052790736,2660431595,2416040800,2474502065,32437929600,1264500000,,64175819400,,,,221.0309,54.334,63.2587,,,83.8783,135.4446,91.3756,458.0522,13.4369,-11.5939,,15.6662,,,,3.8067,4.2734,2.7732,,,5.0882,3.7492,7.0129,2.1082,2.2236,2.3758,,2.8254,,,,5.6205,5.881,3.462,,,18.8887,12.0163,50.011,0.8094,1.813,0.9538,,3.7633,,,
2014/1/16,-0.9106,0.6515,0,,,1.1935,-0.2695,1.4052,-0.7009,-1.199,-0.3559,,-0.6349,,,,2.9247,3.0783,,,,2.1659,1.4571,9.9692,0.7838,0.7181,1.0933,,0.2183,,,,1587825067,2180943667,1470107243,,,7136965092,2653260621,2449992000,2457157424,32048985600,1260000000,,63768353880,,,,219.0183,54.688,63.2587,,,84.8794,135.0795,92.6597,454.8416,13.2758,-11.5526,,15.5667,,,,3.7721,4.3012,2.7732,,,5.149,3.7391,7.1114,2.0934,2.197,2.3674,,2.8074,,,,5.5693,5.9193,3.462,,,19.1141,11.9839,50.7138,0.8037,1.7912,0.9504,,3.7394,,,
2014/1/17,-1.1351,-1.8608,0,,,0.7505,0.7568,5.7678,-3.2941,-1.0922,-0.7143,,1.8713,,,,2.1842,2.8276,,,,1.0685,0.7319,16.0674,0.8391,0.6841,0.9729,,0.2275,,,,1569801107,2140359764,1470107243,,,7190530591,2673339350,2591302400,2376215768,31698936000,1251000000,,64961645760,,,,216.5321,53.6703,63.2587,,,85.5165,136.1018,98.0041,439.8585,13.1308,-11.4701,,15.858,,,,3.7292,4.2212,2.7732,,,5.1876,3.7673,7.5216,2.0245,2.173,2.3505,,2.86,,,,5.5061,5.8092,3.462,,,19.2575,12.0746,53.6388,0.7772,1.7717,0.9436,,3.8094,,,
2014/1/20,4.2646,-3.4625,0,,,-3.5119,-2.1459,-7.33,0.2433,0,-2.518,,-4.2115,,,,4.1263,3.8702,,,,1.2358,0.5666,11.3413,0.4734,0.5121,0.922,,0.2593,,,,1636747245,2066250028,1470107243,,,6938007523,2615971552,2401359200,2381997315,31698936000,1219500000,,62225805840,,,,225.7664,51.812,63.2587,,,82.5132,133.1811,90.8204,440.9288,13.1308,-11.1813,,15.1902,,,,3.8883,4.075,2.7732,,,5.0054,3.6865,6.9702,2.0294,2.173,2.2913,,2.7395,,,,5.7409,5.608,3.462,,,18.5812,11.8155,49.7071,0.7791,1.7717,0.9198,,3.6489,,,
2014/1/21,1.4683,0.5978,0,,,2.0956,0.9868,1.1846,0.4854,2.454,0,,0.421,,,,4.9116,3.2568,,,,1.2125,0.706,6.9201,0.5653,0.9629,0.8351,,0.2357,,,,1660779192,2078601650,1470107243,,,7083399593,2641787061,2429804800,2393560408,32476824000,1219500000,,62487747960,,,,229.0813,52.1217,63.2587,,,84.2424,134.4954,91.8962,443.0692,13.453,-11.1813,,15.2541,,,,3.9454,4.0994,2.7732,,,5.1103,3.7229,7.0528,2.0392,2.2263,2.2913,,2.7511,,,,5.8252,5.6416,3.462,,,18.9706,11.9321,50.2959,0.7829,1.8151,0.9198,,3.6643,,,
2014/1/22,1.137,3.4805,0,,,-0.1801,0.8143,3.5876,2.657,2.7545,2.583,,3.7261,,,,2.8842,5.0123,,,,1.1905,1.8494,10.5442,1.2323,1.1977,1.3798,,0.4611,,,,1679661436,2150946869,1470107243,,,7070645902,2663299985,2516976800,2457157424,33371395200,1251000000,,64816122360,,,,231.6858,53.9358,63.2587,,,84.0907,135.5907,95.1931,454.8416,13.8236,-11.4701,,15.8225,,,,3.9902,4.2421,2.7732,,,5.1011,3.7532,7.3058,2.0934,2.2876,2.3505,,2.8536,,,,5.8914,5.8379,3.462,,,18.9365,12.0292,52.1003,0.8037,1.8651,0.9436,,3.8008,,,
2014/1/23,2.6571,-1.1485,0,,,-1.1544,1.5078,6.1247,0.4706,0.6993,1.4388,,1.0777,,,,3.0599,5.3403,,,,1.894,1.1097,16.232,1.3905,0.9218,1.9812,,0.4827,,,,1724292194,2126243624,1470107243,,,6989022284,2703457443,2671133600,2468720518,33604761600,1269000000,,65514634680,,,,237.842,53.3163,63.2587,,,83.1199,137.6351,101.0233,456.982,13.9203,-11.6351,,15.993,,,,4.0963,4.1934,2.7732,,,5.0422,3.8098,7.7533,2.1033,2.3036,2.3843,,2.8843,,,,6.048,5.7709,3.462,,,18.7179,12.2106,55.2913,0.8075,1.8782,0.9572,,3.8418,,,
