ÈÕÆÚ,000001.SZ,002142.SZ,002807.SZ,002839.SZ,002936.SZ,002948.SZ,002958.SZ,002966.SZ,600000.SH,600015.SH,600016.SH,600036.SH,600908.SH,600919.SH,600926.SH,600928.SH,601009.SH,601128.SH,601166.SH,601169.SH,601229.SH,601288.SH,601328.SH,601398.SH,601577.SH,601818.SH,601838.SH,601860.SH,601939.SH,601988.SH,601997.SH,601998.SH,603323.SH,000001.SZ,002142.SZ,002807.SZ,002839.SZ,002936.SZ,002948.SZ,002958.SZ,002966.SZ,600000.SH,600015.SH,600016.SH,600036.SH,600908.SH,600919.SH,600926.SH,600928.SH,601009.SH,601128.SH,601166.SH,601169.SH,601229.SH,601288.SH,601328.SH,601398.SH,601577.SH,601818.SH,601838.SH,601860.SH,601939.SH,601988.SH,601997.SH,601998.SH,603323.SH,000001.SZ,002142.SZ,002807.SZ,002839.SZ,002936.SZ,002948.SZ,002958.SZ,002966.SZ,600000.SH,600015.SH,600016.SH,600036.SH,600908.SH,600919.SH,600926.SH,600928.SH,601009.SH,601128.SH,601166.SH,601169.SH,601229.SH,601288.SH,601328.SH,601398.SH,601577.SH,601818.SH,601838.SH,601860.SH,601939.SH,601988.SH,601997.SH,601998.SH,603323.SH,000001.SZ,002142.SZ,002807.SZ,002839.SZ,002936.SZ,002948.SZ,002958.SZ,002966.SZ,600000.SH,600015.SH,600016.SH,600036.SH,600908.SH,600919.SH,600926.SH,600928.SH,601009.SH,601128.SH,601166.SH,601169.SH,601229.SH,601288.SH,601328.SH,601398.SH,601577.SH,601818.SH,601838.SH,601860.SH,601939.SH,601988.SH,601997.SH,601998.SH,603323.SH,000001.SZ,002142.SZ,002807.SZ,002839.SZ,002936.SZ,002948.SZ,002958.SZ,002966.SZ,600000.SH,600015.SH,600016.SH,600036.SH,600908.SH,600919.SH,600926.SH,600928.SH,601009.SH,601128.SH,601166.SH,601169.SH,601229.SH,601288.SH,601328.SH,601398.SH,601577.SH,601818.SH,601838.SH,601860.SH,601939.SH,601988.SH,601997.SH,601998.SH,603323.SH,000001.SZ,002142.SZ,002807.SZ,002839.SZ,002936.SZ,002948.SZ,002958.SZ,002966.SZ,600000.SH,600015.SH,600016.SH,600036.SH,600908.SH,600919.SH,600926.SH,600928.SH,601009.SH,601128.SH,601166.SH,601169.SH,601229.SH,601288.SH,601328.SH,601398.SH,601577.SH,601818.SH,601838.SH,601860.SH,601939.SH,601988.SH,601997.SH,601998.SH,603323.SH
2014/1/2,-0.1633,-1.0834,,,,,,,-1.0604,-3.1505,0.1295,-1.4692,,,,,-0.618,,-1.5779,-1.1984,,-0.4032,-0.5208,0,,-0.7519,,,-0.7246,-0.3817,,-0.2584,,0.8786,0.3113,,,,,,,0.4679,0.5797,0.4172,0.2582,,,,,0.1855,,0.4499,0.2843,,0.0204,0.1752,0.0153,,0.1077,,,0.3619,0.0213,,0.0416,,68193279931,26214773043,,,,,,,1.3923E+11,53847800531,1.74607E+11,2.21349E+11,,,,,23870222880,,1.61473E+11,55450210987,,7.01884E+11,1.24949E+11,9.47249E+11,,1.05206E+11,,,39429932761,5.10887E+11,,1.23154E+11,,6.5822,5.432,,,,,,,4.2529,4.7664,5.1864,5.2299,,,,,5.3082,,4.6139,4.8515,,4.8236,4.5539,4.7896,,4.5731,,,4.7869,4.6468,,4.6101,,0.8945,1.0322,,,,,,,0.8516,0.8652,1.109,1.0194,,,,,0.8977,,0.9518,0.8359,,0.9515,0.6761,0.9873,,0.7993,,,0.964,0.7892,,0.8005,,1.921,2.0632,,,,,,,1.7401,1.6345,1.8921,2.0407,,,,,2.2781,,1.7398,2.1294,,1.7341,1.7252,2.1335,,1.8707,,,2.0203,1.7893,,1.7273,
2014/1/3,-2.453,-0.8762,,,,,,,-2.0364,-2.8916,-1.5524,-2.0503,,,,,-0.995,,-2.505,-1.6173,,-0.4049,-0.7853,-0.5587,,-1.1364,,,-0.9732,-1.9157,,-1.5544,,0.9884,0.3079,,,,,,,0.5921,0.4605,0.3836,0.2837,,,,,0.2177,,0.4815,0.405,,0.023,0.1958,0.0165,,0.1497,,,0.3225,0.0233,,0.0533,,66520509369,25985070760,,,,,,,1.36394E+11,52290755697,1.71896E+11,2.1681E+11,,,,,23632708224,,1.57428E+11,54553442076,,6.99042E+11,1.23967E+11,9.41957E+11,,1.0401E+11,,,39046186456,5.011E+11,,1.2124E+11,,6.4208,5.3844,,,,,,,4.1663,4.6286,5.1059,5.1226,,,,,5.2554,,4.4983,4.773,,4.8041,4.5181,4.7628,,4.5211,,,4.7403,4.5578,,4.5384,,0.8725,1.0232,,,,,,,0.8342,0.8402,1.0918,0.9985,,,,,0.8888,,0.928,0.8224,,0.9477,0.6708,0.9818,,0.7903,,,0.9546,0.7741,,0.7881,,1.8739,2.0451,,,,,,,1.7047,1.5872,1.8628,1.9989,,,,,2.2554,,1.6963,2.0949,,1.7271,1.7117,2.1215,,1.8495,,,2.0006,1.755,,1.7004,
2014/1/6,-2.1794,1.326,,,,,,,0.547,-2.3573,-2.8909,-0.4757,,,,,-1.3819,,-0.7194,-1.2329,,-0.813,-1.0554,-0.2809,,-1.5326,,,0.2457,-1.1719,,-1.5789,,1.044,0.5418,,,,,,,0.7858,0.5296,0.5227,0.317,,,,,0.2699,,0.5493,0.3331,,0.0365,0.2247,0.0264,,0.2415,,,0.4546,0.0351,,0.0427,,65070774881,26329624184,,,,,,,1.3714E+11,51058095203,1.66927E+11,2.15779E+11,,,,,23306125573,,1.56295E+11,53880865393,,6.93359E+11,1.22659E+11,9.39311E+11,,1.02416E+11,,,39142123032,4.95228E+11,,1.19325E+11,,6.2808,5.4558,,,,,,,4.1891,4.5195,4.9583,5.0983,,,,,5.1828,,4.4659,4.7141,,4.765,4.4704,4.7494,,4.4519,,,4.752,4.5044,,4.4667,,0.8535,1.0368,,,,,,,0.8388,0.8204,1.0603,0.9937,,,,,0.8765,,0.9213,0.8123,,0.94,0.6638,0.979,,0.7781,,,0.9569,0.765,,0.7756,,1.833,2.0722,,,,,,,1.714,1.5498,1.8089,1.9894,,,,,2.2242,,1.6841,2.0691,,1.713,1.6936,2.1156,,1.8211,,,2.0056,1.7344,,1.6736,
2014/1/7,-0.3428,-0.9815,,,,,,,-0.5441,-0.3812,-1.0825,0.5736,,,,,0.2548,,-0.4141,-0.1387,,-0.4098,0.5333,0,,0,,,-1.7157,-0.3953,,-0.2674,,0.6069,0.2603,,,,,,,0.4835,0.3278,0.3414,0.263,,,,,0.1389,,0.2669,0.1963,,0.022,0.1482,0.0156,,0.1278,,,0.2694,0.0272,,0.0383,,64847738806,26071209116,,,,,,,1.36394E+11,50863464598,1.6512E+11,2.17016E+11,,,,,23365504237,,1.55648E+11,53806134650,,6.90517E+11,1.23313E+11,9.39311E+11,,1.02416E+11,,,38470567000,4.93271E+11,,1.19006E+11,,6.2593,5.4023,,,,,,,4.1663,4.5023,4.9046,5.1275,,,,,5.196,,4.4474,4.7076,,4.7455,4.4943,4.7494,,4.4519,,,4.6704,4.4866,,4.4548,,0.8506,1.0266,,,,,,,0.8342,0.8173,1.0488,0.9994,,,,,0.8787,,0.9175,0.8111,,0.9361,0.6673,0.979,,0.7781,,,0.9405,0.762,,0.7736,,1.8267,2.0519,,,,,,,1.7047,1.5439,1.7893,2.0008,,,,,2.2299,,1.6771,2.0662,,1.706,1.7026,2.1156,,1.8211,,,1.9712,1.7276,,1.6691,
2014/1/8,1.1178,0.9912,,,,,,,0.6565,2.1684,0.2736,1.0456,,,,,0.5083,,0.7277,0.1389,,-0.4115,0.7958,0.5634,,0,,,-0.7481,-0.3968,,0.2681,,0.821,0.3248,,,,,,,0.5267,0.4522,0.4191,0.239,,,,,0.1964,,0.3225,0.2582,,0.0284,0.1466,0.0196,,0.1546,,,0.2868,0.0353,,0.0262,,65572606050,26329624184,,,,,,,1.3729E+11,51966371356,1.65572E+11,2.19286E+11,,,,,23484261565,,1.5678E+11,53880865393,,6.87676E+11,1.24294E+11,9.44603E+11,,1.02416E+11,,,38182757272,4.91313E+11,,1.19325E+11,,7.3511,5.4558,,,,,,,4.1936,4.5999,4.918,5.1811,,,,,5.2224,,4.4798,4.7141,,4.726,4.53,4.7762,,4.4519,,,4.6355,4.4688,,4.4667,,0.999,1.0368,,,,,,,0.8397,0.835,1.0517,1.0099,,,,,0.8832,,0.9242,0.8123,,0.9323,0.6726,0.9846,,0.7781,,,0.9335,0.7589,,0.7756,,2.1454,2.0722,,,,,,,1.7159,1.5774,1.7942,2.0217,,,,,2.2412,,1.6893,2.0691,,1.699,1.7162,2.1275,,1.8211,,,1.9564,1.7207,,1.6736,
2014/1/9,0.5102,-0.6543,,,,,,,0.9783,0,-0.2729,0.6585,,,,,-0.7585,,0.4128,-0.1387,,-0.4132,-0.2632,-1.1204,,-0.7782,,,-0.7538,-0.3984,,-0.5348,,0.8707,0.2969,,,,,,,0.737,0.4046,0.3281,0.2338,,,,,0.1765,,0.3926,0.2958,,0.0221,0.1215,0.0169,,0.1517,,,0.2072,0.0232,,0.0322,,65907160163,26157347472,,,,,,,1.38633E+11,51966371356,1.6512E+11,2.2073E+11,,,,,23306125573,,1.57428E+11,53806134650,,6.84834E+11,1.23967E+11,9.34019E+11,,1.01619E+11,,,37894947544,4.89356E+11,,1.18687E+11,,7.3886,5.4201,,,,,,,4.2347,4.5999,4.9046,5.2152,,,,,5.1828,,4.4983,4.7076,,4.7065,4.5181,4.7227,,4.4172,,,4.6006,4.451,,4.4429,,1.0041,1.03,,,,,,,0.8479,0.835,1.0488,1.0165,,,,,0.8765,,0.928,0.8111,,0.9284,0.6708,0.9735,,0.7721,,,0.9264,0.7559,,0.7715,,2.1563,2.0587,,,,,,,1.7326,1.5774,1.7893,2.035,,,,,2.2242,,1.6963,2.0662,,1.692,1.7117,2.1037,,1.807,,,1.9417,1.7139,,1.6646,
2014/1/10,0,-0.3293,,,,,,,1.2917,1.8727,0.4104,0.9346,,,,,0,,0.2055,-0.4167,,0,0.2639,0,,-0.7843,,,0.2532,-0.4,,-0.2688,,0.6837,0.2384,,,,,,,0.6258,0.4947,0.3158,0.305,,,,,0.1626,,0.3202,0.3438,,0.0322,0.1142,0.0158,,0.1639,,,0.1767,0.021,,0.0358,,65907160163,26071209116,,,,,,,1.40423E+11,52939524378,1.65797E+11,2.22793E+11,,,,,23306125573,,1.57751E+11,53581942423,,6.84834E+11,1.24294E+11,9.34019E+11,,1.00822E+11,,,37990884120,4.87398E+11,,1.18368E+11,,7.3886,5.4023,,,,,,,4.2894,4.686,4.9247,5.264,,,,,5.1828,,4.5075,4.688,,4.7065,4.53,4.7227,,4.3826,,,4.6122,4.4332,,4.4309,,1.0041,1.0266,,,,,,,0.8589,0.8506,1.0531,1.026,,,,,0.8765,,0.9299,0.8078,,0.9284,0.6726,0.9735,,0.766,,,0.9288,0.7529,,0.7694,,2.1563,2.0519,,,,,,,1.755,1.6069,1.7967,2.054,,,,,2.2242,,1.6997,2.0576,,1.692,1.7162,2.1037,,1.7928,,,1.9466,1.707,,1.6601,
2014/1/13,-1.8613,0,,,,,,,-0.2125,0.4902,-0.545,0.7407,,,,,1.4013,,-0.3077,0.1395,,0,0.5263,0.2833,,0.7905,,,1.2626,1.2048,,1.3477,,0.8588,,,,,,,,0.4418,0.4203,0.3191,0.378,,,,,0.2564,,0.2637,0.2759,,0.0236,0.1361,0.0168,,0.1329,,,0.2724,0.0151,,0.0527,,64680461750,26071209116,,,,,,,1.40125E+11,53199031850,1.64894E+11,2.24443E+11,,,,,23632708224,,1.57266E+11,53656673165,,6.84834E+11,1.24949E+11,9.36665E+11,,1.01619E+11,,,38470567000,4.93271E+11,,1.19963E+11,,7.251,5.4023,,,,,,,4.2802,4.709,4.8979,5.303,,,,,5.2554,,4.4937,4.6945,,4.7065,4.5539,4.736,,4.4172,,,4.6704,4.4866,,4.4906,,0.9854,1.0266,,,,,,,0.857,0.8548,1.0473,1.0336,,,,,0.8888,,0.927,0.8089,,0.9284,0.6761,0.9763,,0.7721,,,0.9405,0.762,,0.7798,,2.1162,2.0519,,,,,,,1.7513,1.6148,1.7869,2.0693,,,,,2.2554,,1.6945,2.0605,,1.692,1.7252,2.1096,,1.807,,,1.9712,1.7276,,1.6825,
2014/1/14,1.0345,-2.3128,,,,,,,0.1065,0.122,0.411,-1.1949,,,,,1.005,,0.4115,0,,0,-0.7853,-0.565,,0.3922,,,-0.2494,-0.3968,,-0.7979,,0.65,0.4043,,,,,,,0.5342,0.3667,0.2408,0.2175,,,,,0.2476,,0.2845,0.2759,,0.0214,0.1683,0.0165,,0.1052,,,0.14,0.0156,,0.0437,,65349569975,25468240623,,,,,,,1.40274E+11,53263908718,1.65572E+11,2.21761E+11,,,,,23870222880,,1.57913E+11,53656673165,,6.84834E+11,1.23967E+11,9.31373E+11,,1.02018E+11,,,38374630424,4.91313E+11,,1.19006E+11,,7.3261,5.2773,,,,,,,4.2848,4.7148,4.918,5.2396,,,,,5.3082,,4.5122,4.6945,,4.7065,4.5181,4.7093,,4.4345,,,4.6588,4.4688,,4.4548,,0.9956,1.0029,,,,,,,0.8579,0.8559,1.0517,1.0213,,,,,0.8977,,0.9308,0.8089,,0.9284,0.6708,0.9708,,0.7751,,,0.9382,0.7589,,0.7736,,2.1381,2.0044,,,,,,,1.7532,1.6167,1.7942,2.0445,,,,,2.2781,,1.7015,2.0605,,1.692,1.7117,2.0977,,1.8141,,,1.9662,1.7207,,1.6691,
2014/1/15,-0.4266,-1.4656,,,,,,,-1.8085,-2.4361,-0.6821,-1.4884,,,,,-1.3682,,-1.332,-1.532,,-0.8299,-0.7916,-1.7045,,-0.7813,,,-0.75,0,,-2.4129,,0.5344,0.2948,,,,,,,0.5201,0.4307,0.2069,0.1724,,,,,0.2117,,0.2936,0.4039,,0.0217,0.1215,0.0268,,0.0979,,,0.1476,0.0259,,0.0905,,65070774881,25094974413,,,,,,,1.37737E+11,51966371356,1.64442E+11,2.18461E+11,,,,,23543640228,,1.5581E+11,52834634997,,6.79151E+11,1.22986E+11,9.15497E+11,,1.01118E+11,,,38086820696,4.91313E+11,,1.16135E+11,,7.2948,5.2,,,,,,,4.2073,4.5999,4.8845,5.1616,,,,,5.2356,,4.4521,4.6226,,4.6674,4.4823,4.629,,4.4381,,,4.6239,4.4688,,4.3473,,0.9913,0.9882,,,,,,,0.8424,0.835,1.0445,1.0061,,,,,0.8854,,0.9184,0.7965,,0.9207,0.6655,0.9542,,0.7758,,,0.9311,0.7589,,0.7549,,2.1289,1.9751,,,,,,,1.7215,1.5774,1.782,2.0141,,,,,2.2469,,1.6788,2.0289,,1.6779,1.6981,2.062,,1.8155,,,1.9515,1.7207,,1.6288,
