ÈÕÆÚ,000627.SZ,600291.SH,601318.SH,601319.SH,601336.SH,601601.SH,601628.SH,000627.SZ,600291.SH,601318.SH,601319.SH,601336.SH,601601.SH,601628.SH,000627.SZ,600291.SH,601318.SH,601319.SH,601336.SH,601601.SH,601628.SH,000627.SZ,600291.SH,601318.SH,601319.SH,601336.SH,601601.SH,601628.SH,000627.SZ,600291.SH,601318.SH,601319.SH,601336.SH,601601.SH,601628.SH,000627.SZ,600291.SH,601318.SH,601319.SH,601336.SH,601601.SH,601628.SH
2014/1/2,-0.3817,-1.2791,-1.0304,,-1.1801,-2.1587,-1.1236,0.2747,0.5489,0.4767,,0.4403,0.1946,0.0344,3532869550,3260160000,1.97679E+11,,24884131255,1.12556E+11,3.1152E+11,-34.9751,45.3988,11.6124,,15.9505,17.7404,17.0741,2.5311,1.463,1.7894,,1.7942,1.6601,1.9191,3.6498,0.3738,0.9016,,0.5443,0.8507,0.9982
2014/1/3,-0.7663,0.7067,-2.4455,,-2.3883,-2.2063,-2.607,0.3393,0.7271,0.5449,,0.667,0.2775,0.0565,3505797753,3283200000,1.92844E+11,,24289817638,1.10073E+11,3.03399E+11,-34.7071,45.7196,11.3285,,15.5695,17.349,16.629,2.5117,1.4733,1.7456,,1.7513,1.6234,1.8691,3.6219,0.3764,0.8795,,0.5313,0.8319,0.9722
2014/1/6,-3.4749,-2.5731,0,,-1.4046,-2.7637,1.4413,0.5928,0.5889,1.0109,,0.6046,0.4861,0.079,3383974665,3198720000,1.92844E+11,,23948637599,1.07031E+11,3.07772E+11,-33.5011,44.5432,11.3285,,15.3508,16.8695,16.8687,2.4244,1.4354,1.7456,,1.7267,1.5786,1.896,3.496,0.3667,0.8795,,0.5238,0.8089,0.9862
2014/1/7,0.4,0.4802,-0.4964,,-0.2298,-0.58,-0.2706,0.3067,0.3416,0.4589,,0.3467,0.1703,0.0324,3397510564,3214080000,1.91887E+11,,23893608560,1.0641E+11,3.06939E+11,-33.6351,44.7571,11.2722,,15.3155,16.7717,16.823,2.4341,1.4423,1.737,,1.7228,1.5694,1.8909,3.51,0.3685,0.8752,,0.5226,0.8042,0.9835
2014/1/8,-1.5936,0.3584,1.347,,1.0134,0.4084,-0.3392,0.4076,0.6928,0.5747,,0.4527,0.2053,0.0461,3343366969,3225600000,1.94472E+11,,24135736330,1.06845E+11,3.05898E+11,-33.099,44.9175,11.4241,,15.4708,16.8402,16.7659,2.3953,1.4475,1.7604,,1.7402,1.5758,1.8845,3.4541,0.3698,0.8869,,0.5279,0.8075,0.9802
2014/1/9,-2.834,-3.5714,-1.6244,,-1.14,-0.9878,-2.5868,0.5593,0.5064,0.5622,,0.4546,0.1777,0.0508,3248615678,3110400000,1.91313E+11,,23860591137,1.05789E+11,2.97985E+11,-32.161,43.3133,11.2385,,15.2944,16.6738,16.3322,2.3274,1.3958,1.7318,,1.7204,1.5603,1.8357,3.3562,0.3566,0.8725,,0.5219,0.7995,0.9548
2014/1/10,-3.3333,-1.6049,-1.0008,,0.0923,0.0587,-0.0699,0.7433,0.4697,0.4061,,0.3067,0.153,0.0406,3140328489,3060480000,1.89398E+11,,23882602752,1.05851E+11,2.97776E+11,-31.089,42.6182,11.126,,15.3085,16.6836,16.3208,2.2498,1.3734,1.7144,,1.722,1.5612,1.8344,3.2443,0.3509,0.8638,,0.5224,0.8,0.9541
2014/1/13,-0.431,0.1255,-0.3033,,-0.5069,-0.2346,-0.9091,0.2267,0.2687,0.5175,,0.3468,0.1633,0.04,3126792590,3064320000,1.88824E+11,,23761538867,1.05603E+11,2.95069E+11,-30.955,42.6716,11.0923,,15.2309,16.6445,16.1725,2.2401,1.3751,1.7092,,1.7132,1.5575,1.8178,3.2303,0.3513,0.8612,,0.5197,0.7981,0.9455
2014/1/14,1.7316,1.3784,1.3688,,1.5748,1.2346,0.494,0.2782,0.3412,0.4495,,0.3519,0.1588,0.0414,3180936185,3106560000,1.91409E+11,,24135736330,1.06907E+11,2.96527E+11,-31.491,43.2598,11.2441,,15.4708,16.85,16.2523,2.2789,1.3941,1.7326,,1.7402,1.5767,1.8267,3.2863,0.3561,0.873,,0.5279,0.808,0.9501
2014/1/15,0.4255,0.1236,-0.6752,,-0.684,-0.6388,0.1404,0.2686,0.3928,0.3058,,0.2554,0.109,0.0305,3194472084,3110400000,1.90116E+11,,23970649214,1.06224E+11,2.96944E+11,-31.625,43.3133,11.1682,,15.3649,16.7423,16.2752,2.2886,1.3958,1.7209,,1.7283,1.5667,1.8293,3.3002,0.3566,0.8671,,0.5243,0.8028,0.9515
2014/1/16,1.2712,2.2222,3.7764,,1.3774,1.052,0.9818,0.2965,0.7049,1.1162,,0.7911,0.4815,0.0685,3235079780,3179520000,1.97296E+11,,24300823446,1.07341E+11,2.99859E+11,-32.027,44.2758,11.5899,,15.5766,16.9185,16.435,2.3177,1.4268,1.7859,,1.7521,1.5832,1.8473,3.3422,0.3645,0.8998,,0.5315,0.8112,0.9608
2014/1/17,-2.0921,-1.9324,-0.8734,,-2.3098,-1.5616,1.3889,0.2635,0.445,0.6235,,0.7174,0.2536,0.1215,3167400286,3118080000,1.95573E+11,,23739527252,1.05665E+11,3.04024E+11,-31.357,43.4203,11.4887,,15.2168,16.6543,16.6632,2.2692,1.3992,1.7703,,1.7117,1.5584,1.8729,3.2723,0.3575,0.892,,0.5192,0.7986,0.9742
2014/1/20,-0.8547,-1.3547,-0.3426,,-0.7881,0.1175,-2.6027,0.2014,0.3198,0.4229,,0.3659,0.2705,0.0452,3140328489,3075840000,1.94903E+11,,23552428521,1.05789E+11,2.96111E+11,-31.089,42.8321,11.4494,,15.0969,16.6738,16.2295,2.2498,1.3803,1.7643,,1.6982,1.5603,1.8242,3.2443,0.3526,0.8889,,0.5151,0.7995,0.9488
2014/1/21,1.2931,0.4994,1.5472,,0.5607,0.6455,0.5626,0.2909,0.4364,0.5568,,0.4811,0.2445,0.0444,3180936185,3091200000,1.97918E+11,,23684498213,1.06472E+11,2.97776E+11,-31.491,43.0459,11.6265,,15.1815,16.7815,16.3208,2.2789,1.3872,1.7916,,1.7077,1.5703,1.8344,3.2863,0.3544,0.9027,,0.518,0.8047,0.9541
2014/1/22,2.5532,3.1056,1.1125,,2.3234,1.8659,2.3776,0.4002,0.6292,0.7006,,0.6824,0.325,0.0553,3262151577,3187200000,2.0012E+11,,24234788599,1.08459E+11,3.04856E+11,-32.295,44.3828,11.7558,,15.5342,17.0946,16.7089,2.3371,1.4303,1.8115,,1.7474,1.5996,1.8781,3.3702,0.3654,0.9127,,0.5301,0.8197,0.9768
2014/1/23,-0.4149,-0.4819,-1.9373,,0.9537,-2.1179,-0.888,0.2846,0.4766,0.665,,0.9713,0.4155,0.0618,3248615678,3171840000,1.96243E+11,,24465910562,1.06162E+11,3.02149E+11,-32.161,44.1689,11.5281,,15.6824,16.7326,16.5605,2.3274,1.4234,1.7764,,1.764,1.5658,1.8614,3.3562,0.3636,0.895,,0.5351,0.8023,0.9681
2014/1/24,0,1.5738,-1.1463,,-0.6748,-0.5848,-1.1027,0.5323,0.5997,0.6305,,0.5059,0.3612,0.059,3248615678,3221760000,1.93993E+11,,24300823446,1.05541E+11,2.98818E+11,-32.161,44.864,11.3959,,15.5766,16.6347,16.3779,2.3274,1.4458,1.756,,1.7521,1.5566,1.8409,3.3562,0.3694,0.8848,,0.5315,0.7976,0.9575
2014/1/27,0,-1.907,-3.775,,-2.4457,-3.2353,-4.1115,0.3736,0.5265,1.2443,,0.4952,0.5496,0.0796,3248615678,3160320000,1.8667E+11,,23706509829,1.02126E+11,2.86532E+11,-32.161,44.0085,10.9657,,15.1956,16.0965,15.7045,2.3274,1.4182,1.6897,,1.7093,1.5062,1.7652,3.3562,0.3623,0.8514,,0.5185,0.7718,0.9181
2014/1/28,1.25,1.2151,0.4103,,1.2535,0.7295,0.436,0.3899,0.365,0.5703,,0.2767,0.2766,0.0502,3289223374,3198720000,1.87436E+11,,24003666637,1.02871E+11,2.87781E+11,-32.563,44.5432,11.0107,,15.3861,16.2139,15.773,2.3565,1.4354,1.6967,,1.7307,1.5172,1.7729,3.3981,0.3667,0.8549,,0.525,0.7775,0.9221
2014/1/29,-0.823,0.2401,0.3064,,-0.1376,0.7242,0.5065,0.2724,0.4303,0.3978,,0.2675,0.1913,0.0565,3262151577,3206400000,1.8801E+11,,23970649214,1.03616E+11,2.89239E+11,-32.295,44.6501,11.0445,,15.3649,16.3314,15.8529,2.3371,1.4389,1.7019,,1.7283,1.5282,1.7818,3.3702,0.3676,0.8575,,0.5243,0.7831,0.9268
2014/1/30,0,-2.2754,-0.3564,,-1.1478,-1.9173,-1.2239,0.1859,0.3917,0.5675,,0.2591,0.209,0.044,3262151577,3133440000,1.8734E+11,,23695504021,1.0163E+11,2.85699E+11,-32.295,43.6342,11.0051,,15.1886,16.0182,15.6589,2.3371,1.4061,1.6958,,1.7085,1.4989,1.76,3.3702,0.3592,0.8544,,0.5183,0.7681,0.9154
