ÈÕÆÚ,000166.SZ,000686.SZ,000712.SZ,000728.SZ,000750.SZ,000776.SZ,000783.SZ,000987.SZ,002500.SZ,002670.SZ,002673.SZ,002736.SZ,002797.SZ,002926.SZ,002939.SZ,002945.SZ,600030.SH,600061.SH,600109.SH,600155.SH,600369.SH,600621.SH,600837.SH,600864.SH,600909.SH,600958.SH,600999.SH,601066.SH,601099.SH,601108.SH,601162.SH,601198.SH,601211.SH,601236.SH,601375.SH,601377.SH,601555.SH,601688.SH,601788.SH,601878.SH,601881.SH,601901.SH,601990.SH,000166.SZ,000686.SZ,000712.SZ,000728.SZ,000750.SZ,000776.SZ,000783.SZ,000987.SZ,002500.SZ,002670.SZ,002673.SZ,002736.SZ,002797.SZ,002926.SZ,002939.SZ,002945.SZ,600030.SH,600061.SH,600109.SH,600155.SH,600369.SH,600621.SH,600837.SH,600864.SH,600909.SH,600958.SH,600999.SH,601066.SH,601099.SH,601108.SH,601162.SH,601198.SH,601211.SH,601236.SH,601375.SH,601377.SH,601555.SH,601688.SH,601788.SH,601878.SH,601881.SH,601901.SH,601990.SH,000166.SZ,000686.SZ,000712.SZ,000728.SZ,000750.SZ,000776.SZ,000783.SZ,000987.SZ,002500.SZ,002670.SZ,002673.SZ,002736.SZ,002797.SZ,002926.SZ,002939.SZ,002945.SZ,600030.SH,600061.SH,600109.SH,600155.SH,600369.SH,600621.SH,600837.SH,600864.SH,600909.SH,600958.SH,600999.SH,601066.SH,601099.SH,601108.SH,601162.SH,601198.SH,601211.SH,601236.SH,601375.SH,601377.SH,601555.SH,601688.SH,601788.SH,601878.SH,601881.SH,601901.SH,601990.SH,000166.SZ,000686.SZ,000712.SZ,000728.SZ,000750.SZ,000776.SZ,000783.SZ,000987.SZ,002500.SZ,002670.SZ,002673.SZ,002736.SZ,002797.SZ,002926.SZ,002939.SZ,002945.SZ,600030.SH,600061.SH,600109.SH,600155.SH,600369.SH,600621.SH,600837.SH,600864.SH,600909.SH,600958.SH,600999.SH,601066.SH,601099.SH,601108.SH,601162.SH,601198.SH,601211.SH,601236.SH,601375.SH,601377.SH,601555.SH,601688.SH,601788.SH,601878.SH,601881.SH,601901.SH,601990.SH,000166.SZ,000686.SZ,000712.SZ,000728.SZ,000750.SZ,000776.SZ,000783.SZ,000987.SZ,002500.SZ,002670.SZ,002673.SZ,002736.SZ,002797.SZ,002926.SZ,002939.SZ,002945.SZ,600030.SH,600061.SH,600109.SH,600155.SH,600369.SH,600621.SH,600837.SH,600864.SH,600909.SH,600958.SH,600999.SH,601066.SH,601099.SH,601108.SH,601162.SH,601198.SH,601211.SH,601236.SH,601375.SH,601377.SH,601555.SH,601688.SH,601788.SH,601878.SH,601881.SH,601901.SH,601990.SH,000166.SZ,000686.SZ,000712.SZ,000728.SZ,000750.SZ,000776.SZ,000783.SZ,000987.SZ,002500.SZ,002670.SZ,002673.SZ,002736.SZ,002797.SZ,002926.SZ,002939.SZ,002945.SZ,600030.SH,600061.SH,600109.SH,600155.SH,600369.SH,600621.SH,600837.SH,600864.SH,600909.SH,600958.SH,600999.SH,601066.SH,601099.SH,601108.SH,601162.SH,601198.SH,601211.SH,601236.SH,601375.SH,601377.SH,601555.SH,601688.SH,601788.SH,601878.SH,601881.SH,601901.SH,601990.SH
2014/1/2,,0.3793,-0.6536,-0.5882,0.1748,-0.7212,-1.25,-0.6283,0.4348,1.6313,-0.5303,,,,,,-1.2549,-1.2987,0.0589,4.9046,-1.8127,-0.1672,-0.9717,-0.504,,,-1.0252,,0.6723,,,,,,,-0.9514,-1.2791,-1.2277,-0.4603,,,0,,,0.993,0.9215,0.5894,3.918,0.3831,1.1542,0.6087,0.4256,8.9208,3.1437,,,,,,0.691,1.0946,1.9459,0.9803,0.6118,0.3982,0.6717,0.3956,,,0.8149,,2.026,,,,,,,0.4679,1.4149,0.4329,0.3724,,,,,,13414483555,5105931499,19915974000,6723303087,73340021239,24352054843,3404100467,16630614000,1026421557,4223709607,,,,,,1.23567E+11,2608824275,21973337500,1588125000,22644906980,3128771635,90712790528,5392752795,,,58496802854,,9905331657,,,,,,,19483603200,10369516200,49539400855,29565700000,,,20665920245,,,32.3709,193.1749,29.988,85.7558,26.0764,24.2107,11.0282,67.5021,27.4979,57.5242,,,,,,26.4502,410.4124,69.3359,2.2896,35.9255,10.5693,26.628,16.3202,,,26.2356,,132.7784,,,,,,,36.2023,44.3764,22.408,143.6782,,,32.6069,,,2.0903,4.608,1.2735,4.2822,2.1166,1.9206,1.6295,2.5301,3.1422,3.391,,,,,,1.5818,4.3741,3.2658,19.787,2.093,1.8703,1.7469,1.7802,,,2.1538,,4.5367,,,,,,,1.8733,2.1688,1.3883,1.2947,,,2.332,,,8.7943,29.777,10.0336,14.5576,8.9357,7.9898,0.8325,13.2632,1.676,13.9598,,,,,,8.6069,0.5989,14.2036,22.1496,11.5293,2.8015,10.2769,4.7859,,,9.6108,,20.3636,,,,,,,7.8497,10.6211,6.9155,7.3555,,,10.4752,
2014/1/3,,-1.3224,-3.2018,-2.5641,-2.356,-2.3406,-3.7975,-1.3699,-2.886,-0.4815,0.2285,,,,,,-2.8594,-3.6184,-0.8245,0.7792,-3.0769,-3.1826,-3.9251,-2.3303,,,-3.506,,-1.8364,,,,,,,-1.921,-4.0047,-2.8249,-1.5029,,,0,,,0.9075,0.786,0.6708,4.4801,0.4763,1.8671,0.4989,0.6676,7.5058,4.5839,,,,,,0.8562,1.1555,2.5236,1.5322,0.6191,0.8544,1.3406,0.6869,,,1.0206,,1.5164,,,,,,,0.4716,2.543,0.545,0.4831,,,,,,13237087991,4942452113,19405308000,6564900658,71623426714,23427293267,3357468953,16150654000,1021478917,4233360124,,,,,,1.20033E+11,2514426028,21792167462,1600500000,21948140611,3029195989,87152252809,5267085809,,,56445918929,,9723430742,,,,,,,19109318400,9954247000,48139982752,29121360000,,,20665920245,,,31.9428,186.9899,29.2191,83.7354,25.4661,23.2913,10.8772,65.554,27.3655,57.6556,,,,,,25.6939,395.562,68.7642,2.3074,34.8201,10.2329,25.5829,15.9399,,,25.3158,,130.3401,,,,,,,35.5068,42.5992,21.775,141.5189,,,32.6069,,,2.0626,4.4605,1.2408,4.1813,2.067,1.8476,1.6072,2.4571,3.1271,3.3987,,,,,,1.5365,4.2159,3.2389,19.9412,2.0286,1.8108,1.6783,1.7387,,,2.0783,,4.4534,,,,,,,1.8373,2.082,1.3491,1.2752,,,2.332,,,8.678,28.8236,9.7763,14.2146,8.7265,7.6864,0.8211,12.8805,1.6679,13.9917,,,,,,8.3608,0.5772,14.0864,22.3222,11.1745,2.7123,9.8735,4.6743,,,9.2739,,19.9896,,,,,,,7.6989,10.1957,6.7201,7.2449,,,10.4752,
2014/1/6,,-2.1059,-4.4404,-0.5061,1.1618,-1.2397,-0.8097,-3.6325,3.7147,-5.8871,1.5957,,,,,,0,-3.413,-0.2375,-0.7732,-2.328,-6.9204,1.1142,-1.3485,,,-1.6515,,-0.5102,,,,,,,-0.9793,-0.9816,1.7442,-1.6432,,,0,,,1.0036,1.2301,0.6526,6.0374,0.567,1.4232,0.6524,1.2542,7.5304,5.9597,,,,,,1.0685,0.7626,4.1895,0.8501,0.6385,0.8709,1.0453,0.5996,,,1.1812,,1.9107,,,,,,,0.5011,1.6571,0.6757,0.4487,,,,,,12958323535,4722986637,19307103000,6641168494,70735532995,23237598584,3235509611,16750604000,961343464.4,4300913743,,,,,,1.20033E+11,2428609440,21740404594,1588125000,21437178607,2819563048,88123308550,5196056644,,,55513698963,,9673821401,,,,,,,18922176000,9856536600,48979633614,28642840000,,,20665920245,,,31.2701,178.6868,29.0712,84.7081,25.1504,23.1027,10.4821,67.9892,25.7545,58.5757,,,,,,25.6939,382.0616,68.6009,2.2896,34.0095,9.5248,25.8679,15.7249,,,24.8977,,129.6751,,,,,,,35.1591,42.1811,22.1548,139.1934,,,32.6069,,,2.0192,4.2624,1.2346,4.2299,2.0414,1.8327,1.5488,2.5483,2.943,3.4529,,,,,,1.5365,4.072,3.2312,19.787,1.9814,1.6855,1.697,1.7152,,,2.044,,4.4307,,,,,,,1.8193,2.0615,1.3726,1.2543,,,2.332,,,8.4953,27.5437,9.7269,14.3797,8.6184,7.6242,0.7912,13.3589,1.5697,14.2149,,,,,,8.3608,0.5575,14.053,22.1496,10.9144,2.5246,9.9836,4.6113,,,9.1207,,19.8876,,,,,,,7.6235,10.0956,6.8373,7.1259,,,10.4752,
2014/1/7,,0.3911,-0.0474,-0.8138,-1.0601,-0.5021,-1.9388,0.1109,-0.7163,1.6281,-3.0666,,,,,,-1.5536,0.3534,1.9643,-1.5584,0,-0.3717,-1.1938,1.7876,,,-0.2519,,-0.3419,,,,,,,0.2198,-0.7435,-1.2571,0.2387,,,0,,,0.7763,1.3385,0.4514,3.6448,0.2657,1.1167,0.4488,0.7935,5.5845,4.9597,,,,,,0.4602,0.5129,2.6818,0.7257,0.3613,0.5924,0.4504,0.4792,,,0.6179,,1.1152,,,,,,,0.2971,1.1705,0.222,0.2087,,,,,,13009007981,4720747193,19149975000,6570767414,70380375507,22787073714,3239096650,16630614000,976995157.5,4169023344,,,,,,1.18169E+11,2437191099,22167448255,1563375000,21437178607,2809081401,87071331497,5288940937,,,55373865969,,9640748508,,,,,,,18963763200,9783253800,48363889648,28711200000,,,20665920245,,,31.3925,178.602,28.8346,83.8102,25.0241,22.6548,10.4937,67.5021,26.1738,56.7794,,,,,,25.2948,383.4116,69.9484,2.2539,34.0095,9.4894,25.5591,16.006,,,24.835,,129.2318,,,,,,,35.2364,41.8674,21.8763,139.5256,,,32.6069,,,2.0271,4.2604,1.2245,4.185,2.0312,1.7971,1.5505,2.5301,2.9909,3.347,,,,,,1.5127,4.0864,3.2947,19.4786,1.9814,1.6792,1.6767,1.7459,,,2.0389,,4.4155,,,,,,,1.8233,2.0462,1.3553,1.2573,,,2.332,,,8.5285,27.5307,9.6477,14.2273,8.5751,7.4764,0.7921,13.2632,1.5953,13.779,,,,,,8.2309,0.5595,14.329,21.8044,10.9144,2.5152,9.8644,4.6937,,,9.0977,,19.8196,,,,,,,7.6403,10.0206,6.7514,7.1429,,,10.4752,
2014/1/8,,1.5584,0.0949,0.8205,0.8036,0.7569,1.6649,-0.8859,-0.1443,-2.8668,0.9259,,,,,,0.3322,-2.1127,7.9977,0.7916,2.1668,0.3731,0.4647,1.9628,,,0.6734,,2.0583,,,,,,,1.2061,0.1248,0.3472,-0.7143,,,0,,,1.1259,0.6945,0.6338,6.4906,0.4565,1.1625,0.4647,1.0988,7.1438,4.7548,,,,,,0.7694,0.8501,5.9503,0.7162,0.603,0.4305,0.641,0.6966,,,0.9121,,3.0261,,,,,,,0.5572,1.716,0.318,0.457,,,,,,13211745768,4725226080,19307103000,6623568224,70913111739,23166463078,3210400335,16606616000,948986864.6,4207625412,,,,,,1.18561E+11,2385701146,23940326487,1575750000,21901689520,2819563048,87475938056,5392752795,,,55746753955,,9839185870,,,,,,,19192492800,9795467600,48531819821,28506120000,,,20665920245,,,31.8817,178.7715,29.0712,84.4837,25.2135,23.032,10.4007,67.4047,25.4234,57.3051,,,,,,25.3788,375.3114,75.5427,2.2717,34.7465,9.5248,25.6779,16.3202,,,25.0023,,131.8918,,,,,,,35.6614,41.9197,21.9523,138.529,,,32.6069,,,2.0587,4.2644,1.2346,4.2187,2.0465,1.827,1.5368,2.5264,2.9052,3.378,,,,,,1.5177,4,3.5582,19.6328,2.0243,1.6855,1.6845,1.7802,,,2.0526,,4.5064,,,,,,,1.8453,2.0488,1.3601,1.2483,,,2.332,,,8.6614,27.5568,9.7269,14.3416,8.64,7.6009,0.7851,13.2441,1.5496,13.9066,,,,,,8.2583,0.5477,15.475,21.977,11.1509,2.5246,9.9102,4.7859,,,9.159,,20.2276,,,,,,,7.7324,10.0331,6.7748,7.0919,,,10.4752,
2014/1/9,,-1.7903,0,-2.1363,-1.9486,-2.0033,-2.7636,-1.1173,-3.9017,-5.2083,-3.211,,,,,,-2.1523,-0.3597,2.4865,-0.2618,-2.0148,-1.487,-2.7752,-0.7092,,,-2.0903,,-1.6807,,,,,,,-1.0834,-0.7481,-1.4994,-2.7578,,,0,,,1.2202,0.5189,0.4688,5.5009,0.3605,1.1726,0.4846,0.7687,6.7426,5.3383,,,,,,0.7073,0.6697,3.7337,0.6939,0.3782,0.4038,0.7661,0.5273,,,0.7231,,2.3344,,,,,,,0.371,1.4241,0.2847,0.5257,,,,,,12975218350,4725226080,18894642000,6494499578,69492481787,22526243526,3174529940,15958670000,899560465.4,4072518174,,,,,,1.16009E+11,2377119488,24535599470,1571625000,21460404153,2777636460,85048298702,5354506321,,,54581478998,,9673821401,,,,,,,18984556800,9722184800,47804122407,27719980000,,,20665920245,,,31.3109,178.7715,28.4501,82.8374,24.7084,22.3955,10.2845,64.7748,24.0993,55.4651,,,,,,24.8326,373.9613,77.421,2.2658,34.0464,9.3831,24.9653,16.2044,,,24.4796,,129.6751,,,,,,,35.275,41.6061,21.6231,134.7087,,,32.6069,,,2.0218,4.2644,1.2082,4.1365,2.0055,1.7766,1.5196,2.4279,2.7539,3.2696,,,,,,1.485,3.9856,3.6466,19.5814,1.9835,1.6604,1.6378,1.7675,,,2.0097,,4.4307,,,,,,,1.8253,2.0334,1.3397,1.2139,,,2.332,,,8.5063,27.5568,9.5191,14.0622,8.4669,7.3908,0.7763,12.7274,1.4688,13.4601,,,,,,8.0805,0.5457,15.8598,21.9195,10.9262,2.4871,9.6352,4.7519,,,8.9675,,19.8876,,,,,,,7.6487,9.958,6.6732,6.8963,,,10.4752,
2014/1/10,,0.0651,-1.6588,-1.3514,-4.9684,-2.2998,-2.3158,-2.2599,-0.4511,-6.9597,-4.8183,,,,,,-2.5381,-0.9025,1.5295,-4.4619,-2.0563,-0.1887,-3.0447,2.0408,,,-3.9283,,-2.3932,,,,,,,-1.4239,-4.0201,-0.5855,-2.7127,,,0,,,1.0133,0.7116,0.5251,5.53,0.4084,0.9425,0.4719,0.4757,11.2839,2.5541,,,,,,0.774,0.5418,2.6119,0.9914,0.5144,0.4801,0.9458,1.2411,,,0.9786,,1.6651,,,,,,,0.5334,2.3193,0.2864,0.5095,,,,,,12983665758,4646845553,18639309000,6171827964,67894273092,22004583149,3102789150,15886676000,836953693.1,7575402405,,,,,,1.13065E+11,2355665341,24910880264,1501500000,21019118786,2772395637,82458816724,5463781960,,,52437373076,,9442311146,,,,,,,18714240000,9331343200,47524238786,26968020000,,,20665920245,,,31.3313,175.8061,28.0657,78.7217,24.1402,21.8769,10.0521,64.4826,22.4221,52.7926,,,,,,24.2023,370.5862,78.6052,2.1647,33.3463,9.3654,24.2051,16.5351,,,23.518,,126.5718,,,,,,,34.7728,39.9335,21.4965,131.0544,,,32.6069,,,2.0232,4.1937,1.1919,3.9309,1.9594,1.7354,1.4853,2.4169,2.5622,3.112,,,,,,1.4473,3.9497,3.7024,18.7077,1.9428,1.6573,1.5879,1.8036,,,1.9307,,4.3247,,,,,,,1.7993,1.9517,1.3318,1.1809,,,2.332,,,8.5119,27.0997,9.3904,13.3635,8.2722,7.2196,0.7588,12.6699,1.3666,12.8115,,,,,,7.8754,0.5408,16.1024,20.9414,10.7015,2.4824,9.3418,4.8489,,,8.6153,,19.4117,,,,,,,7.5397,9.5577,6.6342,6.7092,,,10.4752,
2014/1/13,,-1.4964,2.1687,-1.0537,-1.1407,-0.6103,0.6466,0.578,-2.1148,1.8701,-1.8257,,,,,,-0.8681,-2.9144,-5.2468,0,-3.0939,-0.3781,-0.2944,-9.2,,,-1.2444,,-0.5254,,,,,,,-0.4444,-1.7016,0.1178,-0.8872,,,1.692,,,0.8744,0.4642,0.4212,3.3572,0.2418,0.7847,0.3056,0.4074,5.9858,1.1995,,,,,,0.5619,0.8003,2.4262,0.6304,0.453,0.3504,0.6141,2.4198,,,0.618,,1.1691,,,,,,,0.2346,1.1478,0.2094,0.388,,,6.1003,,,12789375379,4747620517,18442899000,6101426885,67479922690,22146854161,3120724348,15550704000,852605386.2,7437096303,,,,,,1.12083E+11,2287012070,23603867844,1501500000,20368803509,2761913990,82216052789,4961114020,,,51784819100,,9392701805,,,,,,,18631065600,9172563800,47580215511,26728760000,,,21015597406,,,30.8625,179.6187,27.7699,77.8237,23.9929,22.0183,10.1102,63.1189,22.8414,51.8287,,,,,,23.9922,359.7859,74.481,2.1647,32.3146,9.33,24.1339,15.0139,,,23.2253,,125.9067,,,,,,,34.6182,39.254,21.5218,129.8917,,,33.1586,,,1.9929,4.2846,1.1793,3.8861,1.9475,1.7466,1.4939,2.3658,2.6101,3.0552,,,,,,1.4348,3.8346,3.5082,18.7077,1.8827,1.651,1.5832,1.6377,,,1.9067,,4.3019,,,,,,,1.7913,1.9185,1.3334,1.1705,,,2.3714,,,8.3845,27.6874,9.2915,13.2111,8.2217,7.2663,0.7632,12.402,1.3922,12.5776,,,,,,7.8071,0.525,15.2575,20.9414,10.3704,2.473,9.3143,4.4028,,,8.5081,,19.3097,,,,,,,7.5062,9.3951,6.642,6.6497,,,10.6525,
2014/1/14,,1.321,1.3679,0.852,1.9231,1.1404,0.9636,1.954,1.6975,1.256,1.6061,,,,,,1.4011,1.8762,-1.1513,2.7473,2.5086,2.0873,1.2795,-5.6167,,,1.8902,,2.993,,,,,,,1.5625,1.4647,1.5294,1.6624,,,-4.6589,,,0.585,0.3899,0.3807,3.025,0.2961,0.8403,0.4391,0.3361,4.8405,1.0503,,,,,,0.4542,0.4823,2.8195,0.6132,0.3951,0.2881,0.5413,2.3681,,,0.5358,,1.433,,,,,,,0.2467,0.9113,0.2045,0.3147,,,3.1396,,,12958323535,4812564382,18600027000,6218762017,68249430580,22360260678,3181704019,15814682000,863314439.4,7556542482,,,,,,1.13654E+11,2329920364,23332112787,1542750000,20879765512,2819563048,83268029842,4682461140,,,52763650064,,9673821401,,,,,,,18922176000,9306915600,48307912924,27173100000,,,20036501354,,,31.2701,182.0758,28.0065,79.3204,24.2665,22.2305,10.3077,64.1903,23.1283,52.6611,,,,,,24.3283,366.5361,73.6235,2.2241,33.1252,9.5248,24.4427,14.1706,,,23.6643,,129.6751,,,,,,,35.1591,39.829,21.851,132.051,,,31.6138,,,2.0192,4.3433,1.1894,3.9608,1.9697,1.7635,1.523,2.406,2.6429,3.1043,,,,,,1.4549,3.9065,3.4678,19.2216,1.9299,1.6855,1.6035,1.5457,,,1.9427,,4.4307,,,,,,,1.8193,1.9466,1.3538,1.1899,,,2.2609,,,8.4953,28.0662,9.3706,13.4651,8.3155,7.3363,0.7781,12.6125,1.4097,12.7796,,,,,,7.9165,0.5348,15.0819,21.5167,10.6306,2.5246,9.4335,4.1555,,,8.6689,,19.8876,,,,,,,7.6235,9.5327,6.7436,6.7602,,,10.1562,
2014/1/15,,-0.5215,-1.3495,-0.7392,0.0943,-0.6938,-0.6363,-0.1127,0,0.5725,0.1664,,,,,,-1.0363,-0.5525,8.3749,-0.2674,-0.8899,-0.5576,-1.2634,-1.2835,,,2.2968,,1.7094,,,,,,,-0.5495,0.1312,-0.1159,0,,,-2.2688,,,1.0391,0.294,0.4574,3.3388,0.305,0.7987,0.4485,0.3194,4.9434,1.0816,,,,,,0.4791,0.4332,3.0046,0.4474,0.3327,0.2969,0.6755,1.1142,,,0.6697,,1.6546,,,,,,,0.2759,0.8105,0.1644,0.2254,,,2.2892,,,12890744272,4747620517,18462540000,6224628774,67775887263,22217989667,3178116979,15814682000,868257079.3,7569115764,,,,,,1.12476E+11,2317047876,25286161057,1538625000,20693961147,2803840578,82216052789,4622359538,,,53975536020,,9839185870,,,,,,,18818208000,9319129400,48251936200,27173100000,,,19581921044,,,31.1071,179.6187,27.7995,79.3952,24.0981,22.0891,10.2961,64.1903,23.2607,52.7488,,,,,,24.0762,364.511,79.7894,2.2182,32.8304,9.4717,24.1339,13.9887,,,24.2079,,131.8918,,,,,,,34.9659,39.8812,21.8257,132.051,,,30.8965,,,2.0087,4.2846,1.1806,3.9646,1.956,1.7522,1.5213,2.406,2.658,3.1094,,,,,,1.4398,3.8849,3.7582,19.1703,1.9127,1.6761,1.5832,1.5259,,,1.9874,,4.5064,,,,,,,1.8093,1.9491,1.3522,1.1899,,,2.2096,,,8.451,27.6874,9.3014,13.4778,8.2578,7.2897,0.7772,12.6125,1.4177,12.8009,,,,,,7.8344,0.5319,16.345,21.4592,10.536,2.5105,9.3143,4.1022,,,8.868,,20.2276,,,,,,,7.5816,9.5452,6.7358,6.7602,,,9.9258,
