ÈÕÆÚ,000639.SZ,000716.SZ,000895.SZ,002216.SZ,002329.SZ,002330.SZ,002481.SZ,002495.SZ,002507.SZ,002515.SZ,002557.SZ,002570.SZ,002582.SZ,002650.SZ,002661.SZ,002695.SZ,002702.SZ,002719.SZ,002726.SZ,002732.SZ,002770.SZ,002820.SZ,002840.SZ,002847.SZ,002910.SZ,002946.SZ,002956.SZ,300146.SZ,300741.SZ,300783.SZ,300791.SZ,600073.SH,600186.SH,600305.SH,600419.SH,600429.SH,600597.SH,600866.SH,600872.SH,600882.SH,600887.SH,603020.SH,603027.SH,603043.SH,603288.SH,603317.SH,603345.SH,603517.SH,603536.SH,603696.SH,603697.SH,603755.SH,603777.SH,603866.SH,603886.SH,000639.SZ,000716.SZ,000895.SZ,002216.SZ,002329.SZ,002330.SZ,002481.SZ,002495.SZ,002507.SZ,002515.SZ,002557.SZ,002570.SZ,002582.SZ,002650.SZ,002661.SZ,002695.SZ,002702.SZ,002719.SZ,002726.SZ,002732.SZ,002770.SZ,002820.SZ,002840.SZ,002847.SZ,002910.SZ,002946.SZ,002956.SZ,300146.SZ,300741.SZ,300783.SZ,300791.SZ,600073.SH,600186.SH,600305.SH,600419.SH,600429.SH,600597.SH,600866.SH,600872.SH,600882.SH,600887.SH,603020.SH,603027.SH,603043.SH,603288.SH,603317.SH,603345.SH,603517.SH,603536.SH,603696.SH,603697.SH,603755.SH,603777.SH,603866.SH,603886.SH,000639.SZ,000716.SZ,000895.SZ,002216.SZ,002329.SZ,002330.SZ,002481.SZ,002495.SZ,002507.SZ,002515.SZ,002557.SZ,002570.SZ,002582.SZ,002650.SZ,002661.SZ,002695.SZ,002702.SZ,002719.SZ,002726.SZ,002732.SZ,002770.SZ,002820.SZ,002840.SZ,002847.SZ,002910.SZ,002946.SZ,002956.SZ,300146.SZ,300741.SZ,300783.SZ,300791.SZ,600073.SH,600186.SH,600305.SH,600419.SH,600429.SH,600597.SH,600866.SH,600872.SH,600882.SH,600887.SH,603020.SH,603027.SH,603043.SH,603288.SH,603317.SH,603345.SH,603517.SH,603536.SH,603696.SH,603697.SH,603755.SH,603777.SH,603866.SH,603886.SH,000639.SZ,000716.SZ,000895.SZ,002216.SZ,002329.SZ,002330.SZ,002481.SZ,002495.SZ,002507.SZ,002515.SZ,002557.SZ,002570.SZ,002582.SZ,002650.SZ,002661.SZ,002695.SZ,002702.SZ,002719.SZ,002726.SZ,002732.SZ,002770.SZ,002820.SZ,002840.SZ,002847.SZ,002910.SZ,002946.SZ,002956.SZ,300146.SZ,300741.SZ,300783.SZ,300791.SZ,600073.SH,600186.SH,600305.SH,600419.SH,600429.SH,600597.SH,600866.SH,600872.SH,600882.SH,600887.SH,603020.SH,603027.SH,603043.SH,603288.SH,603317.SH,603345.SH,603517.SH,603536.SH,603696.SH,603697.SH,603755.SH,603777.SH,603866.SH,603886.SH,000639.SZ,000716.SZ,000895.SZ,002216.SZ,002329.SZ,002330.SZ,002481.SZ,002495.SZ,002507.SZ,002515.SZ,002557.SZ,002570.SZ,002582.SZ,002650.SZ,002661.SZ,002695.SZ,002702.SZ,002719.SZ,002726.SZ,002732.SZ,002770.SZ,002820.SZ,002840.SZ,002847.SZ,002910.SZ,002946.SZ,002956.SZ,300146.SZ,300741.SZ,300783.SZ,300791.SZ,600073.SH,600186.SH,600305.SH,600419.SH,600429.SH,600597.SH,600866.SH,600872.SH,600882.SH,600887.SH,603020.SH,603027.SH,603043.SH,603288.SH,603317.SH,603345.SH,603517.SH,603536.SH,603696.SH,603697.SH,603755.SH,603777.SH,603866.SH,603886.SH,000639.SZ,000716.SZ,000895.SZ,002216.SZ,002329.SZ,002330.SZ,002481.SZ,002495.SZ,002507.SZ,002515.SZ,002557.SZ,002570.SZ,002582.SZ,002650.SZ,002661.SZ,002695.SZ,002702.SZ,002719.SZ,002726.SZ,002732.SZ,002770.SZ,002820.SZ,002840.SZ,002847.SZ,002910.SZ,002946.SZ,002956.SZ,300146.SZ,300741.SZ,300783.SZ,300791.SZ,600073.SH,600186.SH,600305.SH,600419.SH,600429.SH,600597.SH,600866.SH,600872.SH,600882.SH,600887.SH,603020.SH,603027.SH,603043.SH,603288.SH,603317.SH,603345.SH,603517.SH,603536.SH,603696.SH,603697.SH,603755.SH,603777.SH,603866.SH,603886.SH
2014/1/2,0.8571,-0.5655,-1.8904,-0.6225,-0.8183,-0.1832,-0.8594,-1.8779,-1.2698,2.8472,0.9942,-1.1401,0.8842,0,0.885,0.2062,3.3872,,,,,,,,,,,-0.9329,,,,-0.3417,0,2.111,10.0059,-3.5539,-3.9189,-0.2227,-2.9903,-2.0631,-5.5015,,,,,,,,,,,,,,,2.3888,0.74,0.3684,0.5856,1.4637,0.7969,0.4432,1.3776,0.524,1.8653,2.2287,1.9563,7.5322,1.6802,5.3177,5.0331,4.2836,,,,,,,,,,,0.4689,,,,1.3102,0.2958,1.6501,2.869,1.4158,0.8981,0.7567,0.9716,0.9775,2.095,,,,,,,,,,,,,,,1592866663,1805082339,55969766575,6161543345,1233100944,1675439000,4753062697,935327256.3,2077135400,1297411538,2060110000,11838979990,1275542247,2133970963,815225400,1106228982,819230000,,,,,,,,,,,11550646683,,,,6788250998,2740022722,4305299000,1498190400,6964950000,26073494638,2439518041,8786908250,2276537308,58651063370,,,,,,,,,,,,,,,18.3693,63.0813,26.3451,76.0776,71.3256,65.0683,48.496,50.4228,41.1285,93.9563,32.2924,26.8997,33.0129,27.0706,35.8704,29.7053,56.2602,,,,,,,,,,,56.1808,,,,46.3499,-8.3235,110.0663,46.3373,-30.7445,64.3249,121.8555,41.2845,14.5908,23.6709,,,,,,,,,,,,,,,2.8697,3.1135,7.0846,5.0138,3.2657,2.0835,5.4908,1.6523,5.5696,2.4951,3.1654,4.9567,2.4742,2.5101,4.3898,2.5607,2.3819,,,,,,,,,,,10.6104,,,,3.6299,4.7497,7.8594,6.3593,4.4149,6.1052,1.6743,4.1201,2.2247,4.6787,,,,,,,,,,,,,,,1.3694,1.9879,2.2613,2.4941,2.618,1.3335,7.3652,6.4088,6.8358,10.4622,2.7574,3.1708,3.7094,2.6115,2.5519,4.0439,2.517,,,,,,,,,,,15.983,,,,0.6938,1.2705,3.8752,18.4566,1.8388,1.6033,2.7312,3.7904,3.2167,1.579,,,,,,,,,,,,,,
2014/1/3,-2.8329,-2.3697,-0.4979,0,-1.8977,-2.2018,-0.1576,4.4657,0.2144,-1.1479,-1.9688,-2.0099,2.0158,-1.367,-2.9506,-2.332,1.2658,,,,,,,,,,,0.9694,,,,-1.8286,-1.5504,-0.1772,1.8727,-2.7954,-2.7192,-2.9018,-0.4533,-2.7261,0.2166,,,,,,,,,,,,,,,3.6374,0.6651,0.2749,,1.4065,0.9411,0.4467,2.7434,1.0991,1.2125,1.941,2.9207,10.0958,1.6674,6.5769,5.6895,5.1148,,,,,,,,,,,0.5207,,,,1.4086,0.3646,0.9087,5.9301,0.6878,1.0861,1.273,1.0275,0.8989,1.0047,,,,,,,,,,,,,,,1547742961,1762307876,55691068884,6161543345,1209700514,1638548600,4745571661,977096256.6,2081587994,1282518900,2019550000,11601030145,1301254317,2104799962,791171700,1080432147,829600000,,,,,,,,,,,11662618054,,,,6664122979,2697541750,4297670000,1526246400,6770250000,25364510724,2368728455,8747076390,2214475572,58778116851,,,,,,,,,,,,,,,17.8489,61.5865,26.2139,76.0776,69.9721,63.6356,48.4196,52.6745,41.2166,92.8778,31.6566,26.359,33.6783,26.7006,34.812,29.0126,56.9724,,,,,,,,,,,56.7254,,,,45.5024,-8.1944,109.8713,47.2051,-29.8851,62.5758,118.3195,41.0974,14.193,23.7222,,,,,,,,,,,,,,,2.7884,3.0397,7.0493,5.0138,3.2037,2.0377,5.4821,1.7261,5.5816,2.4664,3.1031,4.8571,2.5241,2.4757,4.2603,2.5009,2.412,,,,,,,,,,,10.7132,,,,3.5635,4.6761,7.8455,6.4784,4.2915,5.9391,1.6257,4.1015,2.1641,4.6889,,,,,,,,,,,,,,,1.3306,1.9408,2.25,2.4941,2.5683,1.3041,7.3536,6.695,6.8505,10.3421,2.7031,3.107,3.7841,2.5758,2.4766,3.9496,2.5488,,,,,,,,,,,16.1379,,,,0.6811,1.2508,3.8684,18.8022,1.7874,1.5597,2.652,3.7732,3.129,1.5825,,,,,,,,,,,,,,
2014/1/6,-4.0816,-1.6505,-3.329,7.0246,-3.2801,-4.6904,-3.4728,-2.7481,-2.861,-0.0683,-2.0921,-0.3026,-3.5223,-0.8529,-5.5601,-5.6531,-2.8676,,,,,,,,,,,-3.7855,,,,-5.0058,-3.1496,-3.5503,-8.7185,-4.9673,-2.4578,-3.6782,-1.6393,-3.5669,-0.2432,,,,,,,,,,,,,,,3.2246,0.7007,0.553,3.8847,1.1896,1.0869,0.5894,2.6027,1.0366,2.1761,1.2948,1.767,7.6506,1.4501,7.7393,5.4316,3.555,,,,,,,,,,,0.6834,,,,1.7117,0.457,0.9988,3.3027,0.7928,0.9738,1.016,0.9005,0.496,0.8838,,,,,,,,,,,,,,,1484569779,1733221241,53837123380,6594367643,1170021523,1561693600,4580768856,950244756.4,2022034541,1281642863,1977300000,11565922790,1255419758,2086848576,747181600,1019354346,805810000,,,,,,,,,,,11221130935,,,,6330528930,2612579805,4145090000,1393180800,6433950000,24741093834,2281602811,8603681695,2135487908,58635181685,,,,,,,,,,,,,,,17.1204,60.5701,25.3413,81.4217,67.677,60.6509,46.7381,51.227,40.0374,92.8144,30.9944,26.2793,32.4921,26.4729,32.8764,27.3725,55.3386,,,,,,,,,,,54.578,,,,43.2246,-7.9364,105.9705,43.0895,-28.4006,61.0378,113.9675,40.4237,13.6868,23.6645,,,,,,,,,,,,,,,2.6746,2.9895,6.8147,5.366,3.0986,1.9421,5.2918,1.6787,5.4219,2.4647,3.0381,4.8424,2.4352,2.4546,4.0234,2.3596,2.3429,,,,,,,,,,,10.3077,,,,3.3851,4.5288,7.5669,5.9136,4.0783,5.7932,1.5659,4.0342,2.0869,4.6775,,,,,,,,,,,,,,,1.2763,1.9088,2.1751,2.6693,2.484,1.2429,7.0982,6.511,6.6545,10.3351,2.6466,3.0976,3.6508,2.5539,2.3389,3.7263,2.4757,,,,,,,,,,,15.527,,,,0.647,1.2114,3.731,17.163,1.6986,1.5213,2.5544,3.7114,3.0174,1.5786,,,,,,,,,,,,,,
2014/1/7,2.4316,-1.4808,1.6205,-1.6722,0.5217,0,1.3083,-2.3548,-0.9083,-1.4354,-0.4701,0.6071,-4.0962,0.914,0.9281,1.6003,3.7093,,,,,,,,,,,4.3193,,,,-0.7353,0.4065,1.9632,-0.6329,0.2751,1.4328,0.2387,1.7593,1.4531,1.5439,,,,,,,,,,,,,,,2.1825,0.9877,0.3159,1.9881,1.1264,0.5601,0.3681,2.2909,1.0268,1.2701,1.453,1.2962,9.5938,1.3032,3.9094,3.5109,5.7998,,,,,,,,,,,0.5575,,,,1.3955,0.2711,0.9213,1.4281,0.4735,0.641,0.6319,1.2516,0.3486,0.7375,,,,,,,,,,,,,,,1520668741,1707556563,54709568323,6484093936,1176125983,1561693600,4640697149,927868506.2,2003667588,1263246075,1968005000,11636137499,1203995618,2105921923,754116000,1035667051,835700000,,,,,,,,,,,11705807011,,,,6283980923,2623200048,4226466000,1384363200,6451650000,25095585791,2287048163,8755042762,2166518776,59540437740,,,,,,,,,,,,,,,17.5367,59.6732,25.752,80.0601,68.0301,60.6509,47.3495,50.0207,39.6738,91.4821,30.8487,26.4388,31.1611,26.7148,33.1815,27.8106,57.3913,,,,,,,,,,,56.9354,,,,42.9068,-7.9686,108.0509,42.8168,-28.4787,61.9124,114.2395,41.1348,13.8857,24.0298,,,,,,,,,,,,,,,2.7396,2.9452,6.9251,5.2763,3.1148,1.9421,5.361,1.6392,5.3726,2.4294,3.0239,4.8718,2.3355,2.4771,4.0607,2.3973,2.4298,,,,,,,,,,,10.7529,,,,3.3602,4.5472,7.7155,5.8762,4.0895,5.8762,1.5696,4.1052,2.1172,4.7497,,,,,,,,,,,,,,,1.3073,1.8805,2.2103,2.6247,2.497,1.2429,7.1911,6.3577,6.5941,10.1867,2.6342,3.1164,3.5013,2.5772,2.3606,3.7859,2.5676,,,,,,,,,,,16.1977,,,,0.6422,1.2163,3.8043,17.0543,1.7033,1.5431,2.5605,3.7767,3.0612,1.603,,,,,,,,,,,,,,
2014/1/8,-1.6617,-2.505,0.7973,-0.3827,4.4118,0,-0.565,-0.3215,0.9722,0.4161,-2.2757,3.9557,1.2071,2.7704,0.8621,-0.1832,1.0219,,,,,,,,,,,2.8286,,,,0,-0.4049,3.7906,1.1002,4.8011,8.378,-0.4762,-0.364,-1.3021,4.0277,,,,,,,,,,,,,,,1.6128,1.1972,0.2381,1.1351,2.8088,0.6279,0.4496,1.4146,1.4666,1.0244,1.7863,4.4127,6.0142,2.0827,6.2897,4.2247,4.3409,,,,,,,,,,,0.8316,,,,2.0355,0.2632,1.5829,1.7331,1.1154,1.1814,0.6159,0.6836,0.7884,1.203,,,,,,,,,,,,,,,1495399468,1664782100,55145790795,6459282352,1228013894,1561693600,4614478521,924885006.2,2023147690,1268502300,1923220000,12096433920,1218528527,2164263926,760617000,1033770225,844240000,,,,,,,,,,,12036922350,,,,6283980923,2612579805,4386675000,1399593600,6761400000,27198089813,2276157458,8723177274,2138308896,61938572202,,,,,,,,,,,,,,,17.2453,58.1783,25.9573,79.7538,71.0314,60.6509,47.082,49.8598,40.0595,91.8628,30.1467,27.4847,31.5373,27.4549,33.4676,27.7596,57.9778,,,,,,,,,,,58.5459,,,,42.9068,-7.9364,112.1467,43.2878,-29.846,67.0994,113.6955,40.9851,13.7049,24.9977,,,,,,,,,,,,,,,2.6941,2.8715,6.9803,5.2561,3.2522,1.9421,5.3307,1.6339,5.4249,2.4395,2.955,5.0645,2.3636,2.5457,4.0957,2.3929,2.4546,,,,,,,,,,,11.0571,,,,3.3602,4.5288,8.008,5.9408,4.2859,6.3685,1.5622,4.0903,2.0897,4.941,,,,,,,,,,,,,,,1.2856,1.8334,2.228,2.6146,2.6072,1.2429,7.1505,6.3372,6.6582,10.2291,2.5742,3.2397,3.5436,2.6486,2.3809,3.779,2.5938,,,,,,,,,,,16.6559,,,,0.6422,1.2114,3.9485,17.242,1.7851,1.6724,2.5483,3.7629,3.0214,1.6675,,,,,,,,,,,,,,
2014/1/9,-3.5003,-2.4666,0.4395,2.006,-3.5626,-2.1654,-0.6494,-2.7419,-0.7978,-6.4917,-3.9982,-2.2896,-2.844,-2.4883,-3.4188,1.5046,-0.6503,,,,,,,,,,,-2.0598,,,,-0.6173,-2.0325,1.2754,0.1145,-3.534,-2.8764,0.2392,1.6438,-3.8259,-3.8205,,,,,,,,,,,,,,,2.9427,1.1286,0.2147,1.8307,1.274,0.6747,0.5216,1.2457,0.7683,2.8319,1.5981,3.4841,8.4463,2.206,6.604,5.6859,5.1511,,,,,,,,,,,0.4617,,,,1.3112,0.3334,2.1094,1.8329,0.5702,0.8087,0.9968,1.6526,0.6451,0.9994,,,,,,,,,,,,,,,1443055974,1623718615,55388136612,6588853957,1184265263,1527877400,4584514375,899525256,2007007034,1186154775,1846325000,11819475904,1183873129,2110409770,734613000,1049324199,838750000,,,,,,,,,,,11788985744,,,,6245190918,2559478590,4442621000,1401196800,6522450000,26415762735,2281602811,8866571969,2056500245,59572201110,,,,,,,,,,,,,,,16.6416,56.7433,26.0714,81.3536,68.5009,59.3375,46.7763,48.4927,39.7399,85.8993,28.9413,26.8554,30.6403,26.7717,32.3234,28.1773,57.6007,,,,,,,,,,,57.34,,,,42.6419,-7.775,113.577,43.3374,-28.7912,65.1693,113.9675,41.6588,13.1805,24.0427,,,,,,,,,,,,,,,2.5998,2.8006,7.011,5.3615,3.1364,1.9,5.2961,1.5891,5.3816,2.2811,2.8369,4.9486,2.2964,2.4823,3.9557,2.4289,2.4386,,,,,,,,,,,10.8293,,,,3.3395,4.4368,8.1101,5.9476,4.1344,6.1853,1.5659,4.1575,2.0097,4.7522,,,,,,,,,,,,,,,1.2406,1.7882,2.2378,2.6671,2.5143,1.216,7.104,6.1635,6.605,9.565,2.4713,3.1655,3.4428,2.5827,2.2995,3.8359,2.5769,,,,,,,,,,,16.3128,,,,0.6383,1.1868,3.9989,17.2617,1.722,1.6243,2.5544,3.8248,2.9058,1.6038,,,,,,,,,,,,,,
2014/1/10,-2.8143,10.0105,-0.35,-3.2218,-0.945,-0.6036,-2.451,-0.995,-0.1664,-2.8804,-0.8238,-0.6601,0.0944,-3.9872,-2.3894,-0.0723,-1.8182,,,,,,,,,,,-0.4071,,,,-2.7329,-2.0747,3.8924,0.3432,-0.2714,3.0541,-1.432,-1.7969,-4.5267,3.9989,,,,,,,,,,,,,,,2.5338,6.5412,0.1961,1.15,0.8899,0.5321,0.6273,0.7748,1.5253,1.2646,2.1012,3.1459,5.5971,2.7228,4.832,4.0049,2.745,,,,,,,,,,,0.3739,,,,1.0386,0.429,2.3133,1.1523,0.3186,0.7461,0.5284,1.0626,0.8969,1.6964,,,,,,,,,,,,,,,1402444643,1786261575,55194259958,6376577073,1173073753,1518654800,4472148826,890574756,2003667588,1151989313,1831115000,11741459561,1184991045,2026262650,717060300,1048565468,823500000,,,,,,,,,,,11740998013,,,,6074514893,2506377374,4615545000,1406006400,6504750000,27222537534,2248930694,8707244530,1963407641,71511562550,,,,,,,,,,,,,,,16.1733,62.4236,25.9801,78.7326,67.8535,58.9794,45.6298,48.0102,39.6738,83.4251,28.7029,26.6781,30.6693,25.7043,31.5511,28.1569,56.5535,,,,,,,,,,,57.1066,,,,41.4765,-7.6137,117.9979,43.4862,-28.7131,67.1597,112.3355,40.9102,12.5839,25.0041,,,,,,,,,,,,,,,2.5267,3.081,6.9864,5.1888,3.1067,1.8886,5.1663,1.5733,5.3726,2.2154,2.8135,4.9159,2.2986,2.3834,3.8612,2.4272,2.3943,,,,,,,,,,,10.7852,,,,3.2482,4.3447,8.4258,5.968,4.1232,6.3742,1.5435,4.0828,1.9187,4.9422,,,,,,,,,,,,,,,1.2057,1.9672,2.2299,2.5812,2.4905,1.2087,6.9299,6.1021,6.5941,9.2895,2.4509,3.1446,3.446,2.4797,2.2446,3.8331,2.5301,,,,,,,,,,,16.2464,,,,0.6208,1.1622,4.1545,17.321,1.7173,1.6739,2.5178,3.7561,2.7742,1.668,,,,,,,,,,,,,,
2014/1/13,0.7079,8.5249,2.0637,-4.9719,0,0.2024,-0.2513,0.335,-0.7778,0,-2.4458,-7.0764,0.8019,0,3.9287,-5.4269,2,,,,,,,,,,,3.5286,,,,1.2771,-0.8475,-3.6915,-3.3067,-3.5374,-1.7512,-1.6949,-0.0915,0,-1.4355,,,,,,,,,,,,,,,2.256,9.7089,0.3559,0.9599,0.8827,0.3306,0.2314,0.8074,0.4739,1.0876,1.6776,5.3966,3.8923,1.0632,5.4274,4.982,3.087,,,,,,,,,,,0.4903,,,,0.956,0.368,1.6417,1.2364,0.4723,0.307,0.4786,0.7165,0.7746,1.0175,,,,,,,,,,,,,,,1412371857,1938538663,56333285301,6059540167,1173073753,1521729000,4460912271,893558256,1988083507,1151989313,1786330000,10910585513,1194493331,2026262650,745231300,991660685.1,839970000,,,,,,,,,,,12155292085,,,,6152094904,2485136888,4445164000,1359513600,6274650000,26745806971,2210813225,8699278158,1963407641,70484993080,,,,,,,,,,,,,,,16.2878,67.7452,26.5162,74.8181,67.8535,59.0988,45.5152,48.171,39.3652,83.4251,28.0009,24.7903,30.9152,25.7043,32.7906,26.6289,57.6845,,,,,,,,,,,59.1217,,,,42.0062,-7.5492,113.642,42.0482,-27.6974,65.9836,110.4316,40.8728,12.5839,24.6452,,,,,,,,,,,,,,,2.5445,3.3436,7.1306,4.9308,3.1067,1.8924,5.1533,1.5785,5.3309,2.2154,2.7447,4.568,2.317,2.3834,4.0129,2.2955,2.4422,,,,,,,,,,,11.1658,,,,3.2897,4.3079,8.1147,5.7707,3.9773,6.2626,1.5173,4.0791,1.9187,4.8713,,,,,,,,,,,,,,,1.2142,2.1349,2.2759,2.4528,2.4905,1.2111,6.9125,6.1226,6.5428,9.2895,2.391,2.9221,3.4737,2.4797,2.3328,3.6251,2.5807,,,,,,,,,,,16.8197,,,,0.6288,1.1523,4.0011,16.7482,1.6566,1.6446,2.4752,3.7526,2.7742,1.644,,,,,,,,,,,,,,
2014/1/14,2.2364,2.9126,1.097,3.1392,1.9948,3.0303,-0.084,2.8381,2.4636,3.8023,3.3113,-2.3597,2.0122,2.8793,1.4248,2.2571,1.1619,,,,,,,,,,,0.0132,,,,2.2699,1.7094,3.4897,-0.8844,0.8463,0,2.7094,-0.0916,2.4425,0.7542,,,,,,,,,,,,,,,1.6559,5.5708,0.3171,0.9236,1.0043,0.609,0.2708,0.8127,1.0497,1.2274,1.8514,5.3536,6.8582,1.4366,5.7548,3.3229,3.939,,,,,,,,,,,0.4874,,,,1.1858,0.3097,1.7157,1.4177,0.527,0.4167,0.6835,0.8548,0.42,0.7602,,,,,,,,,,,,,,,1443958448,1995000954,56951267136,6249762310,1196474184,1567842000,4457166753,918918006.2,2037062048,1195791188,1845480000,10653131582,1218528527,2084604653,755849600,1014043233,849730000,,,,,,,,,,,12156891676,,,,6291738925,2527617860,4600287000,1347489600,6327750000,26745806971,2270712105,8691311787,2011364437,71016609412,,,,,,,,,,,,,,,16.652,69.7183,26.8071,77.1668,69.2071,60.8896,45.4769,49.5382,40.335,86.5972,28.9281,24.2053,31.5373,26.4444,33.2578,27.2299,58.3548,,,,,,,,,,,59.1294,,,,42.9597,-7.6783,117.6078,41.6763,-27.9318,65.9836,113.4235,40.8354,12.8913,24.831,,,,,,,,,,,,,,,2.6014,3.441,7.2089,5.0856,3.1687,1.9497,5.149,1.6233,5.4622,2.2996,2.8356,4.4603,2.3636,2.452,4.0701,2.3473,2.4705,,,,,,,,,,,11.1673,,,,3.3644,4.3815,8.3979,5.7196,4.011,6.2626,1.5584,4.0753,1.9656,4.908,,,,,,,,,,,,,,,1.2413,2.1971,2.3009,2.5298,2.5402,1.2478,6.9067,6.2963,6.704,9.6428,2.4702,2.8532,3.5436,2.5511,2.366,3.7069,2.6107,,,,,,,,,,,16.8219,,,,0.643,1.172,4.1408,16.6001,1.6706,1.6446,2.5422,3.7492,2.842,1.6564,,,,,,,,,,,,,,
2014/1/15,-0.3125,-0.3431,0.0213,4.9404,1.1054,-0.5882,3.5294,-0.6494,-0.8197,-0.3663,-0.5037,1.3914,-0.9633,2.8525,-0.2867,2.0202,4.4508,,,,,,,,,,,-1.2105,,,,0.1233,0,3.2062,1.8441,-0.6993,3.702,-0.2398,5.4995,0.8415,0.6453,,,,,,,,,,,,,,,1.4015,4.8561,0.2178,1.2756,1.2243,0.3569,0.4232,0.7221,0.8349,0.6815,3.2466,3.2209,5.6978,1.8701,3.9357,3.8196,10.1729,,,,,,,,,,,0.3002,,,,0.9682,0.2767,3.2482,0.9587,1.0637,0.5336,0.5362,1.9023,0.6189,0.6908,,,,,,,,,,,,,,,1439446078,1988157040,56963384427,6558528688,1209700514,1558619400,4614478521,912951006.1,2020364818,1191411000,1836185000,10801362633,1206790408,2144068618,753682600,1034528955,887550000,,,,,,,,,,,12009729303,,,,6299496926,2527617860,4747781000,1372339200,6283500000,27735939679,2265266752,9169294103,2028290365,71474899354,,,,,,,,,,,,,,,16.6,69.4792,26.8128,80.9792,69.9721,60.5315,47.082,49.2165,40.0044,86.2799,28.7824,24.5421,31.2335,27.1987,33.1625,27.78,60.9521,,,,,,,,,,,58.4137,,,,43.0127,-7.6783,121.3785,42.4449,-27.7365,68.4263,113.1515,43.0811,12.9997,24.9913,,,,,,,,,,,,,,,2.5933,3.4292,7.2104,5.3368,3.2037,1.9383,5.3307,1.6128,5.4174,2.2912,2.8213,4.5223,2.3409,2.5219,4.0584,2.3947,2.5805,,,,,,,,,,,11.0321,,,,3.3685,4.3815,8.6672,5.8251,3.983,6.4944,1.5547,4.2994,1.9821,4.9397,,,,,,,,,,,,,,,1.2375,2.1895,2.3014,2.6548,2.5683,1.2405,7.1505,6.2555,6.649,9.6074,2.4577,2.8929,3.5094,2.6239,2.3592,3.7818,2.7269,,,,,,,,,,,16.6182,,,,0.6438,1.172,4.2735,16.9062,1.6589,1.7055,2.5361,3.9554,2.8659,1.6671,,,,,,,,,,,,,,
