ÈÕÆÚ,000568.SZ,000596.SZ,000729.SZ,000752.SZ,000799.SZ,000848.SZ,000858.SZ,000860.SZ,000869.SZ,000929.SZ,000995.SZ,002304.SZ,002461.SZ,002568.SZ,002646.SZ,200596.SZ,200869.SZ,600059.SH,600084.SH,600132.SH,600189.SH,600197.SH,600199.SH,600238.SH,600300.SH,600365.SH,600519.SH,600543.SH,600559.SH,600573.SH,600600.SH,600616.SH,600702.SH,600779.SH,600809.SH,601579.SH,603156.SH,603198.SH,603369.SH,603589.SH,603711.SH,603779.SH,603919.SH,000568.SZ,000596.SZ,000729.SZ,000752.SZ,000799.SZ,000848.SZ,000858.SZ,000860.SZ,000869.SZ,000929.SZ,000995.SZ,002304.SZ,002461.SZ,002568.SZ,002646.SZ,200596.SZ,200869.SZ,600059.SH,600084.SH,600132.SH,600189.SH,600197.SH,600199.SH,600238.SH,600300.SH,600365.SH,600519.SH,600543.SH,600559.SH,600573.SH,600600.SH,600616.SH,600702.SH,600779.SH,600809.SH,601579.SH,603156.SH,603198.SH,603369.SH,603589.SH,603711.SH,603779.SH,603919.SH,000568.SZ,000596.SZ,000729.SZ,000752.SZ,000799.SZ,000848.SZ,000858.SZ,000860.SZ,000869.SZ,000929.SZ,000995.SZ,002304.SZ,002461.SZ,002568.SZ,002646.SZ,200596.SZ,200869.SZ,600059.SH,600084.SH,600132.SH,600189.SH,600197.SH,600199.SH,600238.SH,600300.SH,600365.SH,600519.SH,600543.SH,600559.SH,600573.SH,600600.SH,600616.SH,600702.SH,600779.SH,600809.SH,601579.SH,603156.SH,603198.SH,603369.SH,603589.SH,603711.SH,603779.SH,603919.SH,000568.SZ,000596.SZ,000729.SZ,000752.SZ,000799.SZ,000848.SZ,000858.SZ,000860.SZ,000869.SZ,000929.SZ,000995.SZ,002304.SZ,002461.SZ,002568.SZ,002646.SZ,200596.SZ,200869.SZ,600059.SH,600084.SH,600132.SH,600189.SH,600197.SH,600199.SH,600238.SH,600300.SH,600365.SH,600519.SH,600543.SH,600559.SH,600573.SH,600600.SH,600616.SH,600702.SH,600779.SH,600809.SH,601579.SH,603156.SH,603198.SH,603369.SH,603589.SH,603711.SH,603779.SH,603919.SH,000568.SZ,000596.SZ,000729.SZ,000752.SZ,000799.SZ,000848.SZ,000858.SZ,000860.SZ,000869.SZ,000929.SZ,000995.SZ,002304.SZ,002461.SZ,002568.SZ,002646.SZ,200596.SZ,200869.SZ,600059.SH,600084.SH,600132.SH,600189.SH,600197.SH,600199.SH,600238.SH,600300.SH,600365.SH,600519.SH,600543.SH,600559.SH,600573.SH,600600.SH,600616.SH,600702.SH,600779.SH,600809.SH,601579.SH,603156.SH,603198.SH,603369.SH,603589.SH,603711.SH,603779.SH,603919.SH,000568.SZ,000596.SZ,000729.SZ,000752.SZ,000799.SZ,000848.SZ,000858.SZ,000860.SZ,000869.SZ,000929.SZ,000995.SZ,002304.SZ,002461.SZ,002568.SZ,002646.SZ,200596.SZ,200869.SZ,600059.SH,600084.SH,600132.SH,600189.SH,600197.SH,600199.SH,600238.SH,600300.SH,600365.SH,600519.SH,600543.SH,600559.SH,600573.SH,600600.SH,600616.SH,600702.SH,600779.SH,600809.SH,601579.SH,603156.SH,603198.SH,603369.SH,603589.SH,603711.SH,603779.SH,603919.SH
2014/1/2,-0.9434,-0.4906,1.1111,0,-1.983,0.409,-1.4049,6.0547,-1.037,-1.0778,0.1284,0.6369,-0.4206,0.0679,-0.65,1.3181,-2.1318,0.1054,-0.2538,0.2471,0.267,-1.0082,-2.071,-1.2329,-1.8828,0.1211,-1.8695,-1.7602,-1.3092,0.6745,-2.3289,-1.7422,-3.0585,-2.8459,-0.1554,,,,,,,,,0.4523,2.3053,0.5724,0.6162,2.2345,1.1451,0.4064,3.9683,0.3014,1.1125,0.9605,1.6211,0.1554,1.591,2.7631,0.3947,0.132,1.0312,0.2198,0.3884,0.5075,0.6876,1.6313,0.7985,0.5904,0.4298,0.2117,12.2204,1.656,0.3584,0.3726,0.9827,1.6685,1.7134,0.832,,,,,,,,,27935076796,8558095921,20468527664,2808939971,3102951376,9852301712,58603910835,7143571696,12116472576,1532957177,1383762510,36267066419,6441131943,1226515400,3129525000,8558095921,12116472576,6031135449,3182982849,7854852544,2331855000,4762800000,5518845770,3187047692,7841680000,1157800000,1.3079E+11,2867601600,3588200000,1492500000,33271630029,3711160822,4917834000,2923702769,16684896086,,,,,,,,,8.1374,18.0631,33.7935,21.6615,-122.5894,29.5139,7.3512,36.143,17.4736,60.5144,-47.2195,8.8696,156.1953,56.319,23.947,11.2594,12.9882,41.9008,202.3666,49.4829,56.6626,17.4622,41.3544,23.8567,97.3035,167.6472,8.6406,-34.6515,54.7318,73.2551,32.731,31.7564,417.679,-26.608,17.3724,,,,,,,,,2.6471,3.0019,1.9591,3.6803,2.547,9.7503,1.6239,2.3335,2.9502,2.5026,8.8196,2.5514,1.9677,3.6849,4.379,1.8712,2.1929,2.4238,3.3415,5.1172,1.7482,3.2294,2.5413,3.6331,3.2069,2.4244,3.0686,2.7308,5.7463,1.4091,4.6068,2.8075,2.1966,3.0301,4.3577,,,,,,,,,2.6819,2.4528,1.673,6.2399,6.5685,3.7438,2.3711,0.7874,4.2388,1.7286,12.8264,2.9531,1.9232,18.3603,6.2192,1.5289,3.1507,4.1086,5.7648,2.3192,1.6329,2.7168,2.6525,3.549,1.5492,19.4651,4.2094,7.8621,1.9905,1.8743,2.2831,3.6176,3.4667,9.9571,2.741,,,,,,,,
2014/1/3,-1.8045,1.3447,-0.1221,-0.5634,-1.7341,-0.0407,-1.6192,-1.1664,-1.3847,-2.1792,6.5385,-1.3145,-1.2672,2.9851,-0.9059,0,-1.1881,-1.0526,-1.0178,-1.0474,-2.2636,-1.5741,-2.0141,-2.0804,-2.9851,-1.9347,-1.5876,0.112,-0.3121,0.1675,-0.4602,-1.4184,-4.5267,-2.4242,-0.8303,,,,,,,,,0.3415,1.9332,0.3738,0.6282,1.6834,0.664,0.2946,1.5581,0.301,0.8325,2.5866,0.9288,0.1635,3.0313,1.466,0.2138,0.0743,0.9705,0.2894,0.3917,0.7896,0.5853,1.128,0.8123,0.8507,0.6841,0.2248,9.7058,1.5062,0.3176,0.2243,0.6659,2.9981,1.3227,0.4846,,,,,,,,,27430985185,8673175651,20443535567,2793114957,3049142970,9848288554,57655013315,7060251953,11948692080,1499551331,1474239290,35790332830,6359512531,1263127800,3101175000,8673175651,11948692080,5967649812,3150586077,7772577440,2279070000,4687830000,5407690769,3120742955,7607600000,1135400000,1.28714E+11,2870812800,3577000000,1495000000,33118529033,3658520243,4695216000,2852825126,16546360363,,,,,,,,,7.9906,18.306,33.7522,21.5395,-120.4636,29.5019,7.2322,35.7214,17.2317,59.1957,-50.3069,8.753,154.216,58.0001,23.7301,11.2683,12.844,41.4598,200.3069,48.9646,55.3799,17.1874,40.5215,23.3604,94.3989,164.4037,8.5034,-34.6903,54.561,73.3778,32.5804,31.3059,398.7718,-25.963,17.2282,,,,,,,,,2.5993,3.0422,1.9567,3.6596,2.5028,9.7463,1.5976,2.3063,2.9093,2.448,9.3963,2.5179,1.9428,3.7949,4.3394,1.8727,2.1685,2.3983,3.3075,5.0636,1.7087,3.1785,2.4902,3.5575,3.1111,2.3775,3.0199,2.7339,5.7283,1.4115,4.5856,2.7676,2.0972,2.9566,4.3215,,,,,,,,,2.6335,2.4858,1.671,6.2048,6.4546,3.7423,2.3327,0.7782,4.1801,1.6909,13.6651,2.9143,1.8988,18.9083,6.1629,1.5301,3.1157,4.0654,5.7061,2.2949,1.5959,2.6741,2.5991,3.4751,1.5029,19.0885,4.1426,7.8709,1.9842,1.8774,2.2726,3.5663,3.3098,9.7157,2.7182,,,,,,,,
2014/1/6,-3.318,-4.6882,-5.9902,-1.7941,-2.6471,-4.238,-3.8841,0.8696,-3.0361,-0.9901,-1.9254,-0.814,-3.2086,-1.3834,-4.2661,-4.9774,-3.4068,0.4255,-3.599,-2.6775,-4.2234,-4.2333,-3.5971,-3.6827,-3.7363,-3.8224,-2.6214,-1.3423,-5.4012,-3.01,-1.8701,-3.8369,-5.819,-2.4845,-4.6049,,,,,,,,,0.5086,2.0097,0.5296,1.0183,2.9699,1.7374,0.5729,1.8079,0.4244,0.9966,1.0807,0.7549,0.1551,2.052,1.825,0.708,0.2741,1.5846,0.2829,0.4713,0.9324,0.6713,1.1568,1.0459,0.5448,0.801,0.2912,7.0987,1.4922,0.3235,0.2674,1.0962,2.7542,1.3908,0.4101,,,,,,,,,26520819775,8266560605,19218922801,2743002413,2968430362,9430920172,55415615168,7121645448,11585923440,1484704288,1445854418,35498995636,6155464000,1245653700,2968875000,8266560605,11585923440,5993044067,3037197375,7564469825,2182815000,4489380000,5213169519,3005814744,7323360000,1092000000,1.25339E+11,2832278400,3383800000,1450000000,32499165914,3518145366,4422003000,2781947483,15784413889,,,,,,,,,7.7254,17.4477,31.7304,21.1531,-117.2749,28.2516,6.9513,36.0321,16.7085,58.6096,-49.3383,8.6818,149.2679,57.1978,22.7177,10.7104,12.4099,41.6362,193.0979,47.6536,53.041,16.4598,39.0639,22.5001,90.8719,158.1195,8.2805,-34.2246,51.614,71.1691,31.9711,30.1047,375.5674,-25.3179,16.4348,,,,,,,,,2.5131,2.8996,1.8395,3.5939,2.4366,9.3333,1.5355,2.3263,2.821,2.4238,9.2154,2.4974,1.8805,3.7424,4.1542,1.78,2.0953,2.4085,3.1885,4.928,1.6365,3.044,2.4006,3.4265,2.9949,2.2866,2.9407,2.6972,5.4189,1.369,4.4999,2.6615,1.9752,2.8832,4.1225,,,,,,,,,2.5461,2.3693,1.5709,6.0934,6.2838,3.5837,2.2421,0.785,4.0532,1.6742,13.402,2.8906,1.8379,18.6468,5.8999,1.4544,3.0104,4.0827,5.5008,2.2335,1.5285,2.5609,2.5056,3.3472,1.4468,18.3589,4.034,7.7653,1.8771,1.8209,2.2301,3.4295,3.1172,9.4743,2.5931,,,,,,,,
2014/1/7,-0.2112,1.949,0.2601,-0.1923,-0.3021,-10,0.2055,-3.3867,0.3131,-1.5,0.1227,-1.0196,0.1105,3.2064,0.3714,2.381,-1.1618,-0.9534,1.0667,-0.128,0.8535,0.7859,0.9595,0.1471,0.9132,0,-0.1408,2.2676,4.5925,0.8621,-0.4069,0.9975,-0.0763,3.0786,1.1519,,,,,,,,,0.3617,1.3056,0.3766,0.5318,1.2132,4.4202,0.3335,1.2132,0.1918,0.8866,0.5131,0.4246,0.1639,3.7659,1.3652,0.2607,0.1463,1.2398,0.2001,0.3127,0.7095,0.3382,0.877,0.4147,0.3598,0.5103,0.1738,10.0809,0.8978,0.2243,0.4217,0.702,1.3723,1.6315,0.4584,,,,,,,,,26464809596,8427672227,19268906995,2737727408,2959462295,8487828155,55529482870,6880456717,11622200304,1462433724,1447628472,35137031244,6162265618,1285594500,2979900000,8427672227,11622200304,5935906994,3069594147,7554790401,2201445000,4524660000,5263189269,3010235060,7390240000,1092000000,1.25163E+11,2896502400,3539200000,1462500000,32366942327,3553239085,4418630000,2867591302,15966242025,,,,,,,,,7.7091,17.7878,31.8129,21.1124,-116.9206,25.4265,6.9655,34.8118,16.7608,57.7304,-49.3989,8.5932,149.4329,59.0318,22.8021,10.962,12.2619,41.2392,195.1576,47.5927,53.4937,16.5891,39.4387,22.5332,91.7018,158.1195,8.2689,-35.0007,53.9844,71.7826,31.841,30.405,375.2809,-26.0973,16.6241,,,,,,,,,2.5078,2.9561,1.8442,3.587,2.4292,8.4,1.5387,2.2475,2.8298,2.3874,9.2267,2.4719,1.8825,3.8624,4.1697,1.8218,2.0703,2.3855,3.2225,4.9217,1.6505,3.0679,2.4236,3.4316,3.0222,2.2866,2.9366,2.7583,5.6678,1.3808,4.4816,2.688,1.9737,2.9719,4.17,,,,,,,,,2.5407,2.4154,1.575,6.0817,6.2648,3.2254,2.2467,0.7584,4.0659,1.6491,13.4184,2.8611,1.84,19.2447,5.9218,1.4885,2.9745,4.0437,5.5594,2.2306,1.5415,2.581,2.5296,3.3521,1.46,18.3589,4.0283,7.9413,1.9633,1.8366,2.221,3.4637,3.1148,9.766,2.6229,,,,,,,,
2014/1/8,-3.545,-2.0938,3.3722,-1.6378,-3.1818,5.9102,-1.0936,-1.7846,-1.8728,-3.4264,-2.451,-3.3166,0.7726,1.6181,-0.3171,-0.814,1.5113,-2.246,-2.3747,-0.4484,-0.9873,-1.0721,-1.3728,-2.0558,-0.6787,0.8974,-0.9622,-0.7761,-1.5032,-1.7094,0,-0.9877,-1.4504,-0.9269,-3.5792,,,,,,,,,0.6493,1.3437,0.3714,0.8992,2.1832,3.3164,0.3186,1.1762,0.4025,0.7098,0.5725,0.5708,0.1886,3.6372,1.3239,0.2156,0.0847,1.2425,0.3934,0.2772,0.6293,0.4609,0.8116,0.6663,0.2727,0.4037,0.3081,9.3151,1.1274,0.2187,0.2587,0.76,1.4058,1.2833,0.4729,,,,,,,,,25526639097,8251216641,19918701524,2692889869,2865297585,8989472845,54922188458,6757669726,11404539120,1412324954,1412147382,33971682469,6209876942,1306397000,2970450000,8251216641,11404539120,5802587158,2996701410,7520912417,2179710000,4476150000,5190938519,2948350639,7340080000,1101800000,1.23959E+11,2874024000,3486000000,1437500000,32366942327,3518145366,4354543000,2841012185,15394782169,,,,,,,,,7.4358,17.4154,32.8857,20.7666,-113.2004,26.9292,6.8894,34.1905,16.4469,55.7523,-48.1881,8.3082,150.5874,59.987,22.7298,10.8799,12.4554,40.313,190.5233,47.3792,52.9655,16.4113,38.8973,22.0699,91.0794,159.5385,8.1893,-34.7291,53.1729,70.5556,31.841,30.1047,369.8379,-25.8554,16.0291,,,,,,,,,2.4189,2.8942,1.9064,3.5282,2.3519,8.8964,1.5219,2.2074,2.7768,2.3056,9.0006,2.3899,1.8971,3.9249,4.1564,1.8081,2.1029,2.332,3.146,4.8996,1.6342,3.035,2.3903,3.361,3.0017,2.3072,2.9083,2.7369,5.5826,1.3572,4.4816,2.6615,1.945,2.9444,4.0207,,,,,,,,,2.4507,2.3649,1.6281,5.9821,6.0654,3.416,2.2221,0.7449,3.9897,1.5926,13.0896,2.7662,1.8542,19.5561,5.9031,1.4774,3.0215,3.9529,5.4274,2.2206,1.5263,2.5533,2.4949,3.2832,1.4501,18.5236,3.9896,7.8797,1.9338,1.8052,2.221,3.4295,3.0696,9.6754,2.529,,,,,,,,
2014/1/9,0.3291,4.1376,-3.8896,-1.3712,0,-1.7857,2.0733,-2.5308,-0.5964,-3.0223,0.3769,0.6757,-1.3143,-1.5287,-1.1135,1.0551,-0.7444,-1.3129,-1.3514,-2.9601,-2.9915,-0.6897,0,-1.3493,0.4556,-2.6684,-0.0503,-1.4525,0.6024,-1.913,-2.3006,1.2469,-0.1549,0.104,-0.7874,,,,,,,,,0.7116,2.8488,0.4138,0.8003,2.7578,1.0972,0.8761,1.1209,0.3872,0.8783,0.7544,0.6278,0.1415,1.8741,2.1549,0.7667,0.0923,1.6082,0.2964,0.4423,0.8531,0.6703,1.4917,1.0227,0.4348,0.3309,0.4613,5.3688,1.2913,0.1764,0.5404,0.8295,1.387,1.7511,0.7498,,,,,,,,,25610654366,8592619840,19143946509,2655964836,2865297585,8828946544,56060865482,6586644989,11336520000,1369639706,1417469546,34201220864,6128257530,1286426600,2937375000,8592619840,11336520000,5726404394,2956205445,7298285666,2114505000,4445280000,5190938519,2908567796,7373520000,1072400000,1.23896E+11,2832278400,3507000000,1410000000,31622314756,3562012515,4347797000,2843965421,15273563412,,,,,,,,,7.4603,18.1359,31.6066,20.4819,-113.2004,26.4483,7.0322,33.3252,16.3488,54.0673,-48.3697,8.3644,148.6082,59.07,22.4767,10.9999,12.3685,39.7837,187.9486,45.9768,51.3811,16.2981,38.8973,21.7721,91.4943,155.2814,8.1852,-34.2246,53.4932,69.2058,31.1085,30.4801,369.2649,-25.8823,15.9029,,,,,,,,,2.4269,3.014,1.8323,3.4799,2.3519,8.7375,1.5534,2.1516,2.7603,2.2359,9.0345,2.4061,1.8721,3.8649,4.1102,1.8281,2.0883,2.3013,3.1034,4.7546,1.5853,3.0141,2.3903,3.3157,3.0154,2.2456,2.9069,2.6972,5.6162,1.3312,4.3785,2.6946,1.942,2.9474,3.9891,,,,,,,,,2.4587,2.4627,1.5647,5.9001,6.0654,3.355,2.2682,0.726,3.9659,1.5444,13.1389,2.7849,1.8298,19.2571,5.8373,1.4937,3.0004,3.901,5.3541,2.1549,1.4807,2.5357,2.4949,3.2389,1.4567,18.0293,3.9876,7.7653,1.9454,1.7707,2.1699,3.4722,3.0649,9.6855,2.5091,,,,,,,,
2014/1/10,-1.3122,-1.0714,0.1305,-1.5889,-3.2864,-1.5455,-0.7448,0.466,-1,-3.3875,-3.3792,0.3614,-2.2198,-3.5576,-2.681,0.6961,-1.5833,-1.2195,-1.9178,-1.1273,0.1468,-0.3968,-0.5353,0.4559,-1.3605,-0.5222,-0.0587,3.4014,-2.4351,-0.5319,-1.1224,-2.4631,-1.3189,3.0114,0.7937,,,,,,,,,0.2954,1.9439,0.2371,0.7604,2.4589,0.7972,0.4387,0.622,0.2883,0.5248,0.4855,0.4125,0.1642,1.7891,1.5054,0.2116,0.0841,0.7442,0.2983,0.4138,0.6103,0.4647,0.9307,1.0174,0.2459,0.9705,0.2035,13.1036,0.6872,0.4302,0.2977,0.6882,0.765,2.6033,0.3087,,,,,,,,,25274593292,8500556056,19168938606,2613764799,2771132876,8692499188,55643350573,6617341737,11223154800,1323242697,1369570074,34324818461,5992225176,1240661100,2858625000,8500556056,11223154800,5656570194,2899511094,7216010562,2117610000,4427640000,5163149769,2921828744,7273200000,1066800000,1.23824E+11,2928614400,3421600000,1402500000,31267398812,3474278217,4290456000,2929609239,15394782169,,,,,,,,,7.3624,17.9416,31.6478,20.1564,-109.4802,26.0396,6.9798,33.4805,16.1853,52.2358,-46.7352,8.3946,145.3095,56.9685,21.8741,11.0582,12.1526,39.2986,184.3441,45.4585,51.4565,16.2334,38.689,21.8714,90.2495,154.4706,8.1804,-35.3887,52.1906,68.8377,30.7594,29.7294,364.3949,-26.6617,16.0291,,,,,,,,,2.395,2.9817,1.8347,3.4246,2.2746,8.6025,1.5418,2.1616,2.7327,2.1602,8.7292,2.4148,1.8306,3.7274,4,1.8377,2.0518,2.2733,3.0439,4.701,1.5876,3.0021,2.3776,3.3308,2.9744,2.2339,2.9051,2.7889,5.4795,1.3242,4.3293,2.6283,1.9164,3.0362,4.0207,,,,,,,,,2.4265,2.4363,1.5668,5.8064,5.8661,3.3031,2.2513,0.7294,3.9263,1.4921,12.6949,2.795,1.7892,18.572,5.6808,1.5016,2.948,3.8534,5.2514,2.1306,1.4828,2.5256,2.4815,3.2536,1.4369,17.9352,3.9852,8.0294,1.898,1.7613,2.1455,3.3867,3.0244,9.9772,2.529,,,,,,,,
2014/1/13,1.385,4.648,1.8253,0.9082,0,-0.277,1.8417,-0.5964,1.1717,1.122,-1.5544,2.4691,-0.7946,-0.7378,1.5978,0.4032,-1.4395,-0.2245,-0.838,-0.1341,-1.4663,1.2948,2.3681,-2.8744,-0.4598,-0.3937,0.5198,-1.864,0.6956,0.713,-0.9793,-0.1263,0.3145,0,1.5748,,,,,,,,,0.4123,2.7755,0.1871,0.6189,2.7224,0.7237,0.5662,0.4914,0.2526,0.3117,0.3615,0.5118,0.1048,1.2008,1.157,0.4536,0.0967,0.5023,0.2464,0.2948,0.5291,0.5228,1.2751,0.927,0.2722,0.2156,0.3626,5.0602,0.7795,0.2798,0.5741,0.3476,1.1024,2.3512,0.5085,,,,,,,,,25624656911,8895663129,19518827968,2637502320,2771132876,8668420243,56668159894,6577874490,11354658432,1338089740,1348281420,35172344843,5944613852,1231508000,2904300000,8895663129,11354658432,5643873067,2875213515,7206331138,2086560000,4484970000,5285420269,2837842744,7239760000,1062600000,1.24467E+11,2874024000,3445400000,1412500000,30961196820,3469891502,4303948000,2929609239,15637219684,,,,,,,,,7.4644,18.7755,32.2255,20.3395,-109.4802,25.9674,7.1084,33.2808,16.375,52.8219,-46.0087,8.6019,144.1549,56.5482,22.2236,11.0922,11.9662,39.2104,182.7994,45.3975,50.702,16.4436,39.6053,21.2427,89.8346,153.8624,8.2229,-34.7291,52.5536,69.3285,30.4581,29.6918,365.5408,-26.6617,16.2816,,,,,,,,,2.4282,3.1203,1.8682,3.4557,2.2746,8.5787,1.5702,2.1487,2.7647,2.1844,8.5935,2.4744,1.816,3.6999,4.0639,1.8434,2.0203,2.2682,3.0184,4.6947,1.5643,3.041,2.4339,3.235,2.9607,2.2251,2.9202,2.7369,5.5176,1.3336,4.2869,2.6249,1.9224,3.0362,4.084,,,,,,,,,2.4601,2.5496,1.5954,5.8591,5.8661,3.294,2.2928,0.7251,3.9723,1.5088,12.4976,2.864,1.775,18.435,5.7716,1.5062,2.9028,3.8448,5.2074,2.1277,1.4611,2.5583,2.5403,3.1601,1.4303,17.8646,4.006,7.8797,1.9112,1.7738,2.1245,3.3824,3.034,9.9772,2.5689,,,,,,,,
2014/1/14,1.694,4.4416,0.7682,1.1,0.6472,0.8333,2.4113,0,0.7188,3.0513,-0.6579,1.3052,1.6018,1.8243,1.1931,2.467,-1.4605,2.3622,1.6901,1.7461,2.0833,0.1967,1.1567,2.8037,1.1547,2.8986,1.1844,-0.4469,3.0882,0.885,-0.9665,2.0228,1.1755,-0.3024,1.2182,,,,,,,,,0.4402,4.3136,0.2784,0.6025,2.1835,0.8531,0.6775,0.8131,0.2821,0.4788,0.4422,0.6001,0.1116,1.0006,1.193,0.7819,0.2686,0.9248,0.2011,0.2877,0.5678,0.5317,1.3574,0.907,0.2579,0.3963,0.2261,7.6525,1.1857,0.1723,0.7895,0.485,0.9023,1.416,0.3456,,,,,,,,,26058735798,9290770202,19668780551,2666514846,2789069011,8740657079,58034572323,6577874490,11436281376,1378919107,1339411148,35631421633,6039836500,1253974700,2938950000,9290770202,11436281376,5777192903,2923808673,7332163650,2130030000,4493790000,5346555519,2917408428,7323360000,1093400000,1.25942E+11,2861179200,3551800000,1425000000,30661953965,3540078940,4354543000,2920749534,15827706302,,,,,,,,,7.5908,19.6095,32.4731,20.5632,-110.1888,26.1838,7.2798,33.2808,16.4927,54.4336,-45.7061,8.7141,146.464,57.5798,22.4887,11.3621,11.7876,40.1366,185.8889,46.1902,51.7583,16.4759,40.0634,21.8383,90.8719,158.3222,8.3203,-34.5739,54.1766,69.9421,30.1637,30.2924,369.8379,-26.5811,16.4799,,,,,,,,,2.4693,3.2589,1.8825,3.4937,2.2893,8.6502,1.6081,2.1487,2.7846,2.2511,8.537,2.5067,1.8451,3.7674,4.1124,1.8883,1.9902,2.3218,3.0694,4.7767,1.5969,3.047,2.462,3.3257,2.9949,2.2896,2.9548,2.7247,5.688,1.3454,4.2455,2.678,1.945,3.027,4.1338,,,,,,,,,2.5017,2.6628,1.6076,5.9235,5.9041,3.3214,2.348,0.7251,4.0008,1.5549,12.4153,2.9014,1.8034,18.7713,5.8405,1.5429,2.8595,3.9356,5.2954,2.1649,1.4915,2.5634,2.5697,3.2487,1.4468,18.3824,4.0534,7.8445,1.9703,1.7895,2.104,3.4509,3.0696,9.947,2.6002,,,,,,,,
2014/1/15,-2.2031,-2.1057,1.1436,3.6597,-1.5273,2.6171,-1.8967,3.3333,-2.8152,-0.6729,-3.0464,-1.8831,0.6757,-1.5926,-2.6795,-0.6159,-2.1796,2.5275,-0.831,-0.8581,1.4577,-0.6869,-2.5988,1.5152,-0.2283,0.7682,-2.1021,0,-1.1825,1.7544,-0.1816,0.1239,-1.6266,-1.9211,-0.4376,,,,,,,,,0.3289,1.917,0.1625,2.0599,2.1353,0.967,0.3629,1.2827,0.5071,0.4719,1.0772,0.568,0.0778,1.1421,1.7147,0.26,0.2359,2.1565,0.1621,0.2487,0.5214,0.4672,1.299,1.1306,0.2607,0.404,0.19,7.6485,0.8837,0.3241,0.4275,0.7251,0.8943,2.0442,0.4719,,,,,,,,,25484631463,9095134661,19893709427,2764102431,2746470690,8969407057,56933851200,6797136973,11114324208,1369639706,1298607894,34960463248,6080646206,1234004300,2860200000,9095134661,11114324208,5923209867,2899511094,7269247394,2161080000,4462920000,5207611769,2961611586,7306640000,1101800000,1.23294E+11,2861179200,3509800000,1450000000,30606280876,3544465655,4283710000,2864638066,15758438441,,,,,,,,,7.4236,19.1966,32.8444,21.3158,-108.5058,26.8691,7.1417,34.3902,16.0284,54.0673,-44.3137,8.5501,147.4536,56.6628,21.8862,11.3062,11.545,41.151,184.3441,45.7938,52.5128,16.3628,39.0222,22.1692,90.6644,159.5385,8.1454,-34.5739,53.536,71.1691,30.109,30.33,363.8219,-26.0705,16.4078,,,,,,,,,2.4149,3.1903,1.904,3.6215,2.2544,8.8766,1.5776,2.2203,2.7062,2.2359,8.2769,2.4595,1.8576,3.7074,4.0022,1.879,1.9492,2.3804,3.0439,4.7357,1.6202,3.026,2.398,3.3761,2.988,2.3072,2.8927,2.7247,5.6207,1.369,4.2378,2.6814,1.9134,2.9688,4.1157,,,,,,,,,2.4466,2.6067,1.626,6.1403,5.8139,3.4083,2.3035,0.7492,3.8882,1.5444,12.0371,2.8467,1.8156,18.4724,5.684,1.5353,2.8006,4.0351,5.2514,2.1463,1.5133,2.5458,2.5029,3.2979,1.4435,18.5236,3.9682,7.8445,1.947,1.8209,2.1002,3.4551,3.0197,9.7559,2.5888,,,,,,,,
