ÈÕÆÚ,002357.SZ,002627.SZ,600561.SH,600611.SH,600650.SH,600662.SH,600834.SH,603032.SH,603069.SH,900903.SH,900914.SH
2014/1/2,5.9676,6.0059,10.2347,3.6914,8.9166,4.1933,6.5856,,,0.3868,0.7397
2014/1/3,6.0495,5.9343,10.0441,3.6067,8.5757,4.0536,6.4111,,,0.3827,0.7347
2014/1/6,5.7921,5.7141,9.701,3.4978,8.0106,3.9231,6.1298,,,0.3757,0.7241
2014/1/7,5.8272,5.7527,9.5866,3.522,8.1631,3.9417,6.1395,,,0.3757,0.7323
2014/1/8,6.0729,5.7857,9.6438,3.4736,7.9209,3.8858,6.0522,,,0.3757,0.7282
2014/1/9,6.0437,5.5985,9.5485,3.3707,7.9478,3.9138,5.9358,,,0.374,0.7372
2014/1/10,5.9442,5.4884,9.377,3.3041,7.8312,3.8113,5.8679,,,0.3699,0.7405
2014/1/13,6.1958,5.505,9.5295,3.3284,7.8312,3.7647,5.8873,,,0.3711,0.7339
2014/1/14,6.2484,5.6591,9.7105,3.3586,7.9837,3.8299,5.9164,,,0.3746,0.7347
2014/1/15,6.5527,5.8132,9.7201,3.3586,7.9926,3.8392,5.9358,,,0.3786,0.7356
2014/1/16,6.5292,5.8077,9.8916,3.3768,8.0465,3.8579,6.0813,,,0.3786,0.7356
2014/1/17,6.4824,5.7747,9.8058,3.3889,7.7594,3.7647,6.0328,,,0.374,0.7356
2014/1/20,6.5468,5.7967,9.5199,3.3344,7.6607,3.7647,5.9649,,,0.3717,0.7282
2014/1/21,6.8861,5.8683,9.5962,3.4131,7.7684,3.8206,6.0425,,,0.3757,0.7315
2014/1/22,7.0207,5.9454,9.8439,3.5099,8.3335,3.9231,6.1686,,,0.3804,0.7438
2014/1/23,6.9739,5.9564,9.8916,3.4978,8.2438,3.9045,6.2074,,,0.3804,0.7454
2014/1/24,6.9739,5.9509,9.9107,3.5341,8.2976,3.9976,6.2268,,,0.3804,0.7462
