ÈÕÆÚ,000089.SZ,600004.SH,600009.SH,600897.SH
2014/1/2,4.1202,4.1811,13.4014,12.2618
2014/1/3,4.0537,4.1449,13.1147,12.0989
2014/1/6,4.0727,4.0666,12.606,11.6671
2014/1/7,4.0632,4.0365,12.6337,11.7486
2014/1/8,4.0727,4.0606,12.8557,11.7486
2014/1/9,3.9968,4.0124,12.9482,11.5856
2014/1/10,3.8829,3.9582,12.8187,11.4064
2014/1/13,3.9113,3.916,12.828,11.5612
2014/1/14,3.9683,3.9883,13.0407,11.5856
2014/1/15,3.9208,3.9762,12.9667,11.5775
2014/1/16,3.9398,4.0003,12.8649,11.6508
2014/1/17,3.8734,3.9762,12.4765,11.5612
2014/1/20,3.7689,3.9461,12.532,11.4715
2014/1/21,3.7974,3.9822,12.495,11.5775
2014/1/22,3.8829,4.0666,12.791,11.7567
2014/1/23,3.8734,4.0666,12.6245,11.773
2014/1/24,3.9113,4.0847,12.5412,11.8952
2014/1/27,3.8829,4.0545,12.3285,11.6915
2014/1/28,3.8734,4.0606,12.3193,11.6345
2014/1/29,3.8734,4.0666,12.4025,11.8708
2014/1/30,3.8829,4.0485,12.347,11.7811
2014/2/7,3.9493,4.0304,12.3008,11.8382
2014/2/10,4.0063,4.1088,12.6337,12.1233
2014/2/11,4.0158,4.1148,12.7817,12.3596
2014/2/12,4.0253,4.2172,12.68,12.6203
2014/2/13,4.0158,4.2955,12.6892,12.6855
2014/2/14,4.0347,4.3016,12.754,12.7833
2014/2/17,4.0158,4.2835,12.7077,12.8159
2014/2/18,3.9683,4.2534,12.5782,12.7751
2014/2/19,3.9968,4.2775,12.6245,12.7914
2014/2/20,3.9683,4.2775,12.7632,12.3759
2014/2/21,3.9398,4.2052,12.5875,12.5063
2014/2/24,3.8829,4.3196,12.1898,12.3352
2014/2/25,3.8069,4.2353,11.9123,11.9604
2014/2/26,3.8164,4.2112,11.8661,11.7323
2014/2/27,3.8164,4.1931,11.8753,11.7241
2014/2/28,3.8449,4.2594,11.8661,11.7893
2014/3/3,3.8829,4.3016,12.0048,12.0093
2014/3/4,3.8449,4.2835,12.0418,12.2618
2014/3/5,3.8164,4.2413,12.0418,12.1804
2014/3/6,3.8259,4.2413,12.0696,11.9604
2014/3/7,3.7974,4.2172,12.0788,11.6834
2014/3/10,3.674,4.0545,11.7828,11.2679
2014/3/11,3.674,4.0485,11.5794,11.2842
2014/3/12,3.6645,4.0124,11.5516,11.276
2014/3/13,3.674,4.0485,11.4961,11.4552
2014/3/14,3.6265,4.0365,11.3297,11.3249
2014/3/17,3.6455,4.0726,11.5424,11.5449
2014/3/18,3.636,4.0726,11.5424,11.5367
2014/3/19,3.6645,4.0847,11.6071,11.5041
2014/3/20,3.6265,4.0184,11.4406,11.276
2014/3/21,3.6835,4.1208,11.6164,11.5367
2014/3/24,3.731,4.169,11.8291,11.6834
2014/3/25,3.7215,4.169,11.9678,11.6345
2014/3/26,3.7025,4.157,11.9586,11.6508
2014/3/27,3.7215,4.169,11.8753,11.5449
2014/3/28,3.731,4.2232,12.0048,11.4715
2014/3/31,3.6455,4.2232,11.6256,11.3493
2014/4/1,3.693,4.2052,11.6256,11.5367
2014/4/2,3.712,4.2293,11.6349,11.5693
2014/4/3,3.6835,4.1871,11.5701,11.7811
2014/4/4,3.7025,4.2052,11.5979,11.7893
2014/4/8,3.731,4.2473,11.7828,11.8789
2014/4/9,3.7215,4.2293,11.8568,11.773
2014/4/10,3.7404,4.2654,12.0326,11.8871
2014/4/11,3.712,4.2714,12.347,12.2211
2014/4/14,3.712,4.2413,12.2638,12.5144
2014/4/15,3.636,4.2172,12.0881,12.3433
2014/4/16,3.636,4.2112,12.1158,12.4655
2014/4/17,3.636,4.2232,12.1898,12.2292
2014/4/18,3.6265,4.2473,12.0881,12.3107
2014/4/21,3.5791,4.1509,11.8383,12.1478
2014/4/22,3.5601,4.157,11.9123,12.1396
2014/4/23,3.5791,4.1449,11.8938,12.1396
2014/4/24,3.6265,4.2172,12.31,12.3759
2014/4/25,3.5221,4.1509,12.0881,11.7974
2014/4/28,3.4841,4.0786,11.8106,11.5286
2014/4/29,3.4936,4.1208,12.0418,11.7241
2014/4/30,3.5221,4.157,12.236,11.9848
2014/5/5,3.5316,4.1871,12.2545,11.9767
2014/5/6,3.5506,4.2112,12.273,11.9685
2014/5/7,3.5316,4.1811,12.2915,11.6019
2014/5/8,3.5221,4.1811,12.421,11.7567
2014/5/9,3.5696,4.1268,12.2545,11.6834
2014/5/12,3.636,4.1931,12.5412,11.9522
2014/5/13,3.6455,4.2293,12.8372,11.9685
2014/5/14,3.6265,4.2052,12.754,11.8789
2014/5/15,3.598,4.1871,12.7077,11.6508
2014/5/16,3.6075,4.2052,12.532,11.7078
2014/5/19,3.598,4.163,12.4303,11.7241
2014/5/20,3.5886,4.169,12.4673,11.7323
2014/5/21,3.6265,4.2293,12.5597,11.8056
2014/5/22,3.6075,4.2112,12.384,11.6834
2014/5/23,3.617,4.2473,12.4118,11.7486
2014/5/26,3.6265,4.2413,12.458,11.8708
2014/5/27,3.617,4.2112,12.2268,11.8056
2014/5/28,3.617,4.2353,12.3933,12.0419
2014/5/29,3.6075,4.1811,12.273,11.9115
2014/5/30,3.598,4.2052,12.3285,12.0093
2014/6/3,3.598,4.1931,12.2083,11.8789
2014/6/4,3.5693,4.1329,11.9308,11.7078
2014/6/5,3.5788,4.163,11.9771,11.8137
2014/6/6,3.5597,4.157,11.8013,11.7811
2014/6/9,3.5597,4.1389,11.7736,11.7323
2014/6/10,3.598,4.175,12.0418,11.8708
2014/6/11,3.6267,4.175,12.125,11.9685
2014/6/12,3.6171,4.157,11.8753,11.9196
2014/6/13,3.6458,4.2052,12.0418,12.0907
2014/6/16,3.6554,4.1991,12.162,12.0744
2014/6/17,3.6171,4.1811,12.1066,11.9685
2014/6/18,3.5693,4.169,11.9031,11.8708
2014/6/19,3.531,4.1148,11.7643,11.5597
2014/6/20,3.5501,4.1329,11.7459,12.2911
2014/6/23,3.5693,4.163,11.7459,11.9969
2014/6/24,3.5788,4.175,11.8291,11.9632
2014/6/25,3.5406,4.2112,11.7643,12.0137
2014/6/26,3.5597,4.2172,11.8291,11.9885
2014/6/27,3.5884,4.2232,11.8753,11.9969
2014/6/30,3.6075,4.2413,11.9308,12.2407
2014/7/1,3.6075,4.2473,12.0048,12.2575
2014/7/2,3.6267,4.2654,11.9678,12.3332
2014/7/3,3.6458,4.2835,11.9678,12.7115
2014/7/4,3.6267,4.2835,11.9863,12.6106
2014/7/7,3.6362,4.2654,11.9493,12.5854
2014/7/8,3.7032,4.2835,12.0881,12.6106
2014/7/9,3.6554,4.2232,11.9031,12.4088
2014/7/10,3.665,4.2473,11.8291,12.4004
2014/7/11,3.6745,4.2835,11.8846,12.5685
2014/7/14,3.6937,4.3377,12.0233,12.8124
2014/7/15,3.665,4.3196,12.0788,12.6778
2014/7/16,3.6937,4.3317,12.0696,12.7535
2014/7/17,3.665,4.3979,12.0511,12.7619
2014/7/18,3.6554,4.3979,12.1713,12.9385
2014/7/21,3.6745,4.3196,12.2268,12.9469
2014/7/22,3.6841,4.3437,12.2638,13.4597
2014/7/23,3.665,4.3377,12.273,12.9469
2014/7/24,3.7894,4.3799,12.384,12.9973
2014/7/25,3.7989,4.4281,12.643,12.9385
2014/7/28,3.8468,4.4883,12.8002,13.1823
2014/7/29,3.8659,4.4702,12.7447,13.7455
2014/7/30,3.8276,4.4341,12.6707,13.4933
2014/7/31,3.8563,4.4702,12.6707,13.6531
2014/8/1,3.8468,4.4401,12.5412,13.5942
2014/8/4,3.885,4.5365,12.7632,13.6026
2014/8/5,3.8755,4.5064,12.7077,13.4177
2014/8/6,3.8755,4.5245,12.643,13.2831
2014/8/7,3.8563,4.4763,12.532,13.0309
2014/8/8,3.8563,4.4763,12.569,13.1234
2014/8/11,3.885,4.508,12.7632,13.1991
2014/8/12,3.9137,4.527,13.0592,13.2831
2014/8/13,3.9137,4.5016,12.9944,13.5438
2014/8/14,3.9233,4.4826,12.9112,13.3084
2014/8/15,3.952,4.5143,13.2042,13.4681
2014/8/18,3.9616,4.5333,13.1286,13.527
2014/8/19,3.9712,4.6158,13.2893,13.5185
2014/8/20,3.9616,4.6792,13.1947,13.4008
2014/8/21,3.9137,4.6982,13.138,13.3504
2014/8/22,3.952,4.7552,12.949,13.4008
2014/8/25,4.019,4.7679,13.138,13.4345
2014/8/26,3.9042,4.7933,12.9017,13.1907
2014/8/27,3.9137,4.7806,12.8167,13.1739
2014/8/28,3.8755,4.6855,12.6938,13.1739
