ÈÕÆÚ,000088.SZ,000507.SZ,000582.SZ,000905.SZ,001872.SZ,002040.SZ,201872.SZ,600017.SH,600018.SH,600190.SH,600279.SH,600317.SH,600717.SH,601000.SH,601008.SH,601018.SH,601228.SH,601298.SH,601326.SH,601880.SH,900952.SH
2014/1/2,6.227,5.4527,8.0046,7.4697,13.917,4.157,10.8227,2.4645,4.5507,3.6713,4.8458,1.0444,6.2046,1.1743,3.6395,2.1992,,,,1.0745,0.3851
2014/1/3,6.0415,5.3352,7.9055,7.167,13.5288,4.1039,10.6435,2.4355,4.4382,3.6227,4.852,1.0234,6.07,1.1397,3.5612,2.2352,,,,1.0582,0.3842
2014/1/6,5.8171,5.0905,7.5375,6.835,12.9248,4.1039,10.4271,2.3485,4.1441,3.5256,4.6297,0.9965,5.8084,1.0935,3.3362,2.1541,,,,1.0296,0.3784
2014/1/7,5.8951,5.1101,7.5446,6.835,12.9248,4.1039,10.4868,2.3678,4.4728,3.5741,4.6359,0.9965,5.8682,1.105,3.346,2.1721,,,,1.0377,0.3775
2014/1/8,5.778,5.0024,7.7003,6.7862,12.6832,4.1722,10.4793,2.3485,4.2565,3.5936,4.7532,0.9875,5.7561,1.0627,3.2971,2.1361,,,,1.0296,0.3794
2014/1/9,5.739,4.9339,7.5092,6.6007,12.6056,4.0963,10.4793,2.3195,4.3603,3.545,4.5927,0.9756,5.7262,1.055,3.3166,2.1181,,,,1.0214,0.3784
2014/1/10,5.5926,4.7675,7.1836,6.3956,12.2949,4.1115,10.442,2.2615,4.3257,3.545,4.5927,0.9606,5.7037,1.0434,3.1992,2.082,,,,0.9928,0.3784
2014/1/13,5.4657,4.6304,7.0138,6.63,12.1483,4.0053,10.2554,2.2615,4.2652,3.5741,4.5927,0.9696,5.5916,1.0473,3.1797,2.073,,,,0.9928,0.3765
2014/1/14,5.7585,4.8164,7.1199,6.6593,12.9162,4.157,10.5241,2.3002,4.3084,3.6713,4.5927,0.9786,5.6664,1.0742,3.2286,2.1,,,,1.001,0.3794
2014/1/15,5.6316,4.7772,7.1128,6.669,12.9334,4.2025,10.4644,2.2905,4.2652,3.7101,4.5927,0.9696,5.5542,1.0742,3.2286,2.082,,,,0.9969,0.3794
2014/1/16,5.6999,4.8164,7.1695,6.7276,12.9075,4.2177,10.5465,2.2905,4.2911,3.7101,4.5927,0.9756,5.7635,1.0781,3.1797,2.082,,,,0.9969,0.3784
2014/1/17,5.6121,4.6989,7.0421,6.5616,12.502,4.1646,10.4047,2.2905,4.1614,3.6033,4.7779,0.9636,5.6066,1.0588,3.121,2.046,,,,0.9805,0.3784
2014/1/20,5.4755,4.6206,6.9925,6.4444,12.4071,4.2177,10.4271,2.3195,4.1268,3.5741,4.6544,0.9636,5.4346,1.0473,3.1112,2.0279,,,,0.9805,0.3775
2014/1/21,5.5145,4.6598,7.0491,6.5323,12.6142,4.2405,10.4719,2.3388,4.1614,3.613,4.71,0.9696,5.4944,1.0742,3.1699,2.046,,,,0.9846,0.3794
2014/1/22,5.6902,4.8164,7.2685,6.7081,12.9852,4.2632,10.554,2.3872,4.3084,3.6907,4.8088,0.9905,5.6365,1.0935,3.2481,2.091,,,,1.0091,0.3813
2014/1/23,5.6511,4.8458,7.219,6.7081,12.8558,4.2784,10.4942,2.3678,4.2479,3.6616,4.8149,0.9935,5.6365,1.0781,3.2384,2.082,,,,1.001,0.3813
2014/1/24,5.6902,4.9437,7.2756,6.7764,12.9852,4.3087,10.5838,2.3872,4.2825,3.7198,4.852,0.9995,5.6738,1.0935,3.2971,2.1091,,,,1.0132,0.3813
2014/1/27,5.5145,4.7968,7.2898,6.6397,12.7263,4.2556,10.5614,2.3775,4.2392,3.7295,4.747,1.0025,5.5767,1.0819,3.209,2.091,,,,1.0173,0.3794
2014/1/28,5.6999,4.9535,7.4667,6.7667,12.9679,4.195,10.4495,2.4065,4.395,3.681,4.7841,0.9995,5.7112,1.0858,3.2677,2.1181,,,,1.0214,0.3775
2014/1/29,5.6316,4.9045,7.3818,6.7764,12.9938,4.2405,10.4942,2.4162,4.343,3.6907,4.747,0.9995,5.6888,1.0858,3.2579,2.091,,,,1.0132,0.3861
2014/1/30,5.7878,4.9241,7.3676,6.7178,13.1405,4.2025,10.4942,2.4065,4.2998,3.7004,4.7779,0.9935,5.6589,1.0781,3.2384,2.091,,,,1.0132,0.3842
2014/2/7,5.7585,4.9045,7.3747,6.7374,13.0542,4.2936,10.539,2.4162,4.2825,3.7198,4.8026,0.9905,5.6589,1.0781,3.3656,2.091,,,,1.0214,0.3832
2014/2/10,6.022,5.0318,7.5446,6.9912,13.5029,4.377,10.651,2.4548,4.3863,3.7781,4.9199,1.0234,5.8009,1.1012,3.4243,2.1271,,,,1.0418,0.3851
2014/2/11,6.0806,5.0709,7.5092,7.2451,13.5029,4.3922,10.5987,2.4645,4.5593,3.8072,5.0125,1.0264,6.2046,1.1127,3.4634,2.1631,,,,1.0459,0.3861
2014/2/12,6.2563,5.1688,7.6578,7.2744,13.9084,4.4529,10.6734,2.4645,4.5247,3.817,5.2347,1.0384,6.7204,1.1397,3.4927,2.1541,,,,1.0459,0.3861
2014/2/13,6.0513,5.1003,7.58,7.4306,13.5546,4.4605,10.651,2.4258,4.5247,3.749,5.1051,1.0414,6.399,1.1166,3.6199,2.1451,,,,1.0337,0.3861
2014/2/14,6.0513,5.1786,7.6437,7.5771,13.6495,4.5591,10.651,2.4355,4.542,3.7684,5.1545,1.0474,6.4812,1.1204,3.7765,2.1541,,,,1.0377,0.3861
2014/2/17,6.0123,5.1492,7.6932,7.704,13.615,4.5439,10.4719,2.4355,4.5161,3.8267,5.1791,1.0474,6.5485,1.132,3.7569,2.1541,,,,1.0377,0.3871
2014/2/18,6.1684,5.2373,7.5941,7.7919,13.8049,4.6804,10.6137,2.4065,4.4382,3.7684,5.1545,1.0324,7.0568,1.1243,3.6884,2.1361,,,,1.0337,0.3871
2014/2/19,6.0611,5.1884,7.5516,7.6943,13.5546,4.6804,10.4196,2.4162,4.4555,3.817,5.1483,1.0354,6.8475,1.1243,3.708,2.1451,,,,1.0377,0.3861
2014/2/20,5.983,5.1101,7.6295,7.333,13.3044,4.7942,10.4196,2.4258,4.4815,3.7781,5.1606,1.0444,6.5858,1.132,3.6493,2.1271,,,,1.0337,0.3861
2014/2/21,5.9147,5.0318,7.5446,7.2061,13.0456,4.6273,10.4121,2.3678,4.3603,3.7198,5.0248,1.0234,6.7727,1.1089,3.6101,2.1,,,,1.0132,0.3823
2014/2/24,5.9732,5.0807,7.3535,7.2842,13.2181,4.6577,10.4271,2.3195,4.2219,3.749,5.0372,0.9965,6.6456,1.1089,3.5221,2.046,,,,0.9846,0.3765
2014/2/25,5.778,4.9828,7.3606,6.962,12.5969,4.6122,10.1509,2.2809,4.1008,3.7198,4.7841,0.9786,6.541,1.1474,3.4047,2.0099,,,,0.9765,0.366
2014/2/26,5.6414,4.8458,7.1695,6.9327,12.5106,4.7411,10.0987,2.2615,4.0835,3.6713,4.8396,0.9786,6.5858,1.1512,3.3851,1.9829,,,,0.9683,0.3669
2014/2/27,5.495,4.7087,7.1341,6.7569,12.1828,4.6273,10.0837,2.2325,4.0835,3.6616,4.7779,0.9636,6.5111,1.132,3.3558,1.9919,,,,0.956,0.3669
2014/2/28,5.5926,4.7968,7.2048,6.8936,12.5883,4.7184,10.0016,2.2712,4.0922,3.6324,4.7594,0.9756,6.526,1.1628,3.434,2.0189,,,,0.9601,0.3679
2014/3/3,5.6511,4.8653,7.3322,6.9912,12.7177,4.8397,9.8524,2.3002,4.17,3.7198,5.1483,0.9905,6.5933,1.1551,3.483,2.0369,,,,0.9724,0.3698
