ÈÕÆÚ,002010.SZ,002120.SZ,002183.SZ,002210.SZ,002245.SZ,002352.SZ,002468.SZ,002492.SZ,002682.SZ,002711.SZ,002769.SZ,002800.SZ,002889.SZ,002930.SZ,300013.SZ,300240.SZ,300350.SZ,600057.SH,600119.SH,600153.SH,600179.SH,600180.SH,600233.SH,600575.SH,600704.SH,600787.SH,600794.SH,601598.SH,603056.SH,603066.SH,603117.SH,603128.SH,603223.SH,603329.SH,603535.SH,603569.SH,603648.SH,603713.SH,603813.SH,603871.SH,603967.SH
2014/1/2,9.1887,3.9494,3.3361,2.029,3.1817,7.8422,5.8363,5.4073,4.1113,,,,,,5.4558,4.631,5.8734,4.0359,17.2706,5.6235,3.6709,9.3706,4.4284,3.25,4.9589,4.9852,3.4185,,,,,5.2042,,,,,,,,,
2014/1/3,9.6155,3.9016,3.4703,2.0466,3.1729,7.8072,5.7155,5.5663,4.0491,,,,,,5.4558,4.6965,5.9976,4.0359,17.3096,5.4795,3.7419,9.6701,4.3713,3.21,4.8846,4.9363,3.3652,,,,,4.986,,,,,,,,,
2014/1/6,9.6155,3.9781,3.4416,1.9789,3.2039,7.2255,5.5545,5.4527,3.9039,,,,,,5.2876,4.5349,5.5808,4.0359,16.9877,5.3595,3.5431,9.6314,4.2143,3.13,4.8277,4.775,3.2096,,,,,4.8389,,,,,,,,,
2014/1/7,9.5965,4.1598,3.4656,1.9583,3.3191,7.4226,5.6431,5.4657,3.9039,,,,,,5.2711,4.7664,5.7161,4.0359,16.9974,5.3275,3.4934,9.8826,4.2143,3.16,4.8102,4.7701,3.1162,,,,,4.986,,,,,,,,,
2014/1/8,9.5206,4.1215,3.5135,1.9377,3.2969,7.4957,5.6028,5.5663,3.9143,,,,,,5.3932,4.7489,5.8347,4.0359,16.9584,5.1915,3.4934,9.7474,4.0811,3.14,4.8802,4.6577,3.0451,,,,,4.9718,,,,,,,,,
2014/1/9,9.3974,3.9494,3.456,1.8994,3.421,7.1683,5.5304,5.4267,3.8313,,,,,,5.2777,4.6266,5.5422,4.0359,16.9974,5.0395,3.4224,9.4479,3.9765,3.09,4.819,4.5795,3.0807,,,,,5.0002,,,,,,,,,
2014/1/10,9.1318,3.7725,3.3074,1.814,3.4432,7.022,5.2889,5.378,3.7328,,,,,,5.0501,4.6048,5.3628,4.0359,16.3437,5.0395,3.3443,9.4576,3.8956,3.08,4.7577,4.4378,3.0407,,,,,5.0714,,,,,,,,,
2014/1/13,9.2077,3.8538,3.2163,1.8317,3.5052,7.0189,5.3291,5.2515,3.7536,,,,,,4.9907,4.7446,5.4511,4.0359,14.7142,4.9995,3.323,9.8826,3.9004,3.38,4.7228,4.5257,2.9829,,,,,5.171,,,,,,,,,
2014/1/14,9.3405,4.0259,3.3697,1.8935,3.5717,7.1365,5.6431,5.3391,3.8365,,,,,,5.0468,4.8363,5.6498,4.0359,13.2408,4.9195,3.3727,10.1048,3.9765,3.27,4.8015,4.8288,3.0762,,,,,5.1995,,,,,,,,,
2014/1/15,9.4353,4.002,3.3553,1.8935,3.6825,7.2064,5.6914,5.378,3.8573,,,,,,5.1656,4.8319,5.8209,4.0359,14.5483,4.8476,3.3727,9.9792,3.9812,3.23,4.7359,4.8874,3.1251,,,,,5.171,,,,,,,,,
