ÈÕÆÚ,000099.SZ,002928.SZ,200152.SZ,600029.SH,600115.SH,600221.SH,601021.SH,601111.SH,603885.SH,900945.SH
2014/1/2,8.4294,,11.0323,2.5633,2.6865,1.9295,,3.6634,,0.4006
2014/1/3,8.3019,,10.7006,2.5351,2.6376,1.9198,,3.6168,,0.3996
2014/1/6,7.9981,,10.4388,2.46,2.5399,1.8713,,3.5608,,0.3928
2014/1/7,8.0275,,10.6395,2.4412,2.5497,1.8519,,3.5515,,0.3918
2014/1/8,7.9687,,10.5959,2.4412,2.5399,1.8519,,3.5422,,0.3957
2014/1/9,7.6942,,10.5435,2.4224,2.5204,1.8325,,3.4956,,0.3918
2014/1/10,7.4786,,10.5348,2.413,2.4422,1.8422,,3.4863,,0.3899
2014/1/13,7.4786,,10.3864,2.413,2.452,1.8422,,3.4769,,0.3879
2014/1/14,7.6452,,10.2206,2.4318,2.4715,1.8422,,3.4956,,0.3938
2014/1/15,7.7237,,10.5784,2.4318,2.452,1.8325,,3.4956,,0.3918
2014/1/16,7.704,,10.9101,2.4412,2.4618,1.8131,,3.5049,,0.3908
2014/1/17,7.5472,,10.8926,2.4036,2.4227,1.7937,,3.4676,,0.3928
2014/1/20,7.5178,,10.7181,2.413,2.4325,1.784,,3.4769,,0.3889
2014/1/21,7.655,,10.7181,2.4506,2.4813,1.8131,,3.5049,,0.3879
2014/1/22,7.8707,,10.8403,2.4975,2.5399,1.8325,,3.5702,,0.3928
2014/1/23,7.9393,,11.2243,2.4881,2.5204,1.8131,,3.5515,,0.3938
2014/1/24,8.1941,,11.2418,2.5163,2.5399,1.8228,,3.5515,,0.3928
2014/1/27,8.4196,,10.9101,2.4975,2.5106,1.8034,,3.5049,,0.3908
2014/1/28,8.3117,,10.945,2.4975,2.5302,1.8131,,3.5329,,0.3938
2014/1/29,8.3412,,11.0934,2.4881,2.5106,1.8034,,3.4956,,0.3957
2014/1/30,8.5078,,11.0061,2.4694,2.4715,1.7937,,3.4769,,0.3938
2014/2/7,8.6548,,11.1458,2.4694,2.4813,1.7937,,3.4863,,0.3938
2014/2/10,9.0763,,11.3814,2.5163,2.5399,1.8325,,3.5515,,0.3986
2014/2/11,8.841,,11.1981,2.5351,2.5595,1.8422,,3.5795,,0.4006
2014/2/12,8.9096,,11.233,2.5257,2.5692,1.8422,,3.5702,,0.3986
2014/2/13,8.547,,11.0759,2.5351,2.5888,1.8131,,3.5702,,0.3967
2014/2/14,8.694,,11.041,2.5539,2.6083,1.8422,,3.6168,,0.3947
2014/2/17,9.0469,,10.753,2.5445,2.6279,1.8422,,3.6261,,0.3947
2014/2/18,8.939,,10.4388,2.4975,2.6083,1.8228,,3.5702,,0.3947
2014/2/19,8.9194,,10.657,2.5539,2.6767,1.9101,,3.6354,,0.4044
2014/2/20,8.6156,,10.4475,2.5257,2.6181,1.881,,3.5888,,0.4006
2014/2/21,8.743,,10.4912,2.4881,2.5692,1.8616,,3.5608,,0.3996
2014/2/24,8.7234,,10.3951,2.4506,2.5204,1.8325,,3.4863,,0.3957
2014/2/25,8.498,,10.238,2.4036,2.452,1.8034,,3.4397,,0.3928
2014/2/26,8.2627,,10.3602,2.413,2.4618,1.8131,,3.4303,,0.3947
2014/2/27,8.1059,,10.4999,2.4224,2.4618,1.8034,,3.4117,,0.3928
2014/2/28,8.3117,,10.4912,2.4318,2.4813,1.8034,,3.4397,,0.3967
