ÈÕÆÚ,000557.SZ,600125.SH,601006.SH,601333.SH
2014/1/2,7,5.3876,5.4599,2.4631
2014/1/3,7,5.2355,5.6358,2.3738
2014/1/6,7,5.0265,5.4599,2.2578
2014/1/7,7,5.093,5.3353,2.2757
2014/1/8,7,4.9695,5.3426,2.2846
2014/1/9,7,4.9505,5.3133,2.3024
2014/1/10,7,4.8745,5.306,2.24
2014/1/13,7,4.8935,5.2547,2.231
2014/1/14,7,4.922,5.1741,2.24
2014/1/15,7,4.8935,5.2693,2.231
2014/1/16,7,4.922,5.218,2.2221
2014/1/17,7,4.865,5.1594,2.1686
2014/1/20,7,4.8555,5.1594,2.1775
2014/1/21,7,4.922,5.2034,2.2043
2014/1/22,7,5.0265,5.2987,2.2489
2014/1/23,7,5.074,5.3206,2.2846
2014/1/24,7,5.074,5.3939,2.2846
2014/1/27,7,4.9505,5.2767,2.231
2014/1/28,7,4.979,5.262,2.24
2014/1/29,7,5.0075,5.2693,2.231
2014/1/30,7,4.9315,5.3206,2.2578
2014/2/7,7,4.998,5.35,2.2578
2014/2/10,7,5.093,5.3793,2.3113
2014/2/11,7,5.1215,5.4086,2.3203
2014/2/12,7,5.15,5.4086,2.3292
2014/2/13,7,5.1025,5.4672,2.347
2014/2/14,7,5.3305,5.6944,2.5791
2014/2/17,7,5.3115,5.5478,2.5434
2014/2/18,7,5.321,5.4526,2.472
2014/2/19,7,5.2925,5.4306,2.4809
2014/2/20,7,5.3115,5.3939,2.5701
2014/2/21,7,5.1785,5.2547,2.472
2014/2/24,7,5.036,5.1667,2.3827
2014/2/25,7,4.903,5.1814,2.3292
2014/2/26,7,4.9695,5.1667,2.3827
2014/2/27,7,4.9505,5.1374,2.4363
2014/2/28,7,4.9505,4.9835,2.3917
2014/3/3,7,5.093,5.0055,2.4184
2014/3/4,7,5.055,4.9909,2.3738
2014/3/5,7,5.017,4.9395,2.347
2014/3/6,7,5.036,4.9395,2.3649
2014/3/7,7,5.1025,4.9249,2.356
2014/3/10,7,4.8935,4.7856,2.2667
2014/3/11,7,4.8079,4.7197,2.2489
2014/3/12,7,4.8079,4.705,2.2132
2014/3/13,7,4.865,4.7124,2.24
2014/3/14,7,4.8174,4.6098,2.2132
2014/3/17,7,4.884,4.6757,2.231
2014/3/18,7,4.96,4.683,2.24
2014/3/19,7,4.9505,4.6464,2.2757
2014/3/20,7,4.9695,4.6757,2.3917
2014/3/21,7,5.074,4.8223,2.472
2014/3/24,7,5.0835,4.8736,2.472
2014/3/25,7,5.036,4.9176,2.4363
2014/3/26,7,4.9885,4.8589,2.4006
2014/3/27,7,5.0075,4.9102,2.4095
2014/3/28,7,4.8745,4.8956,2.3827
2014/3/31,7,4.884,4.8956,2.347
2014/4/1,7,4.922,4.9102,2.4184
2014/4/2,7,5.0265,4.9469,2.4809
2014/4/3,7,5.036,4.815,2.4184
2014/4/4,7,4.9885,4.8736,2.4006
2014/4/8,7,5.0455,4.8736,2.4363
2014/4/9,7,5.036,4.9102,2.4541
2014/4/10,7,5.074,5.0422,2.4809
2014/4/11,7,5.112,5.1961,2.4898
2014/4/14,7,5.169,5.1741,2.4541
2014/4/15,7,5.112,5.0861,2.4452
2014/4/16,7,5.093,5.0422,2.4363
2014/4/17,7,5.0645,5.0128,2.4363
2014/4/18,7,5.093,5.0055,2.4184
2014/4/21,7,4.9505,4.9322,2.3738
