ÈÕÆÚ,000429.SZ,000548.SZ,000755.SZ,000828.SZ,000885.SZ,000886.SZ,000900.SZ,001965.SZ,200429.SZ,600012.SH,600020.SH,600033.SH,600035.SH,600106.SH,600269.SH,600350.SH,600368.SH,600377.SH,600548.SH,601107.SH,601188.SH,601518.SH
2014/1/2,2.32,5.1417,3.6,3.9621,6.0503,3.859,3.2605,,1.7813,3.2439,1.9011,1.7228,1.688,2.5484,2.4535,2.3933,3.1908,4.1457,2.6182,2.5084,2.1192,2.0557
2014/1/3,2.32,5.0638,3.56,3.878,5.8855,3.7818,3.1995,,1.7813,3.2022,1.8754,1.7308,1.6824,2.5076,2.4282,2.3534,3.1008,4.1012,2.6027,2.5084,2.0833,2.028
2014/1/6,2.296,4.6743,3.47,3.7771,5.7691,3.6564,3.1291,,1.7533,3.0854,1.8326,1.6906,1.6488,2.3921,2.3859,2.2975,2.9762,4.0271,2.5407,2.4646,2.0114,1.9819
2014/1/7,2.264,4.5672,3.44,3.7518,5.7206,3.6371,3.1244,,1.7603,3.0771,1.8411,1.6986,1.6488,2.4193,2.3943,2.2975,2.9831,4.0345,2.5794,2.447,2.0204,1.9911
2014/1/8,2.28,4.46,3.4,3.7855,5.6334,3.5792,3.1385,,1.7673,3.027,1.824,1.6745,1.6544,2.3989,2.3859,2.2736,3.0108,4.0641,2.533,2.4207,1.9935,1.9819
2014/1/9,2.264,4.5282,3.4,3.7014,5.5267,3.5502,3.0728,,1.7393,2.9937,1.7983,1.6906,1.6377,2.3309,2.3689,2.2417,2.9762,4.079,2.5407,2.4032,1.9755,1.9451
2014/1/10,2.16,4.46,3.3,3.5836,5.4879,3.4538,2.9649,,1.7533,2.9853,1.7726,1.6584,1.6097,2.3174,2.3436,2.2257,2.9001,4.0419,2.4942,2.3944,1.9845,1.9358
2014/1/13,2.152,4.4114,3.29,3.4911,5.4298,3.4731,2.9743,,1.7463,3.0521,1.7726,1.6584,1.6097,2.3174,2.352,2.2576,2.9208,4.0271,2.4942,2.3857,1.9845,1.9451
2014/1/14,2.192,4.499,3.36,3.5499,5.5752,3.5792,3.0119,,1.7463,3.0854,1.7897,1.6664,1.6377,2.3445,2.3605,2.2656,2.9762,4.0048,2.533,2.4032,2.0114,1.9727
2014/1/15,2.192,4.4795,3.34,3.5668,5.6043,3.666,2.9837,,1.7463,3.0771,1.7897,1.6664,1.6321,2.3513,2.3605,2.2656,2.9624,3.9529,2.5407,2.4295,2.0025,1.9451
2014/1/16,2.2,4.5185,3.35,3.5668,5.5946,3.6274,3.0212,,1.7673,3.0771,1.7897,1.6584,1.6433,2.3445,2.3689,2.2816,2.9485,3.9603,2.6646,2.4207,1.9935,1.9543
2014/1/17,2.16,4.4795,3.29,3.4658,5.4782,3.5406,2.979,,1.7533,3.0187,1.7555,1.6503,1.6209,2.3241,2.3351,2.2417,2.8239,3.9306,2.6492,2.4032,1.9666,1.9358
2014/1/20,2.128,4.3335,3.27,3.4658,5.5073,3.5116,2.9368,,1.7393,3.0937,1.7641,1.6423,1.6153,2.3106,2.3182,2.1938,2.7824,3.9232,2.6259,2.3681,1.9576,1.9266
2014/1/21,2.152,4.3529,3.28,3.5331,5.6043,3.5695,2.9602,,1.7533,3.1021,1.7726,1.6423,1.6377,2.3309,2.3266,2.2178,2.8032,3.99,2.6337,2.3857,1.9845,1.9358
2014/1/22,2.208,4.5185,3.39,3.6425,5.7594,3.6467,3.04,,1.7673,3.1688,1.8154,1.6745,1.6768,2.3989,2.3774,2.2656,2.9001,4.0864,2.6956,2.447,2.0204,1.9819
2014/1/23,2.216,4.499,3.38,3.6257,5.6818,3.6274,3.0353,,1.7743,3.1605,1.8069,1.6745,1.6824,2.3921,2.3689,2.2497,2.8655,4.0641,2.866,2.4295,2.0204,1.9635
2014/1/24,2.272,4.5672,3.4,3.7602,5.74,3.6467,3.0541,,1.7743,3.2772,1.8069,1.6825,1.6824,2.3989,2.3859,2.2736,3.0039,4.0716,2.9745,2.447,2.0294,1.9727
2014/1/27,2.232,4.5574,3.39,3.6929,5.6625,3.5888,3.0306,,1.7603,3.2605,1.8154,1.6664,1.66,2.3853,2.3689,2.2497,2.9554,4.0122,2.9745,2.4295,2.0025,1.9451
2014/1/28,2.2,4.4308,3.55,3.735,5.6722,3.5792,3.0353,,1.7533,3.2522,1.8069,1.6584,1.6544,2.3921,2.3689,2.2656,2.8447,4.0196,2.7653,2.4295,2.0025,1.9543
2014/1/29,2.312,4.46,3.56,3.8107,5.6043,3.5792,3.0775,,1.7673,3.2522,1.8154,1.6664,1.6656,2.3785,2.3943,2.2736,2.8516,4.0567,2.7731,2.4383,2.0474,1.9819
2014/1/30,2.304,4.5087,3.45,3.8528,5.5267,3.5502,3.0541,,1.7533,3.2522,1.8069,1.6584,1.6544,2.3581,2.3859,2.2656,2.8378,4.0864,2.7189,2.447,2.0384,1.9727
2014/2/7,2.36,4.6938,3.46,3.8023,5.6237,3.6081,3.0822,,1.7463,3.2355,1.8326,1.6664,1.66,2.3785,2.3859,2.2576,2.8724,4.1309,2.7189,2.447,2.0384,1.9727
2014/2/10,2.376,4.7911,3.58,3.8948,5.7497,3.6853,3.1432,,1.7743,3.2689,1.8583,1.6986,1.688,2.4329,2.4197,2.2896,2.9485,4.168,2.7653,2.4997,2.209,2.028
2014/2/11,2.344,4.7619,3.58,3.8948,5.8176,3.8782,3.1573,,1.7673,3.2855,1.8583,1.6986,1.6992,2.4533,2.4197,2.3135,2.9762,4.1457,2.7421,2.4997,2.1461,2.028
2014/2/12,2.336,4.947,3.6,3.9453,5.8564,3.9651,3.1667,,1.7673,3.3272,1.8668,1.7067,1.7103,2.5008,2.4282,2.3135,3.0039,4.1531,2.8196,2.4997,2.1551,2.0465
2014/2/13,2.328,4.869,3.55,3.9369,5.7982,3.859,3.1291,,1.7603,3.3022,1.8326,1.6986,1.688,2.4601,2.4028,2.2896,2.9485,4.1086,2.7731,2.4821,2.1372,2.0188
2014/2/14,2.36,4.8983,3.61,3.9706,5.8952,3.8975,3.1854,,1.7603,3.3272,1.8497,1.6986,1.7047,2.4805,2.4282,2.3215,3.0385,4.1309,2.7963,2.5523,2.1731,2.0465
