ÈÕÆÚ,000524.SZ,000796.SZ,002033.SZ,002059.SZ,002159.SZ,002707.SZ,300178.SZ,600138.SH,600358.SH,600555.SH,600706.SH,601888.SH,900929.SH,900955.SH
2014/1/2,5.6238,4.9164,6.5267,4.3345,15.8354,,6.7558,11.2387,4.26,2.97,9.9117,16.287,1.6078,0.294
2014/1/3,5.5308,4.9164,6.5171,4.3052,16.4537,,6.9836,11.3607,4.26,3.09,9.7291,16.1038,1.5923,0.298
2014/1/6,5.4379,4.9164,6.1694,4.1584,16.1346,,6.289,11.0717,4.19,2.97,9.4136,15.5731,1.564,0.292
2014/1/7,5.4379,4.9164,6.1456,4.1682,16.4636,,6.394,11.3864,4.3,2.95,9.4385,15.5872,1.5841,0.29
2014/1/8,5.3449,4.9164,6.1456,4.1339,16.0747,,6.6999,11.2387,4.36,2.98,9.3721,15.2303,1.6096,0.293
2014/1/9,5.317,4.9164,6.0836,4.0997,16.0249,,6.4051,10.9946,4.38,2.96,9.6212,15.2256,1.6397,0.291
2014/1/10,5.1962,4.9164,6.0598,3.997,15.9551,,6.2689,10.8212,4.24,2.9,9.9615,16.0334,1.6534,0.287
2014/1/13,5.2241,4.9164,5.8168,3.9529,16.2143,,6.3024,10.879,4.45,2.83,9.7872,15.7516,1.6397,0.283
2014/1/14,5.317,4.9164,5.9169,4.0067,16.2841,,6.6821,11.0974,4.26,2.84,9.8121,16.395,1.6433,0.286
2014/1/15,5.2891,4.9164,5.8645,4.0459,16.334,,6.6955,11.2194,4.11,2.84,9.92,16.3527,1.6516,0.286
2014/1/16,5.3077,4.9164,5.8359,4.0312,16.3041,,6.5816,11.0781,4.18,2.92,9.8038,16.2917,1.6488,0.287
2014/1/17,5.252,4.9164,5.774,3.9578,16.1046,,6.4275,10.9047,4.11,2.86,9.4219,15.8643,1.6433,0.286
2014/1/20,5.252,4.9164,5.7263,4.0165,15.6659,,6.3292,11.0653,4.06,2.88,9.4634,16.0663,1.637,0.286
2014/1/21,5.2984,4.9164,5.8025,4.0508,15.9152,,6.6151,11.4442,4.09,2.99,9.6378,16.1837,1.6406,0.292
2014/1/22,5.4286,4.9164,5.9788,4.1388,15.5063,,6.7468,11.746,4.12,3.01,10.0279,16.3715,1.6424,0.297
2014/1/23,5.4658,4.9164,5.9836,4.2073,15.5462,2.766,6.8317,11.7268,4.16,2.96,10.0362,16.7285,1.6461,0.296
2014/1/24,5.5401,4.9164,6.2265,4.2562,15.9949,3.0425,7.5151,11.6304,4.11,2.98,10.2853,16.6157,1.6899,0.297
2014/1/27,5.4936,5.0056,6.1265,4.2269,16.344,3.3469,7.2828,11.3864,4.17,2.99,10.1275,16.658,1.6816,0.295
2014/1/28,5.4936,4.8569,6.1646,4.2024,16.324,3.6817,7.4548,11.5598,4.15,3.05,10.0113,16.3715,1.6744,0.296
2014/1/29,5.4658,4.8767,6.1789,4.2318,16.2742,3.6817,7.7898,12.0543,4.11,3.03,10.1358,15.9629,1.6807,0.303
2014/1/30,5.5215,4.8569,6.0836,4.1829,16.334,3.6817,8.1493,11.8745,4.11,3.08,10.2105,15.8033,1.6826,0.303
2014/2/7,5.6145,4.9164,6.1598,4.2416,16.4636,4.0503,8.5804,12.0158,4.1,3.23,10.3434,15.8925,1.6707,0.307
2014/2/10,5.7632,5.1543,6.3742,4.3639,16.6032,4.4551,8.5982,12.9405,4.12,3.34,10.5426,16.1508,1.6926,0.31
2014/2/11,5.7725,5.1344,6.4314,4.3932,16.7528,4.901,8.0645,12.9084,4.06,3.34,10.6007,17.7663,1.7108,0.307
2014/2/12,5.9398,5.2236,6.4552,4.4226,16.7129,4.901,8.1806,12.7029,4.06,3.34,10.8331,17.9307,1.7418,0.305
