ÈÕÆÚ,000430.SZ,000888.SZ,000978.SZ,300144.SZ,600054.SH,600593.SH,600749.SH,603099.SH,603136.SH,603199.SH,900942.SH
2014/1/2,7.0123,9.1384,5.9385,7.9759,6.3917,9.3336,7.68,,,,0.7511
2014/1/3,6.9627,8.9676,5.8997,8.1381,6.4419,9.2705,7.61,,,,0.7469
2014/1/6,6.9131,8.8489,5.7253,7.903,6.4797,8.9058,7.43,,,,0.7328
2014/1/7,6.8437,8.7303,5.7157,8.0651,6.5991,8.8357,7.48,,,,0.7383
2014/1/8,6.7346,8.7588,5.7447,8.3204,6.6054,8.8848,7.4,,,,0.7432
2014/1/9,6.6453,8.8679,5.7157,8.1137,6.6305,8.8708,7.37,,,,0.7402
2014/1/10,6.5461,8.7778,5.551,8.134,6.5236,8.5342,7.61,,,,0.7426
2014/1/13,6.566,8.6781,5.5607,7.9759,6.5614,8.4921,7.62,,,,0.745
2014/1/14,6.6354,9.0055,5.6672,8.0773,6.6431,8.7936,7.74,,,,0.7517
2014/1/15,6.5461,8.9818,5.6188,8.2232,6.6242,8.7446,7.82,,,,0.7505
2014/1/16,6.4866,8.7303,5.6478,8.0003,6.4922,8.8007,7.84,,,,0.7493
2014/1/17,6.5064,8.7066,5.58,7.826,6.4294,8.7446,7.66,,,,0.7462
2014/1/20,6.4271,8.5216,5.5703,7.4531,6.4357,8.7516,7.6,,,,0.7481
2014/1/21,6.4866,8.5026,5.6382,7.6234,6.5111,8.9129,7.68,,,,0.7499
2014/1/22,6.6056,8.5026,5.7253,8.0084,6.6179,9.0461,7.85,,,,0.756
2014/1/23,6.6255,8.3413,5.7544,8.4947,6.5928,9.0461,8.03,,,,0.7584
2014/1/24,6.7048,8.3033,5.7932,8.6852,6.7059,9.1232,8.06,,,,0.7609
2014/1/27,6.6156,8.0945,5.735,8.8473,6.8065,9.018,8.05,,,,0.7615
2014/1/28,6.6255,8.2748,5.7447,8.9973,6.6871,9.004,8.06,,,,0.7511
2014/1/29,6.6453,8.1752,5.706,8.9365,6.6808,9.3546,8.08,,,,0.7517
2014/1/30,6.6056,8.161,5.6963,9.0094,6.7499,9.2424,8.02,,,,0.7536
2014/2/7,6.8338,8.2843,5.735,9.0337,6.8379,9.2985,8.15,,,,0.7499
2014/2/10,6.9726,8.4456,5.9094,9.5444,6.9447,9.5019,8.37,,,,0.7554
