ÈÕÆÚ,000721.SZ,002186.SZ,002306.SZ
2014/1/2,3.3722,17.5147,5.29
2014/1/3,3.3672,17.1618,5.13
2014/1/6,3.3128,16.6232,5.07
2014/1/7,3.298,16.7161,5.08
2014/1/8,3.3919,16.5861,5.04
2014/1/9,3.3722,16.1124,5.06
2014/1/10,3.3326,16.326,5
2014/1/13,3.2782,16.2332,5
2014/1/14,3.3375,16.5303,4.94
2014/1/15,3.3623,16.8461,5.03
2014/1/16,3.1299,16.4653,5
2014/1/17,3.0607,16.2796,5.15
2014/1/20,3.026,16.131,5.16
2014/1/21,3.0409,16.3168,5.14
2014/1/22,3.0903,16.8554,5.17
2014/1/23,3.1299,17.0875,5.18
2014/1/24,3.1942,16.9482,5.34
2014/1/27,3.1645,16.8089,5.71
2014/1/28,3.1793,16.7997,5.73
2014/1/29,3.2584,16.8368,5.84
2014/1/30,3.3722,16.7904,5.84
2014/2/7,3.3573,16.8647,6.13
2014/2/10,3.5403,17.1804,6.1
2014/2/11,3.8963,17.6819,6.18
2014/2/12,4.2869,17.654,6.19
2014/2/13,4.2028,17.3476,6.09
2014/2/14,4.3611,17.7098,6.17
2014/2/17,4.4501,17.6262,6.22
2014/2/18,4.4204,18.1462,6.3
2014/2/19,4.3314,18.0719,6.3
2014/2/20,4.3907,17.4497,6.2
2014/2/21,4.3413,17.4404,6.09
2014/2/24,4.4105,17.5426,6.35
2014/2/25,4.1831,18.1091,6.39
2014/2/26,4.188,18.9356,6.72
2014/2/27,4.0347,18.9356,6.53
2014/2/28,4.1039,18.5734,6.72
2014/3/3,4.1979,18.9263,6.79
2014/3/4,4.3067,18.7684,6.72
2014/3/5,4.2127,18.5084,6.95
2014/3/6,4.3166,18.2484,6.97
2014/3/7,4.3166,18.5827,6.64
2014/3/10,4.1534,18.0905,6.53
2014/3/11,4.1781,17.3383,6.35
2014/3/12,4.1831,17.1804,6.57
2014/3/13,4.2177,17.5333,6.65
2014/3/14,4.3808,17.5055,6.55
2014/3/17,4.4797,17.6726,6.58
2014/3/18,4.5836,17.5983,6.63
2014/3/19,4.633,17.6819,6.65
2014/3/20,4.3462,17.264,6.75
2014/3/21,4.4698,17.004,6.74
2014/3/24,4.5045,16.9854,6.67
2014/3/25,4.3858,16.9947,6.6
2014/3/26,4.3957,16.9854,6.57
2014/3/27,4.2078,16.7439,6.41
2014/3/28,4.1979,16.7625,6.34
2014/3/31,4.1633,16.7532,6.17
2014/4/1,4.2424,16.9018,6.34
2014/4/2,4.2622,16.9297,6.32
2014/4/3,4.1979,16.8925,6.43
2014/4/4,4.2721,17.0411,6.49
2014/4/8,4.3116,17.1061,6.47
2014/4/9,4.4847,16.9947,6.67
2014/4/10,4.4451,16.8182,6.63
2014/4/11,4.3215,16.7254,6.66
2014/4/14,4.4501,16.6139,7
2014/4/15,4.3808,16.4932,6.6
2014/4/16,4.4056,16.7997,6.6
2014/4/17,4.3907,16.6325,6.6
2014/4/18,4.3957,16.5768,6.6
2014/4/21,4.2819,16.3075,6.6
2014/4/22,4.1732,16.1589,6.6
2014/4/23,4.1336,15.9731,6.6
2014/4/24,4.1386,16.2053,6.6
2014/4/25,4.01,15.9824,6.6
2014/4/28,3.61,15.3416,6.6
2014/4/29,3.62,15.5645,6.6
2014/4/30,3.6,15.9639,6.6
2014/5/5,3.71,16.0474,6.6
2014/5/6,3.74,15.7874,6.6
2014/5/7,3.64,15.7131,6.6
2014/5/8,3.65,15.5181,6.6
2014/5/9,3.62,15.1931,6.6
2014/5/12,3.7,15.6945,6.34
2014/5/13,3.84,15.7224,6.2
2014/5/14,3.76,15.8803,6.2
2014/5/15,3.78,15.7038,6.2
2014/5/16,3.77,15.7596,6.2
2014/5/19,3.81,15.5924,6.2
2014/5/20,3.81,15.6481,6.2
2014/5/21,3.83,15.6574,6.2
2014/5/22,3.83,15.7781,6.2
2014/5/23,3.83,16.4096,6.2
2014/5/26,3.85,16.4096,6.2
2014/5/27,3.82,16.2796,6.2
2014/5/28,3.84,16.391,6.2
2014/5/29,3.65,16.2703,6.2
2014/5/30,3.73,16.2891,6.2
2014/6/3,3.72,16.4678,6.2
2014/6/4,3.73,16.4114,6.2
2014/6/5,3.75,16.7406,6.2
2014/6/6,3.72,16.7123,6.2
2014/6/9,3.71,16.6371,6.2
2014/6/10,3.71,16.7029,6.2
2014/6/11,3.7,16.6935,6.2
2014/6/12,3.68,16.6935,6.2
2014/6/13,3.73,16.797,6.09
2014/6/16,3.76,16.9569,6.08
2014/6/17,3.71,16.6277,6.06
2014/6/18,3.73,16.2703,5.93
2014/6/19,3.63,15.7248,5.8
2014/6/20,3.61,15.9129,5.57
2014/6/23,3.63,16.0352,5.57
2014/6/24,3.72,16.1292,5.57
2014/6/25,3.68,16.0446,5.57
2014/6/26,4.05,16.2421,5.57
2014/6/27,4.46,16.2985,5.57
2014/6/30,4.91,16.5054,5.57
2014/7/1,5.4,16.5242,5.57
2014/7/2,5.59,16.4302,5.57
2014/7/3,5.17,16.5995,5.57
2014/7/4,5.06,16.6559,5.57
2014/7/7,5.09,17.3895,5.57
2014/7/8,5.1,17.4177,5.57
2014/7/9,4.75,16.8346,5.57
2014/7/10,4.66,17.0791,5.57
2014/7/11,4.66,17.1732,5.57
2014/7/14,4.69,17.145,5.57
2014/7/15,4.41,17.286,5.57
2014/7/16,4.41,17.2014,5.57
2014/7/17,4.41,16.9757,5.57
2014/7/18,4.4,17.0509,5.57
2014/7/21,4.37,16.8816,5.57
2014/7/22,4.41,17.0227,5.57
2014/7/23,4.32,16.9945,5.57
2014/7/24,4.29,16.9945,5.57
2014/7/25,4.32,17.0979,5.57
2014/7/28,4.45,17.4459,5.57
2014/7/29,4.48,17.587,6.13
2014/7/30,4.5,17.5212,6.74
2014/7/31,4.51,17.8221,7.41
2014/8/1,4.38,17.5588,7.18
2014/8/4,4.45,17.6622,7.43
2014/8/5,4.55,17.8691,7.86
2014/8/6,4.55,17.8879,8.27
2014/8/7,4.42,17.7093,9.1
2014/8/8,4.6,18.3864,9.1
2014/8/11,4.63,18.6497,9.1
2014/8/12,4.75,18.5369,9.1
2014/8/13,4.66,18.5369,9.1
2014/8/14,4.53,18.2735,9.1
2014/8/15,4.57,18.33,9.1
2014/8/18,4.71,18.6968,9.1
2014/8/19,4.8,18.4522,9.1
2014/8/20,4.91,18.0854,9.1
2014/8/21,4.91,18.1607,9.1
2014/8/22,4.97,18.7908,9.1
2014/8/25,4.83,18.3864,9.1
2014/8/26,4.67,18.5839,9.1
2014/8/27,4.75,18.4616,9.1
2014/8/28,4.57,19.1388,9.1
2014/8/29,4.63,19.0635,9.1
2014/9/1,4.75,19.3833,9.1
2014/9/2,5.23,19.9194,9.1
2014/9/3,5.34,19.7501,9.1
2014/9/4,5.38,19.8159,9.1
2014/9/5,5.28,19.863,9.1
2014/9/9,5.29,19.7407,9.1
2014/9/10,5.29,19.7595,10.01
2014/9/11,5.26,19.5808,10.45
