ÈÕÆÚ,000526.SZ,000676.SZ,000681.SZ,000835.SZ,002095.SZ,002103.SZ,002113.SZ,002123.SZ,002148.SZ,002168.SZ,002174.SZ,002247.SZ,002261.SZ,002315.SZ,002354.SZ,002425.SZ,002447.SZ,002464.SZ,002502.SZ,002517.SZ,002555.SZ,002558.SZ,002602.SZ,002619.SZ,002624.SZ,300031.SZ,300043.SZ,300051.SZ,300052.SZ,300059.SZ,300104.SZ,300113.SZ,300148.SZ,300226.SZ,300292.SZ,300295.SZ,300299.SZ,300315.SZ,300359.SZ,300413.SZ,300418.SZ,300431.SZ,300459.SZ,300467.SZ,300494.SZ,300518.SZ,300533.SZ,300770.SZ,300785.SZ,600226.SH,600373.SH,600633.SH,600634.SH,600640.SH,600652.SH,600892.SH,603000.SH,603258.SH,603444.SH,603533.SH,603613.SH,603888.SH
2014/1/2,18.81,2.7919,12.5492,5.38,17.8935,3.4121,1.3423,7.2314,10.9862,7.49,17.4823,4.9247,7.2407,19.7641,5.5594,5.298,4.2151,4.0694,3.7296,2.5729,4.8842,6.9827,1.411,2.719,7.1762,5.6538,3.9611,8.9134,25.2718,1.9203,10.1784,10.5363,9.532,28.7866,2.4428,21.6156,3.9187,9.6798,,,,,,,,,,,,1.2265,9.2147,14.4749,7.2929,18.0608,4.0466,3.48,19.067,,,,,
2014/1/3,18.76,2.899,12.5492,5.5,19.3229,3.4067,1.3512,7.1525,11.0084,7.47,18.208,4.961,7.9638,19.4982,5.5594,5.31,4.1909,4.0279,3.8131,2.5531,4.8209,6.8892,1.411,2.693,7.2153,5.6538,4.191,9.1717,26.704,1.9822,10.455,10.3619,10.4855,28.9632,2.4428,21.5783,3.9029,10.3181,,,,,,,,,,,,1.1991,9.3062,14.9591,7.5318,18.5966,4.0466,3.45,18.7633,,,,,
2014/1/6,17.7,2.8302,12.5492,5.44,18.1655,3.3581,1.3262,7.5274,10.7908,7.25,18.7687,4.545,8.3111,18.027,5.5594,5.316,4.0373,3.8921,3.6829,2.4316,4.6766,6.584,1.411,2.5933,7.1079,5.6248,4.0451,8.496,26.3758,1.8319,10.2555,10.1484,9.5566,26.714,2.4428,20.6694,3.6687,10.3116,,,,,,,,,,,,1.1287,9.0166,14.5401,7.4986,18.3141,4.0466,3.3775,18.6928,,,,,
2014/1/7,17.66,2.8149,12.5492,5.41,18.3868,3.3959,1.3262,7.774,11.0817,7.23,18.6863,4.6442,8.5911,18.3593,5.5594,5.28,4.0154,3.9808,3.9481,2.4283,5.1446,6.5471,1.411,2.641,7.225,5.6104,4.2816,8.7444,27.3504,1.8281,10.4324,10.6343,9.4405,26.2457,2.4428,20.8426,3.7002,11.0607,,,,,,,,,,,,1.1502,9.042,15.0057,7.4787,19.0252,4.0466,3.32,19.169,,,,,
2014/1/8,17.9,2.8149,12.5492,5.44,18.7663,3.4284,1.307,7.6852,11.7503,7.68,18.7984,4.5281,8.6123,18.9664,5.5594,5.19,4.0022,3.978,3.9898,2.4381,5.3804,6.6037,1.411,2.6691,7.1567,5.7261,4.3523,9.0426,28.7826,1.9809,11.4756,11.6569,10.3835,28.4028,2.4428,20.2456,3.9322,11.6958,,,,,,,,,,,,1.1405,9.2706,15.8763,7.4853,19.4149,4.0466,3.29,19.6792,,,,,
2014/1/9,17.97,2.7537,12.5492,5.3,18.8802,3.45,1.2953,7.3991,11.5593,7.49,20.6786,4.4507,8.4529,19.0816,5.5594,5.178,3.9825,3.9475,3.8327,2.3921,5.6724,6.2591,1.411,2.6063,6.9224,5.5573,4.7878,8.814,28.8423,1.9329,10.9268,11.0594,10.3483,28.8557,2.4428,20.88,3.7881,11.9336,,,,,,,,,,,,1.1698,9.2452,16.4117,7.399,19.3077,4.0466,3.225,19.7302,,,,,
2014/1/10,17.75,2.6849,13.8041,5.27,18.4058,3.2661,1.2247,7.1032,11.4816,7.21,21.4406,4.3902,8.825,19.188,5.5594,5.328,3.9935,3.8367,4.0463,2.3494,5.8237,6.0745,1.411,2.5889,6.7173,5.3306,5.0177,8.5457,29.3595,1.8824,10.9268,10.7753,10.292,28.9785,2.4428,21.1918,3.6484,11.7284,,,,,,,,,,,,1.1444,9.0725,16.4024,7.3659,18.392,4.0466,3.135,18.9139,,,,,
2014/1/13,17.51,2.7155,15.1885,5.26,17.9567,3.2986,1.2321,7.1327,11.5171,6.91,22.5852,4.4337,9.1369,19.6311,5.5594,5.592,4.0088,4.0307,4.3704,2.356,5.6566,5.9933,1.411,2.628,6.9126,5.866,5.1017,8.6351,29.3595,1.8824,11.1785,11.4238,10.204,29.8076,2.4428,21.6422,3.6282,12.0834,,,,,,,,,,,,1.1013,9.1233,16.4024,7.1867,18.694,4.0466,3.15,20.0412,,,,,
2014/1/14,17.6,2.7461,16.1546,5.37,18.2667,3.3526,1.26,7.2314,11.4216,6.96,22.0013,4.5014,8.988,19.5735,6.1164,5.52,4.0373,4.0944,4.3974,2.356,5.9821,6.1902,1.411,2.6605,7.0298,5.9722,5.1768,8.9233,29.3595,1.9822,11.2964,11.461,10.5172,30.6213,2.4428,21.8208,3.752,12.0964,,,,,,,,,,,,1.1189,9.4789,16.7609,7.2663,19.1811,4.0466,3.21,20.1748,,,,,
2014/1/15,18.05,2.7537,15.4375,5.35,19.5317,3.3851,1.2982,7.261,11.7215,6.96,21.7044,4.4748,8.9419,20.2515,6.7298,5.442,4.0329,4.1304,4.4072,2.356,5.866,6.1951,1.411,2.6561,7.0493,6.5704,5.3824,9.0724,29.3595,2.01,11.6842,11.7255,10.957,32.4483,2.4428,22.0154,3.8331,12.3668,,,,,,,,,,,,1.1346,9.5957,16.7888,7.2663,19.2006,4.0466,3.21,21.1369,,,,,
