ÈÕÆÚ,000156.SZ,000529.SZ,000665.SZ,000673.SZ,000719.SZ,000793.SZ,000802.SZ,000892.SZ,000917.SZ,002175.SZ,002181.SZ,002188.SZ,002238.SZ,002292.SZ,002343.SZ,002445.SZ,002607.SZ,002621.SZ,002638.SZ,002659.SZ,002699.SZ,002739.SZ,002858.SZ,002905.SZ,300027.SZ,300089.SZ,300133.SZ,300182.SZ,300192.SZ,300251.SZ,300282.SZ,300291.SZ,300338.SZ,300364.SZ,300426.SZ,300528.SZ,300654.SZ,300788.SZ,600037.SH,600088.SH,600136.SH,600158.SH,600229.SH,600455.SH,600551.SH,600576.SH,600636.SH,600637.SH,600661.SH,600715.SH,600757.SH,600825.SH,600831.SH,600880.SH,600936.SH,600959.SH,600977.SH,600996.SH,601019.SH,601098.SH,601595.SH,601599.SH,601801.SH,601811.SH,601858.SH,601900.SH,601928.SH,601929.SH,601949.SH,601999.SH,603096.SH,603103.SH,603721.SH,603999.SH
2014/1/2,20.2824,6.4536,7.5873,4.8267,8.0229,11.9521,6.4561,4.99,15.8894,3.0074,6.5636,8.48,7.4552,17.3548,5.5106,2.7279,2.3902,3.6773,4.7404,4.95,4.1087,,,,13.8175,3.9689,13.2591,5.2052,5.401,6.9694,6.4203,9.5494,6.144,,,,,,7.2956,12.8435,5.126,7.6031,5.598,14.39,15.5593,3.2859,10.8625,26.2883,11.9514,2.6082,7.2453,8.6794,7.4252,10.4337,,,,,,9.4268,,3.2135,5.8389,,,,8.5122,4.0689,,6.3378,,,,
2014/1/3,20.3013,6.2787,7.6629,4.7667,8.0159,12.0112,6.7018,5.04,16.0079,3.0289,6.7051,8.4,7.4886,17.5581,5.6066,2.7279,2.351,3.6281,4.8323,4.9,4.3528,,,,14.2499,3.9888,13.5389,5.4357,5.302,7.2693,6.4203,9.5494,6.3149,,,,,,7.1837,13.2436,5.0863,7.5636,5.5233,14.12,16.5729,3.2859,10.7373,26.3024,12.6725,2.6329,7.331,8.432,7.3265,10.7685,,,,,,9.4268,,3.2464,5.8025,,,,8.663,4.0689,,6.3283,,,,
2014/1/6,19.5931,6.1232,7.4223,4.6166,7.7939,11.4595,6.2203,4.92,15.0198,3.0026,6.4837,8.13,7.3662,17.3201,5.5929,2.7279,2.2758,3.4727,4.972,4.87,4.3541,,,,13.6603,3.8532,12.7241,5.2091,4.9059,6.8898,6.4203,9.5494,5.6837,,,,,,6.867,12.7782,5.389,7.2678,5.4018,13.4,15.6689,3.2859,10.2558,26.3237,12.9194,2.6032,6.9692,7.7986,7.0006,10.4946,,,,,,9.6393,,3.2464,5.5795,,,,8.3172,3.8798,,6.0252,,,,
2014/1/7,19.4893,6.0649,7.4636,4.6266,7.9535,11.2328,6.1613,4.89,14.9309,3.0336,6.5267,8.22,7.522,19.0506,5.6408,2.7279,2.3052,3.5064,5.02,5.04,4.6081,,,,13.7881,3.909,12.7159,5.476,4.9059,7.0323,6.4203,9.5494,5.75,,,,,,6.8483,12.5169,5.0665,7.1495,5.3738,13.28,15.9976,3.2859,10.3232,28.5262,13.6997,2.6427,7.0549,7.8481,7.0401,10.732,,,,,,9.6733,,3.2464,5.5841,,,,8.2906,3.9137,,6.0441,,,,
2014/1/8,20.2447,6.0357,7.4636,4.6866,8.1409,11.558,6.2301,4.95,15.1581,3.0622,6.6313,8.52,7.6889,19.487,5.5312,2.7279,2.3739,3.5219,5.2716,4.9,4.7327,,,,14.6971,3.909,13.9875,5.5438,4.9959,7.5897,6.4203,9.5494,5.8825,,,,,,6.867,12.9088,5.0168,7.11,5.4018,13.33,16.5729,3.2859,10.2847,30.3037,13.5022,2.618,7.0549,8.0856,7.0796,11.085,,,,,,9.5033,,3.2464,5.6205,,,,8.459,3.9283,,6.0441,,,,
2014/1/9,21.1889,6.0551,7.2918,5.1518,8.0229,11.8634,5.896,4.96,15.1779,3.1076,6.699,8.25,7.4329,18.5994,5.4215,2.7279,2.3248,3.4624,5.1078,4.85,4.6804,,,,14.4367,3.909,14.1932,5.6076,4.8699,7.349,6.4203,9.5494,5.5791,,,,,,6.8576,13.0231,4.9027,7.1298,5.2523,13.09,16.1528,2.9723,10.1113,29.5955,13.591,2.6082,7.0359,7.9569,7.0401,11.5111,,,,,,9.4098,,3.2464,5.6432,,,,8.7516,3.938,,5.9968,,,,
2014/1/10,20.443,6.1232,7.0169,5.2218,7.5995,11.6762,5.7682,4.93,14.3479,2.8929,6.5206,8.24,7.1659,18.892,5.3598,2.7279,2.4033,3.3225,4.9401,4.73,4.3989,,,,14.4367,4.0646,13.9916,5.3393,4.8114,7.4767,6.4203,9.5494,5.5373,,,,,,6.6247,12.3455,4.7638,6.9029,5.056,12.63,16.2807,2.9814,10.0247,28.5474,13.3145,2.5884,6.874,7.6996,7.0105,11.3711,,,,,,9.0443,,3.2464,5.2883,,,,8.5743,3.9477,,5.8452,,,,
2014/1/13,20.2258,5.9677,6.9138,5.3919,7.3913,11.824,5.8272,4.9,13.8143,2.8238,6.5575,8.22,6.8877,20.4341,5.3598,2.7279,2.4524,3.3199,5.012,4.7,4.8323,,,,14.4367,3.7894,14.2796,5.4305,4.8699,7.7674,6.4203,9.5494,5.6384,,,,,,6.5129,11.9372,4.7141,6.5479,4.9532,12.75,15.605,2.8996,9.8128,28.4766,13.6108,2.618,6.7598,7.7887,7.0796,11.4746,,,,,,9.0953,,2.9222,5.0835,,,,8.725,4.0253,,5.8073,,,,
2014/1/14,20.764,6.4148,7.0375,5.3569,7.544,12.0211,6.063,4.95,14.1107,2.9525,6.6559,8.29,7.049,20.3944,5.4078,2.7279,2.4654,3.4157,5.2716,4.74,4.7451,,,,14.4367,3.9489,14.3825,5.5347,5.0725,7.9618,6.4203,9.5494,5.7884,,,,,,6.7086,12.1495,4.9126,6.6367,5.0747,13.32,16.0798,2.8769,9.9573,29.546,14.4899,2.6872,6.8931,7.8975,7.1883,11.4077,,,,,,9.2398,,2.9175,5.1472,,,,8.7516,4.1223,,5.8926,,,,
2014/1/15,20.764,6.4148,6.9825,5.552,7.5509,12.0112,6.1122,4.97,14.2984,3.0384,7.0434,8.3,7.1102,20.32,5.3461,2.7279,2.4262,3.4649,5.4513,4.71,4.6268,,,,14.4367,4.264,14.9298,5.5503,5.131,8.0452,7.0613,9.5494,6.0324,,,,,,6.7458,12.272,4.9523,6.7649,5.028,13.42,16.0433,2.995,9.9187,29.7514,14.2923,2.6872,6.9216,7.6897,7.2574,11.3042,,,,,,9.3673,,2.8987,5.1017,,,,8.8492,4.1368,,5.9399,,,,
2014/1/16,20.7262,6.4439,7.0856,5.5069,7.5856,12.0901,6.2497,5,14.0613,3.0384,7.4741,8.29,7.0769,19.1597,5.3735,2.7279,2.5014,3.4624,5.2835,4.74,4.5309,,,,14.4367,4.264,14.115,5.3914,5.23,7.7248,7.7689,9.5494,5.9836,,,,,,6.7738,12.3291,4.9474,6.8832,5.0934,13.36,17.6503,2.9723,9.9284,28.8225,14.5491,2.702,6.9407,7.7194,7.1981,11.2007,,,,,,9.3588,,3.1524,5.1153,,,,8.6364,4.098,,5.9778,,,,
2014/1/17,20.6601,6.3176,6.9688,5.4119,7.6273,12.1492,6.2596,4.91,13.9032,3.0384,7.4125,8.21,7.0268,19.4523,5.3735,2.7279,2.436,3.4753,5.3474,4.67,4.4487,,,,15.0067,4.6908,13.9916,5.2755,5.1985,7.6563,8.5464,9.5494,6.0917,,,,,,6.7458,12.77,4.9176,6.8142,5.0747,13.36,17.8877,2.8951,9.7839,28.6311,14.0849,2.7168,6.855,7.4522,6.9611,10.9511,,,,,,9.3163,,3.1242,5.0016,,,,8.5034,3.9865,,5.9873,,,,
2014/1/20,20.0181,6.2398,6.7832,5.1718,7.5371,12.0999,6.1711,4.8,13.7846,3.0384,8.1569,8.34,6.9155,18.6887,5.3735,2.7279,2.4327,3.4727,5.2835,4.63,4.4749,,,,14.3974,5.1615,14.115,5.0789,5.0049,7.4786,9.4011,9.5494,5.6419,,,,,,6.662,13.3171,4.9771,7.1593,5.0467,13.36,18.7552,2.8587,9.7935,27.5391,14.5985,2.7317,6.7788,7.5017,6.971,10.8659,,,,,,8.9848,,3.1195,5.038,,,,8.2196,4.0786,,6.0157,,,,
2014/1/21,20.9812,6.3467,7.1612,5.2869,8.2935,12.5138,6.407,4.81,14.3182,3.0384,8.975,8.34,7.2549,19.7101,5.4832,2.7279,2.4687,3.5038,5.4433,4.68,4.6281,,,,15.1099,5.6761,15.5224,5.0919,5.3515,8.2266,10.1436,9.5494,5.7465,,,,,,7.3328,14.1009,5.0665,7.4256,5.2149,13.36,19.303,2.886,9.9573,28.6169,15.122,2.7366,6.9978,8.1845,7.445,11.5964,,,,,,9.2653,,3.1618,5.2018,,,,8.5743,4.1756,,6.1483,,,,
