ÈÕÆÚ,000038.SZ,000607.SZ,002027.SZ,002071.SZ,002131.SZ,002137.SZ,002143.SZ,002400.SZ,002591.SZ,002654.SZ,002712.SZ,002878.SZ,300038.SZ,300058.SZ,300061.SZ,300063.SZ,300071.SZ,300242.SZ,300269.SZ,300280.SZ,300336.SZ,300343.SZ,300392.SZ,300612.SZ,300781.SZ,300792.SZ,600242.SH,600381.SH,600386.SH,600986.SH,603598.SH,603729.SH,603825.SH
2014/1/2,7.6702,4.2192,1.4792,21.442,1.3177,4.04,4.1503,8.9564,6.3392,3.616,,,6.0208,12.4246,4.3385,2.3173,7.9607,2.8576,9.4595,9.4236,7.8221,5.3523,,,,,5.71,16.75,3.6976,3.2287,,,
2014/1/3,7.6214,4.2192,1.5099,23.5912,1.3252,4.02,4.1503,9.5967,6.4344,3.5411,,,6.0736,13.2864,4.1274,2.2797,7.9607,2.8873,9.7723,9.284,7.7367,5.3399,,,,,5.52,16.75,3.742,3.1512,,,
2014/1/6,7.4263,4.2192,1.4876,24.3176,1.3252,3.96,4.1503,9.6302,6.1107,3.5411,,,6.1264,13.4733,3.8152,2.2143,7.9607,2.8378,9.5025,8.9848,7.0988,4.9678,,,,,5.28,16.75,3.5689,3.0454,,,
2014/1/7,7.2739,4.2192,1.496,23.5017,1.3262,4.01,4.1503,9.656,6.3296,3.6812,,,6.2321,13.335,3.9044,2.3153,7.9607,2.8715,9.6902,9.1045,7.3994,5.0641,,,,,5.42,16.75,3.5866,3.0595,,,
2014/1/8,7.7739,4.2192,1.5182,24.6459,1.3581,4.08,4.1503,9.8316,6.639,3.8212,,,6.5102,14.2138,3.9014,2.3371,7.9607,2.8259,9.5221,9.1444,7.7411,5.2451,,,,,5.38,16.75,3.591,3.0243,,,
2014/1/9,7.4995,4.2192,1.6715,23.9096,1.3139,3.92,4.1503,9.9246,6.5486,3.5867,,,5.9856,14.1628,4.0531,2.2738,7.9607,2.806,10.4759,8.8053,7.4465,5.0765,,,,,5.17,16.75,3.5644,2.9608,,,
2014/1/10,7.3166,4.2192,1.6185,23.9096,1.2481,3.85,4.1503,9.3979,6.2821,3.4303,,,5.9962,13.6821,3.7587,2.2381,7.9607,2.6633,10.984,8.6059,7.2727,5.1502,,,,,5.15,16.75,3.3647,2.8833,,,
2014/1/13,7.3775,4.2192,1.56,23.9096,1.2434,3.88,4.1503,9.4727,6.1298,3.5183,,,6.049,13.8496,3.8152,2.25,7.9607,2.6077,11.5313,8.7256,8.0004,5.1954,,,,,5.07,16.75,3.2714,2.8833,,,
2014/1/14,7.4446,4.2192,1.6018,23.9096,1.25,3.92,4.1503,10.2008,6.3249,3.6909,,,6.1898,14.323,4.0739,2.4362,7.9607,2.6871,12.5476,9.1244,8.133,5.3903,,,,,5.18,16.75,3.3203,2.9467,,,
2014/1/15,7.4019,4.2192,1.6325,23.9096,1.2688,3.94,4.1503,10.3273,6.5295,3.7919,,,6.3799,14.3716,4.0977,2.4362,7.9607,2.7803,12.0433,10.0419,8.1521,5.3625,,,,,5.13,16.75,3.3336,2.9397,,,
2014/1/16,7.4141,4.2192,1.5907,23.9096,1.2688,3.92,4.1503,10.1982,6.5295,3.8212,,,6.5067,14.323,3.8955,2.6798,7.9607,2.8893,11.8987,11.0491,8.2935,5.3012,,,,,5.21,16.75,3.3513,2.9608,,,
2014/1/17,7.3714,4.2192,1.7495,26.2976,1.2688,3.85,4.1503,10.2912,6.6057,3.9613,,,6.1969,14.0438,4.285,2.5907,7.9607,2.8774,11.328,11.9266,8.2449,5.2363,,,,,5.08,16.75,3.2448,2.9044,,,
2014/1/20,7.2983,4.2192,1.925,28.9244,1.3675,3.88,4.1503,9.9788,6.6961,3.8831,,,6.0525,13.8787,4.2107,2.5075,7.9607,2.8378,11.8831,12.2557,8.0372,5.0021,,,,,5.06,16.75,3.1827,2.9326,,,
2014/1/21,7.3775,4.2192,2.1172,31.8198,1.3186,3.88,4.1503,10.428,6.6961,4.2284,,,6.1969,14.5293,4.285,2.5609,7.9607,3.0301,11.9925,13.4822,8.4408,5.0933,,,,,5.1,16.75,3.2981,2.9608,,,
2014/1/22,7.6641,4.2192,2.3289,31.969,1.3233,3.97,4.1503,11.1045,6.8056,4.2187,,,6.4257,15.2139,4.2672,2.5689,7.9607,3.044,10.941,14.8285,8.4114,5.1881,,,,,5.26,16.75,3.4002,3.0313,,,
2014/1/23,7.6519,4.2192,2.2899,32.2974,1.3233,3.98,4.1503,11.8532,6.7342,4.1763,7.0248,,6.6722,15.7019,4.3385,2.5748,7.9607,3.1352,11.1169,16.3143,8.7399,5.1808,,,,,5.25,16.75,3.5111,3.0243,,,
