ÈÕÆÚ,000544.SZ,000598.SZ,000605.SZ,000685.SZ,300388.SZ,300664.SZ,300692.SZ,600008.SH,600168.SH,600187.SH,600283.SH,600461.SH,600874.SH,601158.SH,601199.SH,601368.SH,603797.SH,603817.SH,603903.SH
2014/1/2,6.936,5.4412,11.2723,5.5828,,,,3.0368,7.4783,4.95,7.7927,4.3166,7.8505,4.581,3.3631,,,,
2014/1/3,6.9483,5.5167,11.4357,5.5187,,,,3.0097,7.4598,4.97,7.6846,4.3421,7.8218,4.628,3.453,,,,
2014/1/6,6.751,5.4412,11.1587,5.4448,,,,2.8698,7.2469,5.07,7.5077,4.1029,7.4675,4.4714,3.3815,,,,
2014/1/7,6.7387,5.3941,11.1942,5.4596,,,,2.8698,7.1266,5.06,7.38,4.0316,7.4292,4.4166,3.3193,,,,
2014/1/8,6.6832,5.4318,11.2652,5.499,,,,2.8608,6.9507,5,7.4193,4.0316,7.3718,4.4479,3.2801,,,,
2014/1/9,6.5784,5.413,11.2652,5.3906,,,,2.8383,6.8767,5.04,7.2326,3.9349,7.458,4.3852,3.2732,,,,
2014/1/10,6.264,5.13,10.903,5.4497,,,,2.739,6.7471,5.01,7.1539,3.7923,7.1133,4.2208,3.121,,,,
2014/1/13,6.0729,4.6208,10.5123,5.4103,,,,2.6848,6.7193,4.95,7.1834,3.7516,6.8452,4.213,3.1049,,,,
2014/1/14,6.1838,4.7245,10.5336,5.4596,,,,2.7615,6.9137,4.96,7.3013,3.828,6.941,4.2521,3.1763,,,,
2014/1/15,6.1592,4.6585,10.5407,5.4201,,,,2.7751,6.8952,4.95,7.321,3.828,7.0176,4.2286,3.1763,,,,
2014/1/16,6.227,4.668,10.6899,5.4497,,,,2.8022,6.8304,4.95,7.38,3.8483,7.0271,4.213,3.1694,,,,
2014/1/17,6.1653,4.5077,10.626,5.4497,,,,2.7435,6.6638,5.08,7.3013,3.7465,6.8548,4.119,3.1049,,,,
2014/1/20,6.2393,4.5548,10.5691,5.4645,,,,2.7841,6.6638,5.2,7.2915,3.7363,7.008,4.166,3.1187,,,,
2014/1/21,6.2763,4.5925,10.5265,5.5729,,,,2.8473,6.7286,5.09,7.3701,3.8127,7.0559,4.213,3.1856,,,,
2014/1/22,6.3996,4.7717,10.6615,5.7059,,,,2.8879,6.9322,5.25,7.4979,3.9603,7.2186,4.3382,3.234,,,,
2014/1/23,6.3935,4.7623,10.7112,5.6862,,,,2.8834,6.9229,5.51,7.4586,3.9552,7.1899,4.3069,3.2294,,,,
2014/1/24,6.412,4.7811,10.8604,5.7355,,,,2.8924,7.0062,5.5,7.6355,4.001,7.2761,4.2913,3.2755,,,,
2014/1/27,6.301,4.7717,10.7041,5.7651,,,,2.8383,6.9137,5.43,7.6944,3.9298,7.1899,4.213,3.2386,,,,
2014/1/28,6.3256,4.7717,11.7766,5.7749,,,,2.8834,7.1543,5.67,7.7141,3.9145,7.2378,4.2599,3.2478,,,,
2014/1/29,6.3503,4.7717,12.4656,5.7355,,,,2.8653,6.8304,5.95,7.7927,3.9196,7.2282,4.2678,3.2778,,,,
2014/1/30,6.3071,4.734,12.1602,5.6172,,,,2.8112,6.7749,5.96,7.7436,3.8992,7.1229,4.2051,3.2132,,,,
2014/2/7,6.4366,4.8188,12.1957,5.6912,,,,2.9014,6.9044,6.11,7.8123,3.9807,7.4292,4.3069,3.31,,,,
2014/2/10,6.5722,5.0263,12.4088,5.8883,,,,3.0052,7.0895,6.09,7.9303,4.0672,7.6686,4.4009,3.3746,,,,
2014/2/11,6.936,5.2621,12.2383,5.9523,,,,3.2038,7.2376,6.33,8.1071,4.1232,8.4345,4.487,3.4437,,,,
2014/2/12,7.084,5.3092,12.6503,5.9868,,,,3.2263,7.3857,6.29,8.117,4.1792,8.8749,4.5262,3.5083,,,,
2014/2/13,6.9422,5.1772,12.5011,5.834,,,,3.1857,7.2839,6.06,7.9204,4.0774,8.9132,4.44,3.4161,,,,
2014/2/14,7.0408,5.2338,12.5011,5.908,,,,3.2173,7.432,6.18,8.058,4.1385,8.9227,4.5105,3.4668,,,,
2014/2/17,7.1518,5.3187,12.8847,5.9277,,,,3.2398,7.4412,6.25,8.0777,4.2403,8.9419,4.5497,3.4991,,,,
2014/2/18,7.0223,5.3847,12.6574,5.7946,,,,3.2218,7.3024,6.16,7.9597,4.1894,8.9898,4.4244,3.5083,,,,
2014/2/19,7.047,5.3752,13.2896,6.0065,,,,3.2353,7.5986,6.17,8.0777,4.1792,8.7983,4.5732,3.6466,,,,
2014/2/20,6.899,5.2149,12.7497,5.8538,,,,3.1992,7.3857,5.97,7.9204,4.0825,8.6259,4.5027,3.5659,,,,
2014/2/21,6.8805,5.1961,12.9557,5.7749,,,,3.1135,7.3209,6,8.0089,4.0927,8.6834,4.3852,3.506,,,,
2014/2/24,7.1086,5.0829,13.1617,5.6665,,,,3.127,7.4412,6.05,8.0187,4.0519,8.6738,4.3226,3.5175,,,,
2014/2/25,6.862,4.8849,12.5793,5.4694,,,,2.9962,7.1451,5.82,7.6846,3.8992,8.2621,4.2364,3.393,,,,
2014/2/26,6.7634,4.932,12.7497,5.5433,,,,3.0819,7.0803,5.83,7.6453,3.9247,8.4345,4.2834,3.4368,,,,
2014/2/27,6.7141,4.8377,12.9912,5.5138,,,,3.0142,7.1728,5.7,7.6453,3.8687,8.2621,4.3226,3.3723,,,,
2014/2/28,6.862,4.8849,12.7,5.6222,,,,3.0368,7.5153,5.73,7.7042,3.9501,8.4345,4.3148,3.4069,,,,
2014/3/3,7.3306,5.1866,12.3236,5.6862,,,,3.2308,7.7189,6.09,7.9303,4.0978,9.1812,4.4479,3.5475,,,,
2014/3/4,7.158,5.0923,12.494,5.6172,,,,3.2083,7.5708,6.08,7.9106,4.0876,8.9323,4.4714,3.5313,,,,
2014/3/5,7.0716,5.0735,12.2099,5.5138,,,,3.1767,7.4505,5.98,7.9008,4.0418,8.7696,4.4244,3.5221,,,,
2014/3/6,7.1456,5.0452,12.4301,5.5778,,,,3.1767,7.867,5.96,8.1071,4.0774,8.7313,4.4479,3.5751,,,,
2014/3/7,6.9607,4.9509,12.217,5.4694,,,,3.0955,7.6541,5.76,7.9696,4.0163,8.4728,4.3774,3.6881,,,,
2014/3/10,6.7325,4.8471,11.7979,5.1738,,,,3.0187,7.3302,5.54,7.5372,3.9501,8.3292,4.2678,3.5959,,,,
2014/3/11,6.6709,4.8377,11.8193,5.2428,,,,3.0187,7.2376,5.59,7.5667,3.9501,8.4536,4.2756,3.4553,,,,
2014/3/12,6.6647,4.8094,12.771,5.1836,,,,2.9781,7.1914,5.58,7.5077,3.9603,8.3387,4.213,3.4022,,,,
2014/3/13,6.6956,4.8566,12.5651,5.2231,,,,2.9826,7.2191,5.59,7.5372,3.9858,8.4632,4.2364,3.4391,,,,
2014/3/14,6.5784,4.8283,12.4088,5.1491,,,,2.9375,7.0803,5.66,7.5568,3.9705,8.31,4.1973,3.3838,,,,
2014/3/17,6.6894,4.8754,12.5153,5.2033,,,,2.9646,7.2932,5.73,7.6649,4.057,8.377,4.2599,3.4553,,,,
2014/3/18,6.7325,4.9414,12.5011,5.2231,,,,3.0323,7.2932,5.72,7.8615,4.057,8.5206,4.2756,3.4714,,,,
2014/3/19,6.6277,4.8566,12.0039,5.1836,,,,2.9917,7.3024,5.59,7.9008,4.0621,8.3483,4.2286,3.4345,,,,
2014/3/20,6.5353,4.8094,12.0394,5.1294,,,,3.0187,7.1636,5.45,7.832,4.0214,8.3387,4.1895,3.3331,,,,
2014/3/21,6.6154,4.866,12.146,5.2674,,,,3.0864,7.3117,5.54,8.1858,4.113,8.3004,4.2678,3.3746,,,,
2014/3/24,6.899,4.8849,12.1176,5.3068,,,,3.109,7.395,5.48,8.1465,4.1181,8.4249,4.2913,3.4069,,,,
2014/3/25,6.8189,4.9037,12.1531,5.2723,,,,3.1,7.4505,5.4,8.0777,4.1181,8.4058,4.2678,3.4092,,,,
2014/3/26,6.825,4.8849,12.0963,5.297,,,,3.0955,7.432,5.39,8.1071,4.1385,8.4536,4.2913,3.3907,,,,
2014/3/27,6.899,4.8094,11.6346,5.2526,,,,3.0142,7.3209,5.29,7.9696,4.0723,8.2334,4.2521,3.3054,,,,
2014/3/28,6.6647,4.7811,10.974,5.2132,,,,2.9601,7.5523,5.22,7.8713,3.996,7.8409,4.2286,3.2294,,,,
2014/3/31,6.825,4.7717,11.1019,5.1984,,,,2.9781,7.4598,5.07,7.6944,4.0265,7.726,4.1973,3.1787,,,,
2014/4/1,6.9052,4.8849,11.1445,5.2575,,,,3.0052,7.4968,5.16,7.7632,4.169,7.793,4.2443,3.2478,,,,
2014/4/2,6.8374,4.866,11.045,5.2674,,,,3.0909,7.3302,5.1,7.7829,4.1538,7.8409,4.2678,3.2271,,,,
2014/4/3,6.788,4.8188,12.1531,5.2575,,,,3.0007,7.5431,5.15,7.9106,4.2301,7.7643,4.2521,3.2409,,,,
2014/4/4,6.8805,4.8377,11.8619,5.297,,,,3.0097,7.4875,5.21,7.9401,4.2505,7.8122,4.2599,3.234,,,,
2014/4/8,6.9113,4.8849,11.8761,5.3709,,,,3.0458,7.6078,5.25,8.0482,4.2505,7.8888,4.3069,3.2593,,,,
2014/4/9,6.9607,4.9886,11.8548,5.3659,,,,3.0684,7.6171,5.27,8.0384,4.225,7.9366,4.3304,3.2778,,,,
2014/4/10,6.9422,4.9414,11.7411,5.4793,,,,3.0729,7.5523,5.29,8.0875,4.2098,7.9558,4.3382,3.2732,,,,
2014/4/11,6.8435,4.8846,11.6275,5.4103,,,,3.0458,7.5801,5.22,8.0384,4.1996,7.7643,4.3226,3.2386,,,,
2014/4/14,6.9175,4.9225,12.1957,5.4251,,,,3.0864,7.5801,5.38,8.1563,4.2098,7.9271,4.3461,3.2847,,,,
2014/4/15,6.8374,4.8373,12.6006,5.3413,,,,3.0503,7.757,5.28,8.0384,4.1283,7.8409,4.2991,3.2501,,,,
2014/4/16,6.8189,4.8373,12.2241,5.3758,,,,3.0368,7.7849,5.22,8.0875,4.1436,7.8313,4.2913,3.2985,,,,
2014/4/17,6.788,4.8184,12.0607,5.361,,,,3.0684,7.7291,5.26,8.1071,4.1639,7.793,4.2756,3.3469,,,,
2014/4/18,6.7942,4.8278,12.0892,5.4054,,,,3.0413,7.7291,5.21,8.1956,4.1843,7.793,4.2678,3.4276,,,,
2014/4/21,6.5599,4.6575,11.8264,5.3167,,,,2.9375,7.608,5.09,8.1956,4.1181,7.5441,4.213,3.3746,,,,
2014/4/22,6.4551,4.6291,11.7269,5.2428,,,,2.9195,7.3659,5.03,7.9696,4.1232,7.4101,4.2208,3.423,,,,
2014/4/23,6.4366,4.5912,11.6914,5.2083,,,,2.9014,7.2076,5.01,7.8811,4.0978,7.458,4.1738,3.4714,,,,
2014/4/24,6.4181,4.5912,11.6772,5.1984,,,,2.9059,7.1983,5.15,7.891,4.057,7.4867,4.1895,3.4783,,,,
2014/4/25,6.3071,4.506,11.2368,5.0999,,,,2.8563,7.0958,5.02,7.7829,3.9654,7.3718,4.1268,3.3976,,,,
2014/4/28,6.0605,4.3829,11.1019,5.0112,,,,2.8292,6.9562,4.73,7.6158,3.8789,7.1037,4.0485,3.3054,,,,
2014/4/29,6.1468,4.4492,11.4215,5.0949,,,,2.9195,7.0586,4.79,7.8222,3.9552,7.2665,4.072,3.4322,,,,
2014/4/30,6.2208,4.4492,11.2155,5.0999,,,,2.9059,7.2821,4.86,7.8025,4.0163,7.3239,4.1425,3.4967,,,,
2014/5/5,6.264,4.4681,11.1516,5.1245,,,,2.8924,7.2448,4.89,7.8123,4.0214,7.3814,4.1346,3.5037,,,,
2014/5/6,6.2393,4.4965,11.2652,5.1541,,,,2.8969,7.2448,4.96,7.8517,4.0418,7.3622,4.119,3.4506,,,,
2014/5/7,6.153,4.4019,11.045,5.1097,,,,2.8247,7.012,4.87,7.5077,4.0265,7.1324,4.0407,3.476,,,,
2014/5/8,6.19,4.3735,10.8604,5.1491,,,,2.8112,7.0586,4.88,7.5372,4.0214,7.142,4.0407,3.5129,,,,
2014/5/9,6.301,4.3735,10.9314,5.1146,,,,2.8292,7.1052,4.87,7.4782,4.057,7.1899,4.0563,3.5498,,,,
2014/5/12,6.412,4.4587,11.1587,5.2428,,,,2.8879,7.2262,4.99,7.6551,4.1029,7.4005,4.1346,3.5613,,,,
2014/5/13,6.3873,4.4303,11.2226,5.2132,,,,2.8653,7.2169,4.97,7.6158,4.0978,7.3335,4.1112,3.5014,,,,
