ÈÕÆÚ,000407.SZ,000421.SZ,000593.SZ,000669.SZ,002259.SZ,002267.SZ,002700.SZ,002911.SZ,600333.SH,600617.SH,600635.SH,600681.SH,600856.SH,600903.SH,600917.SH,601139.SH,603080.SH,603393.SH,603689.SH,603706.SH,900913.SH
2014/1/2,5.4837,4.2017,6.5483,14.1708,6.6093,9.0876,9.3556,,7.9025,12.0297,3.3304,2.8949,3.1771,,,5.4098,,,,,1.007
2014/1/3,5.4238,4.1643,6.3804,14.0781,6.5396,8.9265,9.4893,,7.7552,11.7074,3.1929,2.8277,3.1771,,,5.2017,,,,,1.0031
2014/1/6,5.4238,4.0243,6.1533,14.0225,6.3501,8.8101,8.641,,7.4803,11.4714,3.0492,2.727,3.1771,,,4.9451,,,,,0.9724
2014/1/7,5.4238,4.0243,6.1236,13.9808,6.4498,8.9444,8.4555,,7.4607,11.5635,3.0742,2.6934,3.1771,,,4.9728,,,,,0.9821
2014/1/8,5.4238,3.9589,6.0742,14.3422,6.2704,8.9086,8.5537,,7.392,11.4657,3.0555,2.6665,3.1771,,,4.952,,,,,0.9798
2014/1/9,5.4238,3.9122,6.0051,14.1986,5.8617,8.8728,8.4228,,7.2742,11.3908,2.9805,2.5993,3.1771,,,4.8202,,,,,0.9877
2014/1/10,5.4238,3.8095,5.9952,14.0225,5.7121,8.6042,8.1282,,7.1662,11.5923,2.868,2.5456,3.1771,,,4.7647,,,,,0.9832
2014/1/13,5.4238,3.8375,6.0644,13.8743,5.7221,8.5504,8.1718,,7.2055,11.3736,2.8743,2.5255,3.1771,,,4.8064,,,,,0.9338
2014/1/14,5.4238,3.9122,6.094,14.0272,5.762,8.5863,8.461,,7.2349,11.4369,2.9055,2.6128,3.1771,,,4.9035,,,,,0.9196
2014/1/15,5.4238,3.9029,6.0742,14.1337,5.772,8.434,8.3955,,7.2447,11.5808,2.9305,2.5993,3.1771,,,4.8688,,,,,0.9309
2014/1/16,5.4238,4.0056,6.1039,14.055,5.7321,8.4609,8.431,,7.2938,11.5808,2.9243,2.6061,3.1771,,,4.8827,,,,,0.9446
2014/1/17,5.4238,3.9869,5.9854,14.1569,5.3333,8.4699,8.4882,,7.176,11.4944,2.8555,2.5926,3.1771,,,4.841,,,,,0.9559
2014/1/20,5.4238,3.9402,5.8273,13.8975,5.1539,8.3803,8.2619,,6.9601,11.4714,2.8243,2.5926,3.1771,,,4.7994,,,,,0.9463
2014/1/21,5.4238,3.9776,5.8471,14.0179,5.2137,8.452,8.3164,,7.0582,11.5117,2.9243,2.6329,3.1771,,,4.8341,,,,,0.9542
2014/1/22,5.4238,4.0429,5.9755,14.2912,5.3832,8.631,8.5046,,7.176,11.6038,2.9867,2.6934,3.1771,,,4.9312,,,,,0.9514
2014/1/23,5.4238,4.0336,6.0249,14.4441,5.5726,8.64,8.5401,,7.176,11.6268,2.9618,2.7001,3.1771,,,4.9104,,,,,0.9599
2014/1/24,5.4238,4.0989,6.0742,14.4719,5.8417,8.6221,8.6601,,7.2153,11.7707,3.0492,2.727,3.1771,,,4.9243,,,,,0.9593
2014/1/27,5.4238,4.1083,5.9854,14.0735,5.8517,8.5057,8.5373,,7.0975,11.7247,3.043,2.6799,3.1771,,,4.8202,,,,,0.9576
2014/1/28,5.4238,4.0709,6.0545,13.8048,5.8617,8.434,8.4582,,7.1269,11.5002,3.043,2.6464,3.1771,,,4.8341,,,,,0.9599
2014/1/29,5.4238,4.0896,6.1138,13.865,5.8617,8.5236,8.6055,,7.3822,11.8743,3.0492,2.7135,3.1771,,,4.848,,,,,0.9576
2014/1/30,5.4238,4.1176,6.1138,13.865,5.8318,8.3714,8.4992,,7.3625,11.9492,3.0492,2.7471,3.1771,,,4.7162,,,,,0.9542
2014/2/7,5.4238,4.1643,6.1631,14.2495,5.9015,8.5504,8.5183,,7.4214,11.9031,3.1055,2.7471,3.1771,,,4.737,,,,,0.9554
2014/2/10,5.4238,4.3137,6.2817,14.5089,6.1807,8.7743,8.8537,,7.5392,12.2082,3.1555,2.8344,3.1771,,,4.8827,,,,,0.9679
2014/2/11,5.4238,4.4631,6.3409,14.3653,6.2405,8.7474,8.9574,,7.5491,12.1276,3.1804,2.868,3.1771,,,4.952,,,,,0.9718
2014/2/12,5.4238,4.4818,6.3607,14.7313,6.2206,8.8549,8.9547,,7.5589,12.07,3.1929,2.8747,3.1771,,,4.9589,,,,,0.998
2014/2/13,5.4238,4.3977,6.5187,14.6248,5.9813,8.6937,9.0638,,7.4411,12.0182,3.1242,2.8546,3.1771,,,4.8965,,,,,1.0224
2014/2/14,5.4238,4.4724,6.5187,14.9861,6.081,8.7922,9.3256,,7.5196,12.024,3.1929,2.9016,3.1771,,,4.9381,,,,,1.032
2014/2/17,5.4238,4.4631,6.4891,15.7412,6.0411,9.0518,9.3829,,7.6669,12.519,3.2367,2.9285,3.1771,,,5.0144,,,,,1.0258
2014/2/18,5.4238,4.4724,6.4298,15.5559,5.9215,9.016,9.2411,,7.5687,12.6629,3.3179,2.9352,3.1771,,,4.9243,,,,,1.0292
2014/2/19,5.4238,4.6031,6.5681,15.3382,5.8716,9.1682,9.1456,,7.7356,12.6111,3.2992,2.9889,3.1771,,,5.1323,,,,,1.0354
2014/2/20,5.4238,4.5751,6.4891,15.1853,6.0511,9.0697,9.3556,,7.6276,13.0485,3.2117,2.9083,3.1771,,,5.0907,,,,,1.0479
2014/2/21,5.4238,4.4164,6.3804,15.3196,5.9614,8.8728,8.9738,,7.5,13.1521,3.168,2.8814,3.1771,,,5.0006,,,,,1.0536
2014/2/24,5.4238,4.4538,6.4496,15,5.7919,8.7474,9.061,,7.6472,13.0888,3.1555,2.8479,3.1771,,,5.0006,,,,,1.061
2014/2/25,5.4238,4.2764,6.2224,14.5692,5.5626,8.2908,8.4501,,7.392,12.8298,3.0367,2.7001,3.1771,,,5.0006,,,,,1.0496
2014/2/26,5.4238,4.3697,6.2422,14.6201,5.5327,8.3714,8.5646,,7.4116,12.7032,3.018,2.7941,3.1771,,,4.8827,,,,,1.0485
2014/2/27,5.4238,4.3604,6.4199,15.1482,5.6125,8.4967,8.401,,7.5196,12.6053,3.0117,2.7874,3.1771,,,5.1393,,,,,1.0445
2014/2/28,5.4238,4.3604,6.4891,15.1529,5.6324,8.4878,8.7556,,7.4607,12.6226,3.0492,2.8143,3.1771,,,5.1254,,,,,1.0377
2014/3/3,5.4238,4.3604,6.5681,15.3938,5.6822,8.6131,8.7937,,7.5981,12.778,3.1617,2.8613,3.1771,,,5.1185,,,,,1.0377
2014/3/4,5.4238,4.3604,6.6471,15.6068,5.6324,8.5146,8.6192,,7.6276,13.4111,3.1117,2.8814,3.1771,,,5.0283,,,,,1.0536
2014/3/5,5.4238,4.3604,6.5187,15.3428,5.5925,8.3893,8.6192,,7.6178,13.3824,3.0867,2.9016,3.1771,,,5.0006,,,,,1.0559
2014/3/6,5.4238,4.3604,6.5483,15.0926,5.5327,8.3087,8.6328,,7.5098,13.3421,3.1742,2.9016,3.1771,,,5.0075,,,,,1.0496
