ÈÕÆÚ,000005.SZ,000035.SZ,000068.SZ,000711.SZ,000820.SZ,000826.SZ,000920.SZ,000967.SZ,002034.SZ,002205.SZ,002479.SZ,002573.SZ,002658.SZ,002672.SZ,002887.SZ,300055.SZ,300056.SZ,300070.SZ,300090.SZ,300137.SZ,300140.SZ,300152.SZ,300156.SZ,300172.SZ,300187.SZ,300190.SZ,300203.SZ,300262.SZ,300263.SZ,300266.SZ,300332.SZ,300334.SZ,300335.SZ,300422.SZ,300425.SZ,300631.SZ,300779.SZ,600217.SH,600292.SH,600323.SH,601200.SH,601330.SH,603126.SH,603177.SH,603200.SH,603568.SH,603588.SH,603603.SH
2014/1/2,2.49,5.295,5.42,2.5268,9.26,18.0737,8.9227,2.8954,8.2496,14.8137,7.8853,10.6045,10.0461,8.8259,,12.7388,7.6987,13.3101,9.9691,6.9953,12.127,4.2002,4.701,5.4946,9.5528,5.9523,15.8601,7.1683,7.2439,1.8865,7.0042,20.4762,11.1792,,,,,4.84,19.0599,10.5234,,,,,,,,
2014/1/3,2.46,5.29,5.44,2.531,9.16,17.8823,8.7061,2.8525,8.2551,14.5401,7.819,10.6045,10.0067,8.6962,,12.6171,7.6987,13.3365,10.2283,7.2534,12.3334,4.2002,4.7408,5.564,9.3874,5.9523,16.0325,7.2438,7.2488,1.8788,6.8236,20.6753,11.0789,,,,,4.84,18.5081,10.6738,,,,,,,,
2014/1/6,2.38,5.16,5.21,2.4562,9.27,17.5898,8.6174,2.7882,7.8262,13.8268,7.5824,10.6045,9.4193,8.7751,,12.4199,7.6987,13.4587,10.0628,7.0454,12.2793,3.9981,4.4783,5.2813,9.0996,5.9523,16.042,7.0881,6.9013,1.7901,6.5454,20.8346,10.9285,,,,,4.84,17.5739,10.3919,,,,,,,,
2014/1/7,2.45,5.175,5.18,2.4562,9.34,17.9355,8.4205,2.7839,7.8097,13.905,7.554,10.6045,9.4369,8.6453,,12.4593,7.6987,14.073,10.4764,7.1224,12.3875,4.2664,4.526,5.2738,9.1228,5.9523,16.7029,7.0314,6.9703,1.8361,7.0237,21.3722,11.6304,,,,,4.84,17.2502,10.7114,,,,,,,,
2014/1/8,2.41,5.12,5.09,2.3939,9.37,18.0418,8.2334,2.7367,7.8482,14.0027,7.6486,10.6045,9.6779,8.7115,,13.1102,7.6987,14.2513,10.7934,7.2842,12.535,4.3592,4.5539,5.5343,9.3676,5.9523,16.7508,7.3523,7.4707,1.9106,7.0823,22.2882,11.856,,,,,4.84,17.6328,11.7355,,,,,,,,
2014/1/9,2.38,5.12,5.09,2.3024,9.06,17.8557,8.2235,2.6552,7.5347,13.3675,7.6486,10.6045,9.6823,8.8107,,13.0346,7.6987,14.2547,10.3358,7.1224,12.5251,4.2465,4.5578,5.5368,9.5098,5.9523,16.5305,7.3995,7.2833,1.8405,6.8431,21.2395,11.5113,,,,,4.84,17.9049,11.6322,,,,,,,,
2014/1/10,2.31,5.135,5.04,2.2235,8.65,17.5473,8.0167,2.6509,7.2707,12.8399,7.2321,10.6045,9.2484,8.6428,,12.9196,7.6987,13.7064,9.925,6.6409,12.6333,4.1405,4.1005,5.3656,9.3113,5.9523,15.9175,7.1164,7.0467,1.7408,6.8626,20.755,11.5802,,,,,4.84,18.0373,11.2093,,,,,,,,
2014/1/13,2.3,5.24,5.03,2.2193,8.59,17.4037,7.9576,2.6595,7.3422,12.9083,6.9197,10.6045,8.661,8.3503,,13.2549,7.6987,13.0128,10.2007,6.6987,13.8966,4.1273,3.7067,5.1473,9.1956,5.9523,15.7068,6.9607,7.1133,1.7353,6.8773,20.9939,11.9625,,,,,4.84,18.2654,11.3691,,,,,,,,
2014/1/14,2.35,5.27,5.31,2.2733,8.67,17.4197,8.0955,2.7238,7.5402,13.1526,7.0428,10.6045,8.8671,8.2155,,13.2812,7.6987,13.4091,10.3027,6.9645,13.759,4.3028,3.7743,5.2961,9.2088,5.9523,16.473,7.14,7.4436,1.8306,7.3458,21.2395,11.9688,,,,,4.84,17.9123,12.2711,,,,,,,,
2014/1/15,2.34,5.365,5.31,2.2692,8.64,16.3987,7.9576,2.7067,7.6282,13.1526,7.0807,10.6045,8.9021,8.3528,,13.0017,7.6987,13.4422,9.8974,7.1186,13.582,4.3492,3.7425,5.3581,9.0897,5.9523,16.9136,7.1447,7.4855,1.8788,7.3507,21.8501,11.599,,,,,4.84,16.8236,12.102,,,,,,,,
