ÈÕÆÚ,000027.SZ,000037.SZ,000040.SZ,000155.SZ,000531.SZ,000539.SZ,000543.SZ,000591.SZ,000600.SZ,000601.SZ,000690.SZ,000692.SZ,000720.SZ,000722.SZ,000767.SZ,000791.SZ,000862.SZ,000875.SZ,000883.SZ,000899.SZ,000939.SZ,000958.SZ,000966.SZ,000993.SZ,001896.SZ,002039.SZ,002256.SZ,002499.SZ,002608.SZ,002610.SZ,002616.SZ,002893.SZ,003816.SZ,200037.SZ,200539.SZ,300125.SZ,600011.SH,600021.SH,600023.SH,600025.SH,600027.SH,600098.SH,600101.SH,600116.SH,600131.SH,600163.SH,600167.SH,600236.SH,600310.SH,600396.SH,600452.SH,600483.SH,600505.SH,600509.SH,600578.SH,600642.SH,600644.SH,600674.SH,600719.SH,600726.SH,600744.SH,600780.SH,600795.SH,600863.SH,600868.SH,600886.SH,600900.SH,600969.SH,600979.SH,600982.SH,600995.SH,601016.SH,601619.SH,601985.SH,601991.SH,603693.SH,900937.SH,900957.SH
2014/1/2,3.2051,4.11,4.0759,3.23,5.3153,3.415,3.7131,3.5455,3.8414,4.1,4.5898,4.0381,2.29,6.9585,3.05,4.8501,6.43,2.73,2.8524,4.5406,3.1065,2.3587,3.1595,6.6631,6.02,6.3011,2.0062,15.6571,9.3743,1.2167,4.4822,,,2.62,3.0074,6.5531,4.0235,3.9705,4.2115,,2.4418,4.7213,6.4454,3.188,3.9842,3.74,3.758,1.9708,3.4301,3.5337,3.9163,5.984,8.9065,8.0447,2.9141,3.6725,8.09,4.863,3.6006,2.46,3.29,4.933,1.91,1.9014,2.3543,3.3378,5.0149,8.318,4.6858,4.2245,4.668,,,,3.5742,,0.301,0.608
2014/1/3,3.1289,4.22,4.0075,3.23,5.1963,3.3719,3.6609,3.5154,3.8414,4.3688,4.4685,4.0283,2.34,6.8897,3.02,4.7963,6.33,2.74,2.8077,4.4968,3.1759,2.3831,3.0833,6.6532,5.8,6.2892,2.045,15.7869,9.1813,1.28,4.3423,,,2.62,3.0009,6.5531,3.9678,3.9876,4.1559,,2.4337,4.5884,6.3709,3.1254,3.9355,3.69,3.7287,1.9581,3.3335,3.4275,3.8918,6.299,8.926,7.8377,2.8496,3.5753,7.89,4.837,3.4764,2.44,3.33,4.8754,1.8773,1.8455,2.3344,3.3293,4.9351,8.1812,4.6858,4.2021,4.5847,,,,3.4631,,0.3,0.61
2014/1/6,3.0586,4.17,3.9586,3.18,4.9936,3.3934,3.5879,3.3304,3.8843,4.2214,4.3819,3.9448,2.27,6.8308,2.95,4.6885,6.26,2.67,2.7272,4.4004,3.042,2.3587,2.988,6.3364,5.62,6.1873,2.0086,15.0667,8.8012,1.2602,4.0323,,,2.58,2.9422,6.5531,3.8004,3.9619,4.1806,,2.3523,4.2075,6.1027,3.1316,3.7602,3.51,3.747,1.9074,3.2338,3.2826,3.7691,6.191,8.6824,7.4598,2.7366,3.4618,7.52,4.6683,3.3274,2.36,3.16,4.8179,1.8528,1.756,2.2351,3.27,4.8312,8.1333,4.5155,4.1421,4.5291,,,,3.369,,0.298,0.592
2014/1/7,3.0469,4.18,3.9586,3.13,5.02,3.4006,3.5723,3.3218,3.9359,3.9267,4.3993,3.9251,2.26,6.7325,2.95,4.6885,6.35,2.66,2.7809,4.4004,3.1164,2.2563,2.9975,6.3364,5.7,6.0975,1.9674,14.8187,8.8012,1.2303,4.0719,,,2.59,2.9487,6.5531,3.7606,3.9962,4.125,,2.3442,4.2518,6.1027,3.0628,3.7894,3.41,3.8166,1.9011,3.2463,3.4709,3.774,5.948,8.5167,7.4058,2.7366,3.4618,7.55,4.4909,3.3473,2.39,3.15,4.8562,1.8447,1.7672,2.245,3.2869,4.7993,8.2085,4.5344,4.1571,4.5384,,,,3.4289,,0.301,0.601
2014/1/8,3.082,4.12,3.9391,3.13,4.9715,3.4006,3.4836,3.3132,3.9273,3.9787,4.2953,3.8809,2.23,6.6539,2.91,4.6346,6.15,2.63,2.7183,4.3302,3.1462,2.2515,3.007,6.3364,5.7,6.0616,1.9577,15.291,8.8889,1.2825,4.1185,,,2.6,2.9552,6.5531,3.7925,3.9533,4.1621,,2.336,4.2518,6.0431,3.0128,3.8186,3.34,3.8019,1.8821,3.1965,3.4902,3.8182,5.6601,8.3803,7.4328,2.7123,3.4293,7.64,4.4822,3.2281,2.37,3.16,4.8658,1.8528,1.7616,2.1954,3.3378,4.7833,8.1606,4.4871,4.1534,4.4921,,,,3.3947,,0.3,0.601
2014/1/9,3.041,4.12,3.9195,3.19,4.8085,3.3504,3.541,3.283,3.8585,3.9874,4.2694,3.7728,2.21,6.5261,2.83,4.5268,6.11,2.56,2.5797,4.2075,3.042,2.1881,2.9355,6.2175,5.63,5.9717,1.9069,15.4917,8.5322,1.2726,4.1768,,,2.6,2.9748,6.5531,3.7845,3.9105,4.0324,,2.3116,4.1987,5.9164,3.0065,3.916,3.25,3.8202,1.8567,3.131,3.4081,3.7936,5.6691,8.2146,7.2528,2.6558,3.3888,7.3,4.4606,3.1437,2.34,3.08,4.9042,1.8447,1.7112,2.1656,3.2954,4.7115,8.1675,4.4492,4.1047,4.3994,,,,3.3092,,0.297,0.6
2014/1/10,3,4.12,3.8902,3.21,4.782,3.25,3.5306,3.2013,3.7726,4.1521,4.1914,3.6844,2.15,6.3393,2.75,4.3719,5.91,2.52,2.5931,4.1111,2.9179,2.2174,2.8355,6.1482,5.62,6.0256,1.8148,14.8187,8.2574,1.2365,4.016,,,2.6,2.9357,6.5531,3.8721,3.8076,3.9521,,2.336,4.2341,5.7748,2.9001,3.7699,3.16,3.78,1.8187,3.0999,3.3261,3.8182,5.3991,8.2731,7.2708,2.5993,3.3807,7.15,4.3827,3.0891,2.37,3,4.9042,1.8365,1.7001,2.1159,3.3801,4.7594,8.1949,4.2693,4.1009,4.2235,,,,3.2579,,0.297,0.601
2014/1/13,3.0293,4.12,3.8706,3.2,4.738,3.2213,3.5097,3.2486,3.7898,4.4294,4.2087,3.6844,2.13,6.3197,2.8,4.2574,5.69,2.54,2.5528,4.0848,2.9377,2.3002,2.7926,6.0987,5.67,5.9897,1.8632,13.8505,8.31,1.2365,4.016,,,2.6,2.9357,6.5531,3.8881,3.7904,3.773,,2.3279,4.2341,5.7376,2.8532,3.7309,3.18,3.8092,1.7997,3.1092,3.3647,3.8722,5.4261,8.2341,7.0098,2.5912,3.3564,6.88,4.5515,3.0891,2.35,3.01,4.5395,1.8447,1.6777,2.1358,3.4564,4.7594,8.1949,4.2315,4.0935,4.2513,,,,3.2835,,0.296,0.577
2014/1/14,3.0469,4.12,3.9879,3.28,4.7952,3.2787,3.541,3.2916,3.8585,4.4468,4.304,3.7532,2.16,6.4769,2.83,4.3988,5.78,2.58,2.6646,4.1637,2.9973,2.3002,2.8498,6.1878,5.82,6.0496,1.9069,14.0866,8.5322,1.239,4.016,,,2.6,2.9618,6.5531,3.896,3.8504,3.7916,,2.3523,4.2607,5.8419,2.9033,3.7407,3.3,3.8495,1.8124,3.1653,3.4468,4.0047,5.5161,8.507,7.0728,2.6478,3.4131,7.04,4.6596,3.1785,2.38,3.05,4.6931,1.8528,1.7057,2.2252,3.4733,4.7913,8.0307,4.3261,4.1571,4.2976,,,,3.3263,,0.298,0.587
2014/1/15,3.0293,4.12,4.0564,3.26,4.7644,3.2715,3.5462,3.2959,3.9617,4.4728,4.2694,3.6009,2.16,6.5064,2.8,4.3853,5.82,2.56,2.5707,4.1637,3.0072,2.3002,2.8307,6.1779,5.89,6.3551,1.919,14.1457,8.5965,1.3633,4.1978,,,2.6,2.9291,6.8055,3.8004,3.859,3.736,,2.336,4.2607,5.8046,2.897,3.6335,3.29,3.8788,1.806,3.1653,3.4612,4.0047,5.4351,8.6726,7.0998,2.6316,3.3969,7.01,4.6207,3.1834,2.42,3.04,4.482,1.8528,1.6945,2.1954,3.4394,4.7674,7.8802,4.3829,4.1758,4.2513,,,,3.3263,,0.297,0.588
