ÈÕÆÚ,000505.SZ,000576.SZ,000911.SZ,000930.SZ,000972.SZ,002220.SZ,002286.SZ,002604.SZ,002852.SZ,200505.SZ,300138.SZ,300175.SZ,300268.SZ,600127.SH,600191.SH,600251.SH,600298.SH,600737.SH,600873.SH,600962.SH
2014/1/2,3.55,9.81,6.73,4.2222,3.51,5.2123,7.8715,9.5,,2.52,3.7756,4.214,5.65,4.68,5.573,7.2904,6.463,5.0867,4.9284,6.15
2014/1/3,3.55,9.73,6.72,4.2618,3.41,5.1208,7.9297,9.5048,,2.52,3.7963,4.2337,5.65,4.59,5.5829,7.1031,6.3117,5.039,4.8889,6.05
2014/1/6,3.55,9.5,6.49,4.123,3.3,4.9309,8.2205,9.0308,,2.52,3.6845,4.0359,5.65,4.4,5.3556,6.8342,6.2549,4.8958,4.6757,5.9
2014/1/7,3.55,9.46,6.41,4.0438,3.32,4.952,8.1526,9.0499,,2.52,3.7383,4.1051,5.65,4.45,5.3359,7.2376,6.3155,4.8863,4.6283,5.92
2014/1/8,3.55,9.27,6.34,4.0239,3.23,4.9872,8.109,9.2415,,2.52,3.759,4.2041,5.65,4.48,5.326,7.1847,6.2246,4.7813,4.4624,5.95
2014/1/9,3.55,8.97,6.22,3.9744,3.2,4.8184,8.2932,9.0308,,2.52,3.6762,4.0755,5.65,4.37,5.3457,7.1463,6.0846,4.8672,4.4071,5.78
2014/1/10,3.55,8.83,6.03,3.8951,3.11,4.741,8.2883,8.71,,2.52,3.523,3.8776,5.65,4.23,5.2469,6.935,5.8349,4.8672,4.3992,5.61
2014/1/13,3.55,8.99,6.03,3.8455,3.13,4.741,7.6922,8.4179,,2.52,3.4899,3.8875,5.65,4.23,5.158,6.959,5.8538,4.9244,4.2966,5.55
2014/1/14,3.55,9.26,6.15,3.9248,3.22,4.8184,7.6631,8.5232,,2.52,3.581,3.9963,5.65,4.31,5.1975,7.0743,5.9181,4.9435,4.3913,5.63
2014/1/15,3.55,9.12,6.13,3.9645,3.18,4.7902,7.8036,8.4705,,2.52,3.6348,4.0755,5.65,4.37,5.1876,7.1319,5.9484,4.9435,4.3124,5.56
2014/1/16,3.55,9.15,6.1,3.9546,3.21,4.748,7.5758,8.3125,,2.52,3.5934,4.0557,5.65,4.39,5.1778,7.1559,5.9522,4.934,4.2729,5.56
2014/1/17,3.55,9.03,6.09,3.8753,3.13,4.6284,7.2947,8.0013,,2.52,3.6389,4.0557,5.65,4.3,5.1185,7.1703,5.8538,4.8386,4.1702,5.48
2014/1/20,3.55,9.06,6.06,3.8753,3.44,4.53,7.3044,7.9821,,2.52,3.6265,3.9765,5.65,4.36,5.0888,7.1895,5.7895,4.8004,4.1702,5.53
2014/1/21,3.55,9.05,6.15,3.9149,3.46,4.6144,7.6679,7.9821,,2.52,3.701,4.0557,5.65,4.38,5.2667,7.1895,5.8538,4.8099,4.2176,5.57
2014/1/22,3.55,9.14,6.25,3.9843,3.47,4.6847,7.886,8.2311,,2.52,3.7507,4.1051,5.65,4.44,5.5829,7.3,6.009,4.9244,4.3203,5.66
2014/1/23,3.55,9.25,6.44,3.9942,3.53,4.8817,7.9345,8.2646,,2.52,3.7838,4.1645,5.65,4.44,5.4149,7.2232,5.9711,4.8576,4.3597,5.65
2014/1/24,3.55,9.61,6.46,3.9942,3.59,4.8746,8.1042,8.3173,,2.52,3.7838,4.1942,5.65,4.5,5.4248,7.3096,6.0279,4.8863,4.2887,5.81
