ÈÕÆÚ,002688.SZ,002868.SZ,300119.SZ,600195.SH,600201.SH,603566.SH,603718.SH,603739.SH
2014/1/2,5.228,,12.3395,7.5585,6.5545,,,
2014/1/3,5.1786,,12.3206,7.2884,6.4809,,,
2014/1/6,4.772,,12.4624,6.9188,6.4809,,,
2014/1/7,4.7794,,13.2141,7.0609,6.4885,,,
2014/1/8,4.827,,13.1432,6.9946,6.4859,,,
2014/1/9,4.6347,,12.6043,7.042,6.4021,,,
2014/1/10,4.4571,,12.2402,6.7956,6.3285,,,
2014/1/13,4.5175,,12.018,6.6155,6.3564,,,
2014/1/14,4.6512,,12.3726,6.8145,6.3894,,,
2014/1/15,4.6475,,12.7035,6.8619,6.392,,,
2014/1/16,4.675,,12.3206,6.8098,6.5799,,,
2014/1/17,4.5596,,11.7722,6.6771,6.5113,,,
2014/1/20,4.631,,11.4885,6.805,6.3894,,,
2014/1/21,4.686,,11.6067,6.843,6.392,,,
2014/1/22,4.7849,,11.7202,6.9851,6.5113,,,
2014/1/23,4.8306,,11.8525,6.9093,6.5139,,,
2014/1/24,4.9387,,11.8194,6.9425,6.8313,,,
2014/1/27,4.9075,,11.5925,6.5254,6.8364,,,
2014/1/28,4.9295,,11.3798,6.5918,6.7881,,,
2014/1/29,5.0009,,11.5831,6.6013,6.8237,,,
2014/1/30,4.8654,,11.6682,6.5539,7.2072,,,
2014/2/7,4.9625,,12.018,6.6676,7.357,,,
2014/2/10,5.0943,,12.1977,6.7956,7.4357,,,
2014/2/11,5.131,,12.2497,6.843,7.3011,,,
2014/2/12,5.2335,,12.6137,6.9614,7.4611,,,
2014/2/13,5.0577,,12.0464,6.843,7.291,,,
2014/2/14,5.347,,12.3395,6.9519,7.2808,,,
2014/2/17,5.3928,,12.5286,7.1889,7.3646,,,
2014/2/18,5.3452,,12.4246,7.1178,7.5195,,,
2014/2/19,5.2921,,12.1835,7.1131,7.4484,,,
