ÈÕÆÚ,000798.SZ,002069.SZ,002086.SZ,002696.SZ,200992.SZ,300094.SZ,600097.SH,600257.SH,600275.SH,600467.SH
2014/1/2,6.5292,14.7737,4.6239,6.2668,4.71,3.7908,11.8527,7.5769,5.17,2.7445
2014/1/3,6.4005,14.1895,4.7584,6.1493,4.63,4.0504,11.5592,7.4074,4.81,2.7103
2014/1/6,6.173,13.4766,4.609,5.7549,4.53,3.9161,11.0953,7.0386,4.43,2.5931
2014/1/7,6.3016,13.3379,4.5791,5.8108,4.54,3.8759,11.332,7.0785,4.41,2.6469
2014/1/8,6.2719,13.1399,4.5591,5.8752,4.5,3.8669,11.1805,6.8791,4.28,2.6566
2014/1/9,6.0642,12.7339,4.305,5.6458,4.49,4.037,10.9817,6.7195,4.1,2.6371
2014/1/10,5.8565,12.2784,4.1456,5.573,4.5,3.8311,10.9912,6.5202,3.9,2.559
2014/1/13,5.8268,12.3081,4.1107,5.7045,4.48,3.67,10.887,6.6198,3.94,2.5004
2014/1/14,5.9257,12.5557,4.1805,5.8276,4.51,3.8043,11.0953,6.8292,3.98,2.5687
2014/1/15,5.9554,12.6844,4.1705,5.822,4.51,3.8266,11.3604,6.8292,3.92,2.5492
2014/1/16,5.9455,12.5458,4.1954,5.8388,4.54,3.7908,11.3131,6.8192,4.01,2.5541
2014/1/17,5.8466,12.6943,4.2054,5.6821,4.49,3.8222,11.0196,6.6099,3.92,2.5004
2014/1/20,5.8663,12.6151,4.1506,5.7213,4.49,3.9117,11.0196,6.6298,3.85,2.5004
2014/1/21,5.9059,12.7735,4.1854,5.794,4.54,3.7729,11.2468,6.7495,3.9,2.5541
2014/1/22,6.0444,13.0607,4.2701,5.9087,4.55,3.849,11.5119,6.9289,4.04,2.5931
2014/1/23,5.9949,13.0013,4.305,5.9311,4.55,4.2339,11.5971,6.889,4.06,2.5834
2014/1/24,6.1236,13.3875,4.3249,6.0346,4.56,4.3503,11.5876,6.9887,4.08,2.6029
2014/1/27,6.0741,13.3379,4.2402,5.9227,4.55,4.2518,11.3699,6.9588,3.91,2.5638
2014/1/28,6.0642,13.2686,4.3499,5.8416,4.51,4.4219,11.3793,7.0087,3.86,2.6029
