ÈÕÆÚ,000735.SZ,002234.SZ,002299.SZ,002321.SZ,002458.SZ,002714.SZ,002746.SZ,300106.SZ,300313.SZ,300498.SZ,300761.SZ,600975.SH
2014/1/2,6.4635,9.34,8.9053,6.2878,4.9123,,,12.1489,9.286,,,2.9358
2014/1/3,6.4635,9.61,8.9517,6.1291,4.9238,,,12.1489,9.2063,,,2.8973
2014/1/6,6.1071,9.22,8.4874,5.8613,4.8315,,,12.1489,9.057,,,2.7532
2014/1/7,6.1665,8.67,8.5988,5.9506,4.7968,,,12.1489,9.3208,,,2.7724
2014/1/8,6.028,8.59,8.5896,5.9803,4.7622,,,12.1489,9.5447,,,2.7532
2014/1/9,6.0675,8.43,8.6453,6.0002,4.6525,,,12.1489,8.9575,,,2.758
2014/1/10,5.8399,8.18,8.571,5.8117,4.6179,,,12.1489,8.5942,,,2.758
2014/1/13,5.8399,7.72,8.701,5.782,4.4909,,,12.1489,8.649,,,2.7916
2014/1/14,6.117,7.95,8.7288,5.9109,4.4967,,,12.1489,8.8729,,,2.8157
2014/1/15,6.5822,7.91,8.6081,5.9506,4.387,,,12.1489,8.9874,,,2.8589
2014/1/16,6.3942,7.77,8.6081,5.901,4.4101,,,12.1489,9.0322,,,2.8685
2014/1/17,6.315,7.67,8.2274,5.782,4.4043,,,12.1489,8.8281,,,2.7868
2014/1/20,6.3348,7.88,7.9674,5.8316,4.3697,,,12.1489,8.6291,,,2.7676
2014/1/21,6.3843,7.6,7.9488,5.8216,4.3177,,,11.522,8.8331,,,2.782
2014/1/22,6.5723,7.44,8.051,5.9407,4.3985,,,11.6738,9.3059,,,2.8349
2014/1/23,6.4734,7.33,8.0138,5.8911,4.3755,,,11.7596,9.3805,,,2.9406
2014/1/24,6.4833,7.38,8.051,5.9407,4.387,,,11.7002,9.286,,,3.0078
2014/1/27,6.4932,7.25,7.8188,5.7919,4.2716,,,11.1657,9.4303,,,2.9982
2014/1/28,6.3546,6.89,7.7352,5.5737,4.1677,4.5671,,10.9083,9.3357,,,2.955
2014/1/29,6.2655,6.92,7.661,5.4944,4.1619,4.55,,11.0271,9.1715,,,2.9502
2014/1/30,6.2556,7.03,7.5495,5.4745,4.1042,4.0954,,10.9413,8.9376,,,2.9262
2014/2/7,6.3744,7.15,7.5588,5.5935,4.1734,4.0347,,11.1854,9.1416,,,2.9598
2014/2/10,6.5526,7.28,7.7631,5.7126,4.3235,4.3075,,11.4032,9.4402,,,3.0223
2014/2/11,6.5723,7.31,7.8095,5.7026,4.3235,4.7384,,11.6606,9.3805,,,3.0175
2014/2/12,7.0277,7.51,7.9767,5.9208,4.4563,4.969,,11.786,9.8284,,,3.0655
2014/2/13,6.7505,7.35,7.791,5.9902,4.3697,4.7898,,11.687,9.4303,,,3.3634
