ÈÕÆÚ,000713.SZ,000998.SZ,002041.SZ,002772.SZ,300087.SZ,300189.SZ,300511.SZ,600108.SH,600313.SH,600354.SH,600359.SH,600371.SH,600506.SH,600540.SH,600598.SH,601118.SH,601952.SH,603336.SH
2014/1/2,7.1112,13.1044,13.4641,,2.9748,2.9557,,8.0268,3.2516,7,7.74,7.9125,9.55,4.6128,9.7129,7.2819,,
2014/1/3,7.1112,13.5215,13.6093,,2.9748,3.0254,,7.8083,3.2516,7.11,7.52,7.7313,9.37,4.559,9.4175,7.0531,,
2014/1/6,6.6929,12.4187,13.158,,2.9748,2.8013,,7.3215,3.0469,6.73,7.15,7.343,8.99,4.3053,8.8528,6.5756,,
2014/1/7,6.6549,12.2797,12.4791,,2.7232,2.8262,,7.3314,2.9878,6.69,7.22,7.3948,9.01,4.2515,8.9397,6.7149,,
2014/1/8,6.6244,12.7112,12.5459,,2.7631,2.9258,,7.242,2.9918,6.67,7.15,7.4466,8.98,4.1362,8.7833,6.6254,,
2014/1/9,6.3735,12.203,12.2319,,2.6161,2.8536,,7.3016,2.9682,6.47,7.19,7.2481,8.85,4.0362,8.8007,6.705,,
2014/1/10,6.2594,11.8433,12.1613,,2.5637,2.8461,,7.1327,2.9209,6.25,7.02,7.1014,8.62,4.0208,8.7399,6.6652,,
2014/1/13,6.267,11.9632,12.2437,,2.5314,2.9009,,7.0831,2.8816,6.1,6.89,7.1101,8.54,4.0439,8.6878,6.8144,,
2014/1/14,6.3963,12.366,12.4007,,2.6186,3.0055,,7.3016,2.9485,6.28,7.08,7.2654,8.54,4.1208,8.931,7.1228,,
2014/1/15,6.4875,12.342,12.5184,,2.6808,3.0603,,7.4705,3.0115,6.5,7.34,7.3344,8.54,4.1362,9.209,7.5306,,
2014/1/16,6.4419,12.3084,12.2633,,2.6659,2.988,,7.391,2.9918,6.4,7.31,7.4293,8.54,4.1208,9.0874,7.3516,,
