ÈÕÆÚ,000048.SZ,000702.SZ,000876.SZ,002100.SZ,002124.SZ,002157.SZ,002311.SZ,002385.SZ,002548.SZ,002567.SZ,002891.SZ,300673.SZ,603363.SH,603609.SH,603668.SH
2014/1/2,10.8045,4.76,6.3006,5.7321,2.3885,2.5125,7.7623,7.1399,5.821,5.9272,,,,,
2014/1/3,10.8239,4.74,6.3263,5.746,2.3885,2.4194,7.8804,7.1108,5.6887,5.7238,,,,,
2014/1/6,10.4841,4.57,6.052,5.555,2.299,2.3552,7.7558,6.7409,5.4753,5.348,,,,,
2014/1/7,10.5909,4.6,5.8848,5.6808,2.3048,2.3296,7.6442,6.77,5.3729,5.3603,,,,,
2014/1/8,11.484,4.6,5.9277,5.5736,2.2817,2.3584,7.5917,6.8573,5.4583,5.311,,,,,
2014/1/9,11.5714,4.59,5.7134,5.4571,2.3106,2.3135,7.2374,6.6495,5.3473,5.3357,,,,,
2014/1/10,11.5131,4.42,5.7219,5.2194,2.4346,2.2044,7.2899,6.4251,5.343,5.3726,,,,,
2014/1/13,12.2315,4.43,5.7434,5.1542,2.6106,2.214,7.4211,6.4791,5.1809,5.1324,,,,,
2014/1/14,12.3674,4.48,5.6405,5.3779,2.6192,2.2269,7.4146,6.5331,5.3388,5.3172,,,,,
2014/1/15,12.4256,4.49,5.6062,5.3825,2.6221,2.2526,7.2833,6.6578,5.3772,5.3049,,,,,
2014/1/16,12.3674,4.48,5.6191,5.5456,2.5414,2.2012,7.3817,6.6204,5.4753,5.4096,,,,,
2014/1/17,12.183,4.43,5.3405,5.5317,2.5731,2.1499,7.2308,6.0593,5.3815,5.3172,,,,,
2014/1/20,11.9597,4.4,5.3019,5.308,2.5558,2.0729,6.9881,5.6521,5.5479,5.1508,,,,,
2014/1/21,12.047,4.43,5.3619,5.3033,2.5817,2.0889,7.0274,5.7975,5.5436,5.1632,,,,,
2014/1/22,12.6392,4.51,5.5334,5.5317,2.6192,2.1338,7.1455,6.0344,5.6076,5.2494,,,,,
2014/1/23,12.6004,4.53,5.3533,5.4291,2.6423,2.105,7.0209,6.0635,5.6546,5.1693,,,,,
2014/1/24,12.5615,4.61,5.3919,5.3499,2.6452,2.1563,7.0143,6.1217,5.5778,5.2248,,,,,
2014/1/27,12.6198,4.68,5.3105,5.061,2.5615,2.1114,6.7715,6.0136,5.6546,5.0153,,,,,
2014/1/28,12.1927,4.6,5.2633,5.1775,2.5962,2.0504,6.5484,6.0469,5.6588,4.9475,,,,,
2014/1/29,12.2509,4.52,5.2762,5.6948,2.5846,2.1178,6.6075,5.9762,5.6759,4.9783,,,,,
2014/1/30,12.1344,4.51,5.0362,5.7041,2.6106,2.1242,6.6206,5.7435,5.5991,4.929,,,,,
2014/2/7,11.8917,4.51,5.1433,5.774,2.6279,2.1306,6.7453,5.7975,5.6332,5.0831,,,,,
2014/2/10,12.6004,4.64,5.3576,5.9185,2.7317,2.1723,6.9093,6.0012,5.7442,5.2001,,,,,
2014/2/11,12.4062,4.64,5.4176,5.7181,2.6567,2.2333,6.8765,6.0718,5.9234,5.2248,,,,,
2014/2/12,12.3286,4.69,5.5034,5.7973,2.726,2.2622,6.8699,6.1425,6.1667,5.4219,,,,,
2014/2/13,12.0665,4.65,5.4519,5.6062,2.7173,2.2173,6.7846,6.0967,5.9661,5.3665,,,,,
2014/2/14,12.1344,4.75,5.4562,5.6342,2.6914,2.3071,6.9881,6.1092,6.0643,5.3911,,,,,
2014/2/17,12.28,4.76,5.4133,5.7554,2.6914,2.3328,6.8962,6.076,6.1027,5.3295,,,,,
2014/2/18,12.0762,4.74,5.3148,5.5922,2.6481,2.4034,6.719,5.8515,5.996,5.2679,,,,,
2014/2/19,11.6879,4.77,5.2848,5.4664,2.651,2.3456,6.8043,5.8682,6.0003,5.2925,,,,,
2014/2/20,11.7752,4.63,5.2462,5.5223,2.5471,2.2686,6.66,5.8266,6.1795,5.2186,,,,,
2014/2/21,11.717,4.59,5.1562,5.294,2.4779,2.2718,6.6862,5.7352,6.0472,5.0831,,,,,
2014/2/24,11.3869,4.55,5.0105,5.1402,2.4202,2.2301,6.5484,5.6396,5.9789,5.0523,,,,,
2014/2/25,10.4162,4.44,4.839,4.9911,2.2356,2.105,6.3253,5.4276,5.6802,4.7319,,,,,
2014/2/26,10.9016,4.5,4.7961,5.033,2.4029,2.1402,6.3516,5.4858,5.4625,4.6703,,,,,
2014/2/27,10.5715,4.53,4.8047,4.9165,2.3394,2.0953,6.3516,5.3279,5.3473,4.6395,,,,,
2014/2/28,10.7657,4.52,4.8347,5.0097,2.3192,2.1274,6.4631,5.7102,5.4327,4.6641,,,,,
2014/3/3,10.8239,4.61,4.9162,5.2287,2.3654,2.1435,6.5616,5.8183,5.6247,4.775,,,,,
2014/3/4,10.6977,4.55,4.8862,5.0796,2.3942,2.1178,6.3909,5.8391,5.5564,4.7688,,,,,
2014/3/5,11.3384,4.53,4.8947,5.1588,2.3135,2.1114,6.4106,5.7892,5.4796,4.738,,,,,
2014/3/6,11.4258,4.56,4.7704,5.0936,2.2962,2.1114,6.3844,5.731,5.5479,4.6641,,,,,
2014/3/7,11.6393,4.58,4.749,5.0004,2.3019,2.1306,6.45,5.6895,5.4839,4.5778,,,,,
2014/3/10,11.6005,4.44,4.8219,4.7954,2.2183,2.1242,6.3647,5.4817,5.3729,4.3684,,,,,
2014/3/11,11.6005,4.45,4.8433,4.6462,2.2327,2.105,6.345,5.4692,5.4028,4.3499,,,,,
2014/3/12,11.7947,4.46,4.8476,4.7115,2.224,2.0825,6.3188,5.4193,5.3985,4.3807,,,,,
2014/3/13,11.6393,4.5,4.929,4.7814,2.2558,2.0536,6.5484,5.4359,5.5052,4.3992,,,,,
2014/3/14,11.6296,4.49,4.8519,4.6602,2.2702,1.9959,6.4697,5.4027,5.5308,4.3992,,,,,
2014/3/17,11.4355,4.61,4.8562,4.7394,2.351,2.0215,6.5025,5.3404,5.8082,4.4731,,,,,
2014/3/18,11.0278,4.6,5.1905,4.8466,2.3856,2.0376,6.5616,5.5482,5.8082,4.5778,,,,,
2014/3/19,10.7268,4.66,5.1476,4.7581,2.351,2.0376,6.6469,5.3861,5.9021,4.547,,,,,
2014/3/20,10.6589,4.51,5.079,4.6369,2.3048,2.0344,6.3385,5.037,5.9106,4.43,,,,,
2014/3/21,10.7754,4.7,5.1519,4.7068,2.3423,2.0697,6.3844,5.1201,6.0259,4.5039,,,,,
2014/3/24,10.8627,4.71,5.1562,4.7161,2.3481,2.1242,6.6403,5.091,5.9149,4.5655,,,,,
2014/3/25,10.6686,4.7,5.139,4.8,2.3164,2.105,6.8437,5.1118,5.8039,4.5532,,,,,
2014/3/26,10.4259,4.68,5.1219,4.7767,2.3077,2.1114,6.6928,5.17,5.996,4.6148,,,,,
2014/3/27,9.9114,4.63,5.0147,4.6788,2.2558,2.0953,6.6403,5.1741,5.8125,4.4854,,,,,
2014/3/28,10.0085,4.51,4.9333,4.5437,2.2789,2.0889,6.3713,5.1035,5.2321,4.4053,,,,,
2014/3/31,9.8337,4.5,5.019,4.4738,2.325,1.9221,6.3319,5.0536,5.1467,4.356,,,,,
2014/4/1,10.1929,4.6,5.0705,4.5204,2.5125,1.9349,6.3581,5.0619,5.3004,4.4485,,,,,
2014/4/2,10.523,4.61,5.1219,4.5111,2.4721,1.9156,6.2991,5.1201,5.1638,4.3868,,,,,
2014/4/3,10.6006,4.73,5.0233,4.4738,2.4981,1.9253,6.2925,5.0785,5.2833,4.3868,,,,,
2014/4/4,10.5909,4.77,5.0447,4.5484,2.4952,1.9509,6.3253,5.1035,5.3217,4.4238,,,,,
2014/4/8,10.3968,4.9,5.1133,4.6602,2.5125,1.9702,6.3516,4.9455,5.4028,4.4485,,,,,
2014/4/9,10.5133,4.87,5.199,4.6975,2.5356,1.9702,6.4631,4.9954,5.4625,4.5285,,,,,
2014/4/10,10.4259,4.84,5.2119,4.6649,2.5183,1.9991,6.4697,5.0204,5.4881,4.5101,,,,,
2014/4/11,10.1929,4.86,5.1262,4.7907,2.4894,2.0087,6.4303,5.0661,5.5223,4.4977,,,,,
2014/4/14,9.9599,4.9,5.3491,4.9585,2.4548,2.1435,6.5287,5.278,5.6375,4.6148,,,,,
2014/4/15,10.0473,4.85,5.3876,4.828,2.4606,2.1563,6.6534,5.1907,5.6332,4.6025,,,,,
2014/4/16,9.9988,5.01,5.5462,4.8559,2.4289,2.2429,6.6469,5.2489,5.518,4.5532,,,,,
2014/4/17,10.0182,4.98,5.4819,4.8699,2.475,2.2558,6.6665,5.2614,5.5479,4.584,,,,,
2014/4/18,9.8143,5.19,5.4562,4.8466,2.4721,2.2173,6.7256,5.1866,5.5522,4.6518,,,,,
2014/4/21,9.7367,5.41,5.2762,4.6975,2.4519,2.1595,6.6206,5.0536,5.4924,4.547,,,,,
2014/4/22,9.2319,5.4,5.2891,4.7301,2.4346,2.1691,6.719,4.9788,5.4327,4.4485,,,,,
2014/4/23,9.3678,5.27,5.3276,4.8559,2.3769,2.1114,6.9881,4.983,5.4711,4.4608,,,,,
2014/4/24,9.2707,5.34,5.2505,4.772,2.3539,2.1114,6.8371,5.0785,5.3558,4.43,,,,,
2014/4/25,9.2804,4.97,5.1776,4.567,2.348,1.9606,6.8568,4.8749,5.2278,4.3807,,,,,
