ÈÕÆÚ,000408.SZ,000523.SZ,000525.SZ,000553.SZ,000565.SZ,000731.SZ,000737.SZ,000792.SZ,000830.SZ,000881.SZ,000893.SZ,000902.SZ,000912.SZ,000953.SZ,000985.SZ,000990.SZ,002004.SZ,002037.SZ,002054.SZ,002080.SZ,002094.SZ,002096.SZ,002109.SZ,002136.SZ,002145.SZ,002165.SZ,002170.SZ,002201.SZ,002211.SZ,002215.SZ,002226.SZ,002246.SZ,002250.SZ,002258.SZ,002274.SZ,002319.SZ,002326.SZ,002341.SZ,002360.SZ,002361.SZ,002391.SZ,002407.SZ,002408.SZ,002409.SZ,002440.SZ,002453.SZ,002455.SZ,002470.SZ,002476.SZ,002496.SZ,002497.SZ,002513.SZ,002538.SZ,002539.SZ,002545.SZ,002549.SZ,002556.SZ,002562.SZ,002584.SZ,002588.SZ,002597.SZ,002601.SZ,002632.SZ,002637.SZ,002643.SZ,002666.SZ,002669.SZ,002683.SZ,002709.SZ,002734.SZ,002741.SZ,002748.SZ,002749.SZ,002783.SZ,002802.SZ,002809.SZ,002810.SZ,002812.SZ,002827.SZ,002895.SZ,002909.SZ,002915.SZ,002917.SZ,002919.SZ,002942.SZ,200553.SZ,300019.SZ,300035.SZ,300037.SZ,300041.SZ,300054.SZ,300067.SZ,300072.SZ,300073.SZ,300082.SZ,300107.SZ,300109.SZ,300132.SZ,300163.SZ,300169.SZ,300174.SZ,300196.SZ,300200.SZ,300214.SZ,300225.SZ,300236.SZ,300243.SZ,300261.SZ,300387.SZ,300398.SZ,300405.SZ,300429.SZ,300437.SZ,300446.SZ,300481.SZ,300487.SZ,300505.SZ,300522.SZ,300530.SZ,300535.SZ,300537.SZ,300568.SZ,300575.SZ,300576.SZ,300596.SZ,300610.SZ,300637.SZ,300641.SZ,300665.SZ,300684.SZ,300690.SZ,300721.SZ,300727.SZ,300740.SZ,300743.SZ,300758.SZ,300769.SZ,600078.SH,600096.SH,600141.SH,600160.SH,600165.SH,600176.SH,600228.SH,600230.SH,600249.SH,600273.SH,600299.SH,600309.SH,600315.SH,600352.SH,600378.SH,600389.SH,600423.SH,600426.SH,600458.SH,600470.SH,600486.SH,600500.SH,600589.SH,600596.SH,600623.SH,600691.SH,600727.SH,600731.SH,600746.SH,600803.SH,600844.SH,603002.SH,603010.SH,603026.SH,603041.SH,603078.SH,603086.SH,603110.SH,603133.SH,603181.SH,603188.SH,603192.SH,603217.SH,603227.SH,603256.SH,603330.SH,603360.SH,603378.SH,603379.SH,603585.SH,603599.SH,603601.SH,603605.SH,603630.SH,603639.SH,603650.SH,603681.SH,603683.SH,603722.SH,603725.SH,603737.SH,603790.SH,603810.SH,603822.SH,603823.SH,603867.SH,603879.SH,603916.SH,603968.SH,603970.SH,603977.SH,603980.SH,603983.SH,688005.SH,688116.SH,900909.SH,900921.SH
2014/1/2,5.9733,7.5902,13.7831,11.2257,3.0389,9.5525,4.76,11.1027,3.702,6.1974,11.4788,4.5342,4.57,4.63,9.5807,9.6649,5.2839,9.5758,5.0824,5.5299,4.4969,11.7171,3.3757,6.4676,2.4839,4.9723,6.2578,4.2301,4.13,5.4953,6.6929,5.611,13.1089,6.2241,2.9526,7.5392,3.8346,8.1593,5.2018,2.7044,10.2839,5.2184,5.1409,8.029,9.5069,5.375,2.9106,5.1991,9.0851,2.9392,4.3512,10.3523,4.5501,3.1638,5.0688,6.4543,6.315,3.1691,4.2872,6.6696,4.6572,4.1592,3.0098,7.5172,5.073,4.4959,7.5531,11.6113,,,,,,,,,,,,,,,,,,7.1871,5.8294,4.2727,9.0766,7.5503,7.3216,2.0854,4.4168,5.5808,5.4364,4.0987,8.3194,5.3365,3.069,6.3346,5.4195,8.1574,9.16,4.3457,3.9361,16.9836,4.6207,3.5459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.739,8.8939,9.676,3.6395,3.088,2.1953,11.8,8.0151,5.57,6.459,4.5934,14.2328,41.7721,5.9479,10.3694,24.691,3.8795,3.7735,9.6652,6.2476,18.5468,5.4003,4.9214,9.8407,8.9132,5.2839,4.64,7.39,5.7476,11.0092,7.56,4.1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6312,0.596
2014/1/3,5.865,7.4834,13.6129,11.2063,2.9879,9.2755,4.7,10.8717,3.6027,6.0903,11.6307,4.4829,4.65,4.66,9.5513,9.5087,5.3985,9.7196,5.0679,5.5839,4.5085,11.6198,3.329,6.4774,2.4641,5.0572,6.1607,4.2065,4.07,5.5458,6.423,5.6044,12.6291,6.2586,2.9024,7.6287,3.8666,8.1642,5.0584,2.7466,9.946,5.0789,5.1519,7.9265,9.4725,5.4893,2.8926,5.1199,9.0851,2.8781,4.3655,10.1631,4.4945,3.1201,5.129,6.6297,6.1078,3.1364,4.4022,6.3235,4.5318,4.1335,3.1293,7.3487,5.0767,4.5364,7.6117,11.3659,,,,,,,,,,,,,,,,,,7.1681,6.0462,4.3747,9.0766,7.4505,7.0774,2.1515,4.3934,5.6105,5.3602,4.063,8.4548,5.209,3.2478,6.3346,5.3922,7.9475,9.178,4.3551,3.859,16.6063,4.7365,3.5632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6114,8.785,9.676,3.5292,3.32,2.1696,11.42,7.8565,5.5,6.3058,4.5652,13.8829,41.7628,5.9299,10.3207,24.4966,3.8428,3.6226,9.4519,6.1805,17.7929,5.2102,4.9021,9.7419,8.7356,5.2003,4.64,7.29,5.7865,10.4035,7.46,4.1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6242,0.593
2014/1/6,5.6879,7.3602,12.9228,10.7385,2.9018,8.9603,4.62,10.5152,3.4853,5.925,11.558,4.4177,4.59,4.53,9.3069,9.2354,5.3151,9.4512,4.8425,5.4669,4.5259,11.2013,3.2223,6.2426,2.3782,4.8685,5.7824,4.2183,3.96,5.3551,6.2927,5.5325,12.5587,6.2586,2.8438,7.3104,3.8186,7.9168,4.6743,2.6622,9.4929,4.6604,5.0638,7.6531,9.2256,5.6186,2.7278,4.875,9.0851,2.749,4.299,9.6455,4.3275,2.9709,4.8763,6.4125,5.8191,3.0353,4.3229,6.1333,4.3706,4.0167,2.9535,6.7683,4.869,4.2124,7.1723,11.196,,,,,,,,,,,,,,,,,,6.8548,5.7964,4.0068,8.5974,7.1648,6.8879,2.0971,4.3675,5.4771,5.0017,4.032,7.9884,5.1354,2.9231,6.3346,5.0978,7.6666,8.4147,4.1479,3.6572,15.1138,4.4469,3.4304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4349,8.4882,9.676,3.3776,3.28,2.1268,12.56,7.6289,5.23,6.0086,4.3863,13.2951,40.6526,5.6817,9.9705,22.9659,3.8061,3.4661,9.0932,5.9218,16.4462,5.0201,4.6894,9.0685,8.4647,4.9244,4.64,7.17,5.6892,10.6229,7.17,4.0175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6128,0.58
2014/1/7,5.9142,7.3602,12.7973,10.6703,2.8861,8.9125,4.52,10.5548,3.4943,5.9152,11.0627,4.441,4.59,4.49,9.3167,9.2842,5.2908,9.1924,4.8643,5.2777,4.4388,11.1429,3.2423,6.2621,2.3849,5.1138,5.8891,4.3127,3.99,5.5233,6.2368,5.4213,12.5779,6.1422,2.848,7.3502,3.8058,7.9168,4.7344,2.8122,9.9619,4.7132,5.0601,7.6336,9.5816,5.5937,2.7587,4.9062,9.0851,2.7856,4.3228,9.6953,4.346,2.9563,4.8672,6.425,5.9446,3.0413,4.307,6.1061,4.3885,4.0307,3.0004,6.9087,4.8802,4.2529,7.2651,11.3697,,,,,,,,,,,,,,,,,,6.9117,5.9472,4.1452,8.7076,7.2601,6.8879,2.3068,4.4738,5.6204,5.051,4.1535,8.2668,5.2728,2.8656,6.3346,5.1959,7.7908,8.5763,4.4728,3.7156,15.1425,4.5716,3.5112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4447,8.6168,9.676,3.4396,3.12,2.1125,13.82,7.5875,5.24,6.0176,4.6687,13.3791,41.2725,5.6591,10.6028,23.1478,3.8703,3.4437,9.0932,5.8548,16.5294,5.0553,4.6507,9.0775,8.4834,4.8408,4.64,7.18,5.7865,10.6668,7.21,4.0685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6145,0.583
2014/1/8,6.052,7.278,12.8601,10.6411,2.8274,8.9985,4.45,10.37,3.4221,5.779,10.9768,4.4177,4.54,4.48,9.1994,9.333,5.2873,9.6429,4.8643,5.3363,4.4446,11.1527,3.2356,6.1936,2.3683,5.095,5.8697,4.3953,3.97,5.5289,6.0879,5.539,12.45,6.0905,2.8355,7.3303,3.7643,7.6694,4.8131,2.8169,9.8864,4.6415,4.9426,7.5702,9.5873,5.718,2.8179,5.0286,9.0851,2.8066,4.3322,9.6555,4.3646,2.9891,4.8733,6.5671,5.8756,3.0205,4.2872,6.1677,4.4915,4.0167,2.9933,6.8573,4.8764,4.1854,7.2944,11.6151,,,,,,,,,,,,,,,,,,7.1016,5.9896,4.1598,9.436,7.2963,7.0337,2.3806,4.7643,5.7191,5.0869,4.1702,8.5,5.3316,2.9673,6.3346,5.3922,7.9445,8.9894,4.5058,3.79,15.3762,4.7009,3.5603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4545,8.5377,9.676,3.4258,3.084,2.0811,13.82,7.1529,5.13,6.0356,4.5652,13.2741,40.375,5.5102,10.7584,22.4264,3.8611,3.3822,9.0738,5.9122,16.259,4.9427,4.583,9.0326,8.4647,4.6234,4.64,7.03,5.8351,10.5352,7.12,4.0621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6137,0.576
2014/1/9,5.993,7.2698,12.5823,10.6411,2.7334,8.8934,4.38,10.0465,3.395,5.6623,10.7985,4.2313,4.56,4.26,9.1994,9.4111,5.1206,9.6908,4.6534,5.3093,4.404,11.0456,3.1489,6.2328,2.3915,4.944,5.9085,4.2596,3.85,5.3551,6.0134,5.4279,12.4436,5.9698,2.8522,7.1115,3.7675,7.8574,4.6557,2.9575,9.3816,4.4417,4.9059,7.4042,9.3347,5.375,2.7329,5.1127,9.0851,2.6739,4.2516,9.1379,4.2672,2.949,4.6717,6.3248,6.0702,2.9848,4.0929,6.1605,4.2989,3.8578,2.841,6.4734,4.691,4.0864,7.1674,11.668,,,,,,,,,,,,,,,,,,7.0352,5.6975,3.9266,9.1533,7.0787,6.764,2.1553,4.6554,5.5265,4.8314,4.0487,8.0938,5.2826,2.7147,6.3346,5.2995,7.6429,8.5314,4.3504,3.5961,15.7986,4.536,3.4535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2583,8.3992,9.676,3.3018,3.052,2.0412,13.97,7.077,4.97,5.7833,4.4146,13.0502,40.079,5.3206,10.4569,22.5833,3.8244,3.3095,9.0253,5.6056,15.9991,4.9779,4.5057,8.871,8.3245,4.5064,4.64,6.95,6.1366,10.1576,7.03,4.0748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6137,0.568
2014/1/10,5.993,7.1877,12.0894,10.6313,2.7217,8.5686,4.31,9.8023,3.4131,5.5066,10.356,4.0915,4.59,4.18,8.9257,9.0206,4.9955,9.3074,4.508,5.2102,4.1951,10.7147,3.0889,6.0566,2.4014,4.878,5.7338,4.1829,3.72,4.8336,5.7714,5.2709,11.6439,6.1163,2.7769,6.823,3.6588,7.9613,4.4012,2.8544,9.3498,4.4718,4.8655,7.4433,9.0419,5.2556,2.6505,5.1751,9.0851,2.6896,4.0997,8.7397,4.128,2.8944,4.5724,6.166,5.9384,2.9135,4.2793,5.9611,4.2183,3.7106,2.7144,6.4547,4.5464,3.9334,6.728,10.7995,,,,,,,,,,,,,,,,,,7.0067,5.4194,3.8611,9.0958,6.9925,6.5016,2.0117,4.5957,5.3586,4.7955,3.8366,8.6278,5.4641,2.7639,6.3346,4.907,7.433,8.4057,4.6093,3.4793,14.8924,4.4825,3.2773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1013,8.2607,9.676,3.1846,3.048,2.0383,13.49,6.9874,4.92,5.5311,4.3487,13.0712,40.5971,5.271,10.5444,21.6862,3.8703,3.2257,9.2386,5.414,15.3595,5.1116,4.5347,8.449,8.0256,4.9579,4.64,6.9,6.1366,9.8943,6.98,3.9348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6128,0.564
2014/1/13,5.9831,7.1548,12.2507,10.5923,2.7295,8.3203,4.23,9.7495,3.4221,5.4774,10.5343,4.1334,4.63,4.12,8.9354,8.9522,4.9643,9.1349,4.5153,5.1652,4.1255,11.0554,3.1155,6.0566,2.4014,4.8308,5.8309,4.0118,3.69,4.6486,5.8226,5.3559,11.388,5.862,2.7518,6.8728,3.5758,7.808,4.4475,2.9247,9.4531,4.4304,4.9573,7.5946,8.8525,5.2805,2.6479,5.2663,9.0851,2.721,3.9289,8.7198,4.1373,2.8689,4.5724,6.1827,5.9697,2.9105,4.2951,6.0209,4.075,3.7339,2.7824,6.553,4.5724,4.0189,6.7768,10.7617,,,,,,,,,,,,,,,,,,6.9782,5.4477,3.8902,9.3833,7.2011,6.498,2.0058,4.6372,5.4426,4.8583,3.9271,9.0115,5.4199,2.8066,6.3346,4.8633,7.5838,8.4236,4.6046,3.5696,15.0892,4.536,3.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1013,8.0925,9.676,3.1708,3.08,2.044,12.44,7.015,4.93,5.6212,4.3298,12.7913,40.3565,5.1356,10.525,21.2973,3.8795,3.2145,9.2483,5.4235,15.6559,5.2595,4.6314,8.3413,8.0349,4.8575,4.64,6.8,6.0588,9.9821,6.95,3.8775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.611,0.56
2014/1/14,6.0619,7.3355,12.6539,10.6995,2.8117,8.4827,4.28,9.9277,3.4673,5.565,10.6994,4.2453,4.72,4.21,9.0723,9.0596,5.0233,8.9432,4.5807,5.1922,4.1835,11.2792,3.1556,6.1838,2.4344,4.9251,6.0152,4.0944,3.8,4.7663,5.8831,5.4017,11.8614,5.9784,2.8271,7.0319,3.6397,7.8871,4.5909,2.9247,9.7791,4.5435,5.0969,7.6238,9.329,5.5142,2.7561,5.2375,9.0851,2.8432,3.9716,8.9288,4.2347,2.9308,4.6958,6.4459,6.1518,2.9818,4.3388,6.1586,4.1735,3.7853,2.8152,6.8151,4.6354,4.1359,6.9575,10.7466,,,,,,,,,,,,,,,,,,6.9972,5.5891,4.0906,9.4648,7.4868,6.7057,2.0893,4.7669,5.6648,5.0062,4.0773,9.1694,5.5425,2.8706,6.3346,5.0269,7.9149,8.6841,4.6517,3.6944,16.0323,4.683,3.2514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1798,8.1717,9.676,3.3224,3.388,2.064,12.59,7.1253,5.02,5.6752,4.3393,12.9103,40.9487,5.2755,10.8557,21.9748,3.9253,3.3207,9.258,5.529,16.0563,5.2877,4.6604,8.5208,8.1657,5.0833,4.64,6.88,6.1949,9.9645,7.04,3.9602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6163,0.567
2014/1/15,6.0717,7.4916,12.5554,10.9334,2.8,8.5877,4.27,9.7891,3.4402,5.5455,10.5607,4.2266,4.72,4.2,9.2189,9.3623,5.1067,8.9623,4.588,5.2507,4.2067,11.1429,3.1689,6.1643,2.4773,4.878,6.2675,4.1239,3.8,4.9289,5.911,5.3821,11.8422,5.9396,2.8062,7.0419,3.6557,8.1246,4.6326,2.9622,9.8188,4.6264,5.0969,7.5994,9.5069,5.4446,2.769,5.1847,9.0851,2.8886,3.9859,8.9985,4.2811,2.9308,4.7469,6.4752,6.3527,3.1067,4.6798,6.2782,4.178,3.804,2.7964,6.9041,4.6984,4.1044,7.0112,11.0789,,,,,,,,,,,,,,,,,,7.0636,5.6928,4.0942,10.0782,7.5276,6.815,2.167,4.7851,5.8278,5.0151,4.1583,9.3499,5.5033,2.8984,6.3346,5.1142,7.9534,9.1062,4.5623,4.0636,15.9872,4.839,3.2745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1798,8.1717,9.676,3.3707,3.344,2.0497,12.25,7.1391,4.99,6.2428,4.3016,13.0432,39.2186,5.2665,10.7293,22.5582,3.9345,3.3431,9.2192,5.5194,16.4774,5.337,4.641,8.6735,8.1751,5.0331,4.64,6.97,6.1171,9.9118,7.07,4.0748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6198,0.567
