ÈÕÆÚ,000422.SZ,000510.SZ,000545.SZ,000635.SZ,000683.SZ,000707.SZ,000818.SZ,000822.SZ,002002.SZ,002053.SZ,002092.SZ,002125.SZ,002386.SZ,002648.SZ,002805.SZ,300285.SZ,300409.SZ,300655.SZ,600075.SH,600091.SH,600277.SH,600319.SH,600328.SH,600367.SH,600409.SH,600618.SH,600714.SH,600722.SH,600929.SH,601216.SH,601678.SH,603067.SH,603077.SH,603299.SH,603928.SH,603938.SH,900908.SH,900951.SH
2014/1/2,6.2599,5.234,3.6443,8.407,2.1602,3.8611,2.7989,3.2276,2.712,3.5935,4.9745,3.3212,5.0435,13.969,,5.2114,,,4.492,4.67,7.2815,3.77,6.747,8.2454,4.1063,6.4425,7.92,4.64,,1.8576,2.9673,,1.0241,,,,0.4599,0.462
2014/1/3,6.1305,5.1148,3.6556,8.0611,2.1216,3.8112,2.7599,3.1701,2.7067,3.5547,4.9745,3.3212,5.0019,14.5923,,5.2245,,,4.5472,4.55,7.1956,3.79,6.585,8.1074,3.991,6.3246,7.79,4.41,,1.888,2.887,,1.0625,,,,0.4531,0.46
2014/1/6,5.8817,4.9659,3.5015,7.7774,2.0941,3.6715,2.6916,3.0935,2.5945,3.4818,4.8423,3.3212,4.8421,14.3555,,5.0267,,,4.3885,4.37,6.7661,3.69,6.4326,7.9002,3.9112,6.1282,7.54,4.21,,1.7807,2.7569,,1.05,,,,0.4454,0.456
2014/1/7,5.8718,5.0056,3.4602,7.8394,2.0996,3.7413,2.6916,3.0839,2.6025,3.5013,4.8989,3.3212,4.8629,14.2927,,5.061,,,4.354,4.39,6.7184,3.73,6.3849,7.8904,3.9023,6.1086,7.61,4.24,,1.7967,2.734,,1.0544,,,,0.4473,0.459
2014/1/8,5.9315,5.0155,3.4076,7.7862,2.0941,3.7014,2.6624,3.1797,2.6265,3.5158,4.8329,3.3212,4.8768,14.6648,,5.1804,,,4.2988,4.29,6.7948,3.7,6.3849,7.772,3.8935,6.0006,7.52,4.22,,1.8704,2.7493,,1.0366,,,,0.4483,0.462
2014/1/9,5.8618,4.9162,3.3475,7.5734,2.0665,3.6515,2.6136,3.1031,2.6452,3.4673,4.7857,3.3212,4.7934,14.7856,,5.0038,,,4.1608,4.32,6.5085,3.59,6.404,7.7523,3.8669,5.9122,7.31,4.08,,1.8768,2.8334,,0.9804,,,,0.4473,0.468
2014/1/10,5.6926,4.8963,3.3062,7.3517,2.0169,3.5418,2.5648,3.1318,2.6452,3.3556,4.6724,3.3212,4.585,14.428,,4.806,,,4.1608,4.23,6.2794,3.55,6.261,7.9989,3.9201,5.7943,7.12,3.94,,1.8704,2.7608,,0.9708,,,,0.4425,0.471
2014/1/13,5.6528,5.0354,3.3137,7.3783,1.9949,3.5618,2.5648,3.0552,2.6853,3.3993,4.6913,3.3212,4.5989,14.399,,4.8305,,,4.2229,4.08,6.1363,3.53,6.2706,7.8509,3.9201,5.7649,7.2,3.95,,1.88,2.7187,,0.9412,,,,0.4415,0.455
2014/1/14,5.7225,5.0354,3.3813,7.5291,2.05,3.6515,2.5941,3.1414,2.672,3.4333,4.7574,3.3212,4.6823,14.9595,,5.0022,,,4.2574,4.11,6.2603,3.61,6.404,7.9002,3.9467,5.9122,7.27,4.07,,1.9826,2.7455,,0.953,,,,0.4464,0.466
2014/1/15,5.7623,5.0553,3.3625,7.5911,2.0445,3.6615,2.5844,3.0935,2.6559,3.409,4.729,3.3212,4.7031,15.0175,,5.0708,,,4.3264,4.05,6.2794,3.59,6.404,8.0087,3.9644,5.8925,7.22,4.08,,2.1044,2.7111,,0.956,,,,0.4483,0.465
2014/1/16,5.7523,5.0155,3.4828,7.6709,2.083,3.6715,2.5844,3.0744,2.6559,3.4041,4.7385,3.3212,4.7101,15.1528,,5.2229,,,4.3195,4.11,6.3558,3.63,6.4421,7.9693,3.9023,5.8925,7.39,4.02,,2.0323,2.7225,,0.9412,,,,0.4483,0.473
2014/1/17,5.6329,4.8765,3.4039,7.4758,2.0279,3.6017,2.5648,3.036,2.6265,3.3847,4.6818,3.3212,4.717,15.0078,,5.1003,,,4.2574,4.03,6.3271,3.61,6.3468,7.7917,3.9112,5.7943,7.34,3.96,,2.0018,2.6575,,0.9353,,,,0.4425,0.472
2014/1/20,5.6329,4.8368,3.3212,7.4315,1.9894,3.5418,2.5453,2.969,2.5784,3.307,4.663,3.3212,4.6962,14.4377,,5.2147,,,4.2436,4,6.2794,3.6,6.3277,7.7622,3.9289,5.7354,7.22,3.85,,2.0291,2.6231,,0.9101,,,,0.4396,0.468
2014/1/21,5.822,4.8864,3.3776,7.5911,2.0114,3.6017,2.5648,2.9786,2.5998,3.3313,4.7479,3.3212,4.7379,14.8387,,5.3128,,,4.2781,4.08,6.3081,3.62,6.4611,7.8016,3.9378,5.814,7.53,3.91,,2.2326,2.669,,0.9197,,,,0.4425,0.474
2014/1/22,5.9414,5.0453,3.4752,7.7419,2.072,3.6915,2.6136,3.0552,2.6399,3.3993,4.8329,3.3212,4.8351,15.3267,,5.3422,,,4.3747,4.28,6.4894,3.72,6.6041,7.9791,3.9733,5.9515,7.61,4.02,,2.3048,2.7302,,0.936,,,,0.4473,0.474
2014/1/23,5.9016,5.0751,3.4865,7.7508,2.05,3.7513,2.6039,3.0552,2.68,3.4333,4.8234,3.3212,4.8629,15.3509,,5.3357,,,4.3885,4.48,6.518,3.78,6.566,7.9594,3.9555,5.9515,7.58,4.01,,2.3496,2.7149,,0.9397,,,,0.4454,0.464
2014/1/24,5.9215,5.1446,3.5316,7.866,2.0665,3.7413,2.6234,3.0935,2.6693,3.4527,4.8612,3.3212,4.9046,15.404,,5.2964,,,4.8301,4.45,6.5562,3.82,6.6613,8.1271,3.9467,5.9907,7.65,4.06,,2.3576,2.734,,0.9582,,,,0.4454,0.418
2014/1/27,5.7225,5.3532,3.3851,7.7419,2.0334,3.7214,2.5941,2.9882,2.6746,3.4381,4.8329,3.3212,4.8351,15.4668,,5.0806,,,4.7749,4.63,6.4321,3.84,6.5946,8.3441,3.9378,6.0398,7.73,3.94,,2.3336,2.7378,,0.9715,,,,0.4454,0.407
2014/1/28,5.7225,5.1446,3.3813,7.7951,2.0279,3.6316,2.5648,2.969,2.7147,3.4527,4.8046,3.3212,4.8282,16.5637,,5.2147,,,4.7749,4.68,6.4798,3.85,6.7185,8.0186,3.9289,5.922,7.86,4.03,,2.2711,2.7187,,0.9959,,,,0.4435,0.41
2014/1/29,5.6827,5.1546,3.3776,7.9281,2.0445,3.6416,2.5844,2.9882,2.7548,3.5595,4.814,3.3212,4.8907,16.4767,,5.1967,,,4.7749,4.69,6.5466,3.82,6.7185,8.0383,3.9201,5.9613,7.95,4.04,,2.4987,2.7264,,0.9937,,,,0.4435,0.405
2014/1/30,5.6329,5.1248,3.3362,7.804,2.0224,3.6017,2.5844,2.9594,2.7254,3.5547,4.8046,3.3212,4.8629,16.3801,,5.1248,,,4.7749,4.58,6.5371,3.85,6.6613,7.9693,3.8935,5.9809,7.89,3.94,,2.4314,2.6996,,0.9945,,,,0.4425,0.382
2014/2/7,5.6628,5.1546,3.4226,7.9104,2.0334,3.6416,2.6234,2.969,2.8029,3.5547,4.8423,3.3212,4.9463,17.0855,,5.231,,,4.7749,4.5,6.6039,3.9,6.7089,8.0087,3.8846,6.4032,7.95,3.96,,2.4602,2.7149,,0.9937,,,,0.4492,0.387
2014/2/10,5.8419,5.4029,3.6293,8.1144,2.1547,3.7413,2.6819,3.0265,2.8055,3.6324,5.116,3.3212,5.0227,17.3561,,5.3912,,,4.7749,4.6,6.7852,4.09,6.8423,8.4131,3.9821,6.4425,8.19,4.06,,2.4762,2.7837,,1.0137,,,,0.4521,0.393
2014/2/11,5.9016,5.3135,3.6255,8.1055,2.1547,3.9409,2.6916,3.0744,2.8136,3.6324,5.0783,3.3212,5.0019,16.7666,,5.5547,,,4.7749,4.58,6.9188,4.04,6.8328,8.3539,4.1063,6.4032,8.08,4.12,,2.4394,2.7837,,1.0529,,,,0.4512,0.388
2014/2/12,5.9713,5.4923,3.618,8.2562,2.1602,3.9508,2.7111,3.0744,2.8403,3.6809,5.0877,3.3212,5.2033,16.8004,,6.0647,,,4.7749,4.56,6.9474,4.03,6.89,8.492,4.0708,6.4032,8.18,4.18,,2.4105,2.8143,,1.0433,,,,0.4541,0.393
2014/2/13,5.8718,5.3631,3.6706,8.0966,2.1437,3.8411,2.6721,3.0839,2.851,3.6032,5.0217,3.3212,5.2103,15.8631,,5.9732,,,4.7749,4.52,6.8806,3.98,6.728,8.8274,4.0531,6.4229,7.99,4.1,,2.3015,2.8067,,1.0455,,,,0.4473,0.394
2014/2/14,5.9116,5.4128,3.8848,8.2208,2.1602,3.901,2.7014,3.1031,2.8563,3.6858,5.0972,3.6553,5.2381,16.0322,,5.9944,,,4.7749,4.47,6.8997,4.06,6.8614,8.9359,4.1861,6.6586,8.13,4.13,,2.3576,2.8258,,1.098,,,,0.4512,0.386
2014/2/17,5.9713,5.4327,3.9787,8.3449,2.2208,3.9109,2.7306,3.1031,2.9739,3.7732,5.1444,4.0204,5.3075,16.5299,,6.3949,,,4.7749,4.42,6.8997,4.16,7.0139,8.9063,4.2393,6.7371,8.2,4.16,,2.4506,2.8984,,1.1032,,,,0.4541,0.39
2014/2/18,5.9116,5.532,3.8998,8.2208,2.1822,3.871,2.7014,2.9499,2.9685,3.7878,5.1444,4.4244,5.2311,16.8246,,6.292,,,4.7749,4.36,6.852,4.19,7.0234,9.0246,4.2305,6.6684,8.31,4.37,,2.3512,2.8372,,1.1276,,,,0.4492,0.393
