ÈÕÆÚ,000301.SZ,000420.SZ,000677.SZ,000703.SZ,000782.SZ,000936.SZ,000949.SZ,002015.SZ,002064.SZ,002172.SZ,002206.SZ,002254.SZ,002427.SZ,002493.SZ,300699.SZ,300777.SZ,600063.SH,600346.SH,600527.SH,600810.SH,600889.SH,601233.SH,603225.SH,603332.SH
2014/1/2,3.0039,1.59,3,5.1812,3.7897,3.556,2.8182,4.6252,4.401,4.22,1.8139,6.396,4.1385,1.8158,,,2.0402,2.0165,3.9639,4.6519,5.1827,4.213,,
2014/1/3,2.9854,1.585,2.96,5.0394,3.7897,3.5177,2.789,4.6679,4.2836,4.19,1.8301,6.3715,4.1456,1.8137,,,2.0402,2.0847,3.8162,4.5332,5.0168,4.0696,,
2014/1/6,2.9392,1.56,2.83,4.884,3.8774,3.3931,2.711,4.6252,4.0342,4.08,1.8301,6.0534,4.0116,1.739,,,2.0402,1.9572,3.7572,4.3774,4.7825,3.9057,,
2014/1/7,2.93,1.535,2.83,4.8502,3.8774,3.4123,2.711,4.5483,3.9755,4.16,1.8301,5.9228,4.0398,1.7539,,,2.0402,1.9246,3.7985,4.4961,4.802,3.9057,,
2014/1/8,2.8653,1.555,2.78,4.7624,3.9066,3.3931,2.6622,4.4371,4.0782,4.34,1.882,6.0207,3.9975,1.7475,,,2.0402,1.8979,3.7749,4.4887,4.7142,3.8784,,
2014/1/9,2.8283,1.505,2.67,4.7692,3.9261,3.3643,2.6134,4.3687,3.9315,4.24,1.8333,5.8004,3.9059,1.7091,,,2.0402,1.9038,3.6685,4.3255,4.6459,3.8033,,
2014/1/10,2.7359,1.45,2.67,4.5462,3.8287,3.2685,2.5744,4.1977,3.9364,4.36,1.7587,5.6536,3.8001,1.6387,,,2.0402,1.9186,3.6863,4.2439,4.6849,3.8647,,
2014/1/13,2.7359,1.455,2.68,4.4382,3.8287,3.326,2.5842,4.1977,4.0244,4.4,1.7976,5.7107,3.8001,1.6366,,,2.0402,1.9008,3.6036,4.2365,4.6752,3.7896,,
2014/1/14,2.7728,1.475,2.95,4.5057,3.9358,3.3835,2.6232,4.2661,4.1858,4.52,1.8171,5.8739,3.8777,1.6878,,,2.0402,1.9246,3.6508,4.3329,4.802,3.8579,,
2014/1/15,2.7636,1.45,2.92,4.5462,3.9846,3.3356,2.5939,4.2747,4.1565,4.45,1.8431,5.8983,3.8988,1.6878,,,2.0402,1.9542,3.5681,4.3552,4.7728,3.8511,,
2014/1/16,2.7728,1.445,2.9,4.5327,3.8677,3.3164,2.5939,4.2918,4.1565,4.5,1.8431,5.8902,3.9059,1.692,,,2.0402,1.9572,3.574,4.2958,4.763,3.8169,,
2014/1/17,2.7359,1.43,2.91,4.4652,3.8871,3.2493,2.5842,4.1892,4.22,4.54,1.882,5.8168,3.8777,1.7006,,,2.0402,1.9097,3.4322,4.2439,4.6654,3.7691,,
2014/1/20,2.7359,1.425,2.84,4.4652,3.8871,3.2781,2.5647,4.2661,4.1956,4.54,1.882,5.776,3.8918,1.6558,,,2.0402,1.8831,3.4854,4.3032,4.6264,3.7691,,
2014/1/21,2.8191,1.44,2.85,4.607,3.9066,3.3068,2.5842,4.2661,4.2494,4.5,1.8982,5.882,3.9623,1.6792,,,2.0402,1.9898,3.5504,4.3552,4.7728,3.8033,,
2014/1/22,2.856,1.465,2.92,4.8705,3.9943,3.3643,2.6427,4.3516,4.4205,4.6,2.0118,6.1268,4.0469,1.7219,,,2.0402,2.0076,3.6272,4.4961,4.8509,3.9125,,
2014/1/23,2.8283,1.465,2.92,4.9448,4.004,3.3547,2.6622,4.3602,4.4205,4.49,2.0215,6.1839,4.1667,1.724,,,2.0402,2.0135,3.6213,4.4219,4.8509,3.8989,,
2014/1/24,2.8653,1.49,2.94,4.911,3.9943,3.4123,2.672,4.4457,4.4156,4.47,2.0183,6.192,4.1244,1.7283,,,2.0402,2.058,3.6508,4.5184,4.9094,4.0218,,
2014/1/27,2.8468,1.47,2.97,4.9516,4.0917,3.3835,2.6427,4.3773,4.4499,4.45,1.9631,6.2165,4.1526,1.7219,,,2.0402,2.0165,3.6095,4.3923,4.8704,3.9467,,
2014/1/28,2.8468,1.47,2.97,5.0394,4.1209,3.4027,2.6037,4.3858,4.4597,4.43,1.9761,6.2002,4.0821,1.7198,,,2.0402,2.0195,3.5858,4.281,4.8313,3.9535,,
