ÈÕÆÚ,000859.SZ,000973.SZ,002108.SZ,002263.SZ,002324.SZ,002395.SZ,002450.SZ,002768.SZ,002825.SZ,002838.SZ,002886.SZ,300180.SZ,300218.SZ,300221.SZ,300230.SZ,300305.SZ,300321.SZ,300325.SZ,300478.SZ,300538.SZ,300539.SZ,300586.SZ,300644.SZ,300716.SZ,300717.SZ,600143.SH,601208.SH,603266.SH,603580.SH,603615.SH,603991.SH
2014/1/2,2.7423,3.988,2.0815,2.2164,8.5382,8.2656,8.116,,,,,2.2591,10.4976,3.0709,2.5091,8.028,18.9742,2.2487,,,,,,,,5.0602,6.7161,,,,
2014/1/3,2.7193,3.9392,2.0938,2.2123,8.4013,8.3145,8.2671,,,,,2.2868,11.0668,3.0368,2.58,7.8834,18.8472,2.2625,,,,,,,,5.0873,6.6026,,,,
2014/1/6,2.6506,3.7442,2.0643,2.1299,8.0394,7.8651,8.0601,,,,,2.1453,10.6134,2.9393,2.4411,7.4832,16.961,2.1876,,,,,,,,4.8708,6.4891,,,,
2014/1/7,2.727,3.7637,2.1036,2.1134,8.1372,7.7576,8.0503,,,,,2.173,10.4397,2.9978,2.5091,7.6857,17.2493,2.2724,,,,,,,,4.9159,7.1418,,,,
2014/1/8,2.6964,3.7637,2.138,2.1051,8.1666,7.699,7.8827,,,,,2.1832,10.4976,3.0465,2.5205,7.8834,18.0556,2.2487,,,,,,,,4.9069,7.1891,,,,
2014/1/9,2.6506,3.6565,2.0987,2.031,7.8243,7.6013,7.3175,,,,,2.084,9.6485,2.9198,2.373,7.488,17.1613,2.1305,,,,,,,,4.8167,6.7445,,,,
2014/1/10,2.6353,3.5687,2.0938,1.9527,7.6287,7.4547,7.4325,,,,,2.0635,9.2626,2.8077,2.3192,7.353,17.0294,2.1423,,,,,,,,4.7806,7.4161,,,,
2014/1/13,2.536,3.5882,2.1036,1.9857,7.6873,7.5231,7.1237,,,,,2.0898,9.3687,2.8369,2.3674,7.5459,17.2297,2.1364,,,,,,,,4.6904,7.3783,,,,
2014/1/14,2.6582,3.7247,2.1355,2.031,7.8145,7.7576,7.0612,,,,,2.1599,9.6582,2.9149,2.4553,7.7243,17.5962,2.2566,,,,,,,,4.7355,7.5675,,,,
2014/1/15,2.643,3.715,2.1724,2.0475,7.9318,7.7771,7.0317,,,,,2.1861,9.6968,3.027,2.5431,7.8303,18.9351,2.2822,,,,,,,,4.6363,7.3877,,,,
2014/1/16,2.5971,3.7052,2.1822,2.0433,7.8194,7.8651,7.1007,,,,,2.1817,9.8125,3.0124,2.5148,7.8303,18.295,2.2389,,,,,,,,4.6723,7.2648,,,,
2014/1/17,2.5742,3.6175,2.1872,2.0104,7.79,7.8162,6.4074,,,,,2.1803,9.4845,3.0563,2.631,7.7291,17.8699,2.2665,,,,,,,,4.5461,7.3026,,,,
2014/1/20,2.5589,3.598,2.1675,1.9733,7.6189,7.6697,6.4665,,,,,2.0752,9.1371,3.0026,2.4978,7.8593,17.0245,2.2113,,,,,,,,4.5551,7.0661,,,,
2014/1/21,2.6048,3.6565,2.1896,2.0186,7.2912,7.9628,6.4731,,,,,2.1336,9.4748,3.0855,2.563,7.9171,17.518,2.2566,,,,,,,,4.6002,7.3026,,,,
2014/1/22,2.6506,3.7345,2.224,2.0598,7.4428,8.0898,6.6407,,,,,2.1365,9.8608,3.0855,2.5772,7.9075,17.4057,2.2921,,,,,,,,4.7174,7.3877,,,,
2014/1/23,2.6353,3.7247,2.2117,2.0598,7.4135,8.1191,6.5388,,,,,2.1511,9.938,3.1196,2.6424,8.0859,17.8063,2.3355,,,,,,,,4.7084,7.785,,,,
2014/1/24,2.7423,3.8417,2.2535,2.2658,7.5798,8.0702,6.7195,,,,,2.1861,10.2467,3.1196,2.6877,8.245,17.9236,2.367,,,,,,,,4.7265,7.9837,,,,
2014/1/27,2.6659,3.832,2.283,2.3152,7.4673,8.0898,6.943,,,,,2.1467,10.0345,3.0806,2.6339,8.0329,16.4772,2.3295,,,,,,,,4.7084,7.8702,,,,
2014/1/28,2.643,3.8417,2.2854,2.2823,7.3695,8.1386,6.9364,,,,,2.135,9.7932,3.0465,2.5857,8.2257,16.1303,2.3197,,,,,,,,4.6814,7.8702,,,,
2014/1/29,2.643,3.9002,2.3469,2.2576,7.614,8.2363,6.8181,,,,,2.189,9.9862,3.1099,2.6367,8.2836,16.3404,2.4005,,,,,,,,4.6814,7.9553,,,,
2014/1/30,2.6353,3.871,2.3395,2.2123,7.6091,8.1093,6.8345,,,,,2.1569,9.5617,3.1147,2.5743,8.1486,15.8371,2.3492,,,,,,,,4.6363,7.8134,,,,
2014/2/7,2.6811,3.9392,2.3985,2.2905,7.7705,8.2266,6.8378,,,,,2.1847,9.9959,3.2025,2.6594,8.2884,16.0326,2.3887,,,,,,,,4.6543,7.9364,,,,
