ÈÕÆÚ,000589.SZ,000599.SZ,002068.SZ,002224.SZ,002381.SZ,002442.SZ,002753.SZ,300121.SZ,300320.SZ,300587.SZ,300731.SZ,300767.SZ,600182.SH,600469.SH,601058.SH,601163.SH,601500.SH,601966.SH,603033.SH
2014/1/2,5.1339,4.0112,3.518,5.654,7.698,3.9945,,5.3043,2.9891,,,,11.8696,4.9168,2.8945,,,,
2014/1/3,5.0352,3.9915,3.4855,5.9866,7.4899,3.9651,,5.2361,2.9234,,,,11.8431,4.8316,2.8716,,,,
2014/1/6,4.9167,3.8535,3.347,6.3481,7.0738,3.9651,,5.1479,2.7824,,,,11.2491,4.6673,2.774,,,,
2014/1/7,4.9266,3.9323,3.3307,6.1216,7.0798,4.0434,,5.1198,2.8359,,,,11.2935,4.6856,2.7989,,,,
2014/1/8,4.8772,3.9718,3.2819,6.1216,7.3056,4.0728,,5.3043,2.9234,,,,11.0187,4.6551,2.8259,,,,
2014/1/9,4.8575,3.8633,3.2004,5.7842,7.0619,3.9064,,4.879,2.8067,,,,10.9743,4.6491,2.7803,,,,
2014/1/10,4.739,3.7057,3.1679,5.789,6.8955,3.7987,,4.6864,2.6997,,,,10.4956,4.5639,2.7844,,,,
2014/1/13,4.6699,3.6268,3.1841,5.8083,6.9133,3.7987,,4.7747,2.7653,,,,10.469,4.5821,2.7138,,,,
2014/1/14,4.7785,3.6958,3.2004,5.9625,7.0916,3.8183,,4.875,2.9356,,,,10.7616,4.7038,2.8176,,,,
2014/1/15,4.7983,3.7746,3.2004,6.2325,7.3175,3.8183,,4.8911,2.9696,,,,10.7261,4.6856,2.8903,,,,
2014/1/16,4.7884,3.9323,3.2086,6.2325,7.157,3.8085,,4.9994,2.9259,,,,10.7261,4.7282,2.8592,,,,
2014/1/17,4.6995,4.0013,3.1516,6.0156,7.2165,3.7497,,4.855,2.9721,,,,10.6286,4.6125,2.828,,,,
2014/1/20,4.7489,3.9619,3.1516,5.8951,7.3354,3.7399,,4.875,2.9161,,,,10.735,4.6247,2.8322,,,,
2014/1/21,4.7983,3.9816,3.176,5.9915,7.3829,3.7693,,4.9713,3.0694,,,,10.7793,4.716,2.9048,,,,
2014/1/22,4.897,4.0309,3.233,6.0493,7.4186,3.8476,,5.0275,3.0815,,,,11.063,4.8194,2.9318,,,,
2014/1/23,4.8575,4.0407,3.2574,6.2084,7.2937,3.877,,5.0636,3.101,,,,11.3289,4.8134,2.909,,,,
2014/1/24,4.8772,4.0605,3.29,6.1602,7.5434,3.8966,,5.1358,3.1715,,,,11.4353,4.8438,2.9422,,,,
2014/1/27,4.8674,3.9915,3.2574,6.1602,7.478,3.9259,,5.2281,3.1083,,,,11.4176,4.8012,2.8675,,,,
2014/1/28,4.9069,4.0112,3.2411,5.9963,7.4364,3.9259,,5.1358,3.0377,,,,11.5505,4.7951,2.8633,,,,
2014/1/29,4.9069,4.0802,3.2656,5.9384,7.6207,3.9357,,5.204,3.1204,,,,11.5417,4.8073,2.8758,,,,
2014/1/30,4.8674,4.09,3.2493,5.8468,7.5375,3.9553,,5.1238,3.0353,,,,11.3821,4.7464,2.8529,,,,
2014/2/7,4.9167,4.1097,3.2819,6.1457,7.698,3.9455,,5.2401,3.1326,,,,11.1959,4.9046,2.8488,,,,
2014/2/10,5.0253,4.366,3.3633,6.1698,7.9179,4.0141,,5.3405,3.2834,,,,11.5151,5.0324,2.9713,,,,
2014/2/11,5.0352,4.5335,3.4122,6.0638,8.5302,4.0336,,5.2442,3.2226,,,,11.4885,5.0324,2.9588,,,,
2014/2/12,5.0944,4.5335,3.4855,6.0589,8.5956,4.0728,,5.4488,3.3612,,,,11.7012,5.0689,2.9298,,,,
2014/2/13,5.0253,4.4645,3.404,5.9047,8.2686,4.0826,,5.1559,3.1934,,,,11.3998,4.9959,3.017,,,,
2014/2/14,5.1339,4.6419,3.4447,5.9963,8.5421,4.112,,5.3164,3.2761,,,,11.5239,5.0507,3.046,,,,
2014/2/17,5.1438,5.0066,3.4855,5.977,8.7977,4.1511,,5.3565,3.3807,,,,11.6303,5.148,3.046,,,,
2014/2/18,5.2327,5.0066,3.4529,6.4012,8.5896,4.0924,,5.4448,3.4415,,,,11.4796,5.215,3.1395,,,,
2014/2/19,5.2327,5.0066,3.5099,6.2469,8.5183,4.1413,,5.2722,3.405,,,,11.4176,5.1724,3.2225,,,,
2014/2/20,5.1339,5.0066,3.5017,6.3048,8.6788,4.0728,,5.2161,3.2737,,,,11.7455,5.0507,3.0647,,,,
2014/2/21,5.0846,5.0066,3.4366,6.2903,9.1127,4.0434,,5.2642,3.2566,,,,11.6126,5.0081,3.0419,,,,
2014/2/24,5.1043,5.0066,3.3877,6.5265,9.3505,4.0434,,5.1519,3.315,,,,12.1976,5.0142,3.017,,,,
2014/2/25,4.9365,5.0066,3.2982,6.2421,8.548,3.9357,,4.7787,3.0475,,,,11.6658,4.8316,2.7823,,,,
2014/2/26,4.9661,5.0066,3.3307,6.0879,8.8215,3.9749,,4.7908,3.0572,,,,11.9849,4.856,2.8675,,,,
2014/2/27,5.0451,5.0066,3.3144,5.8468,8.1973,3.9162,,4.6383,2.9842,,,,12.1888,4.789,2.8052,,,,
2014/2/28,5.0944,5.0066,3.3796,5.9674,7.8466,3.9455,,4.5781,3.1253,,,,11.9228,4.8925,2.8924,,,,
2014/3/3,5.2228,4.908,3.4285,6.0107,8.0962,4.0336,,4.6584,3.1448,,,,12.0469,4.9837,2.8425,,,,
2014/3/4,5.2919,4.9573,3.4122,5.8951,8.013,4.0239,,5.1238,3.0937,,,,12.0381,5.002,2.7803,,,,
2014/3/5,5.2327,4.7109,3.4855,5.8902,8.12,4.0434,,4.9793,3.0937,,,,12.0203,4.9777,2.7782,,,,
2014/3/6,5.282,4.6124,3.4447,5.9866,8.013,4.0728,,5.4769,3.1107,,,,11.9228,5.0689,2.8093,,,,
2014/3/7,5.2129,4.5828,3.3959,5.8999,8.1854,4.0728,,6.0266,3.1156,,,,11.7101,5.0446,2.8612,,,,
2014/3/10,5.0549,4.4448,3.2737,5.5335,7.8287,4.112,,6.6284,2.9259,,,,11.258,4.8194,2.7719,,,,
2014/3/11,5.3808,4.4547,3.4692,5.5817,7.5731,4.249,,5.9664,2.9551,,,,11.3466,5.1237,2.7574,,,,
2014/3/12,5.3808,4.5631,3.4285,5.4371,7.7217,4.2197,,5.7176,2.9526,,,,11.3732,5.075,2.7678,,,,
2014/3/13,5.4202,4.7011,3.518,5.5335,7.7455,4.2099,,5.6976,2.9988,,,,11.5417,5.148,2.8342,,,,
