ÈÕÆÚ,000059.SZ,000096.SZ,000159.SZ,000554.SZ,000637.SZ,000698.SZ,000819.SZ,002221.SZ,002778.SZ,300135.SZ,600028.SH,600256.SH,600387.SH,600688.SH,603798.SH,603906.SH
2014/1/2,4.6931,5.2964,6.9712,4.9185,4.2455,3.7795,13.3559,5.1313,,4.1227,3.2813,7.5506,19.4082,2.5639,,
2014/1/3,4.5235,5.1883,6.7488,4.8387,4.1735,3.7698,12.7939,5.0528,,4.2259,3.2225,7.6282,19.194,2.4631,,
2014/1/6,4.3067,4.923,6.5071,4.6292,4.0296,3.6721,12.5572,5.0037,,4.0521,3.296,7.473,18.5707,2.4126,,
2014/1/7,4.2313,5.09,6.4588,4.6691,4.0296,3.6721,12.7643,5.0184,,4.1988,3.2372,7.4644,18.522,2.4126,,
2014/1/8,4.2125,5.1687,6.4491,4.7688,4.0746,3.6623,12.9565,5.1214,,4.2531,3.2298,7.4213,18.2007,2.379,,
2014/1/9,4.1653,5.0606,6.4008,4.7489,4.0206,3.6233,12.6533,5.1607,,4.0467,3.2372,7.3437,18.1715,2.606,,
2014/1/10,4.1842,5.5715,6.188,5.0382,4.0926,3.5061,12.2096,5.0528,,4.0467,3.2519,7.0507,18.2299,2.5051,,
2014/1/13,4.203,5.3554,6.1784,4.9285,3.9846,3.5159,13.0971,4.7928,,4.0467,3.296,6.3439,17.3632,2.4126,,
2014/1/14,4.2502,5.5912,6.3331,5.0681,4.0476,3.5549,13.0971,4.8075,,4.0467,3.377,6.1974,17.4703,2.5219,,
2014/1/15,4.2125,5.6108,6.4878,5.0582,4.0656,3.5452,14.406,4.6603,,4.0467,3.4211,5.9474,17.5774,2.5387,,
2014/1/16,4.2125,5.5126,6.4974,4.9185,4.0656,3.5452,14.4874,4.6358,,4.0467,3.399,6.1198,17.8306,2.5051,,
2014/1/17,4.0334,5.4831,6.3234,4.7389,4.0206,3.4963,14.8645,4.4199,,4.0467,3.4285,6.0422,17.3632,2.4715,,
2014/1/20,4.0428,5.2473,6.2364,4.6292,4.0476,3.4963,14.7018,4.4298,,4.0467,3.399,5.9474,17.4898,2.4294,,
2014/1/21,4.0617,5.3062,6.4201,4.709,4.1016,3.5159,14.6723,4.5377,,4.0467,3.3917,6.0163,17.7722,2.4378,,
2014/1/22,4.1559,5.5224,6.6521,4.8886,4.1825,3.594,14.7166,4.8124,,4.0467,3.4211,6.1887,18.2786,2.5135,,
2014/1/23,4.1277,5.5421,6.6715,4.9185,4.1735,3.5842,14.6575,4.8075,,4.0467,3.3696,6.0767,18.4928,2.4967,,
2014/1/24,4.1559,5.6207,6.7778,4.9584,4.2725,3.6135,14.6723,4.832,,4.0467,3.3843,6.0508,18.3565,2.5555,,
2014/1/27,4.1182,5.5322,6.5071,4.8886,4.1825,3.5745,13.7109,4.8664,,4.0467,3.3255,6.0336,18.8726,2.5387,,
2014/1/28,4.1465,5.4831,6.4781,4.9883,4.2815,3.5647,13.6887,4.8467,,4.0467,3.3034,6.0163,18.6,2.5051,,
2014/1/29,4.1559,5.4733,6.5845,4.9285,4.2545,3.6916,13.7552,4.8075,,4.0467,3.3034,5.956,18.6292,2.4883,,
2014/1/30,4.0051,5.3947,6.4008,4.8287,4.1915,3.6721,13.9475,4.8516,,4.0467,3.2813,5.9302,18.8629,2.4631,,
2014/2/7,3.9486,5.5126,6.4008,4.9185,4.2635,3.7112,14.8867,5.0282,,4.0467,3.2887,5.9646,19.2816,2.4799,,
2014/2/10,4.0711,5.6796,6.6908,5.0981,4.3714,3.7698,15.042,5.2196,,4.0467,3.3255,6.1629,19.3595,2.5387,,
2014/2/11,4.1465,5.9351,6.8649,5.4473,4.3894,3.76,14.5761,5.1852,,4.0467,3.3402,6.7835,19.5932,2.5723,,
2014/2/12,4.1748,5.9744,6.9325,5.4572,4.4344,3.7795,14.7906,5.195,,4.0467,3.3255,7.1713,19.4472,2.5807,,
2014/2/13,4.203,5.7975,6.8552,5.2976,4.2995,3.7502,14.3099,5.0773,,4.0467,3.3108,6.9645,19.1063,2.5303,,
2014/2/14,4.2596,5.8762,6.9325,5.4572,4.4883,3.76,14.4504,5.0282,,4.0467,3.3328,7.0765,19.0966,2.6984,,
2014/2/17,4.2784,6.0236,6.9809,5.547,4.6143,3.7893,15.2861,5.3962,,4.0467,3.3623,7.0938,19.379,2.6564,,
2014/2/18,4.2596,6.0432,6.8842,5.6667,4.5603,3.8577,15.2343,5.3962,,4.0467,3.3328,6.8093,19.0479,2.6732,,
