ÈÕÆÚ,000423.SZ,000538.SZ,000590.SZ,000650.SZ,000790.SZ,000919.SZ,000989.SZ,000999.SZ,002107.SZ,002118.SZ,002198.SZ,002275.SZ,002287.SZ,002317.SZ,002349.SZ,002390.SZ,002412.SZ,002424.SZ,002433.SZ,002566.SZ,002603.SZ,002644.SZ,002728.SZ,002737.SZ,002750.SZ,002817.SZ,002826.SZ,002864.SZ,002873.SZ,002907.SZ,300026.SZ,300039.SZ,300108.SZ,300147.SZ,300181.SZ,300519.SZ,300534.SZ,600085.SH,600129.SH,600211.SH,600222.SH,600252.SH,600285.SH,600329.SH,600332.SH,600351.SH,600422.SH,600436.SH,600479.SH,600518.SH,600535.SH,600538.SH,600557.SH,600566.SH,600572.SH,600594.SH,600671.SH,600750.SH,600771.SH,600976.SH,600993.SH,603139.SH,603567.SH,603858.SH,603896.SH,603963.SH,603998.SH
2014/1/2,35.8285,64.5508,13.81,4.03,5.6039,8.2995,10.2,23.5028,5.2625,5.0638,7.2766,13.345,15.8654,9.3481,4.0701,5.443,10.107,8.4476,7.4951,16.8545,16.4637,6.4296,,,,,,,,,5.5801,6.9488,3.0836,12.0366,6.897,,,20.4233,8.2998,17.2517,6.3391,4.1761,5.9295,12.0037,26.6583,5.8185,11.9326,25.5713,9.5925,8.6836,29.7443,5.03,21.3897,18.4767,4.8478,16.8764,11.7,8.3493,18.4688,23.2136,12.6769,,,,,,
2014/1/3,35.5073,63.186,14.15,3.9555,5.5366,8.0902,10.0578,23.2052,5.3472,5.0239,7.1326,13.388,15.5508,9.6767,4.2127,5.5042,9.8317,8.1032,7.661,16.1974,16.6522,6.2288,,,,,,,,,5.4977,6.8992,3.0836,12.6325,6.897,,,19.7857,8.1057,17.2517,6.2199,4.2002,5.9295,11.7578,26.2071,5.8277,11.8809,25.4994,9.4128,8.5756,30.2034,5.01,21.5048,19.0524,4.8478,16.7338,11.75,8.3127,18.2471,22.9317,12.378,,,,,,
2014/1/6,35.8196,62.4167,13.98,3.8139,5.4266,7.6989,9.8782,23.14,5.2402,4.7296,7.1872,13.0788,15.2005,9.4485,4.1317,5.4529,10.0846,7.6624,7.4463,15.284,16.0868,5.9842,,,,,,,,,5.4905,6.8992,3.0836,12.2042,6.3442,,,19.2622,7.7659,16.8457,6.1602,4.0889,5.7005,11.8902,25.1919,6.0479,11.5516,25.0221,9.233,8.2001,29.4914,4.97,21.1052,18.3969,4.8478,16.719,11.67,8.344,17.9969,21.9355,11.8386,,,,,,
2014/1/7,35.1592,61.908,14.05,3.8586,5.4511,7.6898,9.8857,23.0191,5.2848,4.6597,7.2518,13.0788,14.7858,9.3618,4.1446,5.2673,10.0424,7.7171,7.5585,15.2972,16.2269,6.0717,,,,,,,,,5.6595,7.0211,3.0836,13.2533,6.4786,,,19.0338,7.8727,16.6718,6.1304,4.0559,5.7005,11.7199,25.4645,6.4058,11.768,25.2607,9.6599,8.1954,30.2234,4.97,21.9519,18.4501,4.8478,16.965,11.01,8.391,17.8896,22.6779,11.8094,,,,,,
2014/1/8,34.8201,61.9018,14.1,3.8363,5.0661,7.6898,9.9231,23.2889,5.4764,4.7146,7.3611,13.1905,14.8358,9.2431,4.2419,5.3798,9.8486,7.8168,7.661,15.0737,16.9615,6.2268,,,,,,,,,5.6639,7.292,3.0836,13.9734,7.1277,,,19.2527,7.7951,16.7588,6.0211,4.1701,5.6943,11.6064,25.7183,6.3508,11.514,25.0683,9.7797,8.0969,30.4696,4.84,23.0762,20.2924,4.8478,17.7471,11.29,8.3754,17.9325,22.1422,11.8677,,,,,,
2014/1/9,34.1776,62.0321,13.93,3.7469,4.84,7.7353,9.7285,23.3633,5.2759,4.6996,7.1524,12.9758,14.843,9.6082,4.1835,5.3107,9.7615,7.8007,7.7586,15.1395,16.831,6.0399,,,,,,,,,5.6263,7.0888,3.0836,13.961,7.0846,,,19.0528,7.6689,16.6428,6.051,4.0468,5.6324,11.578,25.0509,6.2682,11.7116,25.3044,9.5176,7.834,31.3413,4.68,23.1643,20.7353,4.8478,17.2798,11.23,8.5058,17.146,22.8847,11.649,,,,,,
2014/1/10,33.8118,60.7603,13.3,3.6426,4.6994,7.7171,9.6537,22.6471,5.1779,4.555,7.1524,12.3661,14.6428,9.5443,4.0636,5.5378,9.4469,7.8554,7.5683,15.2972,16.4299,5.9445,,,,,,,,,5.3749,6.8856,3.0836,13.5575,7.1303,,,18.3105,7.4359,16.8651,5.8026,4.0047,5.6757,11.2091,24.9099,6.0296,10.5451,25.0477,9.3753,7.665,30.2766,4.67,22.6563,21.2667,4.8478,16.9502,11.25,8.3597,16.6098,21.8791,11.4085,,,,,,
2014/1/13,33.544,60.9774,12.58,3.6277,4.7422,7.617,9.5789,22.8796,5.267,4.4552,7.4405,12.0655,14.9931,9.5352,3.9535,5.6464,9.3823,8.0807,7.4219,14.6926,16.4541,6.022,,,,,,,,,5.5049,7.1746,3.0836,14.2714,7.4117,,,18.2915,7.4359,18.3438,5.8622,3.9867,5.7005,10.9916,24.8347,5.8919,10.7709,24.2162,9.2855,7.5899,30.6959,4.74,23.3336,20.7619,4.8478,17.206,11.2,8.4588,16.7385,21.8979,11.4668,,,,,,
2014/1/14,34.0705,61.1077,13.2,3.6798,4.84,7.8354,9.6387,23.6237,5.3695,4.4702,7.8677,12.2287,15.0575,9.7223,4.1317,6.0807,9.3542,7.6752,7.7488,14.3575,17.4157,6.1592,,,,,,,,,5.4905,7.3778,3.0836,14.4328,7.3179,,,18.5485,7.6203,18.2858,5.9317,3.9927,5.7686,11.2659,24.9099,6.0571,10.7944,24.1906,9.4577,7.5711,30.4497,4.75,23.5571,20.9567,4.8478,17.0978,11.16,8.5893,17.3176,22.9223,11.6199,,,,,,
2014/1/15,33.6957,61.1697,13.7,3.6798,4.9072,8.0356,9.6687,24.0515,5.3294,4.525,7.967,12.2372,15.129,9.9095,4.2516,6.0195,9.8851,8.3414,7.8074,14.3247,18.7252,6.3878,,,,,,,,,5.7087,7.4094,3.0836,14.6128,7.3864,,,18.872,7.5718,18.1988,6.0013,3.9145,5.6634,11.0956,24.7877,6.1305,11.133,23.9057,9.3004,7.895,30.5362,4.77,23.7671,21.2579,4.8478,17.6536,11.02,8.5528,17.4463,23.505,11.5616,,,,,,
