ÈÕÆÚ,000004.SZ,000153.SZ,000513.SZ,000566.SZ,000597.SZ,000623.SZ,000739.SZ,000756.SZ,000766.SZ,000788.SZ,000813.SZ,000908.SZ,000915.SZ,000931.SZ,000952.SZ,000963.SZ,002001.SZ,002019.SZ,002020.SZ,002099.SZ,002102.SZ,002262.SZ,002294.SZ,002332.SZ,002365.SZ,002370.SZ,002393.SZ,002399.SZ,002411.SZ,002422.SZ,002435.SZ,002437.SZ,002550.SZ,002626.SZ,002653.SZ,002675.SZ,002755.SZ,002773.SZ,002821.SZ,002898.SZ,002900.SZ,002923.SZ,002940.SZ,300006.SZ,300016.SZ,300086.SZ,300110.SZ,300158.SZ,300194.SZ,300199.SZ,300233.SZ,300254.SZ,300267.SZ,300363.SZ,300401.SZ,300434.SZ,300436.SZ,300452.SZ,300497.SZ,300558.SZ,300573.SZ,300583.SZ,300584.SZ,300630.SZ,300636.SZ,300702.SZ,300705.SZ,300723.SZ,300725.SZ,300765.SZ,600062.SH,600079.SH,600200.SH,600216.SH,600227.SH,600267.SH,600276.SH,600380.SH,600420.SH,600488.SH,600513.SH,600521.SH,600613.SH,600664.SH,600673.SH,600781.SH,600789.SH,600812.SH,600851.SH,603079.SH,603168.SH,603222.SH,603229.SH,603351.SH,603456.SH,603520.SH,603538.SH,603669.SH,603676.SH,603707.SH,603811.SH,688321.SH,900904.SH,900917.SH
2014/1/2,11.81,7.6208,12.9136,4.8757,4.7766,12.7469,4.7623,3.6977,5.41,12.9021,4.738,7.3962,22.6026,5.76,7.0988,12.4592,6.6118,8.4399,6.8917,3.1131,1.6387,9.214,19.4267,6.0598,5.8951,8.1229,36.97,12.0511,8.9839,14.8237,2.9813,5.535,4.1783,4.4092,19.0752,5.6632,,,,,,,,7.9355,5.6778,5.9524,3.3697,6.8979,4.4616,10.7046,10.7444,9.2049,5.2336,,,,,,,,,,,,,,,,,,14.8006,14.1485,11.329,9.8541,2.7395,14.7706,12.0033,4.0653,7.9235,4.0646,6.2033,8.3977,11.2058,3.6674,3.6272,14.7783,3.79,5.3054,6.8446,,,,,,,,,,,,,,0.979,0.508
2014/1/3,11.8,7.6208,13.012,4.8757,4.7028,12.4509,4.7256,3.7052,5.34,12.9319,4.698,7.5132,21.9971,5.62,6.9697,12.536,6.5296,9.2839,6.8308,3.1131,1.6288,9.0664,19.3003,6.188,5.8821,8.3137,35.7411,12.3621,9.2105,15.1139,2.9595,5.4453,4.1137,4.4451,20.0424,5.5295,,,,,,,,7.9756,5.7038,5.9609,3.4226,7.1539,4.7552,11.0127,10.7966,9.2049,5.2012,,,,,,,,,,,,,,,,,,14.2769,13.9354,11.1809,9.7506,2.6899,14.4196,11.9234,4.0067,7.7049,4.0068,6.1293,8.3303,11.1155,3.6314,3.6272,14.4708,3.7748,5.453,6.6201,,,,,,,,,,,,,,0.9716,0.5005
2014/1/6,12.3,7.6208,12.9549,4.8757,4.8973,12.1911,4.6816,3.7726,5.21,12.7131,4.5447,7.4232,21.4137,5.36,6.8108,12.3313,6.211,9.2839,6.7419,3.1131,1.563,8.991,18.8495,5.8162,5.9211,8.4312,34.3725,11.9455,8.9642,14.7567,2.8541,5.2033,3.8833,4.3566,19.523,5.3926,,,,,,,,7.676,5.5414,5.7904,3.5133,6.9358,4.7446,10.9296,10.061,9.2049,5.0419,,,,,,,,,,,,,,,,,,13.727,13.6544,10.8055,9.4494,2.6005,14.4098,11.5209,3.8562,7.5688,3.9394,5.9301,8.0059,10.7461,3.5231,3.5405,14.1038,3.752,5.0987,6.3955,,,,,,,,,,,,,,0.9545,0.4864
2014/1/7,12.23,7.6208,12.7961,4.8757,4.9107,12.1117,4.5715,3.7651,5.32,12.5738,4.5048,7.3332,21.8051,5.29,6.8009,12.2085,6.187,9.7895,6.8589,3.1131,1.563,8.6894,19.0639,5.8803,5.9732,8.6856,34.4935,11.9866,8.8361,15.4264,2.8614,5.3724,3.8545,4.3649,19.9081,5.5165,,,,,,,,7.7589,5.6063,6.0249,3.5737,7.1112,4.6914,11.6289,11.0671,9.2049,5.0484,,,,,,,,,,,,,,,,,,13.8317,13.8337,10.8648,9.4682,2.6005,14.4196,11.9111,3.8562,7.8069,3.9683,5.9529,7.9815,10.7625,3.5472,3.5556,14.084,3.7139,5.0888,6.3955,,,,,,,,,,,,,,0.9512,0.492
2014/1/8,12.23,7.6208,13.0247,4.8418,4.7497,12.2488,4.5862,3.7876,5.2,12.3848,4.4448,7.2703,22.4475,5.2,6.7413,12.9197,6.2349,9.8199,6.9198,3.1131,1.5729,9.0173,19.3333,5.8888,5.8691,8.622,34.689,12.1743,9.2597,15.9078,2.8795,5.3464,3.9317,4.3843,20.2305,5.673,,,,,,,,7.7696,5.8467,6.0334,3.6342,7.1065,4.7914,11.6875,11.3234,9.2049,5.117,,,,,,,,,,,,,,,,,,13.9823,14.0516,10.6376,9.4588,2.6104,14.0881,11.9204,3.8311,7.6903,3.9394,5.9756,7.9998,10.8035,3.5292,3.6536,14.0542,3.6378,5.0494,6.2393,,,,,,,,,,,,,,0.9447,0.4902
2014/1/9,12.14,7.6208,13.0184,4.6867,4.5082,12.1117,4.4688,3.6304,5.06,12.3848,4.3248,7.2613,22.8905,5.07,6.5031,12.8686,6.1459,9.3143,6.6483,3.1131,1.563,8.8894,19.3937,5.6581,5.6609,8.5633,33.7022,11.6991,9.2893,15.6017,2.8177,5.548,3.6897,4.2487,19.5767,5.4382,,,,,,,,8.2858,5.4569,5.8628,3.5397,6.6845,4.5914,11.443,10.8916,9.2049,4.959,,,,,,,,,,,,,,,,,,14.1263,13.9209,10.5092,9.4494,2.5608,13.6494,11.9542,3.7223,7.6514,3.8624,5.8277,8.0488,10.7707,3.451,3.5556,13.5186,3.5541,4.9313,6.21,,,,,,,,,,,,,,0.9422,0.4911
2014/1/10,11.32,7.6208,12.7517,4.4492,4.307,12.0323,4.0652,3.4657,5.02,11.9471,4.1716,7.2613,22.4475,4.92,6.4633,12.6895,6.0534,9.2839,6.6483,3.1131,1.4577,8.9025,19.2398,5.7606,5.4201,8.4654,33.0877,11.1476,9.3878,15.5316,2.7487,5.3009,3.6067,4.1076,18.7886,5.2589,,,,,,,,8.1681,5.3205,5.769,3.5095,6.5802,4.4063,11.5359,10.6685,9.2049,4.8903,,,,,,,,,,,,,,,,,,13.7597,13.7901,9.9462,9.44,2.5112,13.6884,11.5977,3.6972,7.6806,3.7949,5.6968,7.8713,10.4259,3.3849,3.5706,13.1021,3.4171,4.7345,5.9463,,,,,,,,,,,,,,0.925,0.4883
2014/1/13,11.31,7.6208,12.704,4.2408,4.3405,11.7869,3.9991,3.5031,4.93,11.7283,4.2182,7.2613,22.8831,4.89,6.4236,12.3108,5.9198,9.2231,6.4188,3.1131,1.4379,9.0173,18.7451,5.7948,5.4722,8.4654,33.3298,11.2532,9.4075,15.1234,2.7559,5.4128,3.6424,4.1353,19.12,5.3143,,,,,,,,8.1093,5.6193,5.8117,3.5133,6.7319,4.4318,11.9565,10.6685,9.2049,4.9616,,,,,,,,,,,,,,,,,,13.3604,13.3541,9.6104,9.3365,2.5112,13.8444,11.3918,3.6805,7.5834,3.7564,5.7935,7.7244,10.2207,3.3969,3.5103,13.1021,3.44,4.7443,5.8487,,,,,,,,,,,,,,0.9218,0.4855
2014/1/14,11.45,7.6208,13.1105,4.6673,4.374,11.9168,4.1532,3.5705,4.97,11.957,4.2582,7.2613,23.3262,5.08,6.513,12.5871,6.002,9.2801,6.564,3.1131,1.4708,9.5091,18.5307,5.8162,5.5503,8.4997,34.1956,11.3118,9.4075,15.235,2.8032,5.3334,3.813,4.2874,19.926,5.4284,,,,,,,,8.0933,5.7817,5.9993,3.6606,7.0164,4.6148,11.9223,10.8773,9.2049,5.2181,,,,,,,,,,,,,,,,,,13.583,13.8046,9.8968,9.3835,2.5707,14.2538,11.3119,3.7391,7.6223,3.8142,5.8903,7.8958,10.4587,3.445,3.5518,13.2508,3.4932,4.8034,5.9561,,,,,,,,,,,,,,0.9308,0.4911
2014/1/15,11.61,7.6208,13.6058,4.8854,4.4344,11.8446,4.2266,3.563,4.99,12.1858,4.3915,7.2613,23.6437,5.12,6.5626,12.7765,6.0294,10.0366,6.6763,3.1131,1.461,9.3976,18.6351,5.8034,5.5958,8.5633,34.2421,11.0478,9.7326,15.0405,2.8359,5.5298,3.8314,4.376,20.2663,5.4773,,,,,,,,8.2965,5.7427,6.059,3.6493,7.097,4.7126,12.1766,11.1383,9.2049,5.2297,,,,,,,,,,,,,,,,,,13.5437,13.5624,10.0845,9.3741,2.5707,14.3416,11.9603,3.7809,7.4474,3.8431,5.896,8.0916,10.5162,3.4209,3.5593,13.231,3.5084,4.7738,6.044,,,,,,,,,,,,,,0.9398,0.4864
2014/1/16,11.5,7.6208,13.4724,5.1035,4.4277,11.9385,4.2193,3.578,4.99,11.967,4.3981,7.2613,23.0825,5.12,6.6818,12.7918,5.9506,9.5614,6.6014,3.1131,1.4807,9.4698,18.3658,5.7264,5.5893,8.8324,34.2515,11.0889,9.6045,15.42,2.8396,5.3841,3.8256,4.3704,19.8812,5.435,,,,,,,,8.2537,5.9766,6.0291,3.604,7.1586,4.702,12.0788,10.8821,9.7083,5.2168,,,,,,,,,,,,,,,,,,13.6812,13.4365,9.9758,9.3741,2.5509,14.3318,11.696,3.7809,7.5251,3.8913,5.896,8.0365,10.508,3.4209,3.5593,13.4591,3.5161,4.764,5.9951,,,,,,,,,,,,,,0.9463,0.4873
2014/1/17,11.56,7.6208,13.4629,4.992,4.3002,11.7291,4.1606,3.5181,4.95,11.8078,4.2582,7.2613,22.8905,5.02,6.6818,12.5871,5.8581,9.1356,6.3252,3.1131,1.461,9.1812,18.0579,5.641,5.5177,8.7052,33.6929,11.0009,9.5947,14.9226,2.8141,5.3334,3.7888,4.3151,19.8096,5.2556,,,,,,,,7.7696,5.9311,6.1272,3.536,7.0401,4.7169,11.8929,10.678,10.341,5.1287,,,,,,,,,,,,,,,,,,13.3604,12.9473,10.1635,9.1671,2.5211,14.2636,11.4133,3.8562,7.3794,3.8238,5.7764,7.9509,10.3356,3.3728,3.4952,13.3103,3.4476,4.6164,5.9366,,,,,,,,,,,,,,0.9414,0.4836
2014/1/20,11.7,7.6208,13.2756,4.8902,4.4747,11.924,4.4027,3.5855,4.88,11.768,4.3048,7.6212,22.6764,5.07,6.8506,12.1983,5.9917,9.1622,6.3158,3.1131,1.4478,8.8894,17.5907,5.5128,5.5698,8.6318,33.2553,10.9187,9.1711,14.3582,2.7632,5.2827,3.7335,4.2681,19.1558,5.2654,,,,,,,,7.4567,5.6258,6.0377,3.3433,7.0638,4.6807,11.2474,10.3838,10.1981,5.1429,,,,,,,,,,,,,,,,,,13.3081,12.7196,10.3018,9.0824,2.5211,13.9809,11.2074,3.8478,7.3357,3.7949,6.1691,7.7734,10.0729,3.3909,3.5103,12.9037,3.7596,4.5475,5.9561,,,,,,,,,,,,,,0.9422,0.4855
