ÈÕÆÚ,000710.SZ,002022.SZ,002030.SZ,002223.SZ,002382.SZ,002432.SZ,002551.SZ,002901.SZ,002932.SZ,002950.SZ,300003.SZ,300030.SZ,300049.SZ,300206.SZ,300238.SZ,300244.SZ,300246.SZ,300273.SZ,300298.SZ,300314.SZ,300318.SZ,300326.SZ,300358.SZ,300396.SZ,300406.SZ,300439.SZ,300453.SZ,300463.SZ,300482.SZ,300529.SZ,300562.SZ,300595.SZ,300633.SZ,300639.SZ,300642.SZ,300653.SZ,300676.SZ,300677.SZ,300685.SZ,300753.SZ,300760.SZ,600055.SH,600529.SH,600587.SH,603301.SH,603309.SH,603367.SH,603387.SH,603658.SH,603880.SH,603976.SH,603987.SH,688016.SH,688029.SH,688068.SH
2014/1/2,8.5,16.15,8.5124,13.4167,5.7689,11.4922,12.856,,,,8.3231,9.1385,11.657,5.3241,14.6562,14.7889,18.9281,16.1658,17.1102,12.1487,3.6168,8.343,,,,,,,,,,,,,,,,,,,,4.5633,4.814,33.8199,,,,,,,,,,,
2014/1/3,8.5,16.15,8.5294,13.202,5.6602,11.4522,12.5413,,,,8.158,9.9728,11.657,5.3325,15.3494,14.6667,18.8199,16.0899,17.1683,12.2407,3.6443,8.2131,,,,,,,,,,,,,,,,,,,,4.6022,4.752,32.8738,,,,,,,,,,,
2014/1/6,8.5,16.15,8.2339,12.9699,5.4571,11.0225,12.0443,,,,7.8812,9.8288,11.657,5.0894,16.4635,14.4148,18.6527,15.6405,16.6762,11.8943,3.4821,8.0299,,,,,,,,,,,,,,,,,,,,4.6499,4.6376,33.1103,,,,,,,,,,,
2014/1/7,8.5,16.15,8.3873,13.5676,5.3767,11.6721,12.2886,,,,8.0074,10.4943,11.657,5.1549,17.1617,14.6592,19.0659,16.3175,16.9033,12.1649,3.5445,8.4209,,,,,,,,,,,,,,,,,,,,4.8707,4.6614,33.544,,,,,,,,,,,
2014/1/8,8.5,16.15,8.3646,13.6024,5.424,11.8619,12.8892,,,,7.988,10.0175,11.657,5.231,17.2805,14.8188,19.7939,17.3213,17.3121,12.5816,3.6193,8.8447,,,,,,,,,,,,,,,,,,,,4.8447,4.5804,33.4503,,,,,,,,,,,
2014/1/9,8.5,16.15,8.5976,13.7823,5.4571,11.772,12.6572,,,,7.7452,10.0324,11.657,5.0323,19.0086,14.4921,18.8888,16.3992,16.3027,12.2623,3.5196,8.3361,,,,,,,,,,,,,,,,,,,,4.6499,4.4803,34.8203,,,,,,,,,,,
2014/1/10,8.5,16.15,8.393,13.968,5.6082,11.4822,12.6738,,,,7.5995,9.6848,11.657,4.8462,18.048,14.2901,17.0196,16.1833,16.2522,12.4193,3.5046,8.2364,,,,,,,,,,,,,,,,,,,,4.888,4.5232,34.3029,,,,,,,,,,,
2014/1/13,8.5,16.15,8.1316,14.5367,5.5705,11.5122,12.5081,,,,7.5364,9.1881,11.657,4.8716,19.2116,14.4472,16.5277,16.2533,16.656,12.6519,3.32,8.708,,,,,,,,,,,,,,,,,,,,4.7754,4.6233,32.8393,,,,,,,,,,,
2014/1/14,8.5,16.15,8.2396,15.3085,5.6177,12.2617,12.5454,,,,7.92,9.5805,11.657,5.138,18.6768,14.5245,17.0786,17.333,17.2844,13.0957,3.4472,9.0976,,,,,,,,,,,,,,,,,,,,4.9746,4.69,32.8491,,,,,,,,,,,
2014/1/15,8.5,16.15,8.4669,15.2098,5.561,12.3716,12.7028,,,,7.9637,9.7344,11.657,5.3241,18.964,15.35,17.6295,17.368,17.0598,13.1011,3.5869,9.1714,,,,,,,,,,,,,,,,,,,,5.0006,4.7043,34.3324,,,,,,,,,,,
