ÈÕÆÚ,000150.SZ,000503.SZ,000509.SZ,000516.SZ,002044.SZ,002173.SZ,002219.SZ,002524.SZ,300015.SZ,300143.SZ,300149.SZ,300347.SZ,300404.SZ,300759.SZ,600721.SH,600763.SH,600767.SH,600896.SH,603108.SH,603127.SH,603259.SH,603882.SH
2014/1/2,2.7724,20.39,4.0029,2.2764,1.9648,8.3796,7.1277,6.23,4.5737,5.1573,7.2724,10.3808,,,7.43,16.1336,5.31,3.8089,,,,
2014/1/3,2.7472,19.89,4.0029,2.23,1.9731,8.2606,7.1049,6.43,4.5515,5.1573,7.3191,10.1705,,,7.21,16.1187,5.19,3.7191,,,,
2014/1/6,2.6111,20.03,4.0029,2.0906,1.9041,7.8342,7.0963,6.53,4.5221,5.1573,6.5858,10.2667,,,6.92,15.6516,5.01,3.5297,,,,
2014/1/7,2.5707,19.77,4.0029,2.0906,1.9068,7.8342,7.0735,6.55,4.6223,5.1573,6.4223,10.692,,,7,15.7112,4.93,3.5496,,,,
2014/1/8,2.5506,20.07,4.0029,2.1138,1.9206,7.973,7.5352,6.49,4.6474,5.1573,6.4924,11.1174,,,6.8,15.9149,4.94,3.5696,,,,
2014/1/9,2.5455,20.56,4.0029,2.0828,1.8792,8.4093,7.4383,6.47,4.6223,5.1573,6.0113,11.0945,,,6.62,15.7957,5.43,3.4998,,,,
2014/1/10,2.5455,20.45,4.0029,2.1061,1.7992,8.2308,7.4782,6.28,4.4528,5.1573,6.0253,10.7539,,,6.55,15.0951,5.58,3.4499,,,,
2014/1/13,2.5304,19.9,4.0029,2.017,1.7992,7.8837,7.6891,6,4.7624,5.1573,6.0159,10.7539,,,6.57,14.951,5.63,3.3502,,,,
2014/1/14,2.5606,19.89,3.86,2.0635,1.8378,8.0027,7.7233,6.05,5.2357,5.1573,6.3055,10.7539,,,6.65,15.4032,6.19,3.42,,,,
2014/1/15,2.5455,19.99,3.67,2.1448,1.8351,8.1317,7.7603,6.09,5.1369,5.1573,6.2635,10.7539,,,6.71,15.905,6.14,3.4998,,,,
