ÈÕÆÚ,000028.SZ,000078.SZ,000411.SZ,000705.SZ,000950.SZ,002462.SZ,002589.SZ,002727.SZ,002758.SZ,002788.SZ,002872.SZ,200028.SZ,600056.SH,600090.SH,600272.SH,600511.SH,600713.SH,600829.SH,600833.SH,600998.SH,601607.SH,603233.SH,603368.SH,603716.SH,603883.SH,603939.SH,900943.SH
2014/1/2,44.6863,2.9582,10.7282,7.7182,3.89,14.7547,5.3208,,,,,34.595,9.6704,6.6763,9.9346,17.984,5.0435,6.0772,8.2483,14.5288,13.2444,,,,,,0.707
2014/1/3,43.9018,2.9857,10.4906,7.5544,3.85,14.6296,5.2003,,,,,33.6687,9.4381,6.5606,9.611,17.814,4.8814,6.0047,7.9857,14.5677,12.8286,,,,,,0.6974
2014/1/6,46.5846,2.915,10.075,7.2616,3.78,14.2253,4.9409,,,,,34.2736,9.47,6.3869,9.101,17.559,4.7288,5.8236,7.6939,14.0627,12.0872,,,,,,0.6868
2014/1/7,46.6814,2.9464,10.3422,7.3013,3.73,14.0232,5.0231,,,,,34.3965,9.6248,6.3387,9.1206,17.5779,4.8051,5.8508,7.6842,14.6454,11.9788,,,,,,0.6907
2014/1/8,46.6814,2.9582,10.2927,7.3857,3.75,13.6478,5.0114,,,,,35.1716,9.5064,6.3387,8.9245,18.2674,4.8337,5.8508,7.5869,15.131,11.9426,,,,,,0.6916
2014/1/9,46.8073,2.9582,10.0552,7.1325,3.68,13.7248,4.895,,,,,35.6064,9.3379,6.165,9.003,18.0596,4.8146,5.7059,7.5091,15.1407,11.7708,,,,,,0.6916
2014/1/10,45.2771,2.7736,9.5999,7.1027,3.57,13.6093,4.8449,,,,,34.6234,9.3561,5.9431,9.003,17.8896,4.7288,5.6243,7.2854,14.9076,11.9426,,,,,,0.6945
2014/1/13,45.3933,2.6911,9.4317,7.2119,3.58,13.927,4.8801,,,,,33.9334,9.1192,5.9624,9.1206,17.4551,4.7002,5.6515,7.2465,15.0241,11.7708,,,,,,0.6897
2014/1/14,44.1149,2.75,9.7088,7.336,3.64,13.9751,4.9996,,,,,33.3851,9.142,6.0878,9.2579,17.5023,4.8432,5.7964,7.4118,15.1892,12.2138,,,,,,0.6954
2014/1/15,45.3352,2.7657,9.6692,7.3857,3.62,14.312,5.022,,,,,34.302,9.0919,6.1264,9.2285,17.5967,4.9576,5.8055,7.4702,15.8205,12.0782,,,,,,0.6964
2014/1/16,49.8678,2.7971,9.7781,7.4303,3.63,13.9847,4.9324,,,,,36.7501,9.1101,6.1843,9.307,17.7573,4.9576,5.8779,7.6064,16.2867,12.1957,,,,,,0.6935
2014/1/17,49.1898,2.7971,9.6989,7.4403,3.57,13.6767,4.9249,,,,,37.1471,8.896,6.0782,9.101,17.559,4.9481,5.8327,7.5577,16.4615,11.8432,,,,,,0.6878
2014/1/20,49.0058,2.9425,9.6098,7.3708,3.57,13.6671,4.8492,,,,,37.6197,9.0509,6.0975,9.1108,17.1623,4.9004,5.8689,7.548,16.4809,12.0059,,,,,,0.6878
2014/1/21,48.7443,2.9111,9.6791,7.4551,3.6,13.5323,4.8257,,,,,37.9127,8.978,6.3965,9.2089,16.8128,4.929,5.8508,7.6258,16.7626,12.0963,,,,,,0.6916
