ÈÕÆÚ,000403.SZ,000504.SZ,000518.SZ,000661.SZ,002007.SZ,002038.SZ,002166.SZ,002252.SZ,002581.SZ,002680.SZ,002693.SZ,002880.SZ,300009.SZ,300122.SZ,300142.SZ,300204.SZ,300239.SZ,300255.SZ,300289.SZ,300294.SZ,300357.SZ,300381.SZ,300485.SZ,300601.SZ,300683.SZ,600080.SH,600161.SH,600196.SH,600530.SH,600645.SH,600739.SH,600796.SH,600867.SH,603590.SH
2014/1/2,15.82,6.03,3.33,97.3759,11.5977,22.8408,5.4332,6.5645,7.0599,7.2318,6.8868,,4.4082,11.9547,4.9838,11.6648,5.6322,6.1026,14.4668,10.9782,,,,,,8.121,9.7996,17.6879,3.0103,24.11,17.1588,5.488,7.0533,
2014/1/3,15.7,6.04,3.29,97.9264,11.629,22.9849,5.4332,6.5645,6.7789,7.4414,6.9522,,4.4626,12.4229,4.9685,11.9946,5.681,6.2429,14.6202,10.9782,,,,,,8.0422,10.4452,17.3082,2.9723,24.4,16.5008,5.37,6.9453,
2014/1/6,15.06,5.9,3.21,96.5544,11.2067,22.6755,4.891,6.5645,6.5318,6.9886,7.0744,,4.3487,12.9203,4.7615,12.2547,5.5056,6.1246,14.7853,10.4862,,,,,,7.9633,10.1248,16.41,2.8432,23.33,15.9213,5.0749,6.9318,
2014/1/7,15.14,6.2,3.22,99.2137,11.8088,23.0993,4.6859,6.5645,6.5947,7.0361,7.1267,,4.5299,12.9227,4.833,12.2315,5.793,6.0873,14.518,10.6882,,,,,,8.0422,10.2073,16.6044,2.8698,23.3,15.9311,5.0946,6.9813,
2014/1/8,15.13,6.16,3.19,99.2137,11.891,23.3112,4.5848,6.5645,6.6384,7.1563,7.0351,,4.8612,12.9227,4.8548,12.8401,5.871,6.2933,14.4668,11.1501,,,,,,8.5349,10.12,17.3731,2.8357,23.29,15.7641,5.0552,7.2243,
2014/1/9,14.64,6.06,3.14,99.2137,11.5351,24.1165,4.6691,6.5645,6.5075,7.0696,6.9697,,4.7059,12.8959,4.8867,12.7982,5.7833,6.0851,13.83,10.6731,,,,,,8.4561,9.853,17.0304,2.847,23,15.332,4.9962,7.1433,
2014/1/10,14.28,5.85,3.07,99.2137,11.2497,23.3112,4.3348,6.8183,6.4203,6.6419,6.9697,,4.6904,12.4351,4.7666,12.487,5.5543,5.9799,13.1342,10.3874,,,,,,8.2393,9.5035,17.123,2.847,22.62,15.2436,4.9175,7.0668,
2014/1/13,14.5,5.88,3.07,99.2137,11.3553,23.6927,4.2561,6.6101,6.4397,6.3624,6.9697,,4.6334,12.4351,4.6771,12.552,5.7248,5.8068,13.201,10.3294,,,,,,8.2688,9.2609,15.845,2.8432,22.54,14.6444,4.8782,6.7832,
2014/1/14,14.72,5.93,3.11,99.2137,11.2301,23.5656,4.3853,6.7452,6.6674,6.6056,6.9697,,4.7421,12.4351,4.8791,13.063,5.8612,5.9624,13.3189,10.7762,,,,,,8.3871,9.3482,16.5674,2.8584,22.88,14.615,4.947,6.9408,
2014/1/15,15.45,5.96,3.14,109.1393,11.2927,24.1589,4.3882,6.6942,6.6917,6.5972,6.9697,,4.7758,12.4351,4.9698,13.1792,5.8369,6.3503,13.2128,10.8278,,,,,,8.5941,9.6103,17.336,2.8964,23.25,14.7132,4.9766,7.1343,
2014/1/16,15.48,5.95,3.13,109.0376,11.0072,23.8283,4.4387,6.5508,6.6626,6.723,6.9697,,4.7887,12.4351,4.8944,12.6821,5.681,6.2955,12.513,10.7204,,,,,,8.8799,9.5375,17.1045,2.9457,23.32,14.5855,4.9962,7.1028,
2014/1/17,15.21,5.84,3.08,107.6487,10.8704,23.2053,4.332,6.5645,6.6723,6.4518,6.455,,4.7628,12.4351,4.9596,12.7425,6.061,6.2451,12.4344,10.9954,,,,,,8.9095,9.3628,16.3636,2.9154,23.3,13.9373,4.888,7.0578,
2014/1/20,15.05,5.73,3.18,101.8136,11.3592,23.3282,4.7646,6.3398,6.5899,6.3875,6.455,,4.6101,12.4351,4.9826,12.0689,6.1146,6.2999,12.0413,10.6559,,,,,,8.8503,9.7559,16.2988,2.904,23.01,14.1239,4.9077,6.8192,
2014/1/21,15.05,6.02,3.19,103.8377,11.4061,22.8365,4.9725,6.1922,6.6674,6.4295,6.5597,,4.6955,12.4351,5.0937,12.1943,6.1633,6.2232,12.2654,10.8299,5.3918,,,,,8.7321,9.7414,16.2988,2.9192,23.18,14.5855,4.9667,6.8327,
2014/1/22,15.58,6.11,3.22,104.6423,11.5273,23.3028,4.9837,6.217,6.7546,6.6112,6.6077,,4.6826,12.9959,5.1257,12.4731,6.1731,6.3086,12.7096,10.9073,5.9319,,,,,9.1066,9.853,16.5489,2.9533,24.45,15.332,5.0651,6.7472,
2014/1/23,15.72,6.15,3.21,107.5386,11.5078,23.1417,5.0989,6.3011,6.8031,6.6363,6.6164,,4.4134,13.4226,5.495,12.7193,6.1438,6.1355,13.0673,11.0598,6.5257,,,,,9.0179,9.9938,16.3729,2.9609,25.67,15.2927,5.0651,6.7337,
2014/1/24,16.14,6.15,3.23,107.5556,11.6681,23.8199,5.127,6.3329,6.8709,6.7146,6.6949,,4.4082,13.325,5.8375,12.7193,6.212,6.4642,13.5627,11.5539,7.1786,,,,,9.1657,10.3918,16.6785,2.9989,26.07,15.5186,5.1142,6.5582,
2014/1/27,15.8,6.14,3.19,104.6253,11.4999,23.0146,4.95,6.3577,6.7498,6.5804,6.7472,,4.3746,13.2153,5.8515,12.1293,6.1389,6.3985,13.1695,11.2575,7.1786,,,,,9.215,10.2898,16.41,2.9419,25.86,15.6266,5.0847,6.5087,
2014/1/28,15.93,6.1,3.25,104.3374,11.887,22.6628,5.4445,6.3315,6.6965,6.5664,6.865,,4.4005,13.1568,6.0074,11.9388,6.0659,6.107,12.8079,11.0684,7.1786,6.4842,,,,9.1066,10.5859,16.8915,2.9457,25.86,15.607,5.1634,5.856,
2014/1/29,15.88,6.18,3.21,105.1165,11.8597,22.4127,5.3377,6.5246,6.5318,6.6811,6.8476,,4.3797,13.1885,5.9678,12.0039,6.2072,6.1289,13.1302,11.2038,7.7502,7.1333,,,,9.1263,10.6005,17.0952,2.9344,26.22,15.3713,5.1438,5.7525,
2014/1/30,15.85,6.29,3.19,102.8977,11.7502,22.2389,5.4079,6.7742,6.3961,6.586,6.7909,,4.3176,13.069,5.7749,12.0364,6.0318,6.2889,12.8944,10.9567,7.6595,6.6505,,,,9.2938,10.2801,16.6229,2.9116,26.62,15.1257,5.1241,5.7255,
