ÈÕÆÚ,000417.SZ,000419.SZ,000501.SZ,000564.SZ,000715.SZ,000759.SZ,000785.SZ,002187.SZ,002251.SZ,002264.SZ,002277.SZ,002336.SZ,002419.SZ,002561.SZ,002640.SZ,002697.SZ,600280.SH,600306.SH,600361.SH,600628.SH,600682.SH,600693.SH,600694.SH,600697.SH,600712.SH,600723.SH,600729.SH,600774.SH,600778.SH,600785.SH,600814.SH,600821.SH,600827.SH,600828.SH,600838.SH,600857.SH,600858.SH,600859.SH,600861.SH,600865.SH,601010.SH,601086.SH,601113.SH,601116.SH,601366.SH,601933.SH,603031.SH,603101.SH,603123.SH,603708.SH,900923.SH
2014/1/2,5.4392,5.0656,9.2157,4.4646,8.4111,6.6572,5.6842,7.1813,11.6047,6.79,5.4918,8.5023,5.752,8.5701,2.5498,2.9391,6.2919,8.13,3.9205,7.6152,5.5679,3.2261,25.3442,17.1257,3.9784,5.6501,19.4049,6.4998,8.9035,11.4416,6.5008,4.87,8.8216,4.5097,7.1916,8.2638,7.2134,11.7397,7.2831,6.0672,2.4774,,3.9495,7.8824,,3.2094,,,8.2426,,1.2384
2014/1/3,5.2993,4.9738,9.3601,4.3761,8.257,6.6381,5.6163,7.0624,11.236,6.74,5.5391,8.3569,5.6342,8.3871,2.4793,2.9276,6.2043,8.27,3.8845,7.2766,5.6559,3.1628,24.7437,16.7978,3.9187,5.5536,20.21,6.3701,8.7788,11.3739,6.4632,4.74,8.3622,4.4078,6.9039,8.1358,7.0888,11.5894,7.2175,6.0203,2.481,,3.8818,7.7366,,3.2551,,,8.0891,,1.202
2014/1/6,5.0457,4.7811,9.1291,4.2188,8.1671,6.5328,5.4029,6.7224,11.2779,6.58,5.79,8.1843,5.4546,7.996,2.3121,2.8277,6.0633,8,3.6957,7.0935,5.5288,3.0266,23.8606,16.2694,3.7994,5.3957,19.7806,6.1641,8.395,10.9197,6.2186,4.49,7.967,4.2464,6.4341,7.9487,6.8493,11.1778,7.0678,5.7108,2.5136,,3.7365,7.4723,,3.1295,,,7.4752,,1.1709
2014/1/7,5.0107,4.827,9.1436,4.2188,8.1157,6.5233,5.3835,6.7394,10.9763,6.59,6.1356,8.2297,5.5837,8.0959,2.3645,2.8077,6.1168,8.09,3.6687,7.1393,5.5777,3.0266,23.7635,16.3241,3.8292,5.4308,19.6912,6.2556,8.3279,10.8618,6.1903,4.47,8.0865,4.2889,6.482,7.8797,6.8493,11.2954,7.0678,5.7765,2.5064,,3.8043,7.4815,,3.141,,,7.5023,,1.1798
2014/1/8,5.0195,4.7444,8.79,4.1794,8.09,6.3033,5.335,6.6629,10.8339,6.48,6.2824,8.1752,5.5781,8.0626,2.4039,2.8248,5.9466,8.26,3.6867,6.9837,5.4848,3.012,23.9224,15.7684,3.8093,5.3781,20.1295,6.2862,8.3279,10.6008,6.1339,4.39,7.9303,4.2464,6.4245,7.8797,6.7344,10.8708,7.0303,5.739,2.5064,,3.7946,7.5179,,3.2391,,,7.4481,,1.1842
2014/1/9,4.9757,4.6526,8.4941,4.2679,8.013,6.2842,5.238,6.5015,10.7668,6.49,6.0599,8.0844,5.5444,8.1874,2.3285,2.6991,5.8299,8.22,3.6418,6.9288,5.4212,2.9098,23.3749,15.568,3.7297,5.2465,19.718,6.2785,8.088,10.4559,6.0304,4.31,7.8752,4.1105,6.4053,7.7418,6.7057,10.8054,6.8805,5.7859,2.4846,,3.7656,7.4177,,3.1798,,,7.2224,,1.1869
2014/1/10,4.8096,4.4415,8.4724,4.4154,7.9488,6.332,5.1216,6.4845,10.2641,6.46,5.79,7.8392,5.2638,8.0293,2.3727,2.5935,5.6695,8.36,3.5249,6.8006,5.2941,2.9146,23.0217,15.3949,3.5706,5.1237,18.7786,6.0497,7.9153,10.195,6.068,4.15,7.6362,4.1105,6.4245,8.0077,6.5236,10.42,6.815,5.7671,2.5643,,3.6591,7.2719,,3.1798,,,7.4752,,1.1505
2014/1/13,4.7834,4.4691,8.1982,4.2778,8.2185,6.3415,5.1701,6.5269,10.5909,6.62,6.1546,7.8573,5.1516,7.9544,2.3547,2.5078,5.5868,8.46,3.5069,6.7823,5.1524,2.8952,23.1453,15.1672,3.5805,5.0886,18.0629,6.0497,7.829,10.2723,6.0398,4.21,7.7557,4.1445,6.2999,8.057,6.3704,10.4069,6.8525,5.8327,2.615,,3.7365,7.2445,,3.3555,,,7.3217,,1.1532
2014/1/14,4.8446,4.5792,8.3425,4.3269,8.3083,6.3511,5.2768,6.6799,10.9763,6.69,6.1072,8.0662,5.2807,8.1208,2.4154,2.6077,5.6841,8.41,3.5608,7.0295,5.3235,2.9584,23.5162,15.3221,3.6402,5.1676,18.4565,6.1031,7.9921,10.4656,6.1151,4.31,7.9395,4.187,6.4725,8.1456,6.5428,10.4069,6.9835,5.9453,2.5824,,3.7656,7.3265,,3.4126,,,7.5294,,1.1762
2014/1/15,4.8708,4.6251,8.4147,4.4646,8.3918,6.3511,5.2089,6.6714,11.0266,6.62,6.0599,8.2207,5.2807,8.1125,2.399,2.6734,5.5917,8.3,3.5878,7.0844,5.3479,2.9438,23.2248,15.3221,3.6601,5.2202,18.3223,6.1794,8.0208,10.5042,6.1809,4.3,7.8108,4.1615,6.53,8.6381,6.3991,10.3481,7.0303,5.9359,2.5752,,3.7559,7.4632,,3.4035,,,7.5294,,1.1816
2014/1/16,4.8533,4.6067,8.2559,4.3761,8.4496,6.3702,5.2283,6.6884,10.8422,6.92,5.8042,8.2479,5.4995,8.3289,2.3809,2.7934,5.65,8.39,3.5698,7.1393,5.2648,2.9487,23.3043,15.5043,3.6601,5.2729,18.4208,6.2022,8.0496,10.4849,6.1245,4.42,7.8568,4.17,6.6067,8.6086,6.4183,10.5703,6.9929,5.9453,2.5462,,3.7849,7.4541,,3.4445,,,7.737,,1.1798
2014/1/17,4.7484,4.57,8.1838,4.2778,8.2441,6.3129,5.1798,6.5269,10.6663,7.01,5.9036,8.148,5.6791,8.1957,2.2973,2.7163,5.6014,8.19,3.5249,7.0295,5.1719,2.8708,22.8274,15.3494,3.6104,5.1676,17.8929,6.1946,7.9729,10.3303,6.1057,4.29,7.6362,4.0851,6.3382,8.4608,6.3799,10.2697,6.9648,5.8515,2.4412,,3.7365,7.2901,,3.3373,,,7.4662,,1.1736
2014/1/20,4.7571,4.5058,8.0827,4.2974,8.1414,6.3702,5.1604,6.6289,11.1104,7.55,5.5912,8.1752,5.2526,8.254,2.2235,2.6534,5.402,8.01,3.5339,6.9837,5.1621,2.8319,22.5448,15.2127,3.6502,5.1588,18.1434,6.1717,7.9249,10.2916,6.0022,4.3,7.526,4.0511,6.3766,8.776,6.4278,10.1848,6.9461,5.8984,2.376,,3.7075,7.3357,,3.3532,,,7.5294,,1.1674
2014/1/21,4.8358,4.57,8.1549,4.3368,8.1607,6.6955,5.3641,6.7224,11.4371,7.84,5.6575,8.2388,5.3312,8.3788,2.2809,2.6706,5.334,8,3.6148,7.0752,5.2599,2.8416,22.695,15.5043,3.6999,5.1939,18.5639,6.2099,8.1264,10.5139,6.068,4.33,7.7189,4.136,6.5012,8.8548,6.5715,10.3873,7.0865,5.9265,2.4049,,3.7462,7.3812,,3.4331,,,7.5474,,1.1833
2014/1/22,4.9845,4.726,8.4363,4.4056,8.1671,6.6285,5.4805,6.8499,11.5461,7.94,5.8847,8.3387,5.4434,8.5285,2.3301,2.7505,5.5771,8.18,3.8486,7.3407,5.3186,2.9146,23.3484,15.814,3.7695,5.3255,18.9575,6.3701,8.3758,10.7361,6.1621,4.46,7.9946,4.2464,6.7985,9.0026,6.7344,10.7532,7.1801,6.039,2.4629,,3.843,7.527,,3.4491,,,7.737,,1.2002
2014/1/23,4.9757,4.7536,8.4652,4.4056,8.1029,6.6955,5.5678,6.8414,11.7639,7.96,5.8989,8.3297,5.6566,8.5036,2.3694,2.8077,6.1363,8.15,3.7856,7.2857,5.4163,2.9098,23.2866,15.7411,3.7198,5.3255,19.0738,6.4159,8.347,10.7168,6.1715,4.53,7.967,4.221,6.7889,8.9829,6.7535,10.7597,7.1895,6.0015,2.4484,,3.8721,7.4997,,3.3875,,,7.7461,,1.1967
2014/1/24,5.0457,4.7994,8.5735,4.4449,8.013,6.7146,5.5678,6.9009,12.1493,8,6.022,8.4296,5.7296,8.5452,2.4006,2.8277,6.18,8.17,3.7766,7.3315,5.5532,2.9633,23.5162,15.8504,3.7397,5.3606,19.3065,6.4159,8.4142,10.8231,6.2468,4.53,8.0957,4.3314,6.8176,9.1405,6.926,10.8642,7.255,6.0766,2.4774,,3.8914,7.5908,,3.4674,,,7.9356,,1.1993
2014/1/27,4.9408,4.7903,8.6528,4.4056,8.1478,6.705,5.5096,6.8754,12.1493,8.05,6.2019,8.4205,5.8362,8.437,2.3776,2.7991,5.9855,7.92,3.8036,7.3224,5.563,2.9049,23.3484,15.4769,3.6701,5.2992,19.709,6.4311,8.3279,10.7168,6.1809,4.49,8.0773,4.3059,6.9615,10.0466,6.9643,10.7858,7.3299,6.1703,2.51,,3.8914,7.5999,,3.4582,,,7.8273,,1.1984
2014/1/28,4.9408,4.7994,8.6601,4.4351,8.2185,6.6955,5.4611,6.9689,11.7388,7.95,6.1546,8.4205,5.9933,8.5036,2.4285,2.8077,6.4863,7.51,3.7407,7.4139,5.5288,2.9146,23.7282,15.5862,3.6601,5.3167,19.6464,6.6752,8.3087,10.9101,6.1245,4.55,8.1049,4.3144,6.9231,10.0466,6.9643,10.825,7.4235,6.1516,2.5064,,3.8527,7.5999,,3.3555,,,7.9718,,1.186
2014/1/29,5.0195,4.7994,8.5879,4.4449,8.1157,6.8389,5.5678,7.0029,11.8142,8.75,6.2729,8.5386,6.0831,8.462,2.4678,2.8819,6.4426,7.62,3.8036,7.4596,5.4946,2.939,24.6112,15.7684,3.68,5.3343,19.6643,7.3466,8.3662,10.9487,6.1715,4.54,8.1141,4.3399,6.9039,10.0466,6.8877,10.9361,7.5265,6.3485,2.4991,,3.8818,7.7002,,3.3601,,,7.9176,,1.1824
2014/1/30,4.932,5.0656,8.4508,4.3761,8.1221,6.7337,5.5581,6.9094,11.7053,8.88,6.0978,8.5386,5.9877,8.4287,2.4088,2.8277,6.4329,7.65,3.7676,7.5878,5.5288,2.8903,24.1079,15.7502,3.68,5.3255,19.6375,7.1024,8.2511,10.8714,6.322,4.46,8.0773,4.2549,7.0094,10.0466,6.811,10.5833,7.5733,6.2078,2.4665,,3.9108,7.5726,,3.2893,,,7.7912,,1.1691
2014/2/7,4.9495,5.038,8.4941,4.4154,8.1286,6.7911,5.6357,6.9094,11.7136,9.07,6.0741,8.4478,5.9148,8.3954,2.4104,2.7134,6.2967,7.64,3.7587,7.5969,5.475,2.9584,24.0726,15.7958,3.68,5.2553,19.5927,6.8888,8.2607,10.9004,6.4067,4.5,8.0406,4.3144,7.0286,10.0466,6.8398,10.5833,7.4797,6.2735,2.4701,,3.9689,7.5817,,3.3122,,,7.719,,1.1354
2014/2/10,5.0544,5.1482,8.6961,4.5039,8.1992,6.9346,5.7327,7.1219,12.2918,8.97,6.486,8.6748,6.0887,8.8198,2.4728,2.7534,6.3794,7.75,3.8306,7.9264,5.5972,3.0266,24.4788,16.1328,3.8192,5.3869,20.4158,7.0185,8.5965,11.142,6.4538,4.63,8.3438,4.4418,7.2587,10.0466,7.0697,10.9361,7.6762,6.4516,2.5208,,4.2593,7.7639,,3.3601,,,8.053,,1.1469
2014/2/11,5.0894,5.1482,8.8766,4.5531,8.0258,6.992,5.7036,7.0879,12.3002,8.8,6.4907,8.6567,6.2908,8.8364,2.5597,2.7705,6.4474,7.79,3.8576,7.8532,5.6217,3.0655,24.6201,16.2786,3.8192,5.4483,20.3979,6.9346,8.5869,11.229,6.4349,4.81,8.4265,4.4503,7.2683,10.0466,7.108,12.0271,7.5358,6.3954,2.5534,,4.2302,7.7822,,3.3122,,,8.0801,,1.1469
