ÈÕÆÚ,000829.SZ,002024.SZ,002127.SZ,002416.SZ,300022.SZ,300622.SZ,300755.SZ,600122.SH,600655.SH,600898.SH,603214.SH,603900.SH
2014/1/2,7.1928,8.8051,2.2101,14.6921,7.15,,,3.9402,6.9892,5.0544,,
2014/1/3,7.0132,9.0663,2.2101,15.1884,7.37,,,3.8422,6.9086,4.9947,,
2014/1/6,6.5643,8.718,2.2101,14.799,7.02,,,3.754,6.5865,4.8157,,
2014/1/7,6.5842,8.8825,2.2101,14.799,7.46,,,3.7736,6.5775,4.8157,,
2014/1/8,6.7838,9.0857,2.2101,15.2801,7.46,,,3.7246,6.4254,4.7958,,
2014/1/9,7.0531,9.0954,2.2101,15.5626,7.21,,,3.6364,6.3449,4.6664,,
2014/1/10,6.7538,8.9792,2.2101,15.3717,7.32,,,3.5482,6.2196,4.4575,,
2014/1/13,6.5942,8.8148,2.2101,14.6157,7.7,,,3.5678,6.1748,4.4774,,
2014/1/14,6.8736,9.0179,2.2101,14.5317,7.71,,,3.754,6.3449,4.5669,,
2014/1/15,7.0432,9.2405,2.2101,15.0434,7.6,,,3.7638,6.318,4.557,,
2014/1/16,7.0531,9.2115,2.2101,14.7684,7.4,,,3.7638,6.3717,4.557,,
2014/1/17,7.0432,9.0954,2.2101,14.8448,7.44,,,3.7246,6.3449,4.4973,,
2014/1/20,7.1728,9.2502,2.2101,14.3943,7.2,,,3.656,6.3985,4.4873,,
2014/1/21,7.6916,9.3856,2.2101,14.7837,7.27,,,3.6952,6.4791,4.5271,,
2014/1/22,8.4598,9.7243,2.2101,15.8146,7.34,,,3.8226,6.6133,4.9848,,
2014/1/23,9.3077,9.7146,2.2101,17.1051,7.36,,,3.8422,6.6133,5.1241,,
2014/1/24,9.3277,9.9275,2.2101,18.2429,7.3,,,3.8814,6.7655,5.0544,,
2014/1/27,9.1282,10.479,2.2101,17.9909,7.1,,,3.9304,6.7118,5.0146,,
2014/1/28,8.9785,10.2371,2.2101,17.8382,6.98,,,3.9794,6.7565,5.0445,,
2014/1/29,9.4873,10.4693,2.2101,18.1971,7.06,,,3.9598,6.8013,5.0544,,
2014/1/30,8.9286,10.0436,2.2101,17.6244,6.62,,,3.9108,6.7386,5.0246,,
2014/2/7,9.8265,10.0436,2.2101,18.3269,6.82,,,3.9206,6.7476,5.0544,,
2014/2/10,10.4051,10.1694,2.2101,18.7469,7.02,,,4.1069,6.9176,5.1838,,
2014/2/11,10.0759,9.9372,2.2101,18.3651,7.05,,,4.3813,7.0339,5.1738,,
2014/2/12,10.1557,10.2952,2.2101,17.5633,7.16,,,4.8224,7.1682,5.2733,,
2014/2/13,9.3077,9.9178,2.2101,16.7233,7.23,,,4.842,7.2487,5.1241,,
2014/2/14,9.4075,9.9662,2.2101,16.8684,7.31,,,5.0968,7.3024,5.2136,,
2014/2/17,10.1557,10.2758,2.2101,17.4182,7.49,,,5.0968,7.3113,5.3131,,
2014/2/18,10.0659,10.2565,2.2101,17.0059,7.44,,,5.1752,7.1413,5.3828,,
2014/2/19,9.9961,11.0015,2.2101,16.4331,7.69,,,5.0576,7.2577,5.4624,,
2014/2/20,10.1058,10.6629,2.2101,15.7612,7.42,,,4.793,7.2308,5.2733,,
2014/2/21,9.8564,10.3532,2.2101,15.7688,7.44,,,4.6949,7.2398,5.1738,,
2014/2/24,9.7666,10.0242,2.2101,15.639,7.66,,,4.7636,7.016,5.1539,,
2014/2/25,9.9761,9.4534,2.2101,14.4172,7.19,,,4.4989,6.7655,4.9649,,
2014/2/26,9.7168,9.1921,2.2101,13.8826,7.14,,,4.5969,6.9534,5.0146,,
2014/2/27,9.5272,8.9502,2.2101,13.287,6.91,,,4.5577,6.7118,4.9848,,
2014/2/28,9.9163,9.047,2.2101,12.9052,6.91,,,4.5381,6.7028,5.0942,,
2014/3/3,10.0559,8.9309,2.2101,13.3023,7.16,,,4.5087,7.0697,5.2136,,
2014/3/4,10.445,8.8728,2.2101,13.5543,7.12,,,4.4989,7.0697,5.2634,,
2014/3/5,10.9737,9.105,2.2101,13.623,7.2,,,4.9498,6.9713,5.2037,,
2014/3/6,10.9737,9.1534,2.2101,13.6077,7.36,,,4.8616,6.9623,5.2335,,
2014/3/7,10.9638,9.0276,2.2101,13.1648,7.25,,,4.8126,6.9534,5.1738,,
2014/3/10,10.016,8.4374,2.2101,12.5921,6.88,,,4.5381,6.6581,4.8753,,
2014/3/11,9.3377,8.1858,2.2101,12.4241,6.95,,,4.5773,6.6939,4.8853,,
2014/3/12,9.4773,7.4311,2.2101,12.8136,6.78,,,4.4205,6.7118,4.9549,,
2014/3/13,9.4773,7.5956,2.2101,12.7907,6.8,,,4.4891,6.7476,5.0345,,
2014/3/14,9.4773,7.4408,2.2101,12.699,6.86,,,4.4205,6.6491,5.0843,,
2014/3/17,9.9961,7.5666,2.2101,13.0885,6.98,,,4.4793,6.7565,5.1042,,
2014/3/18,10.016,7.5859,2.2101,13.1343,7,,,4.4793,6.7834,5.3131,,
2014/3/19,10.1856,7.4311,2.2101,12.8136,6.98,,,4.4597,6.7476,5.3131,,
2014/3/20,9.1681,6.9473,2.2101,12.531,6.85,,,4.6361,6.5686,5.2037,,
2014/3/21,9.178,7.1505,2.2101,13.0961,6.96,,,4.8812,6.7386,5.3629,,
2014/3/24,8.9685,7.1892,2.2101,13.0961,6.92,,,4.9792,6.8102,5.3529,,
2014/3/25,9.0084,7.3634,2.2101,13.5161,6.94,,,4.94,6.9802,5.3629,,
2014/3/26,9.1381,7.3053,2.2101,13.6917,7.03,,,4.9988,6.8818,5.3728,,
2014/3/27,8.8389,7.1021,2.2101,13.2565,6.8,,,4.8224,6.846,5.2236,,
2014/3/28,7.951,6.9763,2.2101,12.5769,6.4,,,4.8714,6.8281,5.134,,
