ÈÕÆÚ,000007.SZ,000058.SZ,000061.SZ,000861.SZ,000882.SZ,002344.SZ,002818.SZ,200058.SZ,600113.SH,600415.SH,600738.SH,600790.SH,601828.SH
2014/1/2,9.358,4.8571,8.0796,2.7863,2.6009,19.417,,2.8364,7.8979,2.7224,4.6471,3.0512,
2014/1/3,9.3314,5.0333,8.0407,2.7684,2.5622,18.9235,,2.8553,7.6857,2.6574,4.5697,2.979,
2014/1/6,9.358,4.6906,7.7198,2.6843,2.5429,18.6293,,2.7605,7.3761,2.5412,4.3141,2.8924,
2014/1/7,9.718,4.6122,7.7879,2.6129,2.5525,17.8511,,2.7794,7.4823,2.5319,4.3605,2.8876,
2014/1/8,9.7446,4.671,7.7782,2.539,2.5042,18.0599,,2.7794,7.5176,2.5505,4.3141,2.8587,
2014/1/9,9.478,4.5241,7.7393,2.5237,2.4268,17.3576,,2.7605,7.4115,2.4901,4.1979,2.8106,
2014/1/10,9.4314,4.387,7.7782,2.437,2.4172,17.4525,,2.7605,7.2877,2.4065,4.1514,2.7528,
2014/1/13,9.1981,4.3772,7.681,2.3682,2.4172,17.2248,,2.7035,7.4115,2.3926,4.2521,2.7336,
2014/1/14,9.1847,4.8179,7.7296,2.4804,2.4558,17.0539,,2.8648,7.4911,2.4344,4.3141,2.801,
2014/1/15,9.3447,5.0921,7.6129,2.4753,2.4558,17.2817,,2.8838,7.3054,2.5459,4.3605,2.801,
2014/1/16,9.2781,5.1117,7.7393,2.4676,2.4462,17.6898,,2.8838,7.3054,2.5227,4.4922,2.7865,
2014/1/17,9.1381,5.0627,7.6518,2.4421,2.4075,16.7028,,2.8648,7.4027,2.4437,4.4302,2.7528,
2014/1/20,9.1181,5.0529,7.6421,2.4421,2.4075,16.9306,,2.8838,7.2435,2.4344,4.3528,2.7432,
2014/1/21,9.1181,4.906,7.6712,2.4472,2.4752,17.0729,,2.8553,7.2788,2.5041,4.438,2.7961,
2014/1/22,9.1914,5.0039,7.9143,2.5262,2.7266,17.0824,,2.8838,7.4734,2.5691,4.5697,2.8491,
2014/1/23,9.1314,4.9648,7.9046,2.5161,2.7749,16.8641,,2.8648,7.5619,2.5412,4.5542,2.825,
2014/1/24,9.1048,5.19,8.1671,2.567,2.7459,16.475,,2.9217,7.6238,2.5691,4.6394,2.8587,
2014/1/27,8.7982,5.2096,8.099,2.5951,2.6395,15.3172,,2.9122,7.4911,2.5691,4.6161,2.9261,
2014/1/28,8.7515,5.3467,7.9046,2.567,2.6879,14.7099,,2.9217,7.385,2.5645,4.6549,2.9165,
2014/1/29,8.8648,5.2781,7.9629,2.6104,2.6976,15.1559,,2.9312,7.438,2.597,4.6394,2.9165,
2014/1/30,8.9848,5.1215,7.9337,2.6333,2.6395,14.6624,,2.9028,7.3054,2.5552,4.5852,2.9213,
2014/2/7,8.9914,5.4446,8.3129,2.6741,2.6492,14.8902,,2.9692,7.4115,2.518,4.5774,2.9502,
2014/2/10,9.0648,5.5034,8.5366,2.7021,2.6976,15.4501,,2.9786,7.6503,2.6202,4.7555,2.979,
2014/2/11,9.0381,5.4642,8.4782,2.697,2.6589,15.3267,,2.9692,7.6857,2.6342,4.7788,2.9742,
2014/2/12,8.8581,5.4838,8.556,2.8602,2.6879,15.6968,,2.9502,8.0041,2.6713,4.8407,2.9983,
2014/2/13,8.7315,5.3761,8.1476,2.7786,2.6299,15.4216,,2.9502,7.7741,2.597,4.802,2.9646,
2014/2/14,8.8115,5.3956,8.1963,2.9316,2.6492,15.3647,,2.9692,7.8537,2.7642,4.8407,3.0175,
2014/2/17,8.7915,5.474,8.2254,2.9239,2.7749,15.4691,,2.9786,7.951,2.7596,4.9027,3.0175,
2014/2/18,8.7382,5.3467,8.274,2.929,2.7072,15.08,,2.9312,8.0483,2.8014,4.8717,2.9935,
2014/2/19,8.9515,5.3369,8.1476,2.8729,2.6976,15.583,,2.9312,8.0837,2.8664,4.9027,2.9838,
2014/2/20,9.1514,5.1312,8.1671,2.8296,2.7072,15.2318,,2.8743,7.8449,2.7549,4.7401,2.9742,
2014/2/21,9.2581,5.141,8.0893,2.8296,2.7459,15.2318,,2.9028,7.7387,2.7317,4.7323,2.9453,
2014/2/24,9.3314,5.2096,8.0212,2.7353,2.7266,14.615,,2.9028,7.5795,2.6667,4.5774,2.878,
2014/2/25,8.8648,4.8669,7.6323,2.4982,2.8232,14.1309,,2.8269,7.2877,2.5459,4.4612,2.7865,
2014/2/26,8.8515,4.8766,7.5643,2.5568,3.1036,13.5046,,2.8458,7.3584,2.5366,4.5154,2.8058,
2014/2/27,8.6115,4.7689,7.4768,2.6155,3.3163,13.3243,,2.8364,7.3407,2.6295,4.4535,2.7865,
2014/2/28,8.6115,4.8081,7.4671,2.5798,3.239,13.7608,,2.8648,7.3938,2.6156,4.5309,2.8058,
2014/3/3,8.7182,4.9158,7.7004,2.5492,3.2873,13.6754,,2.8838,7.5353,2.6249,4.6316,2.8539,
2014/3/4,8.3982,4.8766,7.6907,2.5135,3.2197,13.5141,,2.8933,7.6238,2.5831,4.6316,2.8395,
2014/3/5,8.4516,4.8766,7.6421,2.5262,3.2583,13.2104,,2.8838,7.9598,2.5645,4.6239,2.8539,
2014/3/6,8.3982,4.8766,7.7782,2.5747,3.3067,13.2863,,2.8838,7.9333,2.5552,4.6161,2.8539,
2014/3/7,8.3316,4.8277,7.6907,2.5492,3.3357,12.8877,,2.8648,7.668,2.5273,4.5852,2.825,
2014/3/10,8.2583,4.8277,7.292,2.4396,3.471,12.0905,,2.8648,7.438,2.439,4.376,2.7288,
2014/3/11,8.3449,4.8277,7.4962,2.4268,3.3937,12.176,,2.8648,7.3407,2.4483,4.3838,2.7721,
2014/3/12,8.3249,4.6514,7.4865,2.4396,3.0843,12.0905,,2.7794,7.3496,2.4576,4.5309,2.8202,
2014/3/13,8.3982,4.8081,7.4087,2.4931,3.1616,12.2804,,2.8364,7.3673,2.4948,4.5697,2.8298,
2014/3/14,8.3916,4.8375,7.3601,2.4702,3.0263,12.4512,,2.8458,7.2877,2.4623,4.5232,2.8058,
2014/3/17,8.4649,4.9158,7.5059,2.511,3.0843,12.6505,,2.8743,7.3761,2.4948,4.5619,2.8491,
