ÈÕÆÚ,000019.SZ,000151.SZ,000626.SZ,000906.SZ,002091.SZ,002505.SZ,200019.SZ,600058.SH,600145.SH,600247.SH,600250.SH,600278.SH,600287.SH,600301.SH,600605.SH,600608.SH,600710.SH,600753.SH,600755.SH,600822.SH,600826.SH,600870.SH,600981.SH,900927.SH
2014/1/2,3.8451,6.4635,3.8091,4.1971,5.3479,2.6723,2.9175,13.398,0.9754,4.1,5.63,10.5741,6.2293,5.76,8.2802,6.65,2.9659,10.57,4.5557,9.31,13.8509,4.87,3.4934,0.639
2014/1/3,3.8303,6.4723,3.7401,4.1293,5.4204,2.6036,2.9175,13.398,0.9754,4.09,5.52,10.1634,6.107,5.97,8.0147,6.82,2.9368,10.54,4.437,9.07,13.5954,4.88,3.4753,0.634
2014/1/6,3.7161,6.2783,3.5775,3.9429,5.2029,2.5989,2.8641,14.7417,0.9552,3.99,5.14,9.6571,5.8811,5.79,7.8573,6.69,2.8495,10.55,4.2588,8.74,12.8472,4.76,3.4208,0.627
2014/1/7,3.7707,6.1813,3.5479,3.9768,5.1394,2.8416,2.8786,14.9393,0.9956,3.97,5.37,9.8004,5.8623,5.77,7.9065,6.63,2.8592,10.53,4.3267,8.98,12.8107,4.84,3.4118,0.632
2014/1/8,3.7112,6.1107,3.6268,4.0954,5.2935,2.8576,2.8883,13.7043,0.9956,3.91,5.33,9.7908,5.7776,5.7,7.7787,6.7,2.8399,10.57,4.2673,8.86,12.7195,4.8,3.4118,0.63
2014/1/9,3.602,6.0402,3.6021,4.2197,5.1802,2.8273,2.8835,12.8348,0.9704,3.85,5.33,9.9341,5.6365,5.46,7.4345,6.46,2.8302,10.37,4.2079,9.05,12.5826,4.77,3.2847,0.629
2014/1/10,3.5226,6.0402,3.474,4.3045,4.9219,2.8512,2.8689,12.5581,0.9679,3.77,5.7,9.7049,5.5141,5.35,7.3066,5.97,2.7235,10.47,4.1994,9.05,12.318,4.67,3.1668,0.623
2014/1/13,3.5276,5.9785,3.3853,4.1011,4.795,2.7746,2.8544,11.9258,0.9653,3.77,5.78,9.5329,5.4765,5.28,7.287,5.9,2.7332,10.38,4.3691,9.11,11.9895,4.83,3.2031,0.624
2014/1/14,3.5822,6.0843,3.4888,4.0672,4.8856,2.7442,2.8786,11.7479,0.9931,3.86,5.69,9.6953,5.5424,5.28,7.4443,6.06,2.772,10.11,4.3606,9.24,12.2633,4.9,3.2212,0.624
2014/1/15,3.607,6.0843,3.5528,4.2254,5.3751,2.856,2.8786,11.7973,1.0032,3.85,5.8,9.6953,5.5612,5.35,7.464,6.09,2.7817,9.65,4.3606,9.15,12.4275,4.82,3.2212,0.625
