ÈÕÆÚ,000519.SZ,000547.SZ,002465.SZ,300527.SZ,300762.SZ,600184.SH,600435.SH,600562.SH,600764.SH,600967.SH,600990.SH,601606.SH
2014/1/2,8.9307,3.9379,6.905,,,10.6152,6.5464,9.5625,8.1809,9.8264,27.5652,
2014/1/3,8.8527,3.8985,6.8071,,,10.4121,6.3882,9.5354,8.1709,10.21,26.6952,
2014/1/6,8.47,3.7804,6.447,,,10.0354,6.1262,9.5437,7.9716,9.9963,26.092,
2014/1/7,8.6826,3.7508,6.5892,,,10.0255,6.2003,9.5375,7.882,9.9689,26.3689,
2014/1/8,8.8244,3.7804,7.0156,,,10.1692,6.2448,9.5938,7.6129,10.1881,27.1104,
2014/1/9,8.6543,3.7311,6.7439,,,9.6687,6.136,9.0723,7.2442,9.7661,26.4974,
2014/1/10,8.392,3.6327,6.6018,,,9.1384,5.8888,8.9262,7.0549,9.7716,25.7262,
2014/1/13,8.1936,3.6425,6.7092,,,8.5784,5.7257,8.8908,6.8556,9.5524,25.2418,
2014/1/14,8.3708,3.7607,6.9903,,,9.4358,5.8443,9.0368,7.1545,9.9251,25.568,
2014/1/15,8.3566,3.7607,7.0914,,,9.3614,5.9828,9.1891,7.0449,10.232,25.7954,
2014/1/16,8.4416,3.741,6.9777,,,9.4853,5.9432,9.2391,7.1346,10.3416,25.4988,
2014/1/17,8.9874,3.6622,7.0345,,,9.5448,5.8048,9.2663,7.0649,10.1552,25.6076,
2014/1/20,8.952,3.6524,6.8545,,,9.3565,5.8245,9.1077,7.0549,10.1662,25.479,
2014/1/21,8.952,3.7213,7.0093,,,9.2821,5.8888,9.0118,7.0449,10.1169,25.9932,
2014/1/22,9.1504,3.8001,7.1072,,,9.4457,6.047,9.0305,7.2542,9.7058,26.794,
2014/1/23,8.9732,3.9083,7.3694,,,9.634,6.0322,9.2266,7.2044,9.8976,27.1203,
2014/1/24,8.9307,4.0265,7.3852,,,9.9165,6.0767,9.1682,7.2442,10.4841,27.496,
2014/1/27,8.8386,4.0363,7.4325,,,9.6241,6.0965,9.0597,7.304,10.2868,27.5356,
2014/1/28,8.8598,3.9674,7.5178,,,9.4011,6.0223,8.6634,7.2642,10.2703,27.8124,
2014/1/29,8.8882,4.2628,7.521,,,9.862,6.1608,8.7009,7.294,10.1059,28.0991,
2014/1/30,8.9591,4.2431,7.4578,,,10.1494,6.2745,8.9742,7.2542,9.8648,28.4452,
2014/2/7,9.2851,4.4301,7.7737,,,10.4963,6.497,9.089,7.6129,9.9908,29.0582,
2014/2/10,9.5403,4.4695,7.9253,,,10.6053,6.5712,9.1891,7.7524,10.221,29.6415,
2014/2/11,9.4694,4.4203,7.7958,,,10.4368,6.4822,9.2496,7.6328,10.3525,29.2263,
2014/2/12,9.519,4.5876,7.9506,,,10.4121,6.5168,9.2475,7.9019,10.2648,29.3845,
2014/2/13,9.3985,4.627,7.7263,,,10.1098,6.3091,9.1661,7.9119,10.1662,28.5441,
2014/2/14,9.5119,4.755,7.6505,,,10.1147,6.3981,9.2037,7.9218,10.2265,29.2065,
2014/2/17,9.6537,4.9913,7.979,,,10.5211,6.5959,9.3184,8.1311,10.8403,30.5215,
2014/2/18,9.4977,5.198,7.6663,,,10.3377,6.6602,9.3059,8.1012,10.6649,30.3435,
2014/2/19,9.8379,5.2571,7.4768,,,10.4021,6.5959,9.1995,8.1211,10.7142,28.7517,
2014/2/20,9.5119,5.1586,7.3725,,,10.0751,6.4624,9.0201,8.0613,10.4402,28.0794,
2014/2/21,9.3205,4.9716,7.4294,,,10.1296,6.4772,8.9596,7.9417,10.084,28.376,
2014/2/24,9.2284,5.3063,7.2683,,,9.966,6.3635,8.9033,7.9916,9.9634,28.5441,
2014/2/25,8.8102,5.1685,6.8861,,,9.6142,6.0322,8.509,7.8222,9.6784,26.8929,
2014/2/26,8.8882,5.3457,6.6966,,,9.7083,5.9778,8.3776,7.6627,9.8209,26.8731,
2014/2/27,8.8811,5.2472,6.5702,,,9.862,6.2053,8.386,7.7624,9.5359,26.8731,
2014/2/28,9.0299,4.9814,6.8071,,,9.9561,6.2597,8.3067,7.8919,9.5305,27.318,
2014/3/3,9.0725,5.4835,7.0503,,,10.0156,6.6255,8.4965,8.1311,9.514,28.4847,
2014/3/4,9.115,5.8478,6.965,,,9.8967,6.5563,8.4527,8.2506,9.6784,28.8901,
2014/3/5,8.9307,5.8379,6.9587,,,9.9264,6.408,8.3442,8.2606,9.6346,28.5045,
2014/3/6,8.7606,5.7198,6.8987,,,10.2981,6.3239,8.3004,8.2905,9.6455,28.3957,
2014/3/7,8.7252,6.1628,6.7597,,,10.0751,6.4574,8.386,8.1709,9.7278,27.674,
2014/3/10,8.7606,5.956,6.4028,,,9.3912,6.0619,8.0856,8.2606,9.2729,26.3392,
2014/3/11,8.6897,6.0742,6.2954,,,9.3267,6.1163,8.0125,8.6692,9.1523,26.1514,
2014/3/12,8.7535,5.7099,6.3965,,,9.2772,6.1163,8.2608,8.5795,9.1249,26.0624,
2014/3/13,8.8244,5.6902,6.6334,,,9.3119,6.2003,8.2504,8.5795,9.2181,26.2997,
2014/3/14,8.7039,6.0348,6.6365,,,9.0938,6.1064,8.1523,8.6692,9.1742,25.9339,
2014/3/17,8.9165,6.3105,6.7029,,,9.4011,6.225,8.265,8.6692,9.388,26.705,
2014/3/18,8.8456,6.2514,6.6176,,,9.3367,6.1904,8.3025,8.4699,9.4209,26.6952,
2014/3/19,9.0228,6.3991,6.4596,,,9.1781,6.141,8.1273,8.5197,9.251,26.8731,
2014/3/20,8.7039,6.3991,6.2385,,,9.1434,5.8839,8.073,8.3503,9.2181,26.1217,
2014/3/21,8.7889,6.3991,6.3807,,,9.2078,6.0025,7.927,8.5396,9.6949,25.4988,
2014/3/24,8.8598,6.3991,6.3965,,,9.1483,6.0569,7.9625,8.5197,9.9525,24.9254,
2014/3/25,8.7748,6.3991,6.3933,,,9.1682,6.047,7.9312,9.0478,9.9141,24.787,
2014/3/26,8.7606,6.3991,6.4281,,,9.2623,6.0223,8.0689,9.0976,9.8648,25.0935,
2014/3/27,8.5692,6.3991,6.1659,,,9.1384,5.8888,7.8874,8.988,9.8867,24.8067,
2014/3/28,8.3778,5.7592,5.8911,,,8.5239,5.7702,7.7601,8.6991,9.5524,24.8858,
2014/3/31,8.4771,5.513,5.9479,,,8.5636,5.9037,7.9771,8.6393,9.6291,24.5595,
2014/4/1,8.548,5.6607,6.0838,,,8.8014,5.9333,7.9875,8.7688,10.0127,24.9847,
2014/4/2,8.4346,5.2275,5.7679,,,8.8213,5.8888,7.8686,8.8983,10.0237,25.0539,
2014/4/3,8.4346,5.1291,5.8437,,,8.9204,5.9037,7.685,8.7588,9.8538,24.8067,
2014/4/4,8.6047,5.326,5.9511,,,9.0145,6.0322,7.7893,8.6891,9.7606,25.6966,
2014/4/8,8.6614,5.4146,6.1153,,,9.4209,6.0915,7.829,8.3403,9.9634,26.013,
2014/4/9,8.6826,5.513,6.188,,,9.4159,6.0866,7.9228,8.4001,9.936,25.8646,
2014/4/10,8.6826,5.5524,6.2196,,,9.4655,6.0372,7.9354,8.3403,9.9908,25.7361,
2014/4/11,8.8244,5.5623,6.2227,,,9.4606,6.0668,7.9625,8.3702,9.8538,25.6372,
2014/4/14,8.8315,5.6115,6.3017,,,9.7034,6.0619,8.1461,8.3503,9.6894,25.9437,
2014/4/15,8.7748,5.513,6.3143,,,9.7034,6.052,8.1586,8.44,9.6949,25.924,
2014/4/16,8.7889,5.9265,6.4723,,,9.5844,6.047,8.2712,8.2706,9.7113,25.5779,
2014/4/17,8.8669,5.9265,6.4249,,,9.634,6.0124,8.2232,8.2506,9.6072,25.6274,
2014/4/18,8.7819,5.9265,6.3522,,,9.8124,6.0174,8.2858,8.3104,9.3167,25.479,
2014/4/21,8.4983,5.9265,6.3522,,,9.6191,5.8641,8.3693,8.1311,9.4592,25.133,
2014/4/22,8.5054,5.9265,6.1975,,,9.743,5.8493,8.1294,8.0912,9.5907,24.7375,
2014/4/23,8.5692,5.9265,6.3617,,,9.966,6.0124,8.5403,8.0713,9.799,25.8943,
2014/4/24,8.9874,5.9265,6.5386,,,9.862,5.9037,8.4026,7.8222,10.1278,26.1909,
2014/4/25,8.711,5.9265,6.4028,,,9.5002,5.7751,8.1315,7.6926,10.0292,25.5087,
