ÈÕÆÚ,000561.SZ,000687.SZ,000697.SZ,000738.SZ,000768.SZ,002013.SZ,002023.SZ,002179.SZ,002190.SZ,002297.SZ,002389.SZ,002413.SZ,002664.SZ,002933.SZ,300159.SZ,300397.SZ,300424.SZ,300581.SZ,300696.SZ,300719.SZ,300775.SZ,600038.SH,600316.SH,600372.SH,600391.SH,600760.SH,600765.SH,600862.SH,600893.SH,688011.SH
2014/1/2,5.98,3.53,9.2721,12.0449,9.4316,3.577,8.3967,7.5984,14.9859,9.54,6.5306,2.3397,13.0067,,4.2234,,,,,,,27.539,18.3343,23.2289,12.1921,5.07,12.5702,3.1444,18.7622,
2014/1/3,5.87,3.52,8.9827,11.8765,9.2852,3.6375,8.2202,7.4868,14.9859,9.26,6.5306,2.3116,12.6345,,4.1256,,,,,,,27.7523,18.7221,22.7374,12.043,5.04,12.7176,3.0851,18.2559,
2014/1/6,5.56,3.37,8.6932,11.5794,8.9239,3.5209,7.7542,7.3752,14.9859,8.77,6.5306,2.2492,12.357,,3.8885,,,,,,,26.7051,18.2747,22.1378,11.3966,4.91,12.1672,3.0356,17.4673,
2014/1/7,5.56,3.38,8.7232,11.7477,8.9825,3.4581,7.7984,7.4556,14.9859,8.82,6.5306,2.2991,12.7063,,3.9814,,,,,,,26.7633,18.1156,22.2754,11.506,4.98,12.1574,3.0356,17.5938,
2014/1/8,5.58,3.34,8.6334,11.9558,8.9141,3.5837,8.0632,7.6252,14.9859,8.87,6.5306,2.3147,12.5692,,4.0376,,,,,,,26.5887,18.6923,23.6221,11.7446,4.92,12.1377,3.006,17.8275,
2014/1/9,5.34,3.16,8.2541,11.6586,8.797,3.4918,7.764,7.402,14.9859,8.71,6.5306,2.2461,12.4158,,3.7272,,,,,,,25.8712,17.7974,22.59,11.2872,4.85,11.7544,2.9862,17.5062,
2014/1/10,5.38,3.03,8.1144,11.4506,8.5919,3.4447,7.4158,7.027,14.9859,8.27,6.5306,2.1463,11.9163,,3.671,,,,,,,25.5124,17.181,23.1011,11.0883,4.73,11.322,2.9269,16.9415,
2014/1/13,5.37,3.06,8.4637,11.6388,8.6115,3.3101,7.2736,6.8752,14.9859,8.38,6.5306,2.19,11.975,,3.7419,,,,,,,25.5221,16.4552,22.6391,11.138,4.58,10.9092,2.9565,16.9415,
2014/1/14,5.54,3.11,8.8929,11.8567,8.6798,3.4088,7.509,7.0538,14.9859,8.53,6.5306,2.2399,12.3244,,3.8323,,,,,,,25.6675,16.7137,22.6981,11.4165,4.68,11.381,3.006,17.3017,
2014/1/15,5.63,3.08,8.9328,12.2628,8.8165,3.4761,7.5973,7.2011,14.9859,8.62,6.5306,2.2336,12.3733,,3.8543,,,,,,,26.1233,17.2605,23.4354,12.3513,4.72,11.9707,2.9961,19.0348,
2014/1/16,5.56,3.05,9.1923,12.1737,8.7189,3.4671,7.4403,7.1163,14.9859,8.65,6.5306,2.2305,12.53,,3.8274,,,,,,,25.9778,17.0418,23.6123,12.1424,4.69,11.7446,2.9961,19.6872,
2014/1/17,5.45,3.03,9.1224,11.8666,8.4943,3.3639,7.4109,6.9421,14.9859,8.63,6.5306,2.2804,11.7726,,3.7663,,,,,,,25.7257,16.1768,23.4845,11.9435,4.72,11.5579,2.9565,19.4145,
2014/1/20,5.47,3.05,9.0126,11.6784,8.4748,3.3998,7.0774,6.9154,14.9859,8.68,6.5306,2.2149,11.7432,,3.7883,,,,,,,24.9984,16.823,22.7571,12.2518,4.8,11.2139,2.9368,19.2782,
2014/1/21,5.6,3.04,9.4717,11.7378,8.5724,3.5299,7.2098,6.9377,14.9859,8.82,6.5306,2.2586,11.8249,,3.8274,,,,,,,25.2506,16.8429,22.9242,12.3314,4.91,11.4203,2.9664,19.3853,
2014/1/22,5.7,3.15,10.0107,12.0548,8.7677,3.5837,7.2736,7.1207,14.9859,9,6.5306,2.3116,11.8183,,3.9252,,,,,,,26.1039,17.3898,23.4255,12.4507,4.97,11.7446,3.0455,19.619,
2014/1/23,5.66,3.12,9.9309,12.0746,8.7579,3.5815,7.4256,7.277,14.9859,9.03,6.5306,2.3023,12.2689,,3.9838,,,,,,,26.036,17.3003,24.035,12.4408,4.94,11.6856,3.0159,19.3951,
2014/1/24,5.88,3.12,9.9608,12.1935,8.836,3.6532,7.6757,7.2725,14.9859,9.08,6.5306,2.321,12.6019,,3.9912,,,,,,,26.0748,17.3401,23.976,12.4408,4.88,11.9608,3.0554,20.2714,
2014/1/27,5.82,3.07,9.9708,12.0647,8.797,3.6218,7.8523,7.3038,14.9859,8.98,6.5306,2.3303,12.5529,,3.9985,,,,,,,26.1815,17.6582,23.8876,12.3015,4.88,11.892,3.006,20.2324,
2014/1/28,5.72,3.04,10.1205,11.8072,8.7286,3.6622,7.867,7.1654,14.9859,9.18,7.1837,2.3085,12.6345,,3.957,,,,,,,25.6772,17.4395,24.4086,12.2419,4.93,11.8036,2.9763,19.7066,
2014/1/29,5.84,3.03,10.3001,12.4312,8.9239,3.7227,8.1172,7.4109,14.9859,9.12,7.0946,2.2867,13.0034,,4.0352,,,,,,,26.5984,18.046,24.4184,12.7093,4.93,12.01,2.9763,21.43,
2014/1/30,5.95,3.02,10.0606,13.0751,9.0508,3.7721,8.2839,7.4823,14.9859,8.79,6.7384,2.2368,12.9349,,4.15,,,,,,,27.2772,18.7619,25.4702,13.2363,4.95,12.0689,2.9565,23.3189,
2014/2/7,6.15,3.01,10.2502,13.2137,9.2461,3.9246,8.7646,7.7056,14.9859,8.96,7.0056,2.2867,12.9773,,4.2111,,,,,,,27.7329,19.6269,26.0109,13.3358,5.04,12.3343,2.9961,23.7083,
2014/2/10,6.27,3.11,10.4598,13.3524,9.4804,3.9537,8.9657,7.71,14.9859,9.83,7.3816,2.3491,14.2767,,4.2478,,,,,,,28.0626,19.7263,25.8634,13.485,5.17,12.639,3.0653,24.0296,
2014/2/11,6.25,3.19,10.39,13.0553,9.4609,3.8573,8.8283,7.7636,14.9859,9.96,7.4014,2.3709,13.8359,,4.1158,,,,,,,27.8881,19.0502,25.1655,13.485,5.16,12.5014,3.0554,23.1728,
2014/2/12,6.37,3.2,10.3301,13.1444,9.4218,3.8282,8.8578,7.7011,14.9859,10.19,8.1435,2.427,13.6139,,4.2038,,,,,,,28.0626,19.1596,25.2638,13.4352,5.2,12.5309,3.1148,23.5526,
2014/2/13,6.15,3.15,10.4798,12.56,9.1485,3.7048,8.5046,7.46,14.9859,9.99,8.9153,2.399,13.7119,,4.2234,,,,,,,27.3548,18.4735,24.497,12.8982,5.12,12.1181,3.0752,22.6957,
2014/2/14,6.23,3.2,11.0886,12.6789,9.2168,3.7384,8.6714,8.0091,14.9859,10.1,8.757,2.5581,14.5085,,4.2576,,,,,,,27.6651,18.5928,24.615,13.1568,5.17,12.3834,3.1049,22.9489,
2014/2/17,6.46,3.21,11.3781,13.501,9.5097,3.947,9.4806,8.1609,14.9859,10.32,9.2814,2.5737,14.675,,4.3431,,,,,,,28.6541,19.2888,25.313,13.7236,5.22,12.9436,3.2037,25.2467,
2014/2/18,6.47,3.18,11.7274,13.293,9.4218,3.9134,9.3531,8.0047,14.9859,10.26,9.0736,2.6517,14.9361,,4.3822,,,,,,,28.4214,19.5672,25.313,13.7535,5.35,12.7569,3.184,25.2467,
