ÈÕÆÚ,002025.SZ,002151.SZ,002829.SZ,002935.SZ,300034.SZ,300101.SZ,300123.SZ,300456.SZ,300474.SZ,300722.SZ,600118.SH,600343.SH,600677.SH,600879.SH,601698.SH
2014/1/2,9.9066,19.3548,,,9.6624,10.2639,4.7193,,,,18.345,7.1686,11.5134,4.6876,
2014/1/3,9.8554,19.4637,,,9.6822,10.5125,4.6521,,,,17.7006,7.0159,11.3277,4.5536,
2014/1/6,9.2564,19.4637,,,9.1912,10.3186,4.5069,,,,16.9781,6.74,10.5653,4.3549,
2014/1/7,9.2783,19.4637,,,9.2656,10.9352,4.558,,,,17.2515,6.8533,11.0149,4.4046,
2014/1/8,9.4098,19.4637,,,9.5086,11.3579,4.7193,,,,17.7787,7.0454,11.2886,4.4592,
2014/1/9,9.2198,19.4637,,,8.9779,10.9352,4.5526,,,,17.3784,6.7498,10.7804,4.2804,
2014/1/10,8.8765,19.4637,,,8.9283,10.791,4.5929,,,,17.1734,6.5429,10.8292,4.2804,
2014/1/13,8.8326,19.4637,,,8.7299,10.97,4.6118,,,,17.271,6.4838,10.6435,4.2507,
2014/1/14,9.0372,19.143,,,8.9283,11.7259,4.5445,,,,17.4272,6.602,10.9465,4.3251,
2014/1/15,9.0956,19.9022,,,9.2259,11.7855,4.6279,,,,18.013,6.7301,11.3277,4.4542,
2014/1/16,8.9861,19.6273,,,9.1267,11.2684,4.5849,,,,18.0423,6.6464,11.357,4.4741,
2014/1/17,8.8399,19.4245,,,9.0969,11.0446,4.6844,,,,17.7201,6.4887,11.2202,4.4344,
2014/1/20,8.8984,19.4048,,,9.2656,10.5423,4.8457,,,,17.9056,6.5281,11.3277,4.4393,
2014/1/21,9.0737,19.6862,,,9.4193,10.8805,4.9183,,,,18.1399,6.6119,11.4645,4.4393,
2014/1/22,9.3002,19.8499,,,9.4789,11.159,4.9156,,,,18.4719,6.8139,11.9825,4.5287,
2014/1/23,9.3367,19.5684,,,9.5632,11.7607,5.0581,,,,18.4035,6.7843,12.1291,4.5138,
2014/1/24,9.5121,19.7713,,,9.4937,11.6165,5.1738,,,,18.5597,6.8878,12.0607,4.5536,
2014/1/27,9.3806,19.4179,,,9.7318,11.6662,5.0823,,,,18.0618,6.735,12.0021,4.4642,
2014/1/28,9.3221,19.1496,,,9.4491,11.4026,5.0259,,,,17.847,6.6661,11.7871,4.3698,
2014/1/29,9.629,19.4048,,,9.9749,11.5866,5.042,,,,18.2766,7.0504,12.6178,4.4443,
2014/1/30,9.607,20.4192,,,10.9719,12.0591,5.0823,,,,18.6183,7.3115,12.5494,4.489,
2014/2/7,9.9723,21.0148,,,12.0631,13.2674,5.1361,,,,20.0828,7.4051,13.1163,4.7224,
2014/2/10,10.0673,21.0868,,,12.3756,13.531,5.1899,,,,20.5026,7.5086,13.5854,4.8565,
2014/2/11,9.9869,20.9035,,,12.5591,13.0188,5.2518,,,,20.1999,7.3805,13.5268,4.7919,
2014/2/12,10.1038,20.7072,,,12.3756,13.1531,5.2975,,,,20.1414,7.3706,13.4193,4.8813,
