ÈÕÆÚ,300008.SZ,300065.SZ,300589.SZ,300600.SZ,600072.SH,600150.SH,600482.SH,600685.SH,601890.SH,601989.SH
2014/1/2,4.0949,4.7894,,,12.2775,23.7638,9.9958,17.2302,3.2624,5.535
2014/1/3,4.2761,4.8026,,,12.0182,23.2673,9.7041,17.2202,3.1857,5.4367
2014/1/6,4.3353,4.4626,,,11.4497,22.314,9.1498,16.9309,3.0753,5.1221
2014/1/7,4.2643,4.4593,,,11.4696,22.453,9.1304,17.4896,3.0849,5.073
2014/1/8,4.4338,4.6441,,,11.3998,22.7211,8.9942,17.5095,3.0705,5.0631
2014/1/9,4.3668,4.423,,,10.8114,21.8472,8.9165,16.9009,3.0322,5.0533
2014/1/10,4.3353,4.3933,,,10.5022,20.7449,8.6636,15.9332,3.0178,4.8763
2014/1/13,4.0357,4.3933,,,10.4623,20.9336,8.7123,15.6538,3.0513,4.9353
2014/1/14,4.2486,4.6639,,,10.6219,21.6685,8.8873,16.2824,3.0849,4.9058
2014/1/15,4.3353,4.8026,,,10.6917,21.2812,9.0137,16.3721,3.0897,4.8174
2014/1/16,4.2091,4.8191,,,9.6245,20.884,8.9942,16.5318,3.0945,4.8174
2014/1/17,4.3037,4.8389,,,8.8266,20.5066,8.9942,16.1826,3.0274,4.6601
2014/1/20,4.2959,4.8719,,,8.6271,21.2415,8.9942,16.023,3.0753,4.7485
2014/1/21,4.2761,5.1954,,,8.6371,20.8442,8.9942,16.1327,3.0993,4.778
2014/1/22,4.3589,5.2185,,,9.1857,21.7876,8.9942,16.7812,3.2001,5.132
2014/1/23,4.3983,5.6113,,,9.046,21.9068,8.9942,17.0606,3.1761,5.0828
2014/1/24,4.3707,5.6311,,,9.046,21.7976,9.4804,17.1304,3.2193,5.1418
2014/1/27,4.1776,5.8654,,,8.8865,21.6883,9.3346,17.1503,3.1713,5.1713
2014/1/28,4.1106,5.6905,,,8.7767,21.2216,9.6652,16.9408,3.1953,5.1123
2014/1/29,4.2683,5.7037,,,8.8964,21.5195,9.6457,17.3399,3.0657,5.1221
2014/1/30,4.5402,5.8522,,,9.046,21.6486,9.5777,17.729,3.037,5.1025
2014/2/7,4.7373,6.2186,,,9.6744,23.8135,10.0152,19.046,3.1665,5.3089
2014/2/10,4.9264,6.245,,,10.1332,23.8333,10.3264,19.2754,3.2385,5.535
2014/2/11,4.9186,6.1427,,,9.9736,23.5652,10.2097,18.9661,3.2337,5.5449
2014/2/12,5.4112,6.0107,,,9.9836,23.5354,10.5306,19.3253,3.272,5.5055
2014/2/13,5.4545,5.7466,,,9.7043,22.7509,10.1513,18.7467,3.2145,5.3482
2014/2/14,5.9984,5.938,,,9.8539,22.9793,10.2,18.7467,3.2624,5.3482
2014/2/17,6.5975,6.2186,,,10.1232,23.5652,10.4722,19.3852,3.3248,5.535
2014/2/18,6.7,6.552,,,9.814,23.5056,10.2486,19.016,3.3152,5.4957
2014/2/19,6.4714,6.4728,,,9.1159,22.7807,10.3166,18.2378,3.3104,5.5055
2014/2/20,6.4241,6.3011,,,9.0361,22.3835,9.918,18.2378,3.2672,5.3384
2014/2/21,6.4674,6.8325,,,9.1358,22.4331,10.0347,18.0782,3.2624,5.2598
2014/2/24,6.6172,7.09,,,9.0261,21.3308,10.657,18.2378,3.2097,5.1025
2014/2/25,6.2901,6.3803,,,8.7867,20.4172,10.5306,17.4497,3.0849,4.9353
2014/2/26,5.9827,6.0437,,,8.697,20.7846,11.1431,17.4497,3.1137,4.9747
2014/2/27,5.9905,5.8918,,,8.8665,21.0131,10.8125,17.749,3.1857,5.1123
2014/2/28,5.9866,6.2483,,,8.7967,21.2415,11.0167,17.4097,3.2193,5.1123
2014/3/3,5.9433,6.8721,,,8.8964,21.5692,11.007,17.8288,3.2768,5.2008
