ÈÕÆÚ,000016.SZ,000801.SZ,000810.SZ,002052.SZ,002420.SZ,002429.SZ,002519.SZ,002848.SZ,200016.SZ,600060.SH,600839.SH,603996.SH
2014/1/2,1.8163,5.3764,6.448,12.99,5.953,3.6641,3.7389,,1.225,10.0457,2.9243,
2014/1/3,1.7832,5.273,6.2296,12.68,5.993,3.8352,3.7389,,1.2117,9.7008,2.7203,
2014/1/6,1.7359,4.928,6.3558,13.03,5.7133,3.8379,3.7389,,1.1849,9.3736,2.5842,
2014/1/7,1.7407,4.9871,6.283,13.22,5.7333,3.9142,3.7389,,1.1894,9.4532,2.6328,
2014/1/8,1.8305,5.1744,6.2054,13.71,5.7233,3.9353,3.7389,,1.2117,9.7185,2.6037,
2014/1/9,1.8353,5.2385,6.4528,13.3,5.6634,3.8853,3.7389,,1.2117,9.6566,2.866,
2014/1/10,1.8305,5.2089,6.5984,12.87,5.6134,3.7642,3.7389,,1.2072,9.5063,3.0894,
2014/1/13,1.7359,4.9723,6.6323,12.25,5.5835,3.5536,3.7389,,1.1849,9.3648,3.1477,
2014/1/14,1.7643,5.0561,6.5644,12.52,5.6833,3.7747,3.7389,,1.2117,9.4974,3.4489,
2014/1/15,1.84,5.1448,6.8167,12.4,5.7133,3.8168,3.7389,,1.2206,9.5947,3.4198,
2014/1/16,1.8163,5.3715,6.8118,12.13,5.7033,3.8221,3.7389,,1.2206,9.7539,3.5266,
2014/1/17,1.7785,5.3074,6.8652,12.11,5.5934,3.8273,3.7389,,1.2027,9.6035,3.3906,
2014/1/20,1.7454,5.4701,6.7488,11.37,5.4436,3.901,3.7389,,1.2027,9.6035,3.3906,
2014/1/21,1.7738,5.544,6.6954,11.39,5.5335,3.9853,3.7389,,1.2206,9.6566,3.3129,
2014/1/22,1.8022,5.5883,6.8361,11.73,5.7732,3.9905,3.7389,,1.2339,9.8865,3.5169,
2014/1/23,1.788,5.5292,6.773,12.18,5.7333,4.009,3.7389,,1.2295,9.9219,3.4392,
2014/1/24,1.9204,5.4257,6.8846,12.19,5.7333,4.2669,3.7389,,1.2517,10.0457,3.3615,
2014/1/27,1.8684,5.6524,6.773,12.13,5.7233,4.259,3.7389,,1.2428,10.2137,3.4198,
2014/1/28,1.892,5.5785,6.8507,11.75,5.7233,4.1906,3.7389,,1.2473,10.1341,3.3226,
2014/1/29,1.892,5.7559,6.7342,11.76,5.7533,4.1853,3.7389,,1.2517,10.1783,3.3323,
2014/1/30,1.8731,5.9136,6.7197,11.55,5.7433,4.1511,3.7389,,1.2473,9.9573,3.2157,
2014/2/7,1.9488,6.2388,6.6372,11.75,5.8132,4.2169,3.7389,,1.2517,10.2225,3.5363,
2014/2/10,1.963,6.4064,6.938,12.58,5.933,4.3433,3.7389,,1.2607,10.3817,3.6335,
2014/2/11,1.9582,6.6084,7.1709,12.4,5.9131,4.059,3.7389,,1.2517,10.364,3.6821,
2014/2/12,1.9677,6.6725,7.1321,12.72,5.963,3.9432,3.7389,,1.2473,10.311,3.6335,
2014/2/13,1.9724,6.2832,6.972,13.49,5.8531,3.8958,3.7389,,1.2562,10.0811,3.5655,
2014/2/14,2.0812,6.914,7.1806,13.6,5.983,3.9748,3.7389,,1.2874,10.0899,3.5849,
2014/2/17,2.1049,7.3427,7.2339,13.89,6.1028,4.0142,3.7389,,1.2963,10.5232,3.7889,
2014/2/18,2.0718,7.4018,7.1612,13.65,6.0429,3.8721,3.7389,,1.2874,10.3906,3.7986,
2014/2/19,2.19,7.4117,7.8792,13.42,6.0329,3.9879,3.7389,,1.3364,10.4878,3.7986,
2014/2/20,2.3414,7.0766,7.593,12.83,5.9231,3.8695,4.1117,,1.3587,10.6028,3.7792,
2014/2/21,2.261,7.1357,7.69,13.01,5.9231,3.8774,4.5237,,1.3453,10.3994,3.7404,
2014/2/24,2.2562,7.4166,7.7628,13,5.8931,3.7405,4.9749,,1.3319,10.0545,3.7792,
2014/2/25,2.1191,6.983,7.2291,13.25,5.7133,3.3667,5.4738,,1.2829,9.692,3.6043,
2014/2/26,2.1285,7.2195,7.4717,12.82,5.6733,3.4088,6.0204,,1.2963,9.7008,3.5266,
2014/2/27,2.0292,7.6581,7.5202,12.52,5.5835,3.2167,6.623,,1.2785,9.4355,3.4392,
2014/2/28,2.0954,7.6285,7.4523,12.63,5.6733,3.2851,6.2642,,1.2918,9.6124,3.4683,
2014/3/3,2.2137,7.5645,7.4717,12.41,5.7433,3.4825,6.5865,,1.3319,9.7008,3.4878,
2014/3/4,2.242,7.599,7.6609,12.44,5.8431,3.4957,6.2334,,1.3364,9.5505,3.4489,
2014/3/5,2.2042,7.2491,7.6755,12.6,5.7732,3.6089,6.1577,,1.3364,9.5328,3.3906,
2014/3/6,2.2279,7.1407,7.5153,12.46,5.7832,3.522,6.1521,,1.3364,9.5505,3.3323,
2014/3/7,2.3177,7.121,7.5542,12.01,5.7233,3.4246,6.054,,1.3631,9.4886,3.3809,
2014/3/10,2.1853,6.9485,7.3504,10.81,5.5835,3.2009,5.4486,,1.3141,9.1968,3.2254,
2014/3/11,2.242,6.8006,7.2194,10.34,5.5934,3.1298,5.2272,,1.3275,9.4797,3.2254,
2014/3/12,2.1853,6.7316,7.3504,10.33,5.5835,3.0798,5.2412,,1.3097,9.5416,3.138,
2014/3/13,2.2279,7.1456,7.2873,10.64,5.6334,3.1298,5.2692,,1.3275,9.5239,3.138,
2014/3/14,2.2562,7.1949,7.2339,10.53,5.6334,3.1351,5.3169,,1.3319,9.3648,3.3226,
2014/3/17,2.2988,7.2491,7.4232,10.79,5.7033,3.214,5.5215,,1.3587,9.5416,3.3615,
2014/3/18,2.2941,7.7517,7.3941,10.85,5.6933,3.2456,5.4682,,1.3542,10.4967,3.3906,
2014/3/19,2.365,7.7517,7.6172,11.53,5.7333,3.1824,5.2804,,1.3676,10.4525,3.3226,
2014/3/20,2.3414,7.8355,7.4717,11.13,5.5934,3.0798,5.073,,1.3408,10.4083,3.1672,
2014/3/21,2.3414,7.7468,7.5493,11.85,5.6534,3.1561,5.0814,,1.3542,10.6559,3.274,
2014/3/24,2.2941,7.3871,7.5445,11.61,5.6833,3.1693,5.401,,1.3408,10.6382,3.2643,
2014/3/25,2.2988,7.2195,7.6027,10.89,5.6833,3.2482,5.3001,,1.3497,10.1341,3.4392,
