ÈÕÆÚ,000023.SZ,000619.SZ,000786.SZ,002043.SZ,002066.SZ,002082.SZ,002088.SZ,002162.SZ,002163.SZ,002225.SZ,002271.SZ,002302.SZ,002323.SZ,002333.SZ,002372.SZ,002392.SZ,002398.SZ,002457.SZ,002596.SZ,002641.SZ,002652.SZ,002671.SZ,002694.SZ,002718.SZ,002742.SZ,002785.SZ,002791.SZ,002918.SZ,300117.SZ,300198.SZ,300234.SZ,300374.SZ,300599.SZ,300715.SZ,300737.SZ,600321.SH,600678.SH,603038.SH,603616.SH,603856.SH,603937.SH
2014/1/2,7.7623,6.9216,7.7718,2.3076,5.1,7.5728,5.2385,3.4306,3.74,5.2069,7.5653,5.4497,4.7177,4.5281,2.775,3.4592,4.948,8.0407,3.3096,3.4442,3.3174,8.9773,3.9696,,,,,,2.5201,3.3694,11.7541,,,,,2.0365,5.75,,,,
2014/1/3,7.8409,6.787,7.5756,2.3016,5.1,7.4456,5.2027,3.3434,3.68,5.2358,7.4158,5.4303,4.662,4.4371,2.6874,3.4347,4.9589,8.1571,3.227,3.4381,3.2506,8.8127,3.9636,,,,,,2.5082,3.3672,11.6908,,,,,2.0167,5.68,,,,
2014/1/6,7.8998,6.6236,7.317,2.2408,4.91,7.1618,5.0892,3.1793,3.55,5.3129,7.774,5.1163,4.5275,4.4326,2.5571,3.5228,4.8207,8.2832,3.1081,3.282,3.0592,8.6281,3.8244,,,,,,2.3828,3.2302,11.7496,,,,,1.9673,5.54,,,,
2014/1/7,7.7524,6.6909,7.4107,2.2408,4.89,7.201,5.125,3.1332,3.56,5.2744,7.6555,5.0825,4.5833,4.2962,2.6092,3.5668,4.7479,8.3511,3.0784,3.2911,3.0895,8.5434,3.8304,,,,,,2.4932,3.2459,11.9259,,,,,1.9574,5.44,,,,
2014/1/8,7.9096,6.7101,7.2546,2.2166,4.9,7.1618,5.2744,3.1229,3.52,5.3322,7.5512,5.1356,4.5865,4.3326,2.5831,3.5374,4.7516,8.2735,3.0817,3.2973,3.126,8.688,3.9636,,,,,,2.538,3.347,12.4322,,,,,1.9574,5.27,,,,
2014/1/9,7.723,6.5371,7.2056,2.174,4.93,6.9564,5.2744,2.9947,3.41,5.1586,7.4525,5.039,4.4062,4.3235,2.5887,3.4053,4.6606,8.031,3.0421,3.1779,2.9437,8.2142,3.8062,,,,,,2.4096,3.2504,12.1112,,,,,1.9376,5.12,,,,
2014/1/10,7.5657,6.364,7.0138,2.1072,4.82,6.839,5.2744,2.8563,3.23,4.8887,7.21,4.8796,4.3374,4.2417,2.5235,3.2879,4.4969,7.7595,2.9033,3.083,2.9073,8.3289,3.7972,,,,,,2.4962,3.1897,11.9575,,,,,1.9179,4.94,,,,
2014/1/13,7.4577,6.3544,6.9737,2.1133,4.43,7.0151,5.2744,2.9024,3.17,4.7537,7.0577,4.952,4.3439,4.278,2.5068,3.376,4.5333,7.7983,2.8274,3.0983,2.9771,8.3239,3.7699,,,,,,2.5589,3.2234,11.8445,,,,,1.9179,4.93,,,,
2014/1/14,7.5461,6.4217,7.0406,2.1376,4.54,7.1325,5.2744,2.9537,3.26,4.8404,7.0972,5.0342,4.5144,4.3189,2.5738,3.4836,4.6024,7.9049,2.8835,3.184,3.0501,8.4586,3.897,,,,,,2.6157,3.3043,12.2016,,,,,1.9475,5.01,,,,
2014/1/15,7.7033,6.3832,7.152,2.1498,4.49,7.1227,5.2744,2.9588,3.29,4.8019,7.1282,4.9714,4.5308,4.3371,2.585,3.4836,4.5915,7.934,3.0388,3.1962,3.1199,8.4137,4.018,,,,,,2.5977,3.3088,12.161,,,,,1.9871,5.05,,,,
