ÈÕÆÚ,000401.SZ,000546.SZ,000672.SZ,000789.SZ,000877.SZ,000935.SZ,002233.SZ,600326.SH,600425.SH,600449.SH,600585.SH,600668.SH,600720.SH,600801.SH,600802.SH,600881.SH,600883.SH,601992.SH,900933.SH
2014/1/2,8.2496,5.8879,4.4378,4.1149,5.6594,5.6145,5.1737,4.5733,3.7548,7.1146,13.7909,8.8813,5.8351,4.7927,5.7199,3.7502,5.506,3.1236,0.5764
2014/1/3,8.0864,5.8974,4.3821,4.0249,5.6034,5.6737,5.0612,4.514,3.6563,7.0245,13.1633,8.9268,5.7301,4.589,5.6803,3.6537,5.457,2.944,0.5655
2014/1/6,7.4909,5.6323,4.2242,3.7852,5.3699,5.496,4.9086,4.4324,3.5676,6.6187,12.6696,9.1267,5.4676,4.2735,5.4729,3.567,5.2022,2.8117,0.5448
2014/1/7,7.4525,5.5944,4.2335,3.8151,5.2952,5.4664,4.8845,4.4473,3.5774,6.7269,12.6193,8.7631,5.4851,4.2336,5.4235,3.5959,5.2218,2.8165,0.5387
2014/1/8,7.3661,5.6418,4.1871,3.7766,5.2298,5.2987,4.8524,4.4102,3.5183,6.6277,12.6445,8.6904,5.4589,4.2256,5.3346,3.7694,5.1631,2.7267,0.5433
2014/1/9,7.1932,5.4903,4.1314,3.7423,5.1458,5.3283,4.7399,4.2916,3.4493,6.4293,12.611,8.4631,5.4676,4.2016,5.3148,3.6152,5.0553,2.67,0.5474
2014/1/10,7.0107,5.2631,4.1221,3.8066,5.0244,5.348,4.6676,4.3509,3.4001,6.249,12.7365,8.2904,5.3102,4.2096,5.1666,3.5863,4.8985,2.5896,0.5448
2014/1/13,6.7899,5.2726,4.1128,3.8151,5.0524,5.2987,4.531,4.3435,3.3705,6.267,12.8034,8.2813,5.3102,4.0938,5.1765,3.6441,4.8691,2.6416,0.5369
2014/1/14,6.7707,5.4241,4.2057,3.8537,5.1645,5.496,4.6917,4.3806,3.4592,6.3662,12.8788,8.3995,5.4151,4.1697,5.2556,3.6827,5.0455,2.6936,0.5354
2014/1/15,6.8091,5.3673,4.1964,3.9564,5.1831,5.496,4.7399,4.4102,3.5085,6.4564,13.3892,8.4904,5.5114,4.1857,5.2556,3.6634,5.0553,2.7172,0.5403
