ÈÕÆÚ,000012.SZ,002623.SZ,200012.SZ,300093.SZ,600586.SH,600819.SH,600876.SH,601636.SH,601865.SH,900918.SH
2014/1/2,4.9049,18.7233,3.3159,6.8722,3.0607,6.0243,4.79,2.653,,0.5368
2014/1/3,4.8266,18.3847,3.2734,7.0119,3.0222,5.8588,4.72,2.5708,,0.5292
2014/1/6,4.5558,17.4983,3.1456,6.8024,2.9164,5.635,4.61,2.4689,,0.5081
2014/1/7,4.5317,17.4585,3.1669,7.0916,2.8971,5.6155,4.64,2.4985,,0.5109
2014/1/8,4.5197,17.3788,3.1722,7.1515,2.8875,5.5474,4.68,2.4854,,0.5042
2014/1/9,4.4475,16.5622,3.1669,6.8622,2.8779,5.4306,4.68,2.3966,,0.5023
2014/1/10,4.3452,16.2634,3.103,6.6927,2.8201,5.4014,4.65,2.4032,,0.5023
2014/1/13,4.3031,16.5422,3.0498,6.8223,2.8297,5.4501,4.5,2.39,,0.5004
2014/1/14,4.7364,16.7912,3.3,7.0517,2.9164,5.6058,4.58,2.4229,,0.51
2014/1/15,4.7123,17.0302,3.2893,7.1714,2.8971,5.5766,4.66,2.4196,,0.509
2014/1/16,4.7123,17.1298,3.2787,7.0817,2.8875,5.5766,4.79,2.4196,,0.5138
2014/1/17,4.5498,16.851,3.2201,7.1016,2.849,5.5279,5.04,2.3736,,0.509
2014/1/20,4.5679,16.6717,3.2467,6.9221,2.849,5.5668,4.83,2.2717,,0.5109
2014/1/21,4.6822,17.3191,3.2627,7.1515,2.8875,5.5863,4.79,2.3045,,0.5129
2014/1/22,4.7725,17.6278,3.284,7.2313,2.9356,5.7226,4.87,2.3999,,0.5196
2014/1/23,4.8507,17.9365,3.2893,7.2413,2.9452,5.6544,4.85,2.3999,,0.5224
2014/1/24,4.8387,17.9863,3.2946,7.3809,2.9549,5.7031,4.86,2.4262,,0.5263
2014/1/27,4.7364,18.305,3.2361,7.3709,2.926,5.635,4.79,2.4492,,0.5244
2014/1/28,4.8628,18.6735,3.284,7.2612,2.9356,5.4987,4.73,2.4295,,0.5234
2014/1/29,4.8507,18.793,3.2946,7.1515,3.003,5.5474,4.73,2.4328,,0.5234
2014/1/30,4.7785,18.9026,3.2627,7.1515,3.003,5.5571,4.64,2.4229,,0.5215
2014/2/7,4.8628,19.4703,3.268,7.2612,2.9934,5.6058,4.7,2.4558,,0.5205
2014/2/10,5.0012,19.4205,3.3213,7.4507,3.0415,5.7323,4.83,2.5445,,0.5359
2014/2/11,4.9651,19.8387,3.3,7.4108,3.0415,5.7323,4.85,2.5314,,0.5378
2014/2/12,5.0854,20.9143,3.3745,7.6901,3.3495,5.9561,4.88,2.5774,,0.5512
2014/2/13,4.959,20.2969,3.3638,7.4407,3.2436,5.8977,4.82,2.5084,,0.5502
2014/2/14,4.9952,20.9542,3.3372,7.5904,3.2821,6.034,4.95,2.5445,,0.5579
2014/2/17,5.0854,21.6712,3.3692,7.8198,3.311,6.0924,5.05,2.6136,,0.555
2014/2/18,5.0794,22.7568,3.3372,7.7998,3.2725,6.1021,4.95,2.5873,,0.5455
2014/2/19,5.0313,22.5078,3.3426,7.6901,3.2725,6.326,4.97,2.5675,,0.5579
2014/2/20,4.8928,21.5617,3.3053,7.5505,3.2436,6.2578,4.96,2.5314,,0.5541
