ÈÕÆÚ,000018.SZ,000055.SZ,000065.SZ,000928.SZ,002051.SZ,002135.SZ,002140.SZ,002178.SZ,002298.SZ,002469.SZ,002541.SZ,002542.SZ,002593.SZ,002743.SZ,200018.SZ,200055.SZ,300384.SZ,300517.SZ,300635.SZ,600248.SH,600477.SH,600496.SH,600970.SH,601068.SH,601117.SH,601226.SH,601618.SH,603098.SH,603637.SH,603698.SH,603929.SH,603959.SH
2014/1/2,2.4481,3.4593,4.8126,4.3821,10.9796,3.6395,15.2987,3.957,7.2751,7.1889,7.4255,2.0724,2.5351,,1.1037,1.6818,,,,5.6884,1.0085,3.0876,5.0492,,7.2153,,1.5658,,,,,
2014/1/3,2.394,3.3927,4.8449,4.3874,10.7699,3.5703,14.9888,4.0327,7.2751,7.1361,7.2187,2.0724,2.5065,,1.0861,1.6762,,,,5.6305,0.9812,3.0386,4.9399,,6.9514,,1.5479,,,,,
2014/1/6,2.3605,3.2657,4.6942,4.4563,10.3557,3.4516,13.945,3.8735,7.0407,6.8532,6.8439,2.0724,2.4875,,1.0659,1.6374,,,,5.4928,0.973,2.9406,4.8428,,6.5966,,1.5032,,,,,
2014/1/7,2.3759,3.3081,4.7408,4.573,9.543,3.4714,13.9694,3.8735,7.4411,6.9059,6.9538,2.0724,2.4748,,1.0608,1.6485,,,,5.4203,0.9894,2.9183,4.8792,,6.5784,,1.5032,,,,,
2014/1/8,2.3759,3.302,4.7696,4.5465,9.3385,3.4714,13.9857,3.8578,7.3923,6.858,6.8827,2.0724,2.4779,,1.0457,1.6485,,,,5.3841,0.9757,2.9629,4.8246,,6.6057,,1.4764,,,,,
2014/1/9,2.3502,3.2778,4.7588,4.3768,9.3752,3.3725,13.7248,3.8944,7.1286,6.7285,6.7599,2.0724,2.4811,,1.0431,1.6651,,,,5.2754,0.973,2.9629,4.6122,,6.5056,,1.4585,,,,,
2014/1/10,2.3167,3.2053,4.6655,4.1486,9.3804,3.2933,13.3415,3.8213,6.9724,6.4983,6.5854,2.0724,2.4748,,1.0507,1.6485,,,,5.1667,0.9538,2.9629,4.503,,6.4874,,1.4406,,,,,
2014/1/13,2.2883,3.2718,4.5614,4.0744,9.5954,3.3131,13.5291,3.8213,6.9333,6.3208,6.6888,2.0724,2.4621,,1.0507,1.654,,,,5.174,0.9784,2.9406,4.4484,,6.3964,,1.4585,,,,,
2014/1/14,2.3038,3.3323,4.6224,4.2123,9.7107,3.412,13.5291,3.8213,7.0798,6.4407,6.7857,2.0724,2.5256,,1.0583,1.6873,,,,5.2537,0.9839,2.9673,4.5272,,6.0688,,1.4764,,,,,
2014/1/15,2.3064,3.3444,4.7839,4.2707,9.6006,3.3922,13.6025,4.1711,6.9626,6.5079,6.7922,2.0724,2.5383,,1.0558,1.6762,,,,5.3696,0.9784,3.0342,4.5819,,6.0051,,1.4585,,,,,
2014/1/16,2.3064,3.3383,4.8593,4.207,9.3961,3.4021,13.5861,4.0954,6.9821,6.4983,6.7793,2.0724,2.586,,1.0709,1.6929,,,,5.4276,0.9812,3.0342,4.5576,,6.0415,,1.4585,,,,,
2014/1/17,2.3064,3.3323,4.766,4.1752,9.4381,3.3527,13.3089,4.0954,6.7771,6.3208,6.6436,2.0724,2.5637,,1.0659,1.6818,,,,5.4203,0.9675,2.9762,4.4362,,5.7686,,1.4406,,,,,
2014/1/20,2.2832,3.429,4.8054,4.085,9.1235,3.3527,13.211,4.1189,6.7478,6.4407,6.6953,2.0724,2.4938,,1.0633,1.704,,,,5.4131,0.9648,2.9629,4.4787,,5.532,,1.4495,,,,,
2014/1/21,2.3012,3.423,4.8449,4.0903,9.3122,3.3922,13.2518,4.2102,6.7966,6.4647,6.8374,2.0724,2.5192,,1.0633,1.704,,,,5.4928,0.9702,3.0208,4.4969,,5.5502,,1.4495,,,,,
2014/1/22,2.3373,3.4895,4.9346,4.1964,9.4905,3.4714,13.6595,4.6305,6.9724,6.6374,6.9667,2.0724,2.605,,1.081,1.7317,,,,5.5218,0.9948,3.0921,4.6304,,5.8141,,1.4764,,,,,
2014/1/23,2.3141,3.5258,5.01,4.2919,9.3647,3.4615,14.0265,4.7062,6.9626,6.6518,6.9925,2.0724,2.605,,1.0835,1.7373,,,,5.529,0.9866,3.0832,4.5819,,5.8414,,1.4764,,,,,
2014/1/24,2.3424,3.5681,5.0746,4.2494,9.4119,3.4812,14.0265,4.6801,7.1189,6.7573,7.0248,2.0724,2.6495,,1.0911,1.7428,,,,5.5363,1.0058,3.1723,4.6426,,5.9142,,1.4853,,,,,
2014/1/27,2.345,3.5439,5.2074,4.2229,9.0134,3.4714,13.5943,4.9933,7.0114,6.623,7.0055,2.0724,2.64,,1.0835,1.7595,,,,5.4638,0.9976,3.1366,4.5637,,5.6776,,1.4764,,,,,
